Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,22,HOU,NBA,C,82,82,35.5,8.3,15.3,.538,0.0,0.0,,8.3,15.3,.538,.538,4.1,6.7,.613,5.4,6.5,11.9,1.4,1.2,2.7,2.9,4.2,20.6
1985-86,23,HOU,NBA,C,68,68,36.3,9.2,17.5,.526,0.0,0.0,,9.2,17.5,.526,.526,5.1,7.9,.645,4.9,6.6,11.5,2.0,2.0,3.4,2.9,4.0,23.5
1986-87,24,HOU,NBA,C,75,75,36.8,9.0,17.8,.508,0.0,0.1,.200,9.0,17.7,.509,.509,5.3,7.6,.702,4.2,7.2,11.4,2.9,1.9,3.4,3.0,3.9,23.4
1987-88,25,HOU,NBA,C,79,79,35.8,9.0,17.5,.514,0.0,0.1,.000,9.0,17.5,.516,.514,4.8,6.9,.695,3.8,8.3,12.1,2.1,2.1,2.7,3.1,4.1,22.8
1988-89,26,HOU,NBA,C,82,82,36.9,9.6,19.0,.508,0.0,0.1,.000,9.6,18.9,.511,.508,5.5,8.0,.696,4.1,9.4,13.5,1.8,2.6,3.4,3.4,4.0,24.8
1989-90,27,HOU,NBA,C,82,82,38.1,9.8,19.6,.501,0.0,0.1,.167,9.8,19.5,.502,.501,4.7,6.5,.713,3.6,10.4,14.0,2.9,2.1,4.6,3.9,3.8,24.3
1990-91,28,HOU,NBA,C,56,50,36.8,8.7,17.1,.508,0.0,0.1,.000,8.7,17.1,.510,.508,3.8,4.9,.769,3.9,9.8,13.8,2.3,2.2,3.9,3.1,3.9,21.2
1991-92,29,HOU,NBA,C,70,69,37.7,8.4,16.8,.502,0.0,0.0,.000,8.4,16.8,.503,.502,4.7,6.1,.766,3.5,8.6,12.1,2.2,1.8,4.3,2.7,3.8,21.6
1992-93,30,HOU,NBA,C,82,82,39.5,10.3,19.5,.529,0.0,0.1,.000,10.3,19.5,.532,.529,5.4,7.0,.779,3.5,9.6,13.0,3.5,1.8,4.2,3.2,3.7,26.1
1993-94,31,HOU,NBA,C,80,80,41.0,11.2,21.2,.528,0.1,0.2,.421,11.1,20.9,.529,.530,4.9,6.8,.716,2.9,9.1,11.9,3.6,1.6,3.7,3.4,3.6,27.3
1994-95,32,HOU,NBA,C,72,72,39.6,11.1,21.5,.517,0.0,0.2,.188,11.0,21.2,.520,.517,5.6,7.5,.756,2.4,8.4,10.8,3.5,1.8,3.4,3.3,3.5,27.8
1995-96,33,HOU,NBA,C,72,72,38.8,10.7,20.8,.514,0.0,0.2,.214,10.6,20.6,.517,.515,5.5,7.6,.724,2.4,8.4,10.9,3.6,1.6,2.9,3.4,3.4,26.9
1996-97,34,HOU,NBA,C,78,78,36.6,9.3,18.3,.510,0.1,0.2,.313,9.3,18.1,.512,.512,4.5,5.7,.787,2.2,7.0,9.2,3.0,1.5,2.2,3.6,3.2,23.2
1997-98,35,HOU,NBA,C,47,45,34.7,6.5,13.5,.483,0.0,0.1,.000,6.5,13.4,.486,.483,3.4,4.5,.755,2.5,7.3,9.8,3.0,1.8,2.0,2.7,3.2,16.4
1998-99,36,HOU,NBA,C,50,50,35.7,7.5,14.5,.514,0.1,0.3,.308,7.4,14.2,.518,.517,3.9,5.4,.717,2.1,7.4,9.6,1.8,1.6,2.5,2.8,3.2,18.9
1999-00,37,HOU,NBA,C,44,28,23.8,4.4,9.6,.458,0.0,0.0,.000,4.4,9.5,.461,.458,1.6,2.5,.616,1.5,4.8,6.2,1.4,0.9,1.6,1.7,2.0,10.3
2000-01,38,HOU,NBA,C,58,55,26.6,4.9,9.8,.498,0.0,0.0,.000,4.9,9.8,.499,.498,2.1,3.4,.621,2.1,5.3,7.4,1.2,1.2,1.5,1.4,2.4,11.9
2001-02,39,TOR,NBA,C,61,37,22.6,3.2,6.9,.464,0.0,0.0,.000,3.2,6.8,.466,.464,0.8,1.4,.560,1.6,4.4,6.0,1.1,1.2,1.5,1.6,2.4,7.1
