Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994-95,21,DAL,NBA,PG,79,79,33.8,4.2,10.8,.385,0.9,3.3,.272,3.3,7.6,.433,.426,2.4,3.5,.698,1.9,3.5,5.4,7.7,1.9,0.3,3.2,1.8,11.7
1995-96,22,DAL,NBA,PG,81,81,37.5,6.1,16.0,.381,1.6,4.9,.336,4.4,11.1,.401,.433,2.8,4.1,.692,2.5,4.3,6.8,9.7,2.2,0.3,4.0,1.9,16.6
1996-97,23,TOT,NBA,PG,55,45,35.7,3.9,9.6,.403,1.1,3.0,.370,2.8,6.6,.418,.460,2.0,3.0,.679,1.2,3.4,4.5,9.0,2.3,0.4,2.6,2.1,10.9
1996-97,23,DAL,NBA,PG,22,22,36.0,3.4,9.2,.369,1.0,3.0,.323,2.5,6.3,.391,.421,2.1,3.1,.667,1.4,2.7,4.1,9.1,2.0,0.4,3.0,1.9,9.9
1996-97,23,PHO,NBA,PG,33,23,35.5,4.2,9.9,.423,1.2,3.0,.400,3.0,6.8,.434,.485,2.0,2.9,.688,1.0,3.8,4.8,9.0,2.4,0.4,2.3,2.2,11.6
1997-98,24,PHO,NBA,PG,82,82,38.0,4.4,10.5,.416,0.9,2.8,.313,3.5,7.6,.454,.458,2.0,2.5,.799,1.3,4.9,6.2,9.1,2.0,0.3,3.2,1.7,11.6
1998-99,25,PHO,NBA,PG,50,50,41.2,6.2,14.0,.444,0.9,2.5,.366,5.3,11.5,.461,.476,3.6,4.8,.757,1.7,5.0,6.8,10.8,2.3,0.4,3.0,2.2,16.9
1999-00,26,PHO,NBA,PG,67,67,39.0,5.2,12.8,.409,0.8,2.5,.337,4.4,10.3,.427,.442,3.0,3.7,.829,1.4,5.8,7.2,10.1,2.0,0.4,3.4,2.2,14.3
2000-01,27,PHO,NBA,PG,77,76,39.8,5.9,14.2,.411,0.9,3.0,.297,5.0,11.2,.442,.443,4.3,5.2,.814,1.2,5.2,6.4,9.8,2.2,0.3,3.7,2.2,16.9
2001-02,28,NJN,NBA,PG,82,82,37.3,5.4,13.9,.391,1.4,4.4,.321,4.0,9.4,.424,.442,2.5,3.0,.814,1.6,5.7,7.3,9.9,2.1,0.2,3.5,1.7,14.7
2002-03,29,NJN,NBA,PG,80,80,37.4,6.4,15.6,.414,1.6,4.6,.341,4.9,10.9,.445,.465,4.2,5.0,.841,1.4,4.9,6.3,8.9,2.2,0.3,3.7,1.6,18.7
2003-04,30,NJN,NBA,PG,67,66,36.6,5.5,14.3,.384,1.4,4.4,.321,4.1,9.9,.411,.433,3.1,3.7,.827,1.3,5.1,6.4,9.2,1.8,0.2,3.2,1.6,15.5
2004-05,31,NJN,NBA,PG,66,65,36.9,5.2,13.0,.398,2.0,5.4,.360,3.2,7.5,.425,.473,2.2,2.9,.740,1.4,6.0,7.4,8.3,1.9,0.1,2.5,1.7,14.4
2005-06,32,NJN,NBA,PG,80,80,37.2,4.6,11.3,.404,1.7,4.9,.352,2.8,6.4,.445,.481,2.4,3.1,.795,1.1,6.2,7.3,8.4,1.9,0.4,2.4,2.0,13.3
2006-07,33,NJN,NBA,PG,80,80,36.7,4.6,11.4,.406,1.6,4.5,.343,3.1,6.8,.448,.475,2.2,2.9,.778,1.7,6.5,8.2,9.2,1.6,0.3,2.7,1.8,13.0
2007-08,34,TOT,NBA,PG,80,80,36.3,3.8,9.9,.385,1.5,3.9,.381,2.3,6.0,.387,.460,1.7,2.1,.818,1.2,6.3,7.5,10.1,1.7,0.3,3.3,2.1,10.8
2007-08,34,NJN,NBA,PG,51,51,37.2,3.9,10.8,.366,1.6,4.6,.356,2.3,6.1,.374,.443,1.8,2.2,.820,1.1,6.9,8.1,10.4,1.5,0.3,3.6,1.8,11.3
2007-08,34,DAL,NBA,PG,29,29,34.9,3.6,8.4,.426,1.2,2.6,.461,2.4,5.8,.411,.498,1.5,1.9,.815,1.2,5.2,6.5,9.5,2.1,0.4,2.8,2.6,9.9
2008-09,35,DAL,NBA,PG,81,81,35.6,3.2,7.6,.416,1.6,4.0,.406,1.6,3.6,.427,.522,1.1,1.3,.819,1.0,5.1,6.2,8.7,2.0,0.5,2.3,2.1,9.0
2009-10,36,DAL,NBA,PG,80,80,36.0,3.6,8.4,.423,2.2,5.2,.425,1.4,3.2,.420,.554,1.0,1.2,.808,0.6,5.0,5.6,9.1,1.8,0.4,2.4,1.8,10.3
2010-11,37,DAL,NBA,PG,80,80,33.2,2.7,7.5,.361,1.7,4.9,.340,1.0,2.6,.400,.472,0.8,1.0,.870,0.4,4.0,4.4,8.2,1.7,0.4,2.2,1.5,7.9
2011-12,38,DAL,NBA,PG,48,48,28.7,2.1,5.7,.363,1.6,4.6,.354,0.4,1.0,.400,.507,0.5,0.6,.786,0.3,3.8,4.1,5.5,1.7,0.2,1.9,1.7,6.2
2012-13,39,NYK,NBA,SG,76,48,26.9,2.0,5.4,.372,1.5,4.3,.351,0.5,1.1,.452,.511,0.5,0.6,.833,0.7,3.6,4.3,3.3,1.6,0.3,1.0,1.6,6.0
