Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984-85,22,UTA,NBA,PG,82,5,18.2,1.9,4.1,.471,0.0,0.1,.182,1.9,3.9,.481,.474,1.7,2.4,.736,0.3,1.0,1.3,5.1,1.3,0.1,1.8,2.5,5.6
1985-86,23,UTA,NBA,PG,82,38,23.6,2.8,5.7,.489,0.0,0.2,.133,2.8,5.5,.501,.491,2.1,2.5,.839,0.4,1.8,2.2,7.4,1.9,0.1,2.0,2.8,7.7
1986-87,24,UTA,NBA,PG,82,2,22.7,2.8,5.6,.499,0.1,0.5,.179,2.7,5.2,.528,.506,2.2,2.8,.782,0.4,1.5,1.8,8.2,2.2,0.2,2.0,2.7,7.9
1987-88,25,UTA,NBA,PG,82,79,34.7,5.5,9.6,.574,0.3,0.8,.358,5.2,8.8,.594,.589,3.3,4.0,.840,0.7,2.2,2.9,13.8,3.0,0.2,3.2,3.0,14.7
1988-89,26,UTA,NBA,PG,82,82,38.7,6.1,11.3,.538,0.2,0.8,.242,5.9,10.5,.561,.547,4.8,5.5,.863,1.0,2.0,3.0,13.6,3.2,0.2,3.8,2.9,17.1
1989-90,27,UTA,NBA,PG,78,78,37.4,6.1,11.8,.514,0.6,1.4,.416,5.4,10.3,.528,.540,4.5,5.5,.819,0.7,1.9,2.6,14.5,2.7,0.2,3.5,3.0,17.2
1990-91,28,UTA,NBA,PG,82,82,37.8,6.0,11.9,.507,0.7,2.0,.345,5.3,9.9,.541,.537,4.4,5.3,.836,0.6,2.3,2.9,14.2,2.9,0.2,3.6,2.8,17.2
1991-92,29,UTA,NBA,PG,82,82,36.6,5.5,11.5,.482,1.0,2.5,.407,4.5,9.0,.503,.527,3.8,4.5,.842,0.8,2.5,3.3,13.7,3.0,0.3,3.5,2.9,15.8
1992-93,30,UTA,NBA,PG,82,82,34.9,5.3,11.0,.486,0.9,2.3,.385,4.5,8.7,.513,.526,3.6,4.5,.798,0.8,2.1,2.9,12.0,2.4,0.3,3.2,2.7,15.1
1993-94,31,UTA,NBA,PG,82,82,36.2,5.6,10.6,.528,0.6,1.8,.322,5.0,8.8,.570,.555,3.3,4.1,.805,0.9,2.3,3.1,12.6,2.4,0.3,3.2,2.9,15.1
1994-95,32,UTA,NBA,PG,82,82,35.0,5.2,9.6,.542,1.2,2.8,.449,4.0,6.9,.580,.607,3.0,3.7,.804,0.7,2.4,3.1,12.3,2.4,0.3,3.3,2.6,14.7
1995-96,33,UTA,NBA,PG,82,82,35.5,5.4,10.0,.538,1.2,2.7,.422,4.2,7.2,.582,.596,2.9,3.4,.830,0.7,2.1,2.8,11.2,1.7,0.2,3.0,2.5,14.7
1996-97,34,UTA,NBA,PG,82,82,35.3,5.1,9.3,.548,0.9,2.2,.422,4.1,7.1,.587,.598,3.4,4.0,.846,0.5,2.2,2.8,10.5,2.0,0.2,3.0,2.4,14.4
1997-98,35,UTA,NBA,PG,64,64,29.0,4.2,8.0,.528,0.6,1.4,.429,3.6,6.6,.550,.567,3.0,3.6,.827,0.5,2.0,2.6,8.5,1.4,0.2,2.5,2.2,12.0
1998-99,36,UTA,NBA,PG,50,50,28.2,4.0,8.2,.488,0.3,1.0,.320,3.7,7.2,.511,.507,2.7,3.4,.811,0.6,2.3,2.9,7.5,1.6,0.3,2.2,2.1,11.1
1999-00,37,UTA,NBA,PG,82,82,29.7,4.4,8.8,.501,0.5,1.5,.355,3.9,7.4,.530,.530,2.7,3.1,.860,0.5,2.1,2.6,8.6,1.7,0.2,2.2,2.3,12.1
2000-01,38,UTA,NBA,PG,82,82,29.2,4.0,7.9,.504,0.7,1.6,.462,3.3,6.3,.514,.551,2.8,3.4,.817,0.7,2.1,2.8,8.7,1.6,0.3,2.5,2.4,11.5
2001-02,39,UTA,NBA,PG,82,82,31.3,4.9,9.5,.517,0.3,1.0,.321,4.6,8.5,.539,.534,3.4,3.9,.857,0.7,2.5,3.2,8.2,1.9,0.3,2.5,2.5,13.4
2002-03,40,UTA,NBA,PG,82,82,27.7,3.8,7.8,.483,0.4,1.0,.363,3.4,6.8,.500,.505,2.9,3.5,.826,0.6,1.8,2.5,7.7,1.7,0.2,2.2,2.2,10.8
