Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985-86,23,NYK,NBA,C,50,50,35.4,7.7,16.3,.474,0.0,0.1,.000,7.7,16.2,.477,.474,4.5,6.1,.739,2.5,6.5,9.0,2.0,1.1,2.1,3.4,3.8,20.0
1986-87,24,NYK,NBA,PF,63,63,35.0,8.4,16.7,.503,0.0,0.1,.000,8.4,16.6,.507,.503,4.7,6.6,.713,2.5,6.3,8.8,1.7,1.4,2.3,3.6,3.9,21.5
1987-88,25,NYK,NBA,C,82,82,31.0,8.0,14.4,.555,0.0,0.0,.000,8.0,14.4,.556,.555,4.2,5.8,.716,3.0,5.3,8.2,1.5,1.3,3.0,3.5,4.0,20.2
1988-89,26,NYK,NBA,C,80,80,36.2,9.1,16.0,.567,0.0,0.1,.000,9.1,16.0,.570,.567,4.5,6.1,.746,2.7,6.6,9.3,2.4,1.5,3.5,3.3,3.9,22.7
1989-90,27,NYK,NBA,C,82,82,38.6,11.2,20.4,.551,0.0,0.0,.250,11.2,20.4,.552,.551,6.1,7.9,.775,2.9,8.0,10.9,2.2,1.0,4.0,3.4,4.0,28.6
1990-91,28,NYK,NBA,C,81,81,38.3,10.4,20.3,.514,0.0,0.1,.000,10.4,20.2,.516,.514,5.7,7.7,.745,2.4,8.8,11.2,3.0,1.0,3.2,3.6,3.5,26.6
1991-92,29,NYK,NBA,C,82,82,38.4,9.7,18.6,.522,0.0,0.1,.167,9.7,18.5,.523,.522,4.6,6.2,.738,2.8,8.5,11.2,1.9,1.1,3.0,2.5,3.4,24.0
1992-93,30,NYK,NBA,C,81,81,37.1,9.6,19.1,.503,0.0,0.1,.143,9.6,19.0,.504,.503,4.9,6.9,.719,2.4,9.7,12.1,1.9,0.9,2.0,3.3,3.5,24.2
1993-94,31,NYK,NBA,C,79,79,37.6,9.4,19.0,.496,0.1,0.2,.286,9.4,18.8,.498,.497,5.6,7.4,.765,2.8,8.4,11.2,2.3,1.1,2.7,3.3,3.5,24.5
1994-95,32,NYK,NBA,C,79,79,37.0,9.2,18.4,.503,0.1,0.3,.286,9.2,18.1,.506,.505,5.3,7.1,.750,2.0,9.0,11.0,2.7,0.9,2.0,3.2,3.4,23.9
1995-96,33,NYK,NBA,C,76,76,36.6,8.9,19.2,.466,0.1,0.4,.143,8.9,18.8,.472,.467,4.6,6.1,.761,2.1,8.5,10.6,2.1,0.9,2.4,2.9,3.3,22.5
1996-97,34,NYK,NBA,C,78,78,37.0,8.4,17.2,.488,0.0,0.1,.222,8.4,17.1,.490,.489,5.6,7.5,.754,2.2,8.4,10.7,2.0,0.9,2.4,3.4,3.2,22.4
1997-98,35,NYK,NBA,C,26,26,32.6,7.8,15.5,.504,0.0,0.1,.000,7.8,15.4,.506,.504,5.2,7.2,.720,2.3,7.9,10.2,1.1,0.6,2.2,3.0,2.8,20.8
1998-99,36,NYK,NBA,C,38,38,34.2,6.5,14.9,.435,0.0,0.1,.000,6.5,14.9,.436,.435,4.3,6.1,.706,1.9,8.0,9.9,1.1,0.8,2.6,2.6,2.8,17.3
1999-00,37,NYK,NBA,C,62,62,32.8,5.8,12.5,.466,0.0,0.0,.000,5.8,12.5,.467,.466,3.3,4.6,.731,2.3,7.5,9.7,0.9,0.6,1.4,2.3,3.2,15.0
2000-01,38,SEA,NBA,C,79,79,26.7,3.7,8.7,.430,0.0,0.0,.000,3.7,8.6,.431,.430,2.2,3.2,.685,1.6,5.8,7.4,1.2,0.7,1.2,1.9,2.9,9.6
2001-02,39,ORL,NBA,C,65,4,13.9,2.3,5.1,.444,0.0,0.0,.000,2.3,5.1,.446,.444,1.4,2.1,.701,0.9,3.1,4.0,0.5,0.3,0.7,1.0,2.0,6.0
