Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,21,MIL,NBA,SG,82,81,30.9,4.8,11.1,.430,1.4,3.6,.393,3.3,7.4,.448,.494,2.5,3.0,.823,1.2,2.8,4.0,2.6,0.9,0.1,1.8,2.7,13.4
1997-98,22,MIL,NBA,SG,82,82,40.1,6.9,16.0,.428,1.6,4.5,.364,5.2,11.5,.453,.479,4.2,4.8,.875,1.5,3.4,4.9,4.3,1.4,0.1,3.2,3.0,19.5
1998-99,23,MIL,NBA,SG,50,50,34.4,6.1,13.5,.450,1.5,4.2,.356,4.6,9.3,.492,.505,3.5,3.9,.903,1.1,3.1,4.2,3.6,1.1,0.1,2.4,2.3,17.1
1999-00,24,MIL,NBA,SG,82,82,37.4,7.8,17.2,.455,2.1,5.0,.423,5.7,12.2,.468,.516,4.3,4.9,.887,1.0,3.4,4.4,3.8,1.3,0.2,2.2,2.3,22.1
2000-01,25,MIL,NBA,SG,82,82,38.2,7.7,16.0,.480,2.5,5.7,.433,5.2,10.3,.506,.557,4.2,4.8,.888,1.2,4.0,5.2,4.6,1.5,0.2,2.5,2.3,22.0
2001-02,26,MIL,NBA,SG,69,67,36.6,7.7,16.6,.462,3.3,7.7,.434,4.4,9.0,.485,.561,3.1,3.6,.873,1.2,3.3,4.5,3.9,1.3,0.3,2.3,2.3,21.8
2002-03,27,TOT,NBA,SG,76,75,37.9,7.9,17.9,.439,2.6,7.0,.377,5.2,10.9,.478,.512,4.2,4.5,.916,1.2,3.8,5.0,4.4,1.4,0.2,2.6,2.9,22.5
2002-03,27,MIL,NBA,SG,47,46,35.8,7.5,17.1,.437,2.6,6.6,.395,4.9,10.5,.463,.514,3.8,4.1,.913,1.0,3.7,4.6,3.5,1.2,0.2,2.5,3.2,21.3
2002-03,27,SEA,NBA,SG,29,29,41.3,8.5,19.3,.441,2.7,7.7,.351,5.8,11.7,.500,.511,4.8,5.2,.920,1.7,3.9,5.6,5.9,1.6,0.1,2.8,2.4,24.5
2003-04,28,SEA,NBA,SG,56,56,38.4,8.0,18.2,.440,2.6,6.8,.392,5.3,11.4,.468,.512,4.4,4.8,.904,1.2,3.9,5.1,4.8,1.3,0.2,2.8,2.4,23.0
2004-05,29,SEA,NBA,SG,78,78,39.3,8.2,19.2,.428,2.7,7.1,.376,5.5,12.0,.459,.498,4.8,5.5,.883,1.0,3.4,4.4,3.7,1.1,0.1,2.2,2.1,23.9
2005-06,30,SEA,NBA,SG,78,78,38.7,8.7,19.2,.454,3.4,8.4,.412,5.3,10.9,.486,.544,4.2,4.6,.903,0.9,3.3,4.3,3.7,1.3,0.2,2.4,1.9,25.1
2006-07,31,SEA,NBA,SG,55,55,40.3,9.2,21.0,.438,3.0,8.1,.372,6.2,12.9,.479,.510,5.1,5.6,.903,1.0,3.5,4.5,4.1,1.5,0.2,2.8,2.1,26.4
2007-08,32,BOS,NBA,SG,73,73,35.9,6.0,13.5,.445,2.5,6.2,.398,3.5,7.3,.485,.537,2.9,3.2,.907,1.0,2.6,3.7,3.1,0.9,0.2,1.7,2.0,17.4
2008-09,33,BOS,NBA,SG,79,79,36.4,6.3,13.2,.480,2.5,6.2,.409,3.8,7.0,.542,.575,3.0,3.2,.952,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2.0,18.2
2009-10,34,BOS,NBA,SG,80,80,35.2,5.8,12.2,.477,1.8,5.0,.363,4.0,7.2,.556,.551,2.9,3.2,.913,0.6,2.6,3.2,2.6,0.8,0.3,1.6,2.3,16.3
2010-11,35,BOS,NBA,SG,80,80,36.1,6.0,12.2,.491,2.1,4.7,.444,3.9,7.5,.520,.577,2.4,2.7,.881,0.6,2.8,3.4,2.7,1.0,0.2,1.5,1.8,16.5
2011-12,36,BOS,NBA,SG,46,42,34.0,4.9,10.7,.458,2.3,5.1,.453,2.6,5.6,.463,.566,2.1,2.3,.915,0.3,2.8,3.1,2.4,1.1,0.2,1.5,1.8,14.2
2012-13,37,MIA,NBA,SG,79,0,25.8,3.7,8.2,.449,1.8,4.2,.419,1.9,4.0,.480,.555,1.8,2.0,.886,0.5,2.2,2.7,1.7,0.8,0.2,1.3,1.6,10.9
2013-14,38,MIA,NBA,SG,73,9,26.5,3.3,7.4,.442,1.6,4.2,.375,1.7,3.2,.530,.549,1.4,1.6,.905,0.3,2.5,2.8,2.0,0.7,0.1,1.2,1.6,9.6
