Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,23,GSW,NBA,PG,79,78,33.7,5.9,12.5,.471,0.3,1.1,.274,5.6,11.4,.489,.483,2.7,3.5,.764,0.7,3.2,3.9,8.7,2.1,0.2,3.3,2.9,14.7
1990-91,24,GSW,NBA,PG,82,82,39.2,9.0,18.9,.476,1.2,3.1,.385,7.8,15.8,.494,.508,3.7,4.6,.803,1.1,3.0,4.0,9.7,2.6,0.1,3.3,2.8,22.9
1991-92,25,GSW,NBA,PG,81,81,41.1,9.1,19.7,.461,1.6,4.6,.338,7.5,15.0,.499,.501,3.7,4.8,.766,1.0,2.8,3.8,10.0,2.0,0.2,3.3,2.6,23.4
1992-93,26,GSW,NBA,PG,66,66,39.5,7.9,17.7,.447,1.5,4.7,.330,6.4,13.0,.489,.491,4.1,5.6,.744,0.9,3.1,4.0,10.6,1.8,0.2,3.3,2.3,21.5
1993-94,27,
1994-95,28,GSW,NBA,PG,62,62,37.4,6.9,16.2,.427,2.7,7.2,.378,4.2,9.1,.465,.510,3.5,4.6,.760,0.7,2.3,3.1,9.3,1.4,0.2,3.5,2.5,20.1
1995-96,29,TOT,NBA,PG,80,46,31.7,5.2,12.4,.422,1.7,4.7,.364,3.5,7.7,.458,.492,3.0,3.8,.790,0.4,2.4,2.9,8.0,1.7,0.2,2.9,2.5,15.2
1995-96,29,GSW,NBA,PG,52,18,28.6,4.9,11.7,.421,1.6,4.5,.366,3.3,7.2,.455,.491,2.7,3.5,.769,0.4,2.1,2.5,6.9,1.4,0.2,2.4,2.5,14.1
1995-96,29,MIA,NBA,PG,28,28,37.4,5.9,13.8,.425,1.9,5.3,.361,4.0,8.5,.464,.494,3.6,4.4,.821,0.5,3.0,3.5,10.0,2.1,0.2,3.9,2.5,17.2
1996-97,30,MIA,NBA,PG,81,81,38.7,7.1,17.1,.415,2.5,7.3,.344,4.6,9.8,.469,.489,3.6,4.5,.799,0.6,2.8,3.4,8.6,1.9,0.1,2.8,2.0,20.3
1997-98,31,MIA,NBA,PG,81,81,37.4,6.9,16.0,.431,1.9,5.5,.351,5.0,10.5,.472,.490,3.2,4.1,.781,0.6,3.1,3.7,8.3,1.7,0.2,2.8,2.5,18.9
1998-99,32,MIA,NBA,PG,48,48,36.9,6.3,15.7,.400,2.3,6.5,.360,3.9,9.2,.429,.475,2.5,3.1,.812,0.3,2.9,3.2,7.3,1.2,0.1,2.7,2.1,17.4
1999-00,33,MIA,NBA,PG,52,52,32.2,4.7,12.3,.386,1.8,4.9,.367,2.9,7.3,.398,.459,2.1,2.6,.827,0.5,2.4,2.9,7.4,0.9,0.1,2.3,2.2,13.4
2000-01,34,MIA,NBA,PG,77,77,33.9,5.3,13.5,.392,2.5,6.7,.366,2.8,6.8,.417,.482,1.9,2.4,.801,0.3,2.3,2.6,6.3,1.2,0.1,2.5,2.0,14.9
2001-02,35,TOT,NBA,PG,68,16,23.5,3.3,9.1,.365,1.8,5.2,.347,1.5,3.9,.387,.464,1.1,1.4,.794,0.2,1.6,1.8,4.1,0.8,0.1,1.6,1.6,9.6
2001-02,35,DAL,NBA,PG,54,2,23.6,3.3,9.1,.362,1.8,5.2,.341,1.6,4.0,.391,.459,1.2,1.4,.833,0.2,1.6,1.8,3.7,0.7,0.1,1.4,1.6,9.6
2001-02,35,DEN,NBA,PG,14,14,23.2,3.4,9.0,.373,2.0,5.4,.373,1.4,3.6,.373,.484,0.9,1.4,.632,0.1,1.9,1.9,5.5,1.2,0.1,2.7,1.8,9.6
2002-03,36,IND,NBA,PG,10,0,12.7,1.8,4.9,.367,1.1,3.1,.355,0.7,1.8,.389,.480,0.2,0.4,.500,0.1,1.4,1.5,2.4,0.9,0.0,1.1,0.8,4.9
