Player           ,Tm ,Pos,MP  ,PTS ,eFG%              ,AST ,TRB ,STL,BLK,Tm_W,Tm_L
Kevin Garnett    ,MIN,PF ,40.0,22.9,0.507             ,5.0 ,11.8,1.5,1.6,47.0,35.0
Horace Grant     ,SEA,PF ,35.4,8.1 ,0.444             ,2.5 ,7.8 ,0.7,0.8,44.0,38.0
A.C. Green       ,LAL,PF ,23.5,5.0 ,0.448             ,1.0 ,5.9 ,0.6,0.2,56.0,26.0
Vlade Divac      ,SAC,C  ,29.0,12.3,0.507             ,3.0 ,8.0 ,1.3,1.3,55.0,27.0
Tim Duncan       ,SAS,PF ,38.9,23.2,0.491             ,3.2 ,12.4,0.9,2.2,58.0,24.0
Mario Elie       ,SAS,SF ,28.1,7.5 ,0.508             ,2.4 ,3.2 ,0.9,0.1,58.0,24.0
Patrick Ewing    ,NYK,C  ,32.8,15.0,0.466             ,0.9 ,9.7 ,0.6,1.4,48.0,34.0
Michael Finley   ,DAL,SF ,42.2,22.6,0.487             ,5.3 ,6.3 ,1.3,0.4,53.0,29.0
Steve Francis    ,HOU,PG ,36.1,18.0,0.493             ,6.6 ,5.3 ,1.5,0.4,45.0,37.0
Ron Harper       ,LAL,PG ,25.5,7.0 ,0.43              ,3.4 ,4.2 ,1.1,0.5,56.0,26.0
Avery Johnson    ,SAS,PG ,31.4,11.2,0.474             ,6.0 ,1.9 ,0.9,0.2,58.0,24.0
Ervin Johnson    ,MIL,C  ,26.6,4.8 ,0.516             ,0.6 ,8.1 ,1.0,1.6,52.0,30.0
Larry Johnson    ,NYK,PF ,32.6,10.7,0.477             ,2.5 ,5.4 ,0.6,0.1,48.0,34.0
Jason Kidd       ,PHO,PG ,39.0,14.3,0.442             ,10.1,7.2 ,2.0,0.4,51.0,31.0
Mark Jackson     ,IND,PG ,27.0,8.1 ,0.51              ,8.0 ,3.7 ,0.9,0.1,41.0,41.0
Tyrone Hill      ,PHI,PF ,31.7,12.0,0.485             ,0.8 ,9.2 ,0.9,0.4,56.0,26.0
Jeff Hornacek    ,UTA,SG ,27.7,12.4,0.537             ,2.6 ,2.4 ,0.9,0.2,53.0,29.0
Allan Houston    ,NYK,SG ,38.6,19.7,0.525             ,2.7 ,3.3 ,0.8,0.2,48.0,34.0
Allen Iverson    ,PHI,SG ,40.8,28.4,0.446             ,4.7 ,3.8 ,2.1,0.1,56.0,26.0
Terrell Brandon  ,MIN,PG ,36.4,17.1,0.4920000000000001,8.9 ,3.4 ,1.9,0.4,47.0,35.0
Ray Allen        ,MIL,SG ,37.4,22.1,0.516             ,3.8 ,4.4 ,1.3,0.2,52.0,30.0
Nick Anderson    ,SAC,SG ,29.1,10.8,0.476             ,1.7 ,4.7 ,1.3,0.2,55.0,27.0
Shandon Anderson ,HOU,SF ,32.9,12.3,0.524             ,2.9 ,4.7 ,1.2,0.4,45.0,37.0
P.J. Brown       ,MIA,PF ,28.8,9.6 ,0.48              ,1.8 ,7.5 ,0.8,0.8,50.0,32.0
Vin Baker        ,SEA,C  ,36.1,16.6,0.456             ,1.9 ,7.7 ,0.6,0.8,44.0,38.0
Brent Barry      ,SEA,SG ,34.1,11.8,0.579             ,3.6 ,4.7 ,1.3,0.4,44.0,38.0
Darrell Armstrong,ORL,PG ,31.6,16.2,0.494             ,6.1 ,3.3 ,2.1,0.1,43.0,39.0
Kobe Bryant      ,LAL,SG ,38.2,22.5,0.488             ,4.9 ,6.3 ,1.6,0.9,56.0,26.0
Vince Carter     ,TOR,SF ,38.1,25.7,0.493             ,3.9 ,5.8 ,1.3,1.1,47.0,35.0
Sam Cassell      ,MIL,PG ,35.8,18.6,0.477             ,9.0 ,3.7 ,1.3,0.1,52.0,30.0
Doug Christie    ,TOR,SG ,31.0,12.4,0.472             ,4.4 ,3.9 ,1.4,0.6,47.0,35.0
Steve Smith      ,POR,SG ,32.8,14.9,0.52              ,2.5 ,3.8 ,0.9,0.4,50.0,32.0
Rik Smits        ,IND,C  ,23.4,12.9,0.484             ,1.1 ,5.1 ,0.3,1.3,41.0,41.0
Eric Snow        ,PHI,PG ,35.0,7.9 ,0.44              ,7.6 ,3.2 ,1.7,0.1,56.0,26.0
Latrell Sprewell ,NYK,SF ,40.0,18.6,0.452             ,4.0 ,4.3 ,1.3,0.3,48.0,34.0
John Stockton    ,UTA,PG ,29.7,12.1,0.53              ,8.6 ,2.6 ,1.7,0.2,53.0,29.0
Damon Stoudamire ,POR,PG ,30.4,12.5,0.477             ,5.2 ,3.1 ,1.0,0.0,50.0,32.0
Erick Strickland ,DAL,SG ,29.8,12.8,0.483             ,3.1 ,4.8 ,1.5,0.2,53.0,29.0
Malik Sealy      ,MIN,SF ,29.2,11.3,0.482             ,2.4 ,4.3 ,0.9,0.2,47.0,35.0
Glen Rice        ,LAL,SF ,31.6,15.9,0.472             ,2.2 ,4.1 ,0.6,0.2,56.0,26.0
Clifford Robinson,PHO,SF ,35.5,18.5,0.517             ,2.8 ,4.5 ,1.1,0.8,51.0,31.0
David Robinson   ,SAS,C  ,32.0,17.8,0.512             ,1.8 ,9.6 ,1.2,2.3,58.0,24.0
Glenn Robinson   ,MIL,SF ,35.9,20.9,0.502             ,2.4 ,6.0 ,1.0,0.5,52.0,30.0
Jalen Rose       ,IND,SF ,37.2,18.2,0.503             ,4.0 ,4.8 ,1.1,0.6,41.0,41.0
Bryon Russell    ,UTA,SF ,35.4,14.1,0.504             ,1.9 ,5.2 ,1.6,0.3,53.0,29.0
Arvydas Sabonis  ,POR,C  ,25.6,11.8,0.511             ,1.8 ,7.8 ,0.7,1.2,50.0,32.0
Jason Williams   ,SAC,PG ,34.1,12.3,0.448             ,7.3 ,2.8 ,1.4,0.1,55.0,27.0
Walt Williams    ,HOU,SF ,24.5,10.9,0.5329999999999999,2.1 ,4.0 ,0.6,0.6,45.0,37.0
Chris Webber     ,SAC,PF ,38.4,24.5,0.4920000000000001,4.6 ,10.5,1.6,1.7,55.0,27.0
Rasheed Wallace  ,POR,PF ,35.1,16.4,0.522             ,1.8 ,7.0 ,1.1,1.3,50.0,32.0
Charlie Ward     ,NYK,PG ,27.6,7.3 ,0.537             ,4.2 ,3.2 ,1.3,0.2,48.0,34.0
Jamal Mashburn   ,MIA,SF ,37.2,17.5,0.493             ,3.9 ,5.0 ,1.0,0.2,50.0,32.0
Reggie Miller    ,IND,SG ,36.9,18.1,0.527             ,2.3 ,3.0 ,1.0,0.3,41.0,41.0
George Lynch     ,PHI,SF ,32.2,9.6 ,0.473             ,1.8 ,7.8 ,1.6,0.5,56.0,26.0
Dan Majerle      ,MIA,SG ,33.4,7.3 ,0.5329999999999999,3.0 ,4.8 ,1.3,0.2,50.0,32.0
Karl Malone      ,UTA,PF ,35.9,25.5,0.51              ,3.7 ,9.5 ,1.0,0.9,53.0,29.0
Ruben Patterson  ,SEA,SF ,25.9,11.6,0.545             ,1.6 ,5.4 ,1.2,0.5,44.0,38.0
Gary Payton      ,SEA,PG ,41.8,24.2,0.502             ,8.9 ,6.5 ,1.9,0.2,44.0,38.0
Scottie Pippen   ,POR,SF ,33.5,12.5,0.501             ,5.0 ,6.3 ,1.4,0.5,50.0,32.0
Olden Polynice   ,UTA,C  ,22.2,5.3 ,0.511             ,0.5 ,5.5 ,0.4,1.0,53.0,29.0
Alonzo Mourning  ,MIA,C  ,34.8,21.7,0.551             ,1.6 ,9.5 ,0.5,3.7,50.0,32.0
Dirk Nowitzki    ,DAL,PF ,35.8,17.5,0.513             ,2.5 ,6.5 ,0.8,0.8,53.0,29.0
Shaquille O'Neal ,LAL,C  ,40.0,29.7,0.574             ,3.8 ,13.6,0.5,3.0,56.0,26.0
Charles Oakley   ,TOR,PF ,30.4,6.9 ,0.43              ,3.2 ,6.8 ,1.3,0.6,47.0,35.0
