Player         ,Tm ,Pos,MP  ,PTS ,eFG%              ,AST,TRB,STL,BLK,Tm_W,Tm_L
Pat Garrity    ,ORL,SF ,18.0,8.2 ,0.509             ,0.7,2.6,0.4,0.2,43.0,39.0
Michael Doleac ,ORL,C  ,16.5,7.0 ,0.453             ,0.8,4.1,0.4,0.4,43.0,39.0
Bryce Drew     ,HOU,PG ,18.0,5.8 ,0.454             ,2.3,1.4,0.6,0.0,45.0,37.0
Greg Foster    ,SEA,PF ,12.0,3.4 ,0.413             ,0.7,1.8,0.2,0.3,44.0,38.0
Al Harrington  ,IND,PF ,17.1,6.6 ,0.473             ,0.8,3.2,0.5,0.2,41.0,41.0
Charles Jones  ,LAC,PG ,11.8,3.4 ,0.425             ,1.7,1.1,0.5,0.1,31.0,51.0
Chris Herren   ,DEN,PG ,13.3,3.1 ,0.46              ,2.5,1.2,0.3,0.0,40.0,42.0
Bobby Jackson  ,MIN,PG ,14.2,5.1 ,0.423             ,2.4,2.1,0.7,0.1,47.0,35.0
Travis Best    ,IND,PG ,20.6,8.9 ,0.514             ,3.3,1.7,0.9,0.1,41.0,41.0
Muggsy Bogues  ,TOR,PG ,21.6,5.1 ,0.462             ,3.7,1.7,0.8,0.1,47.0,35.0
Ryan Bowen     ,DEN,SF ,11.3,2.5 ,0.397             ,0.4,2.2,0.8,0.3,40.0,42.0
Tony Battie    ,BOS,C  ,18.4,6.6 ,0.478             ,0.8,5.0,0.6,0.9,36.0,46.0
Chucky Atkins  ,ORL,PG ,19.8,9.5 ,0.462             ,3.7,1.5,0.6,0.0,43.0,39.0
William Avery  ,MIN,PG ,8.2 ,2.6 ,0.359             ,1.5,0.7,0.2,0.0,47.0,35.0
Dana Barros    ,BOS,PG ,15.8,7.2 ,0.518             ,1.8,1.4,0.4,0.1,36.0,46.0
Austin Croshere,IND,PF ,23.3,10.3,0.489             ,1.1,6.4,0.5,0.7,41.0,41.0
John Crotty    ,DET,PG ,13.6,4.7 ,0.488             ,1.9,1.1,0.4,0.1,32.0,50.0
Dell Curry     ,TOR,SG ,16.3,7.6 ,0.532             ,1.3,1.5,0.5,0.1,47.0,35.0
Michael Curry  ,DET,SG ,19.6,6.2 ,0.482             ,1.1,1.3,0.4,0.1,32.0,50.0
Emanual Davis  ,SEA,PG ,13.0,4.0 ,0.434             ,1.3,1.9,0.7,0.1,44.0,38.0
Keon Clark     ,DEN,C  ,22.8,8.6 ,0.5429999999999999,0.9,6.2,0.6,1.4,40.0,42.0
Jud Buechler   ,DET,SF ,11.3,2.2 ,0.41              ,0.6,1.6,0.4,0.3,32.0,50.0
Calbert Cheaney,BOS,SG ,19.5,4.0 ,0.473             ,1.2,2.1,0.7,0.2,36.0,46.0
Joe Smith      ,MIN,C  ,25.3,9.9 ,0.465             ,1.1,6.2,0.6,1.1,47.0,35.0
Bryant Stith   ,DEN,SG ,15.4,5.6 ,0.5               ,1.4,1.9,0.4,0.3,40.0,42.0
Carlos Rogers  ,HOU,C  ,20.8,8.0 ,0.526             ,0.8,5.2,0.3,0.6,45.0,37.0
Eric Williams  ,BOS,SF ,20.3,7.2 ,0.46              ,1.4,2.3,0.6,0.2,36.0,46.0
Jerome Williams,DET,PF ,25.6,8.4 ,0.564             ,0.8,9.6,1.2,0.3,32.0,50.0
Monty Williams ,ORL,SF ,20.0,8.7 ,0.491             ,1.4,3.3,0.6,0.2,43.0,39.0
Kevin Willis   ,TOR,PF ,21.3,7.6 ,0.416             ,0.6,6.1,0.5,0.6,47.0,35.0
John Thomas    ,TOR,C  ,8.7 ,2.1 ,0.458             ,0.2,1.4,0.2,0.3,47.0,35.0
Otis Thorpe    ,MIA,PF ,15.2,5.5 ,0.514             ,0.6,3.3,0.5,0.2,50.0,32.0
John Wallace   ,NYK,SF ,13.3,6.5 ,0.467             ,0.4,2.3,0.2,0.2,48.0,34.0
Vernon Maxwell ,SEA,SG ,21.0,10.9,0.413             ,1.6,1.7,0.8,0.2,44.0,38.0
Walter McCarty ,BOS,PF ,14.4,3.8 ,0.413             ,1.1,1.8,0.4,0.4,36.0,46.0
George McCloud ,DEN,SF ,27.2,10.1,0.501             ,3.2,3.7,0.6,0.3,40.0,42.0
Voshon Lenard  ,MIA,SG ,27.1,11.9,0.487             ,2.6,2.9,0.8,0.3,50.0,32.0
Rashard Lewis  ,SEA,SF ,19.2,8.2 ,0.521             ,0.9,4.1,0.8,0.4,44.0,38.0
Corey Maggette ,ORL,SF ,17.8,8.4 ,0.48              ,0.8,3.9,0.3,0.3,43.0,39.0
Sam Mitchell   ,MIN,SF ,18.6,6.5 ,0.46              ,1.7,2.1,0.4,0.2,47.0,35.0
Anthony Peeler ,MIN,SG ,25.3,9.8 ,0.494             ,2.4,2.8,0.8,0.1,47.0,35.0
Sam Perkins    ,IND,PF ,20.0,6.6 ,0.518             ,0.8,3.6,0.4,0.4,41.0,41.0
Doug Overton   ,BOS,PG ,9.0 ,3.2 ,0.429             ,1.1,0.7,0.2,0.0,36.0,46.0
Chris Mullin   ,IND,SG ,12.4,5.1 ,0.5479999999999999,0.8,1.6,0.6,0.2,41.0,41.0
Cuttino Mobley ,HOU,SG ,30.8,15.8,0.481             ,2.6,3.6,1.1,0.4,45.0,37.0
