     ,Player               ,Age,Tm ,G ,GS,MVP_Share,MVP_Rank,MP  ,FG  ,FGA ,FG%   ,3P ,3PA ,3P%   ,2P  ,2PA ,2P%   ,eFG%  ,FT ,FTA ,FT%   ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS ,Year,Tm_AGE,Tm_W,Tm_L,Tm_PW,Tm_PL,Tm_MOV,Tm_SOS,Tm_SRS,Tm_ORtg,Tm_DRtg,Tm_NRtg,Tm_PACE,Tm_FTr,Tm_3PAr,Tm_TS%,Tm_eFG%,Tm_TOV%,Tm_ORB%,Tm_FT/FGA,Tm_Op_eFG%,Tm_Op_TOV%,Tm_DRB%,Tm_Op_FT/FGA,Win%
14847,Stephen Curry        ,27 ,GSW,79,79,1        ,1       ,34.2,10.2,20.2,0.505 ,5.1,11.2,0.4554,5.1 ,9   ,0.5667,0.6312,4.6,5.1 ,0.902 ,0.9,4.6 ,5.4 ,6.7 ,2.1,0.2,3.3,2  ,30.1,2016,28.2  ,67  ,15  ,67   ,15   ,11.63 ,-0.28 ,11.35 ,115.6  ,104    ,11.6   ,99.8   ,0.259 ,0.359  ,0.597 ,0.563  ,13.2   ,22.8   ,0.204    ,0.486     ,13.5      ,74.9   ,0.198       ,0.817
7710 ,Shaquille O'Neal     ,27 ,LAL,79,79,0.9975   ,1       ,40  ,12.1,21.1,0.5735,0  ,0   ,0     ,12.1,21.1,0.5735,0.5735,5.5,10.4,0.5288,4.3,9.4 ,13.6,3.8 ,0.5,3  ,2.8,3.2,29.7,2000,29.2  ,56  ,26  ,51   ,31   ,3.38  ,0.37  ,3.74  ,108.4  ,104.8  ,3.6    ,91.7   ,0.349 ,0.191  ,0.535 ,0.498  ,13.3   ,31.1   ,0.238    ,0.468     ,12.2      ,72.5   ,0.234       ,0.683
13183,LeBron James         ,28 ,MIA,76,76,0.9975   ,1       ,37.9,10.1,17.8,0.5674,1.4,3.3 ,0.4242,8.7 ,14.5,0.6   ,0.6067,5.3,7   ,0.7571,1.3,6.8 ,8   ,7.3 ,1.7,0.9,3  ,1.4,26.8,2013,30.6  ,54  ,28  ,54   ,28   ,4.76  ,-0.61 ,4.15  ,110.9  ,105.8  ,5.1    ,91.2   ,0.3   ,0.292  ,0.59  ,0.554  ,14.6   ,20.6   ,0.228    ,0.511     ,15.8      ,73     ,0.212       ,0.659
9309 ,Kevin Garnett        ,27 ,MIN,82,82,0.9911   ,1       ,39.4,9.8 ,19.6,0.5   ,0.1,0.5 ,0.2   ,9.7 ,19.1,0.5079,0.5026,4.5,5.7 ,0.7895,3  ,10.9,13.9,5   ,1.5,2.2,2.6,2.5,24.2,2004,29    ,44  ,38  ,45   ,37   ,1.45  ,0.28  ,1.73  ,108.2  ,106.6  ,1.6    ,89.1   ,0.275 ,0.173  ,0.534 ,0.489  ,12.7   ,28.6   ,0.219    ,0.472     ,11.2      ,71.4   ,0.208       ,0.537
5843 ,Michael Jordan       ,32 ,CHI,82,82,0.9858   ,1       ,37.7,11.2,22.6,0.4956,1.4,3.2 ,0.4375,9.8 ,19.4,0.5052,0.5265,6.7,8   ,0.8375,1.8,4.8 ,6.6 ,4.3 ,2.2,0.5,2.4,2.4,30.4,1996,30.7  ,69  ,13  ,68   ,14   ,10.8  ,-0.11 ,10.7  ,114.4  ,102.4  ,12     ,90     ,0.267 ,0.203  ,0.547 ,0.511  ,12.5   ,35.9   ,0.199    ,0.471     ,14.8      ,69.3   ,0.196       ,0.841
13625,Kevin Durant         ,25 ,OKC,81,81,0.9856   ,1       ,38.5,10.5,20.8,0.5048,2.4,6.1 ,0.3934,8.1 ,14.8,0.5473,0.5625,8.7,9.9 ,0.8788,0.7,6.7 ,7.4 ,5.5 ,1.3,0.7,3.5,2.1,32  ,2014,25.4  ,45  ,37  ,47   ,35   ,2.18  ,0.28  ,2.47  ,107.8  ,105.5  ,2.3    ,95.7   ,0.284 ,0.262  ,0.532 ,0.492  ,13.1   ,28.9   ,0.214    ,0.489     ,12.4      ,75.6   ,0.213       ,0.549
1923 ,Larry Bird           ,29 ,BOS,82,81,0.9808   ,1       ,38  ,9.7 ,19.6,0.4949,1  ,2.4 ,0.4167,8.7 ,17.2,0.5058,0.5204,5.4,6   ,0.9   ,2.3,7.5 ,9.8 ,6.8 ,2  ,0.6,3.2,2.2,25.8,1986,29.4  ,59  ,23  ,57   ,25   ,6.65  ,-0.08 ,6.57  ,113.5  ,106.8  ,6.7    ,98.6   ,0.305 ,0.08   ,0.577 ,0.532  ,14     ,29     ,0.247    ,0.471     ,12        ,67.6   ,0.217       ,0.72
12117,LeBron James         ,25 ,CLE,76,76,0.9797   ,1       ,39  ,10.1,20.1,0.5025,1.7,5.1 ,0.3333,8.4 ,15  ,0.56  ,0.5448,7.8,10.2,0.7647,0.9,6.4 ,7.3 ,8.6 ,1.6,1  ,3.4,1.6,29.7,2010,26.6  ,19  ,63  ,18   ,64   ,-9.01 ,0.14  ,-8.88 ,102.2  ,111.8  ,-9.6   ,93     ,0.312 ,0.224  ,0.518 ,0.472  ,13.4   ,24.2   ,0.233    ,0.524     ,12.7      ,73.3   ,0.211       ,0.232
12364,Derrick Rose         ,22 ,CHI,81,81,0.9769   ,1       ,37.4,8.8 ,19.7,0.4467,1.6,4.8 ,0.3333,7.2 ,15  ,0.48  ,0.4873,5.9,6.9 ,0.8551,1  ,3.1 ,4.1 ,7.7 ,1  ,0.6,3.4,1.7,25  ,2011,27.1  ,50  ,16  ,51   ,15   ,8.18  ,-0.76 ,7.43  ,107.4  ,98.3   ,9.1    ,89.1   ,0.255 ,0.205  ,0.523 ,0.49   ,13.2   ,32.6   ,0.184    ,0.45      ,12.8      ,74.3   ,0.175       ,0.758
11463,LeBron James         ,24 ,CLE,81,81,0.9686   ,1       ,37.7,9.7 ,19.9,0.4874,1.6,4.7 ,0.3404,8.1 ,15.2,0.5329,0.5276,7.3,9.4 ,0.7766,1.3,6.3 ,7.6 ,7.2 ,1.7,1.1,3  ,1.7,28.4,2009,28    ,61  ,21  ,59   ,23   ,6.52  ,-0.36 ,6.17  ,111.2  ,104.1  ,7.1    ,91.4   ,0.341 ,0.248  ,0.57  ,0.532  ,13.4   ,25.1   ,0.246    ,0.482     ,12.3      ,77.2   ,0.218       ,0.744
