Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983-84,21,POR,NBA,SG,82,3,17.2,3.1,6.8,.451,0.0,0.0,.250,3.1,6.8,.452,.452,1.5,2.1,.728,1.4,1.5,2.9,1.9,1.3,0.4,1.5,2.5,7.7
1984-85,22,POR,NBA,SG,80,43,31.9,7.2,14.5,.494,0.1,0.5,.216,7.1,14.1,.503,.497,2.8,3.7,.759,2.7,3.2,6.0,5.5,2.2,0.9,2.8,3.3,17.2
1985-86,23,POR,NBA,SG,75,58,34.3,7.2,15.2,.475,0.2,0.8,.200,7.1,14.4,.490,.480,3.9,5.1,.769,2.3,3.3,5.6,8.0,2.6,0.6,3.8,3.6,18.5
1986-87,24,POR,NBA,SG,82,82,38.0,8.6,17.2,.502,0.1,0.6,.234,8.5,16.6,.511,.506,4.4,5.7,.760,2.8,3.5,6.3,6.9,2.5,0.9,3.1,3.4,21.7
1987-88,25,POR,NBA,SG,81,80,37.8,10.5,20.7,.506,0.1,0.6,.212,10.3,20.1,.515,.509,5.9,7.2,.811,3.2,3.4,6.6,5.8,2.5,0.6,2.9,3.1,27.0
1988-89,26,POR,NBA,SG,78,78,39.3,10.6,21.4,.496,0.3,1.3,.260,10.3,20.1,.511,.504,5.6,7.0,.799,3.7,4.2,7.9,5.8,2.7,0.7,3.2,3.4,27.2
1989-90,27,POR,NBA,SG,73,73,36.8,9.2,18.6,.494,0.4,1.5,.283,8.8,17.1,.512,.505,4.6,5.9,.774,2.8,4.1,6.9,5.9,2.0,0.7,2.6,3.0,23.3
1990-91,28,POR,NBA,SG,82,82,34.8,7.9,16.3,.482,0.7,2.3,.319,7.1,14.0,.509,.505,5.1,6.4,.794,2.6,4.1,6.7,6.0,1.8,0.7,2.8,2.8,21.5
1991-92,29,POR,NBA,SG,76,76,36.2,9.1,19.4,.470,1.5,4.4,.337,7.6,15.0,.510,.509,5.3,6.6,.794,2.2,4.4,6.6,6.7,1.8,0.9,3.2,3.0,25.0
1992-93,30,POR,NBA,SG,49,49,34.1,7.1,16.7,.429,0.6,2.7,.233,6.5,13.9,.467,.448,5.0,6.0,.839,2.6,3.7,6.3,5.7,1.9,0.8,2.3,3.2,19.9
1993-94,31,POR,NBA,SG,68,68,34.3,7.0,16.3,.428,1.0,3.2,.324,5.9,13.0,.454,.460,4.2,5.4,.777,2.3,4.3,6.5,4.9,1.4,0.5,2.5,3.0,19.2
1994-95,32,TOT,NBA,SG,76,75,35.9,7.5,16.3,.461,1.9,5.4,.360,5.6,10.9,.511,.521,4.8,5.8,.824,2.0,4.3,6.3,4.8,1.8,0.6,2.4,2.7,21.8
1994-95,32,POR,NBA,SG,41,41,34.8,7.4,17.4,.428,2.1,5.9,.363,5.3,11.5,.462,.489,5.0,6.0,.835,2.0,3.7,5.7,5.1,1.8,0.5,2.4,2.9,22.0
1994-95,32,HOU,NBA,SG,35,34,37.1,7.6,15.0,.506,1.7,4.8,.357,5.9,10.2,.575,.563,4.5,5.5,.809,1.9,5.1,7.0,4.4,1.8,0.7,2.5,2.5,21.4
1995-96,33,HOU,NBA,SG,52,51,38.4,6.4,14.7,.433,1.5,4.5,.332,4.9,10.2,.478,.484,5.1,6.5,.784,1.9,5.3,7.2,5.8,2.0,0.5,2.6,2.9,19.3
1996-97,34,HOU,NBA,SG,62,62,36.6,6.4,14.5,.442,1.9,5.4,.355,4.5,9.1,.493,.508,3.2,4.3,.750,1.9,4.1,6.0,5.7,1.9,0.6,2.5,2.4,18.0
1997-98,35,HOU,NBA,SG,70,70,35.3,6.5,15.1,.427,1.5,4.8,.317,4.9,10.4,.477,.477,4.0,4.9,.801,1.5,3.4,4.9,5.5,1.8,0.6,2.7,2.8,18.4
