Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990-91,22,SEA,NBA,PG,82,82,27.4,3.2,7.0,.450,0.0,0.2,.077,3.1,6.9,.459,.451,0.8,1.2,.711,1.3,1.6,3.0,6.4,2.0,0.2,2.2,3.0,7.2
1991-92,23,SEA,NBA,PG,81,79,31.5,4.1,9.1,.451,0.0,0.3,.130,4.0,8.8,.461,.453,1.2,1.8,.669,1.5,2.1,3.6,6.2,1.8,0.3,2.1,3.1,9.4
1992-93,24,SEA,NBA,PG,82,78,31.1,5.8,11.7,.494,0.1,0.4,.206,5.7,11.3,.505,.498,1.8,2.4,.770,1.2,2.3,3.4,4.9,2.2,0.3,1.8,3.0,13.5
1993-94,25,SEA,NBA,PG,82,82,35.1,7.1,14.1,.504,0.2,0.7,.278,6.9,13.5,.515,.510,2.0,3.4,.595,1.3,2.0,3.3,6.0,2.3,0.2,2.1,2.8,16.5
1994-95,26,SEA,NBA,PG,82,82,36.8,8.4,16.4,.509,0.9,2.8,.302,7.5,13.6,.553,.535,3.0,4.2,.716,1.3,2.1,3.4,7.1,2.5,0.2,2.5,2.5,20.6
1995-96,27,SEA,NBA,PG,81,81,39.0,7.6,15.8,.484,1.2,3.7,.328,6.4,12.1,.532,.523,2.8,3.8,.748,1.3,2.9,4.2,7.5,2.9,0.2,3.2,2.7,19.3
1996-97,28,SEA,NBA,PG,82,82,39.2,8.6,18.1,.476,1.5,4.6,.313,7.2,13.4,.533,.517,3.1,4.3,.715,1.3,3.3,4.6,7.1,2.4,0.2,2.6,2.5,21.8
1997-98,29,SEA,NBA,PG,82,82,38.4,7.1,15.6,.453,1.6,4.8,.338,5.4,10.7,.505,.505,3.4,4.6,.744,0.9,3.6,4.6,8.3,2.3,0.2,2.8,2.4,19.2
1998-99,30,SEA,NBA,PG,50,50,40.2,8.0,18.5,.434,1.7,5.6,.295,6.4,12.8,.495,.479,4.0,5.5,.721,1.2,3.6,4.9,8.7,2.2,0.2,3.1,2.3,21.7
1999-00,31,SEA,NBA,PG,82,82,41.8,9.1,20.3,.448,2.2,6.3,.340,7.0,14.0,.497,.502,3.8,5.2,.735,1.2,5.2,6.5,8.9,1.9,0.2,2.7,2.2,24.2
2000-01,32,SEA,NBA,PG,79,79,41.1,9.2,20.1,.456,1.3,3.4,.375,7.9,16.7,.472,.488,3.4,4.5,.766,0.9,3.6,4.6,8.1,1.6,0.3,2.6,2.3,23.1
2001-02,33,SEA,NBA,PG,82,82,40.3,9.0,19.2,.467,0.9,2.9,.314,8.1,16.4,.494,.490,3.3,4.1,.797,1.0,3.9,4.8,9.0,1.6,0.3,2.5,2.2,22.1
2002-03,34,TOT,NBA,PG,80,80,40.1,8.3,18.3,.454,0.7,2.3,.297,7.6,16.1,.476,.472,3.1,4.4,.710,1.0,3.2,4.2,8.3,1.7,0.3,2.3,2.3,20.4
2002-03,34,SEA,NBA,PG,52,52,40.8,8.5,19.1,.448,0.7,2.2,.298,7.9,16.9,.467,.465,3.1,4.5,.692,1.1,3.7,4.8,8.8,1.8,0.2,2.5,2.3,20.8
2002-03,34,MIL,NBA,PG,28,28,38.8,7.9,16.9,.466,0.7,2.4,.294,7.2,14.5,.495,.487,3.1,4.2,.746,0.8,2.3,3.1,7.4,1.4,0.3,2.0,2.3,19.6
2003-04,35,LAL,NBA,PG,82,82,34.5,5.9,12.5,.471,0.7,2.0,.333,5.2,10.5,.497,.498,2.2,3.1,.714,0.9,3.3,4.2,5.5,1.2,0.2,1.8,2.1,14.6
2004-05,36,BOS,NBA,PG,77,77,33.0,4.4,9.4,.468,0.5,1.7,.326,3.9,7.7,.498,.497,2.0,2.6,.761,0.6,2.4,3.1,6.1,1.1,0.2,1.9,1.6,11.3
2005-06,37,MIA,NBA,PG,81,25,28.5,2.8,6.8,.420,0.8,2.8,.287,2.0,3.9,.517,.481,1.2,1.6,.794,0.4,2.5,2.9,3.2,0.9,0.1,1.3,2.1,7.7
2006-07,38,MIA,NBA,PG,68,28,22.1,2.1,5.4,.393,0.5,1.8,.260,1.6,3.6,.461,.437,0.6,0.8,.667,0.3,1.7,1.9,3.0,0.6,0.0,1.0,1.7,5.3
