Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,22,MIL,NBA,C,82,,43.1,11.4,22.1,.518,,,,11.4,22.1,.518,.518,5.9,9.1,.653,,,14.5,4.1,,,,3.5,28.8
1970-71,23,MIL,NBA,C,82,,40.1,13.0,22.5,.577,,,,13.0,22.5,.577,.577,5.7,8.3,.690,,,16.0,3.3,,,,3.2,31.7
1971-72,24,MIL,NBA,C,81,,44.2,14.3,24.9,.574,,,,14.3,24.9,.574,.574,6.2,9.0,.689,,,16.6,4.6,,,,2.9,34.8
1972-73,25,MIL,NBA,C,76,,42.8,12.9,23.3,.554,,,,12.9,23.3,.554,.554,4.3,6.1,.713,,,16.1,5.0,,,,2.7,30.2
1973-74,26,MIL,NBA,C,81,,43.8,11.7,21.7,.539,,,,11.7,21.7,.539,.539,3.6,5.2,.702,3.5,11.0,14.5,4.8,1.4,3.5,,2.9,27.0
1974-75,27,MIL,NBA,C,65,,42.3,12.5,24.4,.513,,,,12.5,24.4,.513,.513,5.0,6.6,.763,3.0,11.0,14.0,4.1,1.0,3.3,,3.2,30.0
1975-76,28,LAL,NBA,C,82,,41.2,11.1,21.1,.529,,,,11.1,21.1,.529,.529,5.5,7.8,.703,3.3,13.5,16.9,5.0,1.5,4.1,,3.6,27.7
1976-77,29,LAL,NBA,C,82,,36.8,10.8,18.7,.579,,,,10.8,18.7,.579,.579,4.6,6.5,.701,3.2,10.0,13.3,3.9,1.2,3.2,,3.2,26.2
1977-78,30,LAL,NBA,C,62,,36.5,10.7,19.4,.550,,,,10.7,19.4,.550,.550,4.4,5.6,.783,3.0,9.9,12.9,4.3,1.7,3.0,3.4,2.9,25.8
1978-79,31,LAL,NBA,C,80,,39.5,9.7,16.8,.577,,,,9.7,16.8,.577,.577,4.4,5.9,.736,2.6,10.2,12.8,5.4,1.0,4.0,3.5,2.9,23.8
1979-80,32,LAL,NBA,C,82,,38.3,10.2,16.9,.604,0.0,0.0,.000,10.2,16.9,.604,.604,4.4,5.8,.765,2.3,8.5,10.8,4.5,1.0,3.4,3.6,2.6,24.8
1980-81,33,LAL,NBA,C,80,,37.2,10.5,18.2,.574,0.0,0.0,.000,10.5,18.2,.574,.574,5.3,6.9,.766,2.5,7.8,10.3,3.4,0.7,2.9,3.1,3.1,26.2
1981-82,34,LAL,NBA,C,76,76,35.2,9.9,17.1,.579,0.0,0.0,.000,9.9,17.1,.580,.579,4.1,5.8,.706,2.3,6.4,8.7,3.0,0.8,2.7,3.0,2.9,23.9
1982-83,35,LAL,NBA,C,79,79,32.3,9.1,15.5,.588,0.0,0.0,.000,9.1,15.5,.589,.588,3.5,4.7,.749,2.1,5.4,7.5,2.5,0.8,2.2,2.5,2.8,21.8
1983-84,36,LAL,NBA,C,80,80,32.8,9.0,15.5,.578,0.0,0.0,.000,9.0,15.5,.579,.578,3.6,4.9,.723,2.1,5.2,7.3,2.6,0.7,1.8,2.8,2.6,21.5
1984-85,37,LAL,NBA,C,79,79,33.3,9.2,15.3,.599,0.0,0.0,.000,9.2,15.3,.600,.599,3.7,5.0,.732,2.1,5.8,7.9,3.2,0.8,2.1,2.5,3.0,22.0
1985-86,38,LAL,NBA,C,79,79,33.3,9.6,16.9,.564,0.0,0.0,.000,9.6,16.9,.565,.564,4.3,5.6,.765,1.7,4.4,6.1,3.5,0.8,1.6,2.6,3.1,23.4
1986-87,39,LAL,NBA,C,78,78,31.3,7.2,12.7,.564,0.0,0.0,.333,7.2,12.7,.565,.564,3.1,4.4,.714,1.9,4.8,6.7,2.6,0.6,1.2,2.4,3.1,17.5
1987-88,40,LAL,NBA,C,80,80,28.9,6.0,11.3,.532,0.0,0.0,.000,6.0,11.3,.532,.532,2.6,3.4,.762,1.5,4.5,6.0,1.7,0.6,1.2,2.0,2.7,14.6
1988-89,41,LAL,NBA,C,74,74,22.9,4.2,8.9,.475,0.0,0.0,.000,4.2,8.9,.477,.475,1.6,2.2,.739,1.4,3.1,4.5,1.0,0.5,1.1,1.3,2.6,10.1
