,Player,Age,Tm,First,Pts Won,Pts Max,Share,Year
0,David Robinson,29,SAS,73.0,901.0,1050,0.858,1995
1,Shaquille O'Neal,22,ORL,12.0,605.0,1050,0.576,1995
2,Karl Malone,31,UTA,14.0,532.0,1050,0.507,1995
3,Patrick Ewing,32,NYK,2.0,230.0,1050,0.219,1995
4,Hakeem Olajuwon,32,HOU,1.0,147.0,1050,0.14,1995
5,Charles Barkley,31,PHO,1.0,96.0,1050,0.091,1995
6,Scottie Pippen,29,CHI,1.0,83.0,1050,0.079,1995
7,John Stockton,32,UTA,1.0,47.0,1050,0.045,1995
8,Gary Payton,26,SEA,0.0,34.0,1050,0.032,1995
9,Anfernee Hardaway,23,ORL,0.0,23.0,1050,0.022,1995
10,Michael Jordan,31,CHI,0.0,12.0,1050,0.011,1995
11,Dennis Rodman,33,SAS,0.0,9.0,1050,0.009,1995
12,Jason Kidd,21,DAL,0.0,7.0,1050,0.007,1995
13,Clyde Drexler,32,TOT,0.0,3.0,1050,0.003,1995
14,Cedric Ceballos,25,LAL,0.0,1.0,1050,0.001,1995
