,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1946-11-02,1,CHS,NYK,1,63,47,21,,,,,,21,,,,,,,,,20,16,,,,,,15,,,,,,,,,21,,,,,,,,,,,,,,,,,,,1947,16,5,,,,,,6,,,,,,,,,-1
1,2,1946-11-05,2,CHS,BOS,1,57,55,24,,,,,,9,23.0,0.391,,,,,,,14,23,,,,,,9,17.0,0.529,,,,,,,17,,,,,,,,,,,,,,,,,,,1947,2,1,,,,,,0,6.0,-0.138,,,,,,,-3
2,3,1946-11-07,2,CHS,PRO,2,65,73,27,,,,,,11,24.0,0.458,,,,,,,14,31,,,,,,11,18.0,0.611,,,,,,,20,,,,,,,,,,,,,,,,,,,1947,-8,-4,,,,,,0,6.0,-0.15299999999999997,,,,,,,-6
3,4,1946-11-09,1,CHS,TRH,1,62,54,22,,,,,,18,28.0,0.643,,,,,,,22,19,,,,,,16,28.0,0.571,,,,,,,23,,,,,,,,,,,,,,,,,,,1947,8,3,,,,,,2,0.0,0.07200000000000006,,,,,,,-1
4,5,1946-11-11,2,CHS,NYK,1,78,68,30,,,,,,18,30.0,0.6,,,,,,,21,26,,,,,,16,27.0,0.593,,,,,,,25,,,,,,,,,,,,,,,,,,,1947,10,4,,,,,,2,3.0,0.007000000000000006,,,,,,,-4
5,6,1946-11-13,1,CHS,BOS,1,71,61,29,,,,,,13,,,,,,,,,21,22,,,,,,17,,,,,,,,,15,,,,,,,,,,,,,,,,,,,1947,10,7,,,,,,-4,,,,,,,,,6
6,7,1946-11-16,1,CHS,WSC,2,65,73,21,,,,,,23,,,,,,,,,24,27,,,,,,19,,,,,,,,,31,,,,,,,,,,,,,,,,,,,1947,-8,-6,,,,,,4,,,,,,,,,-7
7,8,1946-11-17,2,CHS,CLR,1,78,76,30,,,,,,18,24.0,0.75,,,,,,,17,32,,,,,,12,14.0,0.857,,,,,,,21,,,,,,,,,,,,,,,,,,,1947,2,-2,,,,,,6,10.0,-0.10699999999999998,,,,,,,-4
8,9,1946-11-20,2,CHS,NYK,2,69,72,27,,,,,,15,24.0,0.625,,,,,,,26,26,,,,,,20,30.0,0.667,,,,,,,18,,,,,,,,,,,,,,,,,,,1947,-3,1,,,,,,-5,-6.0,-0.04200000000000004,,,,,,,8
9,10,1946-11-21,2,CHS,PHW,1,65,63,27,,,,,,11,15.0,0.733,,,,,,,23,23,,,,,,17,27.0,0.63,,,,,,,12,,,,,,,,,,,,,,,,,,,1947,2,4,,,,,,-6,-12.0,0.10299999999999998,,,,,,,11
