,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1946-11-03,1,CLR,TRH,1,71,60,24,,,,,,23,35.0,0.657,,,,,,,23.0,21,,,,,,18,27.0,0.667,,,,,,,28.0,,,,,,,,,,,,,,,,,,,1947,11,3,,,,,,5,8.0,-0.010000000000000009,,,,,,,-5.0
1,2,1946-11-10,1,CLR,WSC,1,92,68,42,,,,,,8,17.0,0.471,,,,,,,,24,,,,,,20,34.0,0.588,,,,,,,,,,,,,,,,,,,,,,,,,,1947,24,18,,,,,,-12,-17.0,-0.11699999999999999,,,,,,,
2,3,1946-11-16,2,CLR,STB,2,74,83,29,129.0,0.225,,,,16,24.0,0.667,,,,,,,23.0,35,138.0,0.254,,,,13,22.0,0.591,,,,,,,16.0,,,,0.186,,0.265,,,,,0.225,,,0.124,0.254,,,0.094,1947,-9,-6,-9.0,-0.028999999999999998,,,,3,2.0,0.07600000000000007,,,,,,,7.0
3,4,1946-11-17,1,CLR,CHS,2,76,78,32,,,,,,12,14.0,0.857,,,,,,,21.0,30,,,,,,18,24.0,0.75,,,,,,,17.0,,,,,,,,,,,,,,,,,,,1947,-2,2,,,,,,-6,-10.0,0.10699999999999998,,,,,,,4.0
4,5,1946-11-19,2,CLR,TRH,1,74,72,31,,,,,,12,22.0,0.545,,,,,,,18.0,29,,,,,,14,21.0,0.667,,,,,,,18.0,,,,,,,,,,,,,,,,,,,1947,2,2,,,,,,-2,1.0,-0.122,,,,,,,0.0
5,6,1946-11-23,2,CLR,NYK,2,76,82,32,,,,,,12,22.0,0.545,,,,,,,,34,,,,,,14,29.0,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,1947,-6,-2,,,,,,-2,-7.0,0.062000000000000055,,,,,,,
6,7,1946-11-24,1,CLR,PIT,1,62,60,27,,,,,,8,20.0,0.4,,,,,,,18.0,24,,,,,,12,20.0,0.6,,,,,,,16.0,,,,,,,,,,,,,,,,,,,1947,2,3,,,,,,-4,0.0,-0.19999999999999996,,,,,,,2.0
7,8,1946-11-26,2,CLR,DTF,2,46,66,20,,,,,,6,,,,,,,,,,27,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,-20,-7,,,,,,-6,,,,,,,,,
8,9,1946-11-27,2,CLR,PIT,2,60,62,19,,,,,,22,33.0,0.667,,,,,,,26.0,20,,,,,,22,34.0,0.647,,,,,,,24.0,,,,,,,,,,,,,,,,,,,1947,-2,-1,,,,,,0,-1.0,0.020000000000000018,,,,,,,2.0
9,10,1946-11-29,2,CLR,TRH,1,87,72,33,,,,,,21,28.0,0.75,,,,,,,23.0,27,,,,,,18,25.0,0.72,,,,,,,23.0,,,,,,,,,,,,,,,,,,,1947,15,6,,,,,,3,3.0,0.030000000000000027,,,,,,,0.0
