,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1946-11-02,2,PIT,STB,2,51,56,16,72.0,0.222,,,,19,,,,,,,,,25.0,20,59.0,0.339,,,,16,,,,,,,,,21.0,,,,0.0,,,,,,,0.222,,,0.264,0.339,,,0.271,1947,-5,-4,13.0,-0.11700000000000002,,,,3,,,,,,,,,4.0
1,2,1946-11-04,1,PIT,WSC,2,56,71,19,,,,,,18,,,,,,,,,,22,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,-15,-3,,,,,,-9,,,,,,,,,
2,3,1946-11-07,2,PIT,PHW,2,75,81,29,,,,,,17,28.0,0.607,,,,,,,35.0,28,,,,,,25,39.0,0.641,,,,,,,24.0,,,,,,,,,,,,,,,,,,,1947,-6,1,,,,,,-8,-11.0,-0.03400000000000003,,,,,,,11.0
3,4,1946-11-09,2,PIT,PRO,2,66,76,25,,,,,,16,,,,,,,,,,22,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,-10,3,,,,,,-16,,,,,,,,,
4,5,1946-11-11,1,PIT,PRO,1,84,71,29,,,,,,26,35.0,0.743,,,,,,,32.0,21,,,,,,29,42.0,0.69,,,,,,,28.0,,,,,,,,,,,,,,,,,,,1947,13,8,,,,,,-3,-7.0,0.05300000000000005,,,,,,,4.0
5,6,1946-11-16,2,PIT,NYK,2,62,64,20,,,,,,22,30.0,0.733,,,,,,,,23,,,,,,18,25.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,1947,-2,-3,,,,,,4,5.0,0.013000000000000012,,,,,,,
6,7,1946-11-18,1,PIT,TRH,1,54,48,23,,,,,,8,16.0,0.5,,,,,,,16.0,17,,,,,,14,26.0,0.538,,,,,,,15.0,,,,,,,,,,,,,,,,,,,1947,6,6,,,,,,-6,-10.0,-0.038000000000000034,,,,,,,1.0
7,8,1946-11-20,2,PIT,DTF,1,54,53,22,,,,,,10,13.0,0.769,,,,,,,14.0,22,,,,,,9,15.0,0.6,,,,,,,11.0,,,,,,,,,,,,,,,,,,,1947,1,0,,,,,,1,-2.0,0.16900000000000004,,,,,,,3.0
8,9,1946-11-24,2,PIT,CLR,2,60,62,24,,,,,,12,20.0,0.6,,,,,,,16.0,27,,,,,,8,20.0,0.4,,,,,,,18.0,,,,,,,,,,,,,,,,,,,1947,-2,-3,,,,,,4,0.0,0.19999999999999996,,,,,,,-2.0
9,10,1946-11-25,1,PIT,NYK,2,46,62,16,,,,,,14,25.0,0.56,,,,,,,24.0,20,,,,,,22,30.0,0.733,,,,,,,24.0,,,,,,,,,,,,,,,,,,,1947,-16,-4,,,,,,-8,-5.0,-0.17299999999999993,,,,,,,0.0
10,11,1946-11-27,1,PIT,CLR,1,62,60,20,,,,,,22,34.0,0.647,,,,,,,24.0,19,,,,,,22,33.0,0.667,,,,,,,26.0,,,,,,,,,,,,,,,,,,,1947,2,1,,,,,,0,1.0,-0.020000000000000018,,,,,,,-2.0
11,12,1946-11-28,2,PIT,BOS,2,55,59,19,,,,,,17,25.0,0.68,,,,,,,26.0,22,,,,,,15,30.0,0.5,,,,,,,17.0,,,,,,,,,,,,,,,,,,,1947,-4,-3,,,,,,2,-5.0,0.18000000000000005,,,,,,,9.0
12,13,1946-11-30,2,PIT,WSC,2,40,49,13,,,,,,14,25.0,0.56,,,,,,,20.0,16,,,,,,17,26.0,0.654,,,,,,,19.0,,,,,,,,,,,,,,,,,,,1947,-9,-3,,,,,,-3,-1.0,-0.09399999999999997,,,,,,,1.0
13,14,1946-12-02,1,PIT,BOS,2,44,46,17,,,,,,10,17.0,0.588,,,,,,,,17,,,,,,12,21.0,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,1947,-2,0,,,,,,-2,-4.0,0.017000000000000015,,,,,,,
14,15,1946-12-04,1,PIT,CHS,2,46,57,16,,,,,,14,24.0,0.583,,,,,,,20.0,21,,,,,,15,22.0,0.682,,,,,,,22.0,,,,,,,,,,,,,,,,,,,1947,-11,-5,,,,,,-1,2.0,-0.09900000000000009,,,,,,,-2.0
15,16,1946-12-05,2,PIT,STB,2,55,66,19,76.0,0.25,,,,17,26.0,0.654,,,,,,,29.0,24,89.0,0.27,,,,18,36.0,0.5,,,,,,,21.0,,,,0.342,,0.315,,,,,0.25,,,0.224,0.27,,,0.202,1947,-11,-5,-13.0,-0.020000000000000018,,,,-1,-10.0,0.15400000000000003,,,,,,,8.0
16,17,1946-12-09,1,PIT,DTF,2,58,66,25,,,,,,8,,,,,,,,,,22,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,-8,3,,,,,,-14,,,,,,,,,
17,18,1946-12-13,2,PIT,TRH,1,62,52,26,,,,,,10,17.0,0.588,,,,,,,14.0,22,,,,,,8,15.0,0.533,,,,,,,15.0,,,,,,,,,,,,,,,,,,,1947,10,4,,,,,,2,2.0,0.05499999999999994,,,,,,,-1.0
18,19,1946-12-15,2,PIT,CHS,2,75,84,26,,,,,,23,38.0,0.605,,,,,,,34.0,29,,,,,,26,39.0,0.667,,,,,,,31.0,,,,,,,,,,,,,,,,,,,1947,-9,-3,,,,,,-3,-1.0,-0.062000000000000055,,,,,,,3.0
19,20,1946-12-16,1,PIT,STB,2,55,66,20,,,,,,15,26.0,0.577,,,,,,,22.0,26,,,,,,14,30.0,0.467,,,,,,,21.0,,,,,,,,,,,,,,,,,,,1947,-11,-6,,,,,,1,-4.0,0.10999999999999993,,,,,,,1.0
28,21,1946-12-22,2,PIT,CLR,1,78,74,30,,,,,,18,25.0,0.72,,,,,,,22.0,29,,,,,,16,27.0,0.593,,,,,,,26.0,,,,,,,,,,,,,,,,,,,1947,4,1,,,,,,2,-2.0,0.127,,,,,,,-4.0
