,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1946-11-01,1,TRH,NYK,2,66,68,25,,,,,,16,29.0,0.552,,,,,,,25.0,24,,,,,,20,26.0,0.769,,,,,,,23.0,,,,,,,,,,,,,,,,,,,1947,-2,1,,,,,,-4,3.0,-0.21699999999999997,,,,,,,2.0
1,2,1946-11-03,2,TRH,CLR,2,60,71,21,,,,,,18,27.0,0.667,,,,,,,28.0,24,,,,,,23,35.0,0.657,,,,,,,23.0,,,,,,,,,,,,,,,,,,,1947,-11,-3,,,,,,-5,-8.0,0.010000000000000009,,,,,,,5.0
2,3,1946-11-08,1,TRH,DTF,1,73,71,31,,,,,,11,26.0,0.423,,,,,,,21.0,28,,,,,,15,23.0,0.652,,,,,,,15.0,,,,,,,,,,,,,,,,,,,1947,2,3,,,,,,-4,3.0,-0.22900000000000004,,,,,,,6.0
3,4,1946-11-09,2,TRH,CHS,2,54,62,19,,,,,,16,28.0,0.571,,,,,,,23.0,22,,,,,,18,28.0,0.643,,,,,,,22.0,,,,,,,,,,,,,,,,,,,1947,-8,-3,,,,,,-2,0.0,-0.07200000000000006,,,,,,,1.0
4,5,1946-11-15,1,TRH,PRO,1,85,68,32,,,,,,21,28.0,0.75,,,,,,,22.0,21,,,,,,26,34.0,0.765,,,,,,,22.0,,,,,,,,,,,,,,,,,,,1947,17,11,,,,,,-5,-6.0,-0.015000000000000013,,,,,,,0.0
5,6,1946-11-16,2,TRH,BOS,2,49,53,16,,,,,,17,30.0,0.567,,,,,,,,18,,,,,,17,24.0,0.708,,,,,,,,,,,,,,,,,,,,,,,,,,1947,-4,-2,,,,,,0,6.0,-0.14100000000000001,,,,,,,
6,7,1946-11-18,2,TRH,PIT,2,48,54,17,,,,,,14,26.0,0.538,,,,,,,15.0,23,,,,,,8,16.0,0.5,,,,,,,16.0,,,,,,,,,,,,,,,,,,,1947,-6,-6,,,,,,6,10.0,0.038000000000000034,,,,,,,-1.0
7,8,1946-11-19,1,TRH,CLR,2,72,74,29,,,,,,14,21.0,0.667,,,,,,,18.0,31,,,,,,12,22.0,0.545,,,,,,,18.0,,,,,,,,,,,,,,,,,,,1947,-2,-2,,,,,,2,-1.0,0.122,,,,,,,0.0
8,9,1946-11-22,1,TRH,BOS,1,83,82,26,,,,,,31,,,,,,,,,32.0,29,,,,,,24,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,1947,1,-3,,,,,,7,,,,,,,,,-7.0
9,10,1946-11-23,2,TRH,WSC,2,50,74,19,,,,,,12,,,,,,,,,,27,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,-24,-8,,,,,,-8,,,,,,,,,
