,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1946-11-02,2,WSC,DTF,1,50,33,18,,,,,,14,,,,,,,,,,10,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,17,8,,,,,,1,,,,,,,,,
1,2,1946-11-04,2,WSC,PIT,1,71,56,22,,,,,,27,,,,,,,,,,19,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,15,3,,,,,,9,,,,,,,,,
2,3,1946-11-09,2,WSC,STB,2,69,70,19,,,,,,31,40.0,0.775,,,,,,,26.0,28,91.0,0.308,,,,14,,,,,,,,,36.0,,,,,,,,,,,,,,,0.308,,,0.154,1947,-1,-9,,,,,,17,,,,,,,,,-10.0
3,4,1946-11-10,2,WSC,CLR,2,68,92,24,,,,,,20,34.0,0.588,,,,,,,,42,,,,,,8,17.0,0.471,,,,,,,,,,,,,,,,,,,,,,,,,,1947,-24,-18,,,,,,12,17.0,0.11699999999999999,,,,,,,
4,5,1946-11-14,2,WSC,PHW,2,65,68,25,,,,,,15,24.0,0.625,,,,,,,19.0,26,,,,,,16,21.0,0.762,,,,,,,21.0,,,,,,,,,,,,,,,,,,,1947,-3,-1,,,,,,-1,3.0,-0.137,,,,,,,-2.0
5,6,1946-11-16,2,WSC,CHS,1,73,65,27,,,,,,19,,,,,,,,,31.0,21,,,,,,23,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,1947,8,6,,,,,,-4,,,,,,,,,7.0
6,7,1946-11-20,1,WSC,STB,1,54,51,23,,,,,,8,,,,,,,,,,22,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,3,1,,,,,,1,,,,,,,,,
7,8,1946-11-21,2,WSC,PRO,1,66,58,25,,,,,,16,24.0,0.667,,,,,,,19.0,22,,,,,,14,20.0,0.7,,,,,,,19.0,,,,,,,,,,,,,,,,,,,1947,8,3,,,,,,2,4.0,-0.03299999999999992,,,,,,,0.0
8,9,1946-11-23,1,WSC,TRH,1,74,50,27,,,,,,20,,,,,,,,,,19,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947,24,8,,,,,,8,,,,,,,,,
9,10,1946-11-26,2,WSC,TRH,1,78,68,28,,,,,,22,29.0,0.759,,,,,,,22.0,24,,,,,,20,27.0,0.741,,,,,,,25.0,,,,,,,,,,,,,,,,,,,1947,10,4,,,,,,2,2.0,0.018000000000000016,,,,,,,-3.0
