,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1947-11-13,2,PRO,PHW,2,64,79,28,,,,,,8,20.0,0.4,,,,,,,29.0,26,129.0,0.202,,,,27,33.0,0.818,,,,,,,17.0,,,,,,,,,,,,,,,0.202,,,0.209,1948,-15,2,,,,,,-19,-13.0,-0.4179999999999999,,,,,,,12.0
1,2,1947-11-15,1,PRO,PHW,2,78,80,32,,,,,,14,21.0,0.667,,,,,,,,28,,,,,,24,33.0,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-2,4,,,,,,-10,-12.0,-0.05999999999999994,,,,,,,
2,3,1947-11-18,1,PRO,NYK,2,69,87,26,,,,,,17,,,,,,,,,,32,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-18,-6,,,,,,-6,,,,,,,,,
3,4,1947-11-20,2,PRO,STB,2,67,73,25,84.0,0.298,,,,17,26.0,0.654,,,,,,,22.0,30,113.0,0.265,,,,13,27.0,0.481,,,,,,,19.0,,,,0.31,,0.351,,,,,0.298,,,0.202,0.265,,,0.115,1948,-6,-5,-29.0,0.032999999999999974,,,,4,-1.0,0.17300000000000004,,,,,,,3.0
4,5,1947-11-22,1,PRO,BOS,2,62,65,22,,,,,,18,,,,,,,,,,27,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-3,-5,,,,,,7,,,,,,,,,
5,6,1947-11-27,1,PRO,BLB,2,61,76,24,,,,,,13,21.0,0.619,,,,,,,,32,,,,,,12,20.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-15,-8,,,,,,1,1.0,0.019000000000000017,,,,,,,
6,7,1947-11-29,2,PRO,WSC,1,85,78,32,,,,,,21,30.0,0.7,,,,,,,27.0,27,,,,,,24,32.0,0.75,,,,,,,26.0,,,,,,,,,,,,,,,,,,,1948,7,5,,,,,,-3,-2.0,-0.050000000000000044,,,,,,,1.0
7,8,1947-12-02,1,PRO,STB,2,66,86,21,,,,,,24,35.0,0.686,,,,,,,23.0,35,,,,,,16,26.0,0.615,,,,,,,28.0,,,,,,,,,,,,,,,,,,,1948,-20,-14,,,,,,8,9.0,0.07100000000000006,,,,,,,-5.0
8,9,1947-12-05,2,PRO,BOS,2,69,73,27,,,,,,15,22.0,0.682,,,,,,,,26,,,,,,21,37.0,0.568,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-4,1,,,,,,-6,-15.0,0.1140000000000001,,,,,,,
9,10,1947-12-06,1,PRO,NYK,2,85,114,34,,,,,,17,,,,,,,,,,46,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-29,-12,,,,,,-5,,,,,,,,,
10,11,1947-12-09,2,PRO,PHW,2,74,78,30,125.0,0.24,,,,14,21.0,0.667,,,8.0,,,,29.0,27,112.0,0.241,,,,24,32.0,0.75,,,5.0,,,,19.0,,,,0.168,,0.276,,26.7,,,0.24,,,0.112,0.241,,,0.214,1948,-4,3,13.0,-0.0010000000000000009,,,,-10,-11.0,-0.08299999999999996,,,3.0,,,,10.0
11,12,1947-12-13,2,PRO,WSC,2,72,88,28,,,,,,16,22.0,0.727,,,,,,,16.0,38,,,,,,12,19.0,0.632,,,,,,,12.0,,,,,,,,,,,,,,,,,,,1948,-16,-10,,,,,,4,3.0,0.09499999999999997,,,,,,,4.0
12,13,1947-12-17,2,PRO,BOS,2,66,67,28,,,,,,10,,,,,,,,,,27,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-1,1,,,,,,-3,,,,,,,,,
13,14,1947-12-20,1,PRO,PHW,2,74,80,32,,,,,,10,17.0,0.588,,,,,,,,29,,,,,,22,37.0,0.595,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-6,3,,,,,,-12,-20.0,-0.007000000000000006,,,,,,,
14,15,1947-12-23,1,PRO,NYK,1,66,58,28,,,,,,10,26.0,0.385,,,,,,,,17,,,,,,24,36.0,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,1948,8,11,,,,,,-14,-10.0,-0.28200000000000003,,,,,,,
15,16,1947-12-25,2,PRO,NYK,2,75,89,30,,,,,,15,,,,,,,,,,37,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-14,-7,,,,,,0,,,,,,,,,
16,17,1947-12-26,2,PRO,PHW,2,61,89,22,122.0,0.18,,,,17,25.0,0.68,,,5.0,,,,28.0,31,94.0,0.33,,,,27,36.0,0.75,,,9.0,,,,20.0,,,,0.205,,0.229,,22.7,,,0.18,,,0.139,0.33,,,0.287,1948,-28,-9,28.0,-0.15000000000000002,,,,-10,-11.0,-0.06999999999999995,,,-4.0,,,,8.0
17,18,1947-12-27,1,PRO,BOS,2,63,74,21,,,,,,21,39.0,0.538,,,,,,,25.0,29,,,,,,16,25.0,0.64,,,,,,,32.0,,,,,,,,,,,,,,,,,,,1948,-11,-8,,,,,,5,14.0,-0.10199999999999998,,,,,,,-7.0
18,19,1947-12-30,1,PRO,CHS,2,73,85,29,,,,,,15,26.0,0.577,,,,,,,,33,,,,,,19,29.0,0.655,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-12,-4,,,,,,-4,-3.0,-0.07800000000000007,,,,,,,
19,20,1948-01-03,1,PRO,CHS,2,76,79,32,,,,,,12,28.0,0.429,,,,,,,28.0,28,,,,,,23,35.0,0.657,,,,,,,25.0,,,,,,,,,,,,,,,,,,,1948,-3,4,,,,,,-11,-7.0,-0.22800000000000004,,,,,,,3.0
28,21,1948-01-06,2,PRO,BLB,2,64,82,24,,,,,,16,26.0,0.615,,,,,,,,32,,,,,,18,26.0,0.692,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-18,-8,,,,,,-2,0.0,-0.07699999999999996,,,,,,,
29,22,1948-01-10,1,PRO,BOS,1,70,57,25,,,,,,20,,,,,,,,,,22,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,13,3,,,,,,7,,,,,,,,,
30,23,1948-01-15,1,PRO,BLB,2,78,98,27,,,,,,24,28.0,0.857,,,,,,,,35,,,,,,28,36.0,0.778,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-20,-8,,,,,,-4,-8.0,0.07899999999999996,,,,,,,
31,24,1948-01-18,2,PRO,STB,2,61,70,25,90.0,0.278,,,,11,19.0,0.579,,,,,,,19.0,26,95.0,0.274,,,,18,23.0,0.783,,,,,,,20.0,,,,0.211,,0.31,,,,,0.278,,,0.122,0.274,,,0.189,1948,-9,-1,-5.0,0.0040000000000000036,,,,-7,-4.0,-0.20400000000000007,,,,,,,-1.0
32,25,1948-01-22,2,PRO,CHS,1,56,50,20,,,,,,16,28.0,0.571,,,,,,,20.0,18,,,,,,14,20.0,0.7,,,,,,,26.0,,,,,,,,,,,,,,,,,,,1948,6,2,,,,,,2,8.0,-0.129,,,,,,,-6.0
33,26,1948-01-24,2,PRO,WSC,2,60,69,25,,,,,,10,19.0,0.526,,,,,,,12.0,29,,,,,,11,16.0,0.688,,,,,,,15.0,,,,,,,,,,,,,,,,,,,1948,-9,-4,,,,,,-1,3.0,-0.16199999999999992,,,,,,,-3.0
34,27,1948-01-27,1,PRO,STB,2,61,94,22,,,,,,17,28.0,0.607,,,,,,,22.0,37,,,,,,20,29.0,0.69,,,,,,,25.0,,,,,,,,,,,,,,,,,,,1948,-33,-15,,,,,,-3,-1.0,-0.08299999999999996,,,,,,,-3.0
35,28,1948-01-28,2,PRO,NYK,2,73,75,29,,,,,,15,,,,,,,,,,29,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-2,0,,,,,,-2,,,,,,,,,
36,29,1948-01-30,2,PRO,BOS,1,79,69,30,,,,,,19,29.0,0.655,,,,,,,22.0,27,,,,,,15,26.0,0.577,,,,,,,24.0,,,,,,,,,,,,,,,,,,,1948,10,3,,,,,,4,3.0,0.07800000000000007,,,,,,,-2.0
37,30,1948-01-31,1,PRO,BLB,2,62,68,24,,,,,,14,19.0,0.737,,,,,,,,26,,,,,,16,21.0,0.762,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-6,-2,,,,,,-2,-2.0,-0.025000000000000022,,,,,,,
38,31,1948-02-03,1,PRO,NYK,2,62,78,25,,,,,,12,,,,,,,,,,33,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-16,-8,,,,,,0,,,,,,,,,
39,32,1948-02-04,2,PRO,NYK,2,69,108,27,,,,,,15,,,,,,,,,,43,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-39,-16,,,,,,-7,,,,,,,,,
40,33,1948-02-05,2,PRO,BLB,2,74,100,29,,,,,,16,26.0,0.615,,,,,,,,40,,,,,,20,24.0,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-26,-11,,,,,,-4,2.0,-0.21799999999999997,,,,,,,
41,34,1948-02-07,1,PRO,WSC,2,64,86,25,,,,,,14,18.0,0.778,,,,,,,13.0,38,,,,,,10,16.0,0.625,,,,,,,12.0,,,,,,,,,,,,,,,,,,,1948,-22,-13,,,,,,4,2.0,0.15300000000000002,,,,,,,1.0
42,35,1948-02-10,2,PRO,WSC,2,60,79,18,,,,,,24,30.0,0.8,,,,,,,,30,,,,,,19,24.0,0.792,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-19,-12,,,,,,5,6.0,0.008000000000000007,,,,,,,
43,36,1948-02-11,2,PRO,NYK,2,63,86,21,,,,,,21,,,,,,,,,,32,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-23,-11,,,,,,-1,,,,,,,,,
44,37,1948-02-13,2,PRO,BOS,2,73,79,26,,,,,,21,29.0,0.724,,,,,,,,29,,,,,,21,33.0,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-6,-3,,,,,,0,-4.0,0.08799999999999997,,,,,,,
45,38,1948-02-15,2,PRO,CHS,1,85,79,28,,,,,,29,43.0,0.674,,,,,,,,27,,,,,,25,38.0,0.658,,,,,,,,,,,,,,,,,,,,,,,,,,1948,6,1,,,,,,4,5.0,0.016000000000000014,,,,,,,
46,39,1948-02-19,2,PRO,STB,2,69,78,27,,,,,,15,27.0,0.556,,,,,,,18.0,31,,,,,,16,19.0,0.842,,,,,,,22.0,,,,,,,,,,,,,,,,,,,1948,-9,-4,,,,,,-1,8.0,-0.2859999999999999,,,,,,,-4.0
47,40,1948-02-21,1,PRO,CHS,2,73,92,29,,,,,,15,23.0,0.652,,,,,,,20.0,39,,,,,,14,28.0,0.5,,,,,,,19.0,,,,,,,,,,,,,,,,,,,1948,-19,-10,,,,,,1,-5.0,0.15200000000000002,,,,,,,1.0
48,41,1948-02-28,1,PRO,PHW,2,82,83,33,,,,,,16,21.0,0.762,,,,,,,,33,,,,,,17,26.0,0.654,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-1,0,,,,,,-1,-5.0,0.10799999999999998,,,,,,,
49,42,1948-03-07,2,PRO,CHS,2,81,89,29,,,,,,23,29.0,0.793,,,,,,,,33,,,,,,23,30.0,0.767,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-8,-4,,,,,,0,-1.0,0.026000000000000023,,,,,,,
50,43,1948-03-09,1,PRO,STB,2,69,75,29,,,,,,11,19.0,0.579,,,,,,,,26,,,,,,23,33.0,0.697,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-6,3,,,,,,-12,-14.0,-0.118,,,,,,,
51,44,1948-03-13,1,PRO,BOS,2,64,86,28,,,,,,8,,,,,,,,,,34,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-22,-6,,,,,,-10,,,,,,,,,
52,45,1948-03-16,1,PRO,PHW,2,78,100,25,109.0,0.229,,,,28,42.0,0.667,,,10.0,,,,28.0,37,96.0,0.385,,,,26,35.0,0.743,,,21.0,,,,31.0,,,,0.385,,0.306,,40.0,,,0.229,,,0.257,0.385,,,0.271,1948,-22,-12,13.0,-0.156,,,,2,7.0,-0.07599999999999996,,,-11.0,,,,-3.0
53,46,1948-03-17,2,PRO,WSC,2,67,82,29,,,,,,9,23.0,0.391,,,,,,,,34,,,,,,14,21.0,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-15,-5,,,,,,-5,2.0,-0.276,,,,,,,
54,47,1948-03-18,2,PRO,PHW,2,57,88,22,105.0,0.21,,,,13,20.0,0.65,,,4.0,,,,17.0,35,115.0,0.304,,,,18,20.0,0.9,,,14.0,,,,17.0,,,,0.19,,0.25,,18.2,,,0.21,,,0.124,0.304,,,0.157,1948,-31,-13,-10.0,-0.094,,,,-5,0.0,-0.25,,,-10.0,,,,0.0
55,48,1948-03-20,2,PRO,BLB,2,58,75,16,,,,,,26,,,,,,,,,,29,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-17,-13,,,,,,9,,,,,,,,,
