,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1947-11-13,2,STB,CHS,2,70,80,23,,,,,,24,31.0,0.774,,,,,,,33.0,29,,,,,,22,41.0,0.537,,,,,,,28.0,,,,,,,,,,,,,,,,,,,1948,-10,-6,,,,,,2,-10.0,0.237,,,,,,,5.0
1,2,1947-11-15,2,STB,NYK,2,67,73,23,,,,,,21,,,,,,,,,,24,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-6,-1,,,,,,-4,,,,,,,,,
2,3,1947-11-18,2,STB,BOS,1,65,50,25,,,,,,15,,,,,,,,,,18,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,15,7,,,,,,1,,,,,,,,,
3,4,1947-11-20,1,STB,PRO,1,73,67,30,113.0,0.265,,,,13,27.0,0.481,,,,,,,19.0,25,84.0,0.298,,,,17,26.0,0.654,,,,,,,22.0,,,,0.239,,0.292,,,,,0.265,,,0.115,0.298,,,0.202,1948,6,5,29.0,-0.032999999999999974,,,,-4,1.0,-0.17300000000000004,,,,,,,-3.0
4,5,1947-11-22,1,STB,WSC,1,70,62,25,,,,,,20,,,,,,,,,,21,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,8,4,,,,,,0,,,,,,,,,
5,6,1947-11-26,2,STB,WSC,2,64,83,22,,,,,,20,22.0,0.909,,,,,,,25.0,30,,,,,,23,33.0,0.697,,,,,,,20.0,,,,,,,,,,,,,,,,,,,1948,-19,-8,,,,,,-3,-11.0,0.21200000000000008,,,,,,,5.0
6,7,1947-11-29,1,STB,BLB,2,67,71,29,,,,,,9,21.0,0.429,,,,,,,,27,,,,,,17,23.0,0.739,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-4,2,,,,,,-8,-2.0,-0.31,,,,,,,
7,8,1947-12-02,2,STB,PRO,1,86,66,35,,,,,,16,26.0,0.615,,,,,,,28.0,21,,,,,,24,35.0,0.686,,,,,,,23.0,,,,,,,,,,,,,,,,,,,1948,20,14,,,,,,-8,-9.0,-0.07100000000000006,,,,,,,5.0
8,9,1947-12-04,2,STB,BLB,1,65,51,27,,,,,,11,22.0,0.5,,,,,,,,18,,,,,,15,19.0,0.789,,,,,,,,,,,,,,,,,,,,,,,,,,1948,14,9,,,,,,-4,3.0,-0.28900000000000003,,,,,,,
9,10,1947-12-08,2,STB,NYK,2,56,71,21,,,,,,14,22.0,0.636,,,,,,,21.0,26,,,,,,19,27.0,0.704,,,,,,,17.0,,,,,,,,,,,,,,,,,,,1948,-15,-5,,,,,,-5,-5.0,-0.06799999999999995,,,,,,,4.0
10,11,1947-12-11,2,STB,PHW,1,74,69,26,106.0,0.245,,,,22,33.0,0.667,,,4.0,,,,31.0,21,78.0,0.269,,,,27,40.0,0.675,,,6.0,,,,29.0,,,,0.311,,0.307,,15.4,,,0.245,,,0.208,0.269,,,0.346,1948,5,5,28.0,-0.02400000000000002,,,,-5,-7.0,-0.008000000000000007,,,-2.0,,,,2.0
11,12,1947-12-12,2,STB,CHS,1,85,75,33,,,,,,19,23.0,0.826,,,,,,,20.0,29,,,,,,17,29.0,0.586,,,,,,,20.0,,,,,,,,,,,,,,,,,,,1948,10,4,,,,,,2,-6.0,0.24,,,,,,,0.0
12,13,1947-12-18,2,STB,BLB,2,67,74,25,,,,,,17,28.0,0.607,,,,,,,,23,,,,,,28,35.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-7,2,,,,,,-11,-7.0,-0.19300000000000006,,,,,,,
13,14,1947-12-19,2,STB,BOS,2,70,78,27,,,,,,16,,,,,,,,,,27,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,-8,0,,,,,,-8,,,,,,,,,
14,15,1947-12-20,2,STB,WSC,1,55,52,19,,,,,,17,20.0,0.85,,,,,,,13.0,21,,,,,,10,14.0,0.714,,,,,,,17.0,,,,,,,,,,,,,,,,,,,1948,3,-2,,,,,,7,6.0,0.136,,,,,,,-4.0
15,16,1947-12-25,1,STB,WSC,2,56,73,19,,,,,,18,,,,,,,,,20.0,27,,,,,,19,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,1948,-17,-8,,,,,,-1,,,,,,,,,0.0
16,17,1947-12-28,1,STB,BLB,1,67,63,24,,,,,,19,26.0,0.731,,,,,,,,22,,,,,,19,25.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,1948,4,2,,,,,,0,1.0,-0.029000000000000026,,,,,,,
17,18,1948-01-01,1,STB,BOS,1,58,48,24,,,,,,10,,,,,,,,,,20,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,10,4,,,,,,2,,,,,,,,,
18,19,1948-01-04,1,STB,PHW,1,80,66,36,103.0,0.35,,,,8,17.0,0.471,,,,,,,27.0,25,92.0,0.272,,,,16,33.0,0.485,,,,,,,16.0,,,,0.165,,0.362,,,,,0.35,,,0.078,0.272,,,0.174,1948,14,11,11.0,0.07799999999999996,,,,-8,-16.0,-0.014000000000000012,,,,,,,11.0
19,20,1948-01-08,1,STB,WSC,1,76,73,32,,,,,,12,,,,,,,,,22.0,28,,,,,,17,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,1948,3,4,,,,,,-5,,,,,,,,,7.0
28,21,1948-01-11,1,STB,BLB,1,69,54,26,,,,,,17,28.0,0.607,,,,,,,,18,,,,,,18,32.0,0.563,,,,,,,,,,,,,,,,,,,,,,,,,,1948,15,8,,,,,,-1,-4.0,0.04400000000000004,,,,,,,
29,22,1948-01-15,1,STB,NYK,2,55,59,21,105.0,0.2,,,,13,17.0,0.765,,,,,,,20.0,21,80.0,0.263,,,,17,26.0,0.654,,,,,,,14.0,,,,0.162,,0.244,,,,,0.2,,,0.124,0.263,,,0.213,1948,-4,0,25.0,-0.063,,,,-4,-9.0,0.11099999999999999,,,,,,,6.0
30,23,1948-01-18,1,STB,PRO,1,70,61,26,95.0,0.274,,,,18,23.0,0.783,,,,,,,20.0,25,90.0,0.278,,,,11,19.0,0.579,,,,,,,19.0,,,,0.242,,0.333,,,,,0.274,,,0.189,0.278,,,0.122,1948,9,1,5.0,-0.0040000000000000036,,,,7,4.0,0.20400000000000007,,,,,,,1.0
31,24,1948-01-20,2,STB,PHW,2,59,82,20,105.0,0.19,,,,19,28.0,0.679,,,5.0,,,,16.0,34,108.0,0.315,,,,14,20.0,0.7,,,11.0,,,,21.0,,,,0.267,,0.251,,25.0,,,0.19,,,0.181,0.315,,,0.13,1948,-23,-14,-3.0,-0.125,,,,5,8.0,-0.020999999999999908,,,-6.0,,,,-5.0
32,25,1948-01-21,2,STB,WSC,2,74,81,26,,,,,,22,27.0,0.815,,,,,,,19.0,31,,,,,,19,23.0,0.826,,,,,,,25.0,,,,,,,,,,,,,,,,,,,1948,-7,-5,,,,,,3,4.0,-0.01100000000000001,,,,,,,-6.0
33,26,1948-01-22,2,STB,BLB,1,71,68,30,,,,,,11,18.0,0.611,,,,,,,,28,,,,,,12,17.0,0.706,,,,,,,,,,,,,,,,,,,,,,,,,,1948,3,2,,,,,,-1,1.0,-0.09499999999999997,,,,,,,
34,27,1948-01-25,1,STB,BOS,1,72,54,22,,,,,,28,,,,,,,,,,15,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948,18,7,,,,,,4,,,,,,,,,
35,28,1948-01-27,2,STB,PRO,1,94,61,37,,,,,,20,29.0,0.69,,,,,,,25.0,22,,,,,,17,28.0,0.607,,,,,,,22.0,,,,,,,,,,,,,,,,,,,1948,33,15,,,,,,3,1.0,0.08299999999999996,,,,,,,3.0
36,29,1948-01-29,1,STB,CHS,1,62,60,27,89.0,0.303,,,,8,14.0,0.571,,,,,,,15.0,24,90.0,0.267,,,,12,17.0,0.706,,,,,,,13.0,,,,0.157,,0.326,,,,,0.303,,,0.09,0.267,,,0.133,1948,2,3,-1.0,0.035999999999999976,,,,-4,-3.0,-0.135,,,,,,,2.0
