,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1949-11-03,1,AND,TRI,1,110,87,40,,,,,,30,36,0.833,,,,,,,,30,,,,,,27,39,0.692,,,,,,,,,,,,,,,,,,,,,,,,,,1950,23,10,,,,,,3,-3,0.14100000000000001,,,,,,,
1,2,1949-11-08,N,AND,STB,1,70,62,26,,,,,,18,20,0.9,,,,,,,,20,,,,,,22,28,0.786,,,,,,,,,,,,,,,,,,,,,,,,,,1950,8,6,,,,,,-4,-8,0.11399999999999999,,,,,,,
2,3,1949-11-09,N,AND,TRI,1,102,99,37,,,,,,28,45,0.622,,,,,,,,35,,,,,,29,39,0.744,,,,,,,,,,,,,,,,,,,,,,,,,,1950,3,2,,,,,,-1,6,-0.122,,,,,,,
3,4,1949-11-12,1,AND,SYR,2,69,84,22,,,,,,25,32,0.781,,,,,,,,31,,,,,,22,30,0.733,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-15,-9,,,,,,3,2,0.04800000000000004,,,,,,,
4,5,1949-11-13,2,AND,WAT,1,81,69,27,,,,,,27,36,0.75,,,,,,,,22,,,,,,25,31,0.806,,,,,,,,,,,,,,,,,,,,,,,,,,1950,12,5,,,,,,2,5,-0.05600000000000005,,,,,,,
5,6,1949-11-15,2,AND,INO,1,83,72,30,,,,,,23,36,0.639,,,,,,,,24,,,,,,24,35,0.686,,,,,,,,,,,,,,,,,,,,,,,,,,1950,11,6,,,,,,-1,1,-0.04700000000000004,,,,,,,
6,7,1949-11-19,1,AND,MNL,1,83,80,27,,,,,,29,41,0.707,,,,,,,29.0,22,,,,,,36,43,0.837,,,,,,,31.0,,,,,,,,,,,,,,,,,,,1950,3,5,,,,,,-7,-2,-0.13,,,,,,,-2.0
7,8,1949-11-21,1,AND,BOS,2,85,99,29,,,,,,27,38,0.711,,,,,,,,36,,,,,,27,42,0.643,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-14,-7,,,,,,0,-4,0.06799999999999995,,,,,,,
8,9,1949-11-24,2,AND,SYR,2,123,125,33,,,,,,57,75,0.76,,,,,,,66.0,33,,,,,,59,86,0.686,,,,,,,56.0,,,,,,,,,,,,,,,,,,,1950,-2,0,,,,,,-2,-11,0.07399999999999995,,,,,,,10.0
9,10,1949-11-26,1,AND,STB,1,73,63,25,,,,,,23,30,0.767,,,,,,,,24,,,,,,15,22,0.682,,,,,,,,,,,,,,,,,,,,,,,,,,1950,10,1,,,,,,8,8,0.08499999999999996,,,,,,,
10,11,1949-11-27,2,AND,SHE,1,111,91,40,89.0,0.449,,,,31,49,0.633,,,26.0,,,,37.0,27,83.0,0.325,,,,37,49,0.755,,,19.0,,,,34.0,,,,0.551,,0.502,,65.0,,,0.449,,,0.348,0.325,,,0.446,1950,20,13,6.0,0.124,,,,-6,0,-0.122,,,7.0,,,,3.0
11,12,1949-11-28,1,AND,WAT,1,101,87,37,,,,,,27,33,0.818,,,,,,,,33,,,,,,21,27,0.778,,,,,,,,,,,,,,,,,,,,,,,,,,1950,14,4,,,,,,6,6,0.039999999999999925,,,,,,,
12,13,1949-12-01,1,AND,TRI,1,81,72,30,,,,,,21,29,0.724,,,,,,,,30,,,,,,12,18,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,1950,9,0,,,,,,9,11,0.05699999999999994,,,,,,,
13,14,1949-12-05,1,AND,SHE,1,88,81,32,,,,,,24,35,0.686,,,,,,,26.0,29,,,,,,23,32,0.719,,,,,,,23.0,,,,,,,,,,,,,,,,,,,1950,7,3,,,,,,1,3,-0.03299999999999992,,,,,,,3.0
14,15,1949-12-08,1,AND,INO,2,69,72,25,,,,,,19,27,0.704,,,,,,,,27,,,,,,18,29,0.621,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-3,-2,,,,,,1,-2,0.08299999999999996,,,,,,,
15,16,1949-12-10,2,AND,WAT,1,87,83,30,,,,,,27,38,0.711,,,,,,,35.0,27,,,,,,29,40,0.725,,,,,,,37.0,,,,,,,,,,,,,,,,,,,1950,4,3,,,,,,-2,-2,-0.014000000000000012,,,,,,,-2.0
16,17,1949-12-12,1,AND,FTW,1,105,97,32,,,,,,41,55,0.745,,,,,,,,31,,,,,,35,43,0.814,,,,,,,,,,,,,,,,,,,,,,,,,,1950,8,1,,,,,,6,12,-0.06899999999999995,,,,,,,
17,18,1949-12-15,1,AND,SYR,1,100,88,33,,,,,,34,50,0.68,,,,,,,,31,,,,,,26,38,0.684,,,,,,,,,,,,,,,,,,,,,,,,,,1950,12,2,,,,,,8,12,-0.0040000000000000036,,,,,,,
18,19,1949-12-17,2,AND,SHE,2,91,110,32,97.0,0.33,,,,27,38,0.711,,,14.0,,,,24.0,46,89.0,0.517,,,,18,27,0.667,,,42.0,,,,33.0,,,,0.392,,0.4,,43.8,,,0.33,,,0.278,0.517,,,0.202,1950,-19,-14,8.0,-0.187,,,,9,11,0.04399999999999993,,,-28.0,,,,-9.0
19,20,1949-12-18,2,AND,TRI,1,78,69,27,,,,,,24,34,0.706,,,,,,,,22,,,,,,25,41,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,1950,9,5,,,,,,-1,-7,0.09599999999999997,,,,,,,
38,21,1949-12-19,1,AND,NYK,2,83,86,30,,,,,,23,32,0.719,,,,,,,,28,,,,,,30,50,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-3,2,,,,,,-7,-18,0.119,,,,,,,
39,22,1949-12-22,1,AND,WAT,1,101,84,36,,,,,,29,43,0.674,,,,,,,,33,,,,,,18,37,0.486,,,,,,,,,,,,,,,,,,,,,,,,,,1950,17,3,,,,,,11,6,0.18800000000000006,,,,,,,
40,23,1949-12-25,2,AND,SYR,2,88,94,31,,,,,,26,32,0.813,,,,,,,29.0,35,,,,,,24,36,0.667,,,,,,,29.0,,,,,,,,,,,,,,,,,,,1950,-6,-4,,,,,,2,-4,0.1459999999999999,,,,,,,0.0
41,24,1949-12-26,1,AND,WSC,1,80,73,27,,,,,,26,33,0.788,,,,,,,,26,,,,,,21,28,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,1950,7,1,,,,,,5,5,0.038000000000000034,,,,,,,
42,25,1949-12-27,2,AND,INO,2,82,89,26,,,,,,30,40,0.75,,,,,,,,33,,,,,,23,33,0.697,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-7,-7,,,,,,7,7,0.05300000000000005,,,,,,,
43,26,1949-12-29,1,AND,CHS,2,80,81,27,,,,,,26,33,0.788,,,,,,,16.0,32,,,,,,17,20,0.85,,,,,,,26.0,,,,,,,,,,,,,,,,,,,1950,-1,-5,,,,,,9,13,-0.061999999999999944,,,,,,,-10.0
44,27,1950-01-01,2,AND,MNL,2,75,87,26,78.0,0.333,,,,23,30,0.767,,,20.0,,,,25.0,33,87.0,0.379,,,,21,29,0.724,,,20.0,,,,23.0,,,,0.385,,0.411,,76.9,,,0.333,,,0.295,0.379,,,0.241,1950,-12,-7,-9.0,-0.045999999999999985,,,,2,1,0.04300000000000004,,,0.0,,,,2.0
45,28,1950-01-02,1,AND,BLB,1,92,75,36,,,,,,20,28,0.714,,,,,,,,26,,,,,,23,30,0.767,,,,,,,,,,,,,,,,,,,,,,,,,,1950,17,10,,,,,,-3,-2,-0.05300000000000005,,,,,,,
46,29,1950-01-04,2,AND,DNN,2,82,86,29,,,,,,24,31,0.774,,,,,,,,25,,,,,,36,48,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-4,4,,,,,,-12,-17,0.02400000000000002,,,,,,,
47,30,1950-01-05,2,AND,DNN,2,69,76,27,,,,,,15,30,0.5,,,,,,,,26,,,,,,24,43,0.558,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-7,1,,,,,,-9,-13,-0.05800000000000005,,,,,,,
48,31,1950-01-09,1,AND,SHE,1,112,89,46,,,,,,20,29,0.69,,,,,,,22.0,32,,,,,,25,31,0.806,,,,,,,26.0,,,,,,,,,,,,,,,,,,,1950,23,14,,,,,,-5,-2,-0.1160000000000001,,,,,,,-4.0
49,32,1950-01-11,2,AND,TRI,2,81,88,26,,,,,,29,37,0.784,,,,,,,,26,,,,,,36,49,0.735,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-7,0,,,,,,-7,-12,0.049000000000000044,,,,,,,
50,33,1950-01-12,1,AND,WAT,1,80,69,26,,,,,,28,36,0.778,,,,,,,,29,,,,,,11,13,0.846,,,,,,,,,,,,,,,,,,,,,,,,,,1950,11,-3,,,,,,17,23,-0.06799999999999995,,,,,,,
51,34,1950-01-15,2,AND,SHE,2,76,81,25,69.0,0.362,,,,26,30,0.867,,,27.0,,,,31.0,29,68.0,0.426,,,,23,38,0.605,,,21.0,,,,24.0,,,,0.435,,0.462,,108.0,,,0.362,,,0.377,0.426,,,0.338,1950,-5,-4,1.0,-0.064,,,,3,-8,0.262,,,6.0,,,,7.0
52,35,1950-01-16,1,AND,DNN,1,95,83,33,,,,,,29,42,0.69,,,,,,,,25,,,,,,33,40,0.825,,,,,,,,,,,,,,,,,,,,,,,,,,1950,12,8,,,,,,-4,2,-0.135,,,,,,,
53,36,1950-01-19,1,AND,ROC,2,78,81,28,,,,,,22,37,0.595,,,,,,,,25,,,,,,31,38,0.816,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-3,3,,,,,,-9,-1,-0.22099999999999997,,,,,,,
54,37,1950-01-21,2,AND,ROC,2,79,95,28,,,,,,23,34,0.676,,,,,,,,32,,,,,,31,42,0.738,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-16,-4,,,,,,-8,-8,-0.061999999999999944,,,,,,,
55,38,1950-01-22,2,AND,SYR,1,77,75,25,,,,,,27,39,0.692,,,,,,,,25,,,,,,25,32,0.781,,,,,,,,,,,,,,,,,,,,,,,,,,1950,2,0,,,,,,2,7,-0.08900000000000008,,,,,,,
56,39,1950-01-23,1,AND,TRI,2,96,99,29,,,,,,38,43,0.884,,,,,,,,34,,,,,,31,42,0.738,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-3,-5,,,,,,7,1,0.14600000000000002,,,,,,,
57,40,1950-01-26,1,AND,DNN,1,109,75,43,,,,,,23,30,0.767,,,,,,,,29,,,,,,17,33,0.515,,,,,,,,,,,,,,,,,,,,,,,,,,1950,34,14,,,,,,6,-3,0.252,,,,,,,
58,41,1950-01-27,1,AND,INO,2,78,91,27,,,,,,24,29,0.828,,,,,,,,35,,,,,,21,27,0.778,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-13,-8,,,,,,3,2,0.04999999999999993,,,,,,,
59,42,1950-01-30,1,AND,SHE,1,91,74,34,,,,,,23,35,0.657,,,,,,,23.0,28,,,,,,18,27,0.667,,,,,,,25.0,,,,,,,,,,,,,,,,,,,1950,17,6,,,,,,5,8,-0.010000000000000009,,,,,,,-2.0
60,43,1950-02-01,2,AND,WAT,1,86,73,31,,,,,,24,36,0.667,,,,,,,,26,,,,,,21,30,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,1950,13,5,,,,,,3,6,-0.03299999999999992,,,,,,,
61,44,1950-02-03,2,AND,BOS,2,98,106,32,,,,,,34,46,0.739,,,,,,,,38,,,,,,30,43,0.698,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-8,-6,,,,,,4,3,0.041000000000000036,,,,,,,
62,45,1950-02-04,2,AND,BLB,2,70,90,29,,,,,,12,20,0.6,,,,,,,,36,,,,,,18,29,0.621,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-20,-7,,,,,,-6,-9,-0.02100000000000002,,,,,,,
63,46,1950-02-05,2,AND,FTW,2,85,95,27,,,,,,31,39,0.795,,,,,,,29.0,34,,,,,,27,38,0.711,,,,,,,36.0,,,,,,,,,,,,,,,,,,,1950,-10,-7,,,,,,4,1,0.08400000000000007,,,,,,,-7.0
64,47,1950-02-06,1,AND,PHW,1,77,75,25,90.0,0.278,,,,27,40,0.675,,,22.0,,,,21.0,27,100.0,0.27,,,,21,28,0.75,,,23.0,,,,27.0,,,,0.444,,0.358,,88.0,,,0.278,,,0.3,0.27,,,0.21,1950,2,-2,-10.0,0.008000000000000007,,,,6,12,-0.07499999999999996,,,-1.0,,,,-6.0
65,48,1950-02-10,2,AND,INO,1,107,76,40,,,,,,27,33,0.818,,,,,,,23.0,28,,,,,,20,30,0.667,,,,,,,23.0,,,,,,,,,,,,,,,,,,,1950,31,12,,,,,,7,3,0.1509999999999999,,,,,,,0.0
66,49,1950-02-11,2,AND,WSC,2,69,81,24,,,,,,21,30,0.7,,,,,,,,30,,,,,,21,23,0.913,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-12,-6,,,,,,0,7,-0.21300000000000008,,,,,,,
67,50,1950-02-13,1,AND,WAT,1,93,80,30,,,,,,33,48,0.688,,,,,,,23.0,30,,,,,,20,30,0.667,,,,,,,32.0,,,,,,,,,,,,,,,,,,,1950,13,0,,,,,,13,18,0.020999999999999908,,,,,,,-9.0
