,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1949-11-01,1,INO,DNN,1,71,64,24,,,,,,23,30,0.767,,,,,,,,19,,,,,,26,31,0.839,,,,,,,,,,,,,,,,,,,,,,,,,,1950,7,5,,,,,,-3,-1,-0.07199999999999995,,,,,,,
1,2,1949-11-08,1,INO,NYK,2,64,79,24,,,,,,16,24,0.667,,,,,,,,27,,,,,,25,33,0.758,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-15,-3,,,,,,-9,-9,-0.09099999999999997,,,,,,,
2,3,1949-11-09,2,INO,SYR,2,73,103,22,,,,,,29,44,0.659,,,,,,,,37,,,,,,29,42,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-30,-15,,,,,,0,2,-0.030999999999999917,,,,,,,
3,4,1949-11-10,2,INO,NYK,1,83,79,28,,,,,,27,37,0.73,,,,,,,,27,,,,,,25,35,0.714,,,,,,,,,,,,,,,,,,,,,,,,,,1950,4,1,,,,,,2,2,0.016000000000000014,,,,,,,
4,5,1949-11-11,2,INO,PHW,1,91,84,35,105.0,0.333,,,,21,33,0.636,,,22.0,,,,28.0,28,92.0,0.304,,,,28,39,0.718,,,14.0,,,,27.0,,,,0.314,,0.381,,62.9,,,0.333,,,0.2,0.304,,,0.304,1950,7,7,13.0,0.029000000000000026,,,,-7,-6,-0.08199999999999996,,,8.0,,,,1.0
5,6,1949-11-12,1,INO,STB,1,94,71,33,,,,,,28,39,0.718,,,,,,,,23,,,,,,25,46,0.543,,,,,,,,,,,,,,,,,,,,,,,,,,1950,23,10,,,,,,3,-7,0.17499999999999993,,,,,,,
6,7,1949-11-13,2,INO,SHE,2,101,104,33,108.0,0.306,,,,35,44,0.795,,,28.0,,,,40.0,33,97.0,0.34,,,,38,49,0.776,,,25.0,,,,37.0,,,,0.407,,0.397,,84.8,,,0.306,,,0.324,0.34,,,0.392,1950,-3,0,11.0,-0.03400000000000003,,,,-3,-5,0.019000000000000017,,,3.0,,,,3.0
7,8,1949-11-15,1,INO,AND,2,72,83,24,,,,,,24,35,0.686,,,,,,,,30,,,,,,23,36,0.639,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-11,-6,,,,,,1,-1,0.04700000000000004,,,,,,,
8,9,1949-11-17,2,INO,BOS,2,68,90,22,,,,,,24,31,0.774,,,,,,,,34,,,,,,22,31,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-22,-12,,,,,,2,0,0.06400000000000006,,,,,,,
9,10,1949-11-19,1,INO,WAT,1,106,74,33,,,,,,40,48,0.833,,,,,,,,20,,,,,,34,46,0.739,,,,,,,,,,,,,,,,,,,,,,,,,,1950,32,13,,,,,,6,2,0.09399999999999997,,,,,,,
