,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1949-11-01,2,SHE,ROC,2,75,108,29,,,,,,17,28,0.607,,,,,,,,44,,,,,,20,25,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-33,-15,,,,,,-3,3,-0.19300000000000006,,,,,,,
1,2,1949-11-03,1,SHE,BOS,1,98,83,34,94.0,0.362,,,,30,40,0.75,,,24.0,,,,34.0,26,86.0,0.302,,,,31,45,0.689,,,16.0,,,,29.0,,,,0.426,,0.439,,70.6,,,0.362,,,0.319,0.302,,,0.36,1950,15,8,8.0,0.06,,,,-1,-5,0.061000000000000054,,,8.0,,,,5.0
2,3,1949-11-06,1,SHE,NYK,1,99,93,36,106.0,0.34,,,,27,38,0.711,,,24.0,,,,,32,84.0,0.381,,,,29,42,0.69,,,20.0,,,,,,,,0.358,,0.403,,66.7,,,0.34,,,0.255,0.381,,,0.345,1950,6,4,22.0,-0.04099999999999998,,,,-2,-4,0.02100000000000002,,,4.0,,,,
3,4,1949-11-10,1,SHE,ROC,1,97,87,31,55.0,0.564,,,,35,44,0.795,,,25.0,,,,37.0,28,80.0,0.35,,,,31,44,0.705,,,25.0,,,,39.0,,,,0.8,,0.652,,80.6,,,0.564,,,0.636,0.35,,,0.388,1950,10,3,-25.0,0.21399999999999997,,,,4,0,0.09000000000000008,,,0.0,,,,-2.0
4,5,1949-11-13,1,SHE,INO,1,104,101,33,97.0,0.34,,,,38,49,0.776,,,25.0,,,,37.0,33,108.0,0.306,,,,35,44,0.795,,,28.0,,,,40.0,,,,0.505,,0.439,,75.8,,,0.34,,,0.392,0.306,,,0.324,1950,3,0,-11.0,0.03400000000000003,,,,3,5,-0.019000000000000017,,,-3.0,,,,-3.0
5,6,1949-11-16,2,SHE,WAT,1,76,73,25,,,,,,26,42,0.619,,,,,,,17.0,31,,,,,,11,22,0.5,,,,,,,30.0,,,,,,,,,,,,,,,,,,,1950,3,-6,,,,,,15,20,0.119,,,,,,,-13.0
6,7,1949-11-17,1,SHE,WAT,1,97,95,29,76.0,0.382,,,,39,51,0.765,,,19.0,,,,32.0,33,71.0,0.465,,,,29,38,0.763,,,24.0,,,,44.0,,,,0.671,,0.493,,65.5,,,0.382,,,0.513,0.465,,,0.408,1950,2,-4,5.0,-0.08300000000000002,,,,10,13,0.0020000000000000018,,,-5.0,,,,-12.0
7,8,1949-11-20,1,SHE,BLB,2,92,97,27,80.0,0.338,,,,38,49,0.776,,,22.0,,,,36.0,32,87.0,0.368,,,,33,42,0.786,,,27.0,,,,40.0,,,,0.613,,0.453,,81.5,,,0.338,,,0.475,0.368,,,0.379,1950,-5,-5,-7.0,-0.02999999999999997,,,,5,7,-0.010000000000000009,,,-5.0,,,,-4.0
8,9,1949-11-24,1,SHE,TRI,1,120,113,33,65.0,0.508,,,,54,71,0.761,,,23.0,,,,38.0,42,118.0,0.356,,,,29,45,0.644,,,27.0,,,,53.0,,,,1.092,,0.623,,69.7,,,0.508,,,0.831,0.356,,,0.246,1950,7,-9,-53.0,0.15200000000000002,,,,25,26,0.11699999999999999,,,-4.0,,,,-15.0
9,10,1949-11-26,2,SHE,INO,2,59,85,17,,,,,,25,41,0.61,,,,,,,20.0,33,,,,,,19,28,0.679,,,,,,,30.0,,,,,,,,,,,,,,,,,,,1950,-26,-16,,,,,,6,13,-0.06900000000000006,,,,,,,-10.0
