,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1949-11-02,1,WAT,NYK,2,60,68,20,,,,,,20,29,0.69,,,,,,,,23,,,,,,22,30,0.733,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-8,-3,,,,,,-2,-1,-0.04300000000000004,,,,,,,
1,2,1949-11-06,1,WAT,BOS,1,80,66,30,,,,,,20,24,0.833,,,,,,,,23,,,,,,20,29,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,1950,14,7,,,,,,0,-5,0.14300000000000002,,,,,,,
2,3,1949-11-09,1,WAT,DNN,1,80,65,29,,,,,,22,30,0.733,,,,,,,,24,,,,,,17,27,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,1950,15,5,,,,,,5,3,0.10299999999999998,,,,,,,
3,4,1949-11-10,2,WAT,FTW,2,59,89,20,,,,,,19,34,0.559,,,,,,,,37,,,,,,15,23,0.652,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-30,-17,,,,,,4,11,-0.09299999999999997,,,,,,,
4,5,1949-11-12,2,WAT,TRI,2,89,99,29,,,,,,31,45,0.689,,,,,,,,34,,,,,,31,49,0.633,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-10,-5,,,,,,0,-4,0.05599999999999994,,,,,,,
5,6,1949-11-13,1,WAT,AND,2,69,81,22,,,,,,25,31,0.806,,,,,,,,27,,,,,,27,36,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-12,-5,,,,,,-2,-5,0.05600000000000005,,,,,,,
6,7,1949-11-16,1,WAT,SHE,2,73,76,31,,,,,,11,22,0.5,,,,,,,30.0,25,,,,,,26,42,0.619,,,,,,,17.0,,,,,,,,,,,,,,,,,,,1950,-3,6,,,,,,-15,-20,-0.119,,,,,,,13.0
7,8,1949-11-17,2,WAT,SHE,2,95,97,33,71.0,0.465,,,,29,38,0.763,,,24.0,,,,44.0,29,76.0,0.382,,,,39,51,0.765,,,19.0,,,,32.0,,,,0.535,,0.541,,72.7,,,0.465,,,0.408,0.382,,,0.513,1950,-2,4,-5.0,0.08300000000000002,,,,-10,-13,-0.0020000000000000018,,,5.0,,,,12.0
8,9,1949-11-19,2,WAT,INO,2,74,106,20,,,,,,34,46,0.739,,,,,,,,33,,,,,,40,48,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,1950,-32,-13,,,,,,-6,-2,-0.09399999999999997,,,,,,,
9,10,1949-11-20,1,WAT,TRI,1,75,62,26,,,,,,23,34,0.676,,,,,,,,23,,,,,,16,26,0.615,,,,,,,,,,,,,,,,,,,,,,,,,,1950,13,3,,,,,,7,8,0.061000000000000054,,,,,,,
