,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1951-11-01,2,BLB,ROC,2,97,101,38,,,,,,21,38,0.553,,,,,,,29,37,,,,,,27,34,0.794,,,,,,,35,,,,,,,,,,,,,,,,,,,1952,-4,1,,,,,,-6,4,-0.241,,,,,,,-6
1,2,1951-11-03,1,BLB,INO,2,86,90,26,,,,,,34,51,0.667,,,,,,,35,29,,,,,,32,43,0.744,,,,,,,37,,,,,,,,,,,,,,,,,,,1952,-4,-3,,,,,,2,8,-0.07699999999999996,,,,,,,-2
2,3,1951-11-05,1,BLB,PHW,1,96,90,31,,,,,,34,43,0.791,,,,,,,23,34,,,,,,22,28,0.786,,,,,,,34,,,,,,,,,,,,,,,,,,,1952,6,-3,,,,,,12,15,0.0050000000000000044,,,,,,,-11
3,4,1951-11-10,1,BLB,SYR,1,91,82,34,,,,,,23,33,0.697,,,,,,,30,26,,,,,,30,40,0.75,,,,,,,28,,,,,,,,,,,,,,,,,,,1952,9,8,,,,,,-7,-7,-0.05300000000000005,,,,,,,2
4,5,1951-11-12,1,BLB,MNL,2,80,90,27,,,,,,26,36,0.722,,,,,,,20,36,,,,,,18,24,0.75,,,,,,,33,,,,,,,,,,,,,,,,,,,1952,-10,-9,,,,,,8,12,-0.028000000000000025,,,,,,,-13
5,6,1951-11-17,1,BLB,BOS,2,75,88,28,,,,,,19,28,0.679,,,,,,,27,33,,,,,,22,30,0.733,,,,,,,22,,,,,,,,,,,,,,,,,,,1952,-13,-5,,,,,,-3,-2,-0.05399999999999994,,,,,,,5
6,7,1951-11-18,2,BLB,SYR,2,68,71,21,,,,,,26,38,0.684,,,,,,,27,19,,,,,,33,40,0.825,,,,,,,33,,,,,,,,,,,,,,,,,,,1952,-3,2,,,,,,-7,-2,-0.1409999999999999,,,,,,,-6
7,8,1951-11-19,1,BLB,MLH,1,71,70,24,,,,,,23,33,0.697,,,,,,,24,26,,,,,,18,29,0.621,,,,,,,29,,,,,,,,,,,,,,,,,,,1952,1,-2,,,,,,5,4,0.07599999999999996,,,,,,,-5
8,9,1951-11-20,N,BLB,NYK,2,86,88,29,,,,,,28,39,0.718,,,,,,,26,34,,,,,,20,34,0.588,,,,,,,31,,,,,,,,,,,,,,,,,,,1952,-2,-5,,,,,,8,5,0.13,,,,,,,-5
9,10,1951-11-24,1,BLB,PHW,1,81,74,30,,,,,,21,34,0.618,,,,,,,33,21,,,,,,32,41,0.78,,,,,,,30,,,,,,,,,,,,,,,,,,,1952,7,9,,,,,,-11,-7,-0.16200000000000003,,,,,,,3
10,11,1951-11-25,2,BLB,FTW,2,66,83,21,,,,,,24,31,0.774,,,,,,,25,30,,,,,,23,31,0.742,,,,,,,27,,,,,,,,,,,,,,,,,,,1952,-17,-9,,,,,,1,0,0.03200000000000003,,,,,,,-2
11,12,1951-11-29,N,BLB,MLH,1,77,64,25,,,,,,27,40,0.675,,,,,,,24,20,,,,,,24,30,0.8,,,,,,,32,,,,,,,,,,,,,,,,,,,1952,13,5,,,,,,3,10,-0.125,,,,,,,-8
12,13,1951-12-01,1,BLB,NYK,1,84,82,32,,,,,,20,26,0.769,,,,,,,17,32,,,,,,18,22,0.818,,,,,,,20,,,,,,,,,,,,,,,,,,,1952,2,0,,,,,,2,4,-0.04899999999999993,,,,,,,-3
13,14,1951-12-02,2,BLB,BOS,2,82,103,29,112.0,0.259,,,,24,37,0.649,,80.0,19.0,,,,30,38,99.0,0.384,,,,27,40,0.675,,71.0,33.0,,,,29,,,,0.33,,0.32,53.0,65.5,,,0.259,,,0.214,0.384,,,0.273,1952,-21,-9,13.0,-0.125,,,,-3,-3,-0.026000000000000023,,9.0,-14.0,,,,1
14,15,1951-12-03,1,BLB,ROC,2,70,77,28,,,,,,14,21,0.667,,,,,,,29,25,,,,,,27,38,0.711,,,,,,,18,,,,,,,,,,,,,,,,,,,1952,-7,3,,,,,,-13,-17,-0.04399999999999993,,,,,,,11
15,16,1951-12-07,2,BLB,INO,2,80,88,32,,,,,,16,25,0.64,,,,,,,17,38,,,,,,12,23,0.522,,,,,,,21,,,,,,,,,,,,,,,,,,,1952,-8,-6,,,,,,4,2,0.118,,,,,,,-4
16,17,1951-12-08,N,BLB,MNL,2,64,85,21,93.0,0.226,,,,22,32,0.688,,,,,,,14,35,84.0,0.417,,,,15,19,0.789,,,,,,,24,,,,0.344,,0.299,,,,,0.226,,,0.237,0.417,,,0.179,1952,-21,-14,9.0,-0.19099999999999998,,,,7,13,-0.10100000000000009,,,,,,,-10
17,18,1951-12-09,2,BLB,MLH,1,73,71,25,,,,,,23,33,0.697,,,,,,,20,30,,,,,,11,23,0.478,,,,,,,26,,,,,,,,,,,,,,,,,,,1952,2,-5,,,,,,12,10,0.21899999999999997,,,,,,,-6
18,19,1951-12-12,2,BLB,MNL,2,79,99,34,89.0,0.382,,,,11,23,0.478,,,,,,,15,42,93.0,0.452,,,,15,20,0.75,,,,,,,22,,,,0.258,,0.399,,,,,0.382,,,0.124,0.452,,,0.161,1952,-20,-8,-4.0,-0.07,,,,-4,3,-0.272,,,,,,,-7
19,20,1951-12-15,1,BLB,FTW,1,90,80,30,,,,,,30,36,0.833,,,,,,,17,35,,,,,,10,18,0.556,,,,,,,27,,,,,,,,,,,,,,,,,,,1952,10,-5,,,,,,20,18,0.2769999999999999,,,,,,,-10
38,21,1951-12-16,2,BLB,ROC,2,95,99,37,,,,,,21,24,0.875,,,,,,,23,37,,,,,,25,32,0.781,,,,,,,19,,,,,,,,,,,,,,,,,,,1952,-4,0,,,,,,-4,-8,0.09399999999999997,,,,,,,4
39,22,1951-12-17,1,BLB,BOS,1,92,80,32,,,,,,28,42,0.667,,,,,,,34,27,,,,,,26,35,0.743,,,,,,,35,,,,,,,,,,,,,,,,,,,1952,12,5,,,,,,2,7,-0.07599999999999996,,,,,,,-1
40,23,1951-12-18,N,BLB,PHW,2,78,82,30,85.0,0.353,,,,18,24,0.75,,51.0,21.0,,,,21,31,93.0,0.333,,,,20,25,0.8,,49.0,22.0,,,,19,,,,0.282,,0.408,51.0,70.0,,,0.353,,,0.212,0.333,,,0.215,1952,-4,-1,-8.0,0.019999999999999962,,,,-2,-1,-0.050000000000000044,,2.0,-1.0,,,,2
41,24,1951-12-21,N,BLB,BOS,2,89,106,31,,,,,,27,32,0.844,,,,,,,24,39,,,,,,28,32,0.875,,,,,,,27,,,,,,,,,,,,,,,,,,,1952,-17,-8,,,,,,-1,0,-0.031000000000000028,,,,,,,-3
42,25,1951-12-22,1,BLB,MNL,2,90,96,32,,,,,,26,35,0.743,,,,,,,23,39,,,,,,18,22,0.818,,,,,,,30,,,,,,,,,,,,,,,,,,,1952,-6,-7,,,,,,8,13,-0.07499999999999996,,,,,,,-7
43,26,1951-12-26,1,BLB,PHW,1,103,99,35,,,,,,33,49,0.673,,,,,,,37,34,,,,,,31,45,0.689,,,,,,,37,,,,,,,,,,,,,,,,,,,1952,4,1,,,,,,2,4,-0.015999999999999903,,,,,,,0
44,27,1951-12-29,1,BLB,INO,1,75,65,24,,,,,,27,31,0.871,,,,,,,22,24,,,,,,17,24,0.708,,,,,,,26,,,,,,,,,,,,,,,,,,,1952,10,0,,,,,,10,7,0.16300000000000003,,,,,,,-4
45,28,1951-12-30,2,BLB,SYR,2,91,108,29,,,,,,33,39,0.846,,,,,,,36,40,,,,,,28,43,0.651,,,,,,,32,,,,,,,,,,,,,,,,,,,1952,-17,-11,,,,,,5,-4,0.19499999999999995,,,,,,,4
46,29,1951-12-31,1,BLB,FTW,2,86,95,25,,,,,,36,43,0.837,,,,,,,35,32,,,,,,31,40,0.775,,,,,,,35,,,,,,,,,,,,,,,,,,,1952,-9,-7,,,,,,5,3,0.061999999999999944,,,,,,,0
47,30,1952-01-04,2,BLB,PHW,2,79,92,27,92.0,0.293,,,,25,38,0.658,,65.0,19.0,,,,35,31,89.0,0.348,,,,30,42,0.714,,66.0,23.0,,,,33,,,,0.413,,0.363,49.6,70.4,,,0.293,,,0.272,0.348,,,0.337,1952,-13,-4,3.0,-0.05499999999999999,,,,-5,-4,-0.05599999999999994,,-1.0,-4.0,,,,2
48,31,1952-01-05,1,BLB,BOS,2,73,94,24,,,,,,25,34,0.735,,,,,,,33,32,,,,,,30,40,0.75,,,,,,,25,,,,,,,,,,,,,,,,,,,1952,-21,-8,,,,,,-5,-6,-0.015000000000000013,,,,,,,8
49,32,1952-01-12,1,BLB,SYR,2,88,92,28,,,,,,32,44,0.727,,,,,,,39,28,,,,,,36,46,0.783,,,,,,,37,,,,,,,,,,,,,,,,,,,1952,-4,0,,,,,,-4,-2,-0.05600000000000005,,,,,,,2
50,33,1952-01-13,2,BLB,FTW,2,71,81,29,97.0,0.299,,,,13,22,0.591,,,24.0,,,,22,32,72.0,0.444,,,,17,25,0.68,,,30.0,,,,19,,,,0.227,,0.333,,82.8,,,0.299,,,0.134,0.444,,,0.236,1952,-10,-3,25.0,-0.14500000000000002,,,,-4,-3,-0.08900000000000008,,,-6.0,,,,3
51,34,1952-01-16,N,BLB,MLH,2,71,77,21,,,,,,29,32,0.906,,,,,,,41,23,,,,,,31,48,0.646,,,,,,,27,,,,,,,,,,,,,,,,,,,1952,-6,-2,,,,,,-2,-16,0.26,,,,,,,14
52,35,1952-01-17,N,BLB,MLH,2,76,87,26,,,,,,24,31,0.774,,,,,,,34,31,,,,,,25,38,0.658,,,,,,,27,,,,,,,,,,,,,,,,,,,1952,-11,-5,,,,,,-1,-7,0.11599999999999999,,,,,,,7
53,36,1952-01-19,1,BLB,INO,1,81,78,29,,,,,,23,34,0.676,,,,,,,29,26,,,,,,26,34,0.765,,,,,,,28,,,,,,,,,,,,,,,,,,,1952,3,3,,,,,,-3,0,-0.08899999999999997,,,,,,,1
54,37,1952-01-20,2,BLB,SYR,2,80,99,26,,,,,,28,36,0.778,,,,,,,32,35,,,,,,29,43,0.674,,,,,,,31,,,,,,,,,,,,,,,,,,,1952,-19,-9,,,,,,-1,-7,0.10399999999999998,,,,,,,1
55,38,1952-01-21,1,BLB,NYK,2,83,99,34,,,,,,15,23,0.652,,,,,,,27,36,,,,,,27,30,0.9,,,,,,,21,,,,,,,,,,,,,,,,,,,1952,-16,-2,,,,,,-12,-7,-0.248,,,,,,,6
56,39,1952-01-23,2,BLB,BOS,2,75,117,31,100.0,0.31,,,,13,19,0.684,,,23.0,,,,18,50,111.0,0.45,,,,16,20,0.8,,,38.0,,,,16,,,,0.19,,0.346,,74.2,,,0.31,,,0.13,0.45,,,0.144,1952,-42,-19,-11.0,-0.14,,,,-3,-1,-0.11599999999999999,,,-15.0,,,,2
57,40,1952-01-26,1,BLB,SYR,2,73,78,24,,,,,,25,34,0.735,,,,,,,26,28,,,,,,22,31,0.71,,,,,,,31,,,,,,,,,,,,,,,,,,,1952,-5,-4,,,,,,3,3,0.025000000000000022,,,,,,,-5
58,41,1952-02-01,2,BLB,PHW,2,79,81,28,73.0,0.384,,,,23,29,0.793,,42.0,21.0,,,,27,29,82.0,0.354,,,,23,29,0.793,,52.0,23.0,,,,23,,,,0.397,,0.461,44.7,75.0,,,0.384,,,0.315,0.354,,,0.28,1952,-2,-1,-9.0,0.030000000000000027,,,,0,0,0.0,,-10.0,-2.0,,,,4
59,42,1952-02-02,1,BLB,FTW,2,63,76,22,,,,,,19,27,0.704,,,,,,,29,25,,,,,,26,34,0.765,,,,,,,19,,,,,,,,,,,,,,,,,,,1952,-13,-3,,,,,,-7,-7,-0.061000000000000054,,,,,,,10
60,43,1952-02-03,2,BLB,SYR,2,73,95,26,,,,,,21,27,0.778,,,,,,,25,34,,,,,,27,34,0.794,,,,,,,23,,,,,,,,,,,,,,,,,,,1952,-22,-8,,,,,,-6,-7,-0.016000000000000014,,,,,,,2
61,44,1952-02-04,1,BLB,NYK,1,82,81,28,,,,,,26,35,0.743,,,,,,,32,25,,,,,,31,40,0.775,,,,,,,30,,,,,,,,,,,,,,,,,,,1952,1,3,,,,,,-5,-5,-0.03200000000000003,,,,,,,2
62,45,1952-02-06,2,BLB,NYK,2,70,73,24,,,,,,22,33,0.667,,,,,,,26,26,,,,,,21,38,0.553,,,,,,,28,,,,,,,,,,,,,,,,,,,1952,-3,-2,,,,,,1,-5,0.11399999999999999,,,,,,,-2
63,46,1952-02-08,N,BLB,NYK,2,83,103,27,82.0,0.329,,,,29,34,0.853,,46.0,20.0,,,,19,42,92.0,0.457,,,,19,27,0.704,,61.0,32.0,,,,26,,,,0.415,,0.428,43.0,74.1,,,0.329,,,0.354,0.457,,,0.207,1952,-20,-15,-10.0,-0.128,,,,10,7,0.14900000000000002,,-15.0,-12.0,,,,-7
64,47,1952-02-09,1,BLB,SYR,1,84,76,27,,,,,,30,47,0.638,,,,,,,36,23,,,,,,30,41,0.732,,,,,,,42,,,,,,,,,,,,,,,,,,,1952,8,4,,,,,,0,6,-0.09399999999999997,,,,,,,-6
65,48,1952-02-10,2,BLB,FTW,1,82,77,26,,,,,,30,38,0.789,,,,,,,18,29,,,,,,19,22,0.864,,,,,,,31,,,,,,,,,,,,,,,,,,,1952,5,-3,,,,,,11,16,-0.07499999999999996,,,,,,,-13
66,49,1952-02-13,1,BLB,ROC,1,96,91,33,,,,,,30,37,0.811,,,,,,,23,35,,,,,,21,31,0.677,,,,,,,31,,,,,,,,,,,,,,,,,,,1952,5,-2,,,,,,9,6,0.134,,,,,,,-8
67,50,1952-02-14,2,BLB,INO,2,66,89,21,,,,,,24,33,0.727,,,,,,,9,39,,,,,,11,13,0.846,,,,,,,26,,,,,,,,,,,,,,,,,,,1952,-23,-18,,,,,,13,20,-0.119,,,,,,,-17
68,51,1952-02-16,2,BLB,NYK,2,82,102,31,,,,,,20,24,0.833,,,,,,,14,43,,,,,,16,18,0.889,,,,,,,21,,,,,,,,,,,,,,,,,,,1952,-20,-12,,,,,,4,6,-0.05600000000000005,,,,,,,-7
69,52,1952-02-17,1,BLB,PHW,2,83,90,28,67.0,0.418,,,,27,38,0.711,,48.0,22.0,,,,27,34,75.0,0.453,,,,22,27,0.815,,46.0,31.0,,,,32,,,,0.567,,0.496,51.1,78.6,,,0.418,,,0.403,0.453,,,0.293,1952,-7,-6,-8.0,-0.03500000000000003,,,,5,11,-0.10399999999999998,,2.0,-9.0,,,,-5
70,53,1952-02-20,1,BLB,MNL,2,78,93,27,,,,,,24,33,0.727,,,,,,,21,37,,,,,,19,24,0.792,,,,,,,25,,,,,,,,,,,,,,,,,,,1952,-15,-10,,,,,,5,9,-0.06500000000000006,,,,,,,-4
71,54,1952-02-23,1,BLB,SYR,1,81,80,26,,,,,,29,35,0.829,,,,,,,27,31,,,,,,18,28,0.643,,,,,,,32,,,,,,,,,,,,,,,,,,,1952,1,-5,,,,,,11,7,0.18599999999999994,,,,,,,-5
72,55,1952-02-24,2,BLB,ROC,2,100,124,36,,,,,,28,34,0.824,,,,,,,25,49,,,,,,26,31,0.839,,,,,,,29,,,,,,,,,,,,,,,,,,,1952,-24,-13,,,,,,2,3,-0.015000000000000013,,,,,,,-4
73,56,1952-02-25,1,BLB,NYK,2,84,89,28,,,,,,28,34,0.824,,,,,,,22,31,,,,,,27,37,0.73,,,,,,,28,,,,,,,,,,,,,,,,,,,1952,-5,-3,,,,,,1,-3,0.09399999999999997,,,,,,,-6
74,57,1952-02-29,2,BLB,PHW,2,86,103,32,84.0,0.381,,,,22,28,0.786,,40.0,24.0,,,,18,41,87.0,0.471,,,,21,22,0.955,,55.0,34.0,,,,19,,,,0.333,,0.446,42.1,75.0,,,0.381,,,0.262,0.471,,,0.241,1952,-17,-9,-3.0,-0.08999999999999997,,,,1,6,-0.16899999999999993,,-15.0,-10.0,,,,-1
75,58,1952-03-01,1,BLB,PHW,1,90,77,34,75.0,0.453,,,,22,27,0.815,,46.0,28.0,,,,36,24,72.0,0.333,,,,29,40,0.725,,44.0,22.0,,,,23,,,,0.36,,0.518,51.1,82.4,,,0.453,,,0.293,0.333,,,0.403,1952,13,10,3.0,0.12,,,,-7,-13,0.08999999999999997,,2.0,6.0,,,,13
76,59,1952-03-03,1,BLB,ROC,1,99,96,30,,,,,,39,48,0.813,,,,,,,36,30,,,,,,36,42,0.857,,,,,,,39,,,,,,,,,,,,,,,,,,,1952,3,0,,,,,,3,6,-0.04400000000000004,,,,,,,-3
77,60,1952-03-04,N,BLB,BOS,2,80,91,29,,,,,,22,26,0.846,,,,,,,36,28,,,,,,35,48,0.729,,,,,,,22,,,,,,,,,,,,,,,,,,,1952,-11,1,,,,,,-13,-22,0.11699999999999999,,,,,,,14
78,61,1952-03-05,N,BLB,NYK,2,82,88,29,,,,,,24,40,0.6,,,,,,,31,30,,,,,,28,37,0.757,,,,,,,34,,,,,,,,,,,,,,,,,,,1952,-6,-1,,,,,,-4,3,-0.15700000000000003,,,,,,,-3
79,62,1952-03-08,1,BLB,BOS,2,77,100,26,,,,,,25,33,0.758,,,,,,,17,43,,,,,,14,23,0.609,,,,,,,28,,,,,,,,,,,,,,,,,,,1952,-23,-17,,,,,,11,10,0.14900000000000002,,,,,,,-11
80,63,1952-03-09,2,BLB,BOS,2,72,89,28,81.0,0.346,,,,16,19,0.842,,,26.0,,,,29,32,90.0,0.356,,,,25,33,0.758,,,28.0,,,,18,,,,0.235,,0.403,,92.9,,,0.346,,,0.198,0.356,,,0.278,1952,-17,-4,-9.0,-0.010000000000000009,,,,-9,-14,0.08399999999999996,,,-2.0,,,,11
81,64,1952-03-10,1,BLB,MLH,1,91,80,30,,,,,,31,40,0.775,,,,,,,27,28,,,,,,24,31,0.774,,,,,,,28,,,,,,,,,,,,,,,,,,,1952,11,2,,,,,,7,9,0.0010000000000000009,,,,,,,-1
82,65,1952-03-14,2,BLB,INO,2,87,103,35,,,,,,17,32,0.531,,,,,,,16,44,,,,,,15,21,0.714,,,,,,,21,,,,,,,,,,,,,,,,,,,1952,-16,-9,,,,,,2,11,-0.18299999999999994,,,,,,,-5
