,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1952-11-01,2,FTW,ROC,2,82,94,26,,,,,,30,39,0.769,,,,,,,41,28,,,,,,38,47,0.809,,,,,,,30,,,,,,,,,,,,,,,,,,,1953,-12,-2,,,,,,-8,-8,-0.040000000000000036,,,,,,,11
1,2,1952-11-02,1,FTW,MNL,2,69,81,19,,,,,,31,41,0.756,,,,,,,35,26,,,,,,29,42,0.69,,,,,,,31,,,,,,,,,,,,,,,,,,,1953,-12,-7,,,,,,2,-1,0.06600000000000006,,,,,,,4
2,3,1952-11-06,1,FTW,ROC,2,64,84,21,,,,,,22,29,0.759,,,,,,,29,30,,,,,,24,29,0.828,,,,,,,26,,,,,,,,,,,,,,,,,,,1953,-20,-9,,,,,,-2,0,-0.06899999999999995,,,,,,,3
3,4,1952-11-09,1,FTW,INO,1,74,71,27,,,,,,20,29,0.69,,,,,,,29,22,,,,,,27,40,0.675,,,,,,,24,,,,,,,,,,,,,,,,,,,1953,3,5,,,,,,-7,-11,0.014999999999999902,,,,,,,5
4,5,1952-11-11,2,FTW,INO,2,63,78,22,,,,,,19,26,0.731,,,,,,,31,28,,,,,,22,35,0.629,,,,,,,23,,,,,,,,,,,,,,,,,,,1953,-15,-6,,,,,,-3,-9,0.10199999999999998,,,,,,,8
5,6,1952-11-15,2,FTW,MLH,2,68,71,16,,,,,,36,52,0.692,,,,,,,34,20,,,,,,31,44,0.705,,,,,,,42,,,,,,,,,,,,,,,,,,,1953,-3,-4,,,,,,5,8,-0.013000000000000012,,,,,,,-8
6,7,1952-11-16,1,FTW,NYK,1,112,83,39,,,,,,34,45,0.756,,,,,,,42,22,,,,,,39,57,0.684,,,,,,,38,,,,,,,,,,,,,,,,,,,1953,29,17,,,,,,-5,-12,0.07199999999999995,,,,,,,4
7,8,1952-11-20,1,FTW,MNL,2,81,89,32,,,,,,17,22,0.773,,,,,,,25,31,,,,,,27,33,0.818,,,,,,,17,,,,,,,,,,,,,,,,,,,1953,-8,1,,,,,,-10,-11,-0.04499999999999993,,,,,,,8
8,9,1952-11-22,2,FTW,MNL,2,89,96,29,87.0,0.333,,,,31,39,0.795,,,,,,,27,34,93.0,0.366,,,,28,40,0.7,,,,,,,28,,,,0.448,,0.427,,,,,0.333,,,0.356,0.366,,,0.301,1953,-7,-5,-6.0,-0.032999999999999974,,,,3,-1,0.09500000000000008,,,,,,,-1
9,10,1952-11-23,1,FTW,PHW,1,92,80,35,,,,,,22,33,0.667,,,,,,,37,22,,,,,,36,49,0.735,,,,,,,31,,,,,,,,,,,,,,,,,,,1953,12,13,,,,,,-14,-16,-0.06799999999999995,,,,,,,6
10,11,1952-11-26,2,FTW,MLH,1,80,72,29,,,,,,22,32,0.688,,,,,,,34,18,,,,,,36,50,0.72,,,,,,,28,,,,,,,,,,,,,,,,,,,1953,8,11,,,,,,-14,-18,-0.03200000000000003,,,,,,,6
11,12,1952-11-27,1,FTW,MLH,1,95,87,25,,,,,,45,55,0.818,,,,,,,32,30,,,,,,27,40,0.675,,,,,,,40,,,,,,,,,,,,,,,,,,,1953,8,-5,,,,,,18,15,0.1429999999999999,,,,,,,-8
12,13,1952-11-29,N,FTW,BOS,2,71,78,28,,,,,,15,22,0.682,,,,,,,27,29,,,,,,20,37,0.541,,,,,,,17,,,,,,,,,,,,,,,,,,,1953,-7,-1,,,,,,-5,-15,0.14100000000000001,,,,,,,10
13,14,1952-11-30,1,FTW,BLB,1,100,95,27,,,,,,46,57,0.807,,,,,,,44,28,,,,,,39,54,0.722,,,,,,,48,,,,,,,,,,,,,,,,,,,1953,5,-1,,,,,,7,3,0.08500000000000008,,,,,,,-4
14,15,1952-12-04,1,FTW,SYR,2,70,78,23,,,,,,24,35,0.686,,,,,,,37,24,,,,,,30,47,0.638,,,,,,,29,,,,,,,,,,,,,,,,,,,1953,-8,-1,,,,,,-6,-12,0.04800000000000004,,,,,,,8
15,16,1952-12-05,2,FTW,INO,2,74,84,27,,,,,,20,28,0.714,,,,,,,22,32,,,,,,20,28,0.714,,,,,,,21,,,,,,,,,,,,,,,,,,,1953,-10,-5,,,,,,0,0,0.0,,,,,,,1
16,17,1952-12-06,2,FTW,BLB,1,103,91,37,,,,,,29,39,0.744,,,,,,,31,30,,,,,,31,47,0.66,,,,,,,32,,,,,,,,,,,,,,,,,,,1953,12,7,,,,,,-2,-8,0.08399999999999996,,,,,,,-1
17,18,1952-12-07,1,FTW,NYK,1,102,91,35,,,,,,32,35,0.914,,,,,,,23,30,,,,,,31,37,0.838,,,,,,,30,,,,,,,,,,,,,,,,,,,1953,11,5,,,,,,1,-2,0.07600000000000007,,,,,,,-7
18,19,1952-12-11,1,FTW,MLH,1,71,70,22,,,,,,27,38,0.711,,,,,,,14,25,,,,,,20,21,0.952,,,,,,,25,,,,,,,,,,,,,,,,,,,1953,1,-3,,,,,,7,17,-0.241,,,,,,,-11
19,20,1952-12-14,1,FTW,INO,1,86,71,31,,,,,,24,32,0.75,,,,,,,19,27,,,,,,17,28,0.607,,,,,,,23,,,,,,,,,,,,,,,,,,,1953,15,4,,,,,,7,4,0.14300000000000002,,,,,,,-4
38,21,1952-12-16,N,FTW,PHW,1,95,64,38,,,,,,19,28,0.679,,,,,,,26,21,,,,,,22,32,0.688,,,,,,,20,,,,,,,,,,,,,,,,,,,1953,31,17,,,,,,-3,-4,-0.008999999999999897,,,,,,,6
