,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1953-10-31,1,PHW,SYR,1,79,73,28,75.0,0.373,,,,23,31.0,0.742,,57.0,24.0,,,,22.0,27,95.0,0.284,,,,19,28.0,0.679,,61.0,17.0,,,,24.0,,,,0.413,,0.446,48.3,85.7,,,0.373,,,0.307,0.284,,,0.2,1954,6,1,-20.0,0.08900000000000002,,,,4,3.0,0.06299999999999994,,-4.0,7.0,,,,-2.0
1,2,1953-11-01,2,PHW,SYR,2,61,85,21,76.0,0.276,,,,19,30.0,0.633,,32.0,22.0,,,,23.0,31,70.0,0.443,,,,23,32.0,0.719,,51.0,25.0,,,,21.0,,,,0.395,,0.342,38.6,104.8,,,0.276,,,0.25,0.443,,,0.329,1954,-24,-10,6.0,-0.16699999999999998,,,,-4,-2.0,-0.08599999999999997,,-19.0,-3.0,,,,2.0
2,3,1953-11-07,1,PHW,BOS,2,77,79,29,83.0,0.349,,,,19,27.0,0.704,,58.0,21.0,,,,23.0,26,68.0,0.382,,,,27,34.0,0.794,,38.0,21.0,,,,21.0,,,,0.325,,0.406,60.4,72.4,,,0.349,,,0.229,0.382,,,0.397,1954,-2,3,15.0,-0.03300000000000003,,,,-8,-7.0,-0.09000000000000008,,20.0,0.0,,,,2.0
3,4,1953-11-08,2,PHW,BLB,1,85,75,27,,,,,,31,46.0,0.674,,,,,,,30.0,24,,,,,,27,38.0,0.711,,,,,,,37.0,,,,,,,,,,,,,,,,,,,1954,10,3,,,,,,4,8.0,-0.03699999999999992,,,,,,,-7.0
4,5,1953-11-10,2,PHW,ROC,1,66,64,17,,,,,,32,45.0,0.711,,,,,,,24.0,22,,,,,,20,34.0,0.588,,,,,,,38.0,,,,,,,,,,,,,,,,,,,1954,2,-5,,,,,,12,11.0,0.123,,,,,,,-14.0
5,6,1953-11-11,2,PHW,BOS,1,78,72,24,60.0,0.4,,,,30,43.0,0.698,,,19.0,,,,30.0,23,75.0,0.307,,,,26,35.0,0.743,,,20.0,,,,37.0,,,,0.717,,0.494,,79.2,,,0.4,,,0.5,0.307,,,0.347,1954,6,1,-15.0,0.09300000000000003,,,,4,8.0,-0.04500000000000004,,,-1.0,,,,-7.0
6,7,1953-11-12,2,PHW,NYK,2,65,81,26,,,,,,13,20.0,0.65,,,,,,,16.0,34,,,,,,13,22.0,0.591,,,,,,,18.0,,,,,,,,,,,,,,,,,,,1954,-16,-8,,,,,,0,-2.0,0.05900000000000005,,,,,,,-2.0
7,8,1953-11-14,1,PHW,FTW,1,63,58,21,66.0,0.318,,,,21,29.0,0.724,,48.0,15.0,,,,18.0,22,70.0,0.314,,,,14,22.0,0.636,,55.0,17.0,,,,22.0,,,,0.439,,0.4,46.6,71.4,,,0.318,,,0.318,0.314,,,0.2,1954,5,-1,-4.0,0.0040000000000000036,,,,7,7.0,0.08799999999999997,,-7.0,-2.0,,,,-4.0
8,9,1953-11-18,N,PHW,NYK,2,83,88,31,,,,,,21,30.0,0.7,,,,,,,26.0,31,,,,,,26,31.0,0.839,,,,,,,20.0,,,,,,,,,,,,,,,,,,,1954,-5,0,,,,,,-5,-1.0,-0.139,,,,,,,6.0
9,10,1953-11-19,1,PHW,MNL,2,79,107,29,84.0,0.345,,,,21,29.0,0.724,,43.0,22.0,,,,20.0,41,79.0,0.519,,,,25,30.0,0.833,,53.0,29.0,,,,22.0,,,,0.345,,0.408,44.8,75.9,,,0.345,,,0.25,0.519,,,0.316,1954,-28,-12,5.0,-0.17400000000000004,,,,-4,-1.0,-0.10899999999999999,,-10.0,-7.0,,,,-2.0
10,11,1953-11-21,N,PHW,BLB,1,103,83,36,,,,,,31,39.0,0.795,,,,,,,27.0,29,,,,,,25,37.0,0.676,,,,,,,29.0,,,,,,,,,,,,,,,,,,,1954,20,7,,,,,,6,2.0,0.119,,,,,,,-2.0
11,12,1953-11-24,1,PHW,BLB,1,83,80,28,88.0,0.318,,,,27,39.0,0.692,,59.0,25.0,,,,25.0,28,87.0,0.322,,,,24,31.0,0.774,,68.0,20.0,,,,29.0,,,,0.443,,0.395,46.5,89.3,,,0.318,,,0.307,0.322,,,0.276,1954,3,0,1.0,-0.0040000000000000036,,,,3,8.0,-0.08200000000000007,,-9.0,5.0,,,,-4.0
12,13,1953-11-26,2,PHW,MNL,2,80,88,28,81.0,0.346,,,,24,31.0,0.774,,,0.0,,,,22.0,35,70.0,0.5,,,,18,26.0,0.692,,,0.0,,,,24.0,,,,0.383,,0.423,,0.0,,,0.346,,,0.296,0.5,,,0.257,1954,-8,-7,11.0,-0.15400000000000003,,,,6,5.0,0.08200000000000007,,,0.0,,,,-2.0
13,14,1953-11-27,N,PHW,MLH,2,51,55,22,,,,,,7,12.0,0.583,,,,,,,18.0,20,,,,,,15,22.0,0.682,,,,,,,9.0,,,,,,,,,,,,,,,,,,,1954,-4,2,,,,,,-8,-10.0,-0.09900000000000009,,,,,,,9.0
14,15,1953-11-28,N,PHW,MLH,2,68,71,25,,,,,,18,30.0,0.6,,,,,,,27.0,22,,,,,,27,37.0,0.73,,,,,,,21.0,,,,,,,,,,,,,,,,,,,1954,-3,3,,,,,,-9,-7.0,-0.13,,,,,,,6.0
15,16,1953-11-29,2,PHW,FTW,2,69,83,27,,,,,,15,22.0,0.682,,,,,,,24.0,31,,,,,,21,32.0,0.656,,,,,,,18.0,,,,,,,,,,,,,,,,,,,1954,-14,-4,,,,,,-6,-10.0,0.026000000000000023,,,,,,,6.0
16,17,1953-12-01,N,PHW,BOS,2,86,89,35,,,,,,16,22.0,0.727,,,,,,,27.0,34,,,,,,21,30.0,0.7,,,,,,,17.0,,,,,,,,,,,,,,,,,,,1954,-3,1,,,,,,-5,-8.0,0.027000000000000024,,,,,,,10.0
17,18,1953-12-03,1,PHW,NYK,1,79,74,27,74.0,0.365,,,,25,32.0,0.781,,46.0,23.0,,,,23.0,24,64.0,0.375,,,,26,31.0,0.839,,42.0,14.0,,,,27.0,,,,0.432,,0.448,52.3,85.2,,,0.365,,,0.338,0.375,,,0.406,1954,5,3,10.0,-0.010000000000000009,,,,-1,1.0,-0.05799999999999994,,4.0,9.0,,,,-4.0
18,19,1953-12-09,1,PHW,BOS,1,104,103,35,89.0,0.393,,,,34,46.0,0.739,,71.0,29.0,,,,35.0,34,93.0,0.366,,,,35,45.0,0.778,,59.0,24.0,,,,36.0,,,,0.517,,0.476,54.6,82.9,,,0.393,,,0.382,0.366,,,0.376,1954,1,1,-4.0,0.027000000000000024,,,,-1,1.0,-0.039000000000000035,,12.0,5.0,,,,-1.0
19,20,1953-12-10,N,PHW,BLB,1,83,77,29,,,,,,25,29.0,0.862,,,,,,,24.0,29,,,,,,19,31.0,0.613,,,,,,,24.0,,,,,,,,,,,,,,,,,,,1954,6,0,,,,,,6,-2.0,0.249,,,,,,,0.0
38,21,1953-12-17,N,PHW,ROC,2,79,91,29,,,,,,21,35.0,0.6,,,,,,,25.0,33,,,,,,25,33.0,0.758,,,,,,,22.0,,,,,,,,,,,,,,,,,,,1954,-12,-4,,,,,,-4,2.0,-0.15800000000000003,,,,,,,3.0
39,22,1953-12-20,N,PHW,BOS,2,89,101,30,86.0,0.349,,,,29,43.0,0.674,,53.0,21.0,,,,40.0,29,62.0,0.468,,,,43,56.0,0.768,,41.0,24.0,,,,30.0,,,,0.5,,0.424,56.4,70.0,,,0.349,,,0.337,0.468,,,0.694,1954,-12,1,24.0,-0.11900000000000005,,,,-14,-13.0,-0.09399999999999997,,12.0,-3.0,,,,10.0
40,23,1953-12-25,1,PHW,ROC,2,65,73,23,77.0,0.299,,,,19,35.0,0.543,,62.0,18.0,,,,32.0,23,69.0,0.333,,,,27,38.0,0.711,,55.0,16.0,,,,24.0,,,,0.455,,0.352,53.0,78.3,,,0.299,,,0.247,0.333,,,0.391,1954,-8,0,8.0,-0.03400000000000003,,,,-8,-3.0,-0.16799999999999993,,7.0,2.0,,,,8.0
41,24,1953-12-27,2,PHW,NYK,2,76,79,28,,,,,,20,24.0,0.833,,,,,,,18.0,30,,,,,,19,22.0,0.864,,,,,,,18.0,,,,,,,,,,,,,,,,,,,1954,-3,-2,,,,,,1,2.0,-0.031000000000000028,,,,,,,0.0
42,25,1953-12-28,N,PHW,MLH,1,69,63,23,62.0,0.371,,,,23,29.0,0.793,,42.0,21.0,,,,19.0,22,57.0,0.386,,,,19,25.0,0.76,,38.0,18.0,,,,25.0,,,,0.468,,0.461,52.5,91.3,,,0.371,,,0.371,0.386,,,0.333,1954,6,1,5.0,-0.015000000000000013,,,,4,4.0,0.03300000000000003,,4.0,3.0,,,,-6.0
