,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1953-10-31,N,ROC,BLB,1,72,68,24,,,,,,24,37,0.649,,,,,,,23,23,,,,,,22,34,0.647,,,,,,,25,,,,,,,,,,,,,,,,,,,1954,4,1,,,,,,2,3,0.0020000000000000018,,,,,,,-2
1,2,1953-11-01,2,ROC,BLB,1,80,72,29,,,,,,22,27,0.815,,,,,,,25,25,,,,,,22,32,0.688,,,,,,,24,,,,,,,,,,,,,,,,,,,1954,8,4,,,,,,0,-5,0.127,,,,,,,1
2,3,1953-11-07,1,ROC,FTW,1,91,76,32,,,,,,27,38,0.711,,,,,,,29,23,,,,,,30,38,0.789,,,,,,,32,,,,,,,,,,,,,,,,,,,1954,15,9,,,,,,-3,0,-0.07800000000000007,,,,,,,-3
3,4,1953-11-08,2,ROC,SYR,2,66,85,21,73.0,0.288,,,,24,37,0.649,,32.0,11.0,,,,33,27,67.0,0.403,,,,31,44,0.705,,32.0,20.0,,,,30,,,,0.507,,0.37,50.0,52.4,,,0.288,,,0.329,0.403,,,0.463,1954,-19,-6,6.0,-0.11500000000000005,,,,-7,-7,-0.05599999999999994,,0.0,-9.0,,,,3
4,5,1953-11-10,1,ROC,PHW,2,64,66,22,,,,,,20,34,0.588,,,,,,,38,17,,,,,,32,45,0.711,,,,,,,24,,,,,,,,,,,,,,,,,,,1954,-2,5,,,,,,-12,-11,-0.123,,,,,,,14
5,6,1953-11-14,1,ROC,MNL,1,98,91,31,,,,,,36,53,0.679,,,,,,,34,30,,,,,,31,38,0.816,,,,,,,47,,,,,,,,,,,,,,,,,,,1954,7,1,,,,,,5,15,-0.1369999999999999,,,,,,,-13
6,7,1953-11-15,2,ROC,FTW,2,65,68,18,,,,,,29,36,0.806,,,,,,,49,11,,,,,,46,60,0.767,,,,,,,28,,,,,,,,,,,,,,,,,,,1954,-3,7,,,,,,-17,-24,0.039000000000000035,,,,,,,21
7,8,1953-11-17,N,ROC,BOS,1,92,73,34,,,,,,24,31,0.774,,,,,,,22,27,,,,,,19,30,0.633,,,,,,,24,,,,,,,,,,,,,,,,,,,1954,19,7,,,,,,5,1,0.14100000000000001,,,,,,,-2
8,9,1953-11-19,N,ROC,MLH,1,79,69,28,,,,,,23,35,0.657,,,,,,,35,20,,,,,,29,43,0.674,,,,,,,34,,,,,,,,,,,,,,,,,,,1954,10,8,,,,,,-6,-8,-0.017000000000000015,,,,,,,1
9,10,1953-11-20,2,ROC,MLH,1,81,63,31,77.0,0.403,,,,19,29,0.655,,,,,,,29,19,,,,,,25,35,0.714,,,,,,,23,,,,0.377,,0.451,,,,,0.403,,,0.247,,,,,1954,18,12,,,,,,-6,-6,-0.05899999999999994,,,,,,,6
10,11,1953-11-21,2,ROC,MNL,2,70,76,21,59.0,0.356,,,,28,40,0.7,,,,,,,33,25,73.0,0.342,,,,26,40,0.65,,,,,,,32,,,,0.678,,0.457,,,,,0.356,,,0.475,0.342,,,0.356,1954,-6,-4,-14.0,0.013999999999999957,,,,2,0,0.04999999999999993,,,,,,,1
11,12,1953-11-22,2,ROC,FTW,2,82,83,33,,,,,,16,17,0.941,,,,,,,42,22,,,,,,39,39,1.0,,,,,,,20,,,,,,,,,,,,,,,,,,,1954,-1,11,,,,,,-23,-22,-0.05900000000000005,,,,,,,22
12,13,1953-11-24,1,ROC,SYR,2,80,89,32,92.0,0.348,,,,16,35,0.457,,53.0,20.0,,,,34,31,68.0,0.456,,,,27,41,0.659,,38.0,19.0,,,,31,,,,0.38,,0.372,58.2,62.5,,,0.348,,,0.174,0.456,,,0.397,1954,-9,1,24.0,-0.10800000000000004,,,,-11,-6,-0.202,,15.0,1.0,,,,3
13,14,1953-11-26,2,ROC,BLB,1,80,75,28,,,,,,24,40,0.6,,,,,,,27,24,,,,,,27,36,0.75,,,,,,,33,,,,,,,,,,,,,,,,,,,1954,5,4,,,,,,-3,4,-0.15000000000000002,,,,,,,-6
14,15,1953-11-28,2,ROC,NYK,2,90,95,32,,,,,,26,40,0.65,,,,,,,35,30,,,,,,35,43,0.814,,,,,,,34,,,,,,,,,,,,,,,,,,,1954,-5,2,,,,,,-9,-3,-0.16399999999999992,,,,,,,1
15,16,1953-11-29,1,ROC,NYK,2,64,69,26,,,,,,12,18,0.667,,,,,,,27,22,,,,,,25,36,0.694,,,,,,,17,,,,,,,,,,,,,,,,,,,1954,-5,4,,,,,,-13,-18,-0.026999999999999913,,,,,,,10
16,17,1953-12-01,1,ROC,FTW,1,92,69,33,,,,,,26,34,0.765,,,,,,,24,22,,,,,,25,29,0.862,,,,,,,26,,,,,,,,,,,,,,,,,,,1954,23,11,,,,,,1,5,-0.09699999999999998,,,,,,,-2
17,18,1953-12-05,1,ROC,BLB,1,72,65,23,,,,,,26,42,0.619,,,,,,,23,22,,,,,,21,32,0.656,,,,,,,33,,,,,,,,,,,,,,,,,,,1954,7,1,,,,,,5,10,-0.03700000000000003,,,,,,,-10
18,19,1953-12-08,1,ROC,BOS,1,97,79,35,,,,,,27,44,0.614,,,,,,,29,27,,,,,,25,38,0.658,,,,,,,35,,,,,,,,,,,,,,,,,,,1954,18,8,,,,,,2,6,-0.04400000000000004,,,,,,,-6
19,20,1953-12-12,1,ROC,SYR,1,90,85,30,81.0,0.37,,,,30,40,0.75,,43.0,27.0,,,,28,30,81.0,0.37,,,,25,34,0.735,,43.0,19.0,,,,30,,,,0.494,,0.456,50.0,90.0,,,0.37,,,0.37,0.37,,,0.309,1954,5,0,0.0,0.0,,,,5,6,0.015000000000000013,,0.0,8.0,,,,-2
38,21,1953-12-13,N,ROC,MNL,1,87,70,28,74.0,0.378,,,,31,41,0.756,,,0.0,,,,16,26,87.0,0.299,,,,18,24,0.75,,,0.0,,,,34,,,,0.554,,0.473,,0.0,,,0.378,,,0.419,0.299,,,0.207,1954,17,2,-13.0,0.07900000000000001,,,,13,17,0.006000000000000005,,,0.0,,,,-18
39,22,1953-12-15,1,ROC,MLH,1,76,64,32,,,,,,12,25,0.48,,,,,,,17,24,,,,,,16,23,0.696,,,,,,,22,,,,,,,,,,,,,,,,,,,1954,12,8,,,,,,-4,2,-0.21599999999999997,,,,,,,-5
40,23,1953-12-17,N,ROC,PHW,1,91,79,33,,,,,,25,33,0.758,,,,,,,22,29,,,,,,21,35,0.6,,,,,,,25,,,,,,,,,,,,,,,,,,,1954,12,4,,,,,,4,-2,0.15800000000000003,,,,,,,-3
41,24,1953-12-19,1,ROC,MNL,2,78,91,27,83.0,0.325,,,,24,36,0.667,,,,,,,21,37,89.0,0.416,,,,17,26,0.654,,,,,,,26,,,,0.434,,0.395,,,,,0.325,,,0.289,0.416,,,0.191,1954,-13,-10,-6.0,-0.09099999999999997,,,,7,10,0.013000000000000012,,,,,,,-5
