,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1954-10-30,1,MLH,FTW,2,72,91,22,,,,,,28,46.0,0.609,,,,,,,24,33,,,,,,25,35.0,0.714,,,,,,,29,,,,,,,,,,,,,,,,,,,1955,-19,-11,,,,,,3,11.0,-0.10499999999999998,,,,,,,-5
1,2,1954-11-02,1,MLH,NYK,2,84,91,32,,,,,,20,27.0,0.741,,,,,,,26,31,,,,,,29,34.0,0.853,,,,,,,22,,,,,,,,,,,,,,,,,,,1955,-7,1,,,,,,-9,-7.0,-0.11199999999999999,,,,,,,4
2,3,1954-11-06,N,MLH,MNL,2,67,79,22,,,,,,23,32.0,0.719,,,,,,,17,26,,,,,,27,36.0,0.75,,,,,,,19,,,,,,,,,,,,,,,,,,,1955,-12,-4,,,,,,-4,-4.0,-0.031000000000000028,,,,,,,-2
3,4,1954-11-07,2,MLH,SYR,2,80,97,27,88.0,0.307,,,,26,39.0,0.667,,54.0,23.0,,,,28,32,86.0,0.372,,,,33,42.0,0.786,,50.0,29.0,,,,26,,,,0.443,,0.38,51.9,85.2,,,0.307,,,0.295,0.372,,,0.384,1955,-17,-5,2.0,-0.065,,,,-7,-3.0,-0.119,,4.0,-6.0,,,,2
4,5,1954-11-10,2,MLH,ROC,2,86,90,28,86.0,0.326,,,,30,39.0,0.769,,,,,,,25,36,79.0,0.456,,,,18,33.0,0.545,,,,,,,27,,,,0.453,,0.417,,,,,0.326,,,0.349,0.456,,,0.228,1955,-4,-8,7.0,-0.13,,,,12,6.0,0.22399999999999998,,,,,,,-2
5,6,1954-11-11,N,MLH,BOS,1,95,85,32,,,,,,31,36.0,0.861,,,,,,,22,33,,,,,,19,29.0,0.655,,,,,,,25,,,,,,,,,,,,,,,,,,,1955,10,-1,,,,,,12,7.0,0.20599999999999996,,,,,,,-3
6,7,1954-11-13,1,MLH,SYR,1,85,72,29,82.0,0.354,,,,27,35.0,0.771,,70.0,22.0,,,,31,22,91.0,0.242,,,,28,48.0,0.583,,45.0,19.0,,,,28,,,,0.427,,0.436,60.9,75.9,,,0.354,,,0.329,0.242,,,0.308,1955,13,7,-9.0,0.11199999999999999,,,,-1,-13.0,0.18800000000000006,,25.0,3.0,,,,3
7,8,1954-11-14,2,MLH,FTW,2,91,93,30,85.0,0.353,,,,31,43.0,0.721,,,21.0,,,,28,28,76.0,0.368,,,,37,45.0,0.822,,,26.0,,,,30,,,,0.506,,0.438,,70.0,,,0.353,,,0.365,0.368,,,0.487,1955,-2,2,9.0,-0.015000000000000013,,,,-6,-2.0,-0.10099999999999998,,,-5.0,,,,-2
8,9,1954-11-24,1,MLH,ROC,2,87,90,32,,,,,,23,33.0,0.697,,,,,,,24,30,,,,,,30,39.0,0.769,,,,,,,24,,,,,,,,,,,,,,,,,,,1955,-3,2,,,,,,-7,-6.0,-0.07200000000000006,,,,,,,0
9,10,1954-11-25,2,MLH,SYR,2,85,91,31,80.0,0.388,,,,23,34.0,0.676,,55.0,16.0,,,,29,29,75.0,0.387,,,,33,46.0,0.717,,47.0,17.0,,,,23,,,,0.425,,0.448,53.9,51.6,,,0.388,,,0.288,0.387,,,0.44,1955,-6,2,5.0,0.0010000000000000009,,,,-10,-12.0,-0.040999999999999925,,8.0,-1.0,,,,6
10,11,1954-11-28,2,MLH,FTW,2,81,96,31,,,,,,19,29.0,0.655,,,,,,,33,33,,,,,,30,46.0,0.652,,,,,,,19,,,,,,,,,,,,,,,,,,,1955,-15,-2,,,,,,-11,-17.0,0.0030000000000000027,,,,,,,14
11,12,1954-11-30,1,MLH,BOS,2,99,118,31,89.0,0.348,,,,37,50.0,0.74,,,,,,,27,43,96.0,0.448,,,,32,40.0,0.8,,,,,,,34,,,,0.562,,0.446,,,,,0.348,,,0.416,0.448,,,0.333,1955,-19,-12,-7.0,-0.10000000000000003,,,,5,10.0,-0.06000000000000005,,,,,,,-7
12,13,1954-12-01,N,MLH,BOS,2,90,101,33,90.0,0.367,,,,24,36.0,0.667,,,,,,,28,35,90.0,0.389,,,,31,41.0,0.756,,,,,,,28,,,,0.4,,0.425,,,,,0.367,,,0.267,0.389,,,0.344,1955,-11,-2,0.0,-0.02200000000000002,,,,-7,-5.0,-0.08899999999999997,,,,,,,0
13,14,1954-12-02,N,MLH,MNL,1,117,108,33,,,,,,51,62.0,0.823,,,,,,,27,35,,,,,,38,46.0,0.826,,,,,,,40,,,,,,,,,,,,,,,,,,,1955,9,-2,,,,,,13,16.0,-0.0030000000000000027,,,,,,,-13
14,15,1954-12-03,N,MLH,PHW,2,91,110,27,,,,,,37,53.0,0.698,,,,,,,34,33,,,,,,44,56.0,0.786,,,,,,,32,,,,,,,,,,,,,,,,,,,1955,-19,-6,,,,,,-7,-3.0,-0.08800000000000008,,,,,,,2
15,16,1954-12-04,1,MLH,MNL,1,95,88,26,,,,,,43,53.0,0.811,,,,,,,32,26,,,,,,36,53.0,0.679,,,,,,,35,,,,,,,,,,,,,,,,,,,1955,7,0,,,,,,7,0.0,0.132,,,,,,,-3
