,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1955-11-05,1,SYR,FTW,1,114,113,32,89.0,0.36,,,,50,62,0.806,,55.0,29.0,,,,37.0,37,95.0,0.389,,,,39,51,0.765,,59.0,26.0,,,,43.0,,,,0.697,,0.49,48.2,90.6,,,0.36,,,0.562,0.389,,,0.411,1956,1,-5,-6.0,-0.029000000000000026,,,,11,11,0.041000000000000036,,-4.0,3.0,,,,-6.0
1,2,1955-11-06,2,SYR,ROC,2,80,83,23,91.0,0.253,,,,34,47,0.723,,40.0,18.0,,,,22.0,33,87.0,0.379,,,,17,27,0.63,,73.0,30.0,,,,32.0,,,,0.516,,0.358,35.4,78.3,,,0.253,,,0.374,0.379,,,0.195,1956,-3,-10,4.0,-0.126,,,,17,20,0.09299999999999997,,-33.0,-12.0,,,,-10.0
2,3,1955-11-12,2,SYR,STL,1,91,81,29,92.0,0.315,,,,33,48,0.688,,46.0,13.0,,,,30.0,27,113.0,0.239,,,,27,46,0.587,,69.0,11.0,,,,33.0,,,,0.522,,0.402,40.0,44.8,,,0.315,,,0.359,0.239,,,0.239,1956,10,2,-21.0,0.07600000000000001,,,,6,2,0.10099999999999998,,-23.0,2.0,,,,-3.0
3,4,1955-11-13,2,SYR,FTW,2,79,93,28,76.0,0.368,,,,23,35,0.657,,38.0,23.0,,,,23.0,34,88.0,0.386,,,,25,33,0.758,,56.0,31.0,,,,25.0,,,,0.461,,0.432,40.4,82.1,,,0.368,,,0.303,0.386,,,0.284,1956,-14,-6,-12.0,-0.018000000000000016,,,,-2,2,-0.10099999999999998,,-18.0,-8.0,,,,-2.0
4,5,1955-11-17,1,SYR,MNL,1,105,91,40,,,,,,25,36,0.694,,,,,,,,31,,,,,,29,43,0.674,,,,,,,,,,,,,,,,,,,,,,,,,,1956,14,9,,,,,,-4,-7,0.019999999999999907,,,,,,,
5,6,1955-11-19,2,SYR,PHW,2,94,102,30,79.0,0.38,,,,34,46,0.739,,50.0,19.0,,,,25.0,37,98.0,0.378,,,,28,38,0.737,,63.0,28.0,,,,32.0,,,,0.582,,0.474,44.2,63.3,,,0.38,,,0.43,0.378,,,0.286,1956,-8,-7,-19.0,0.0020000000000000018,,,,6,8,0.0020000000000000018,,-13.0,-9.0,,,,-7.0
6,7,1955-11-20,1,SYR,STL,1,84,80,27,90.0,0.3,,,,30,40,0.75,,57.0,24.0,,,,23.0,30,85.0,0.353,,,,20,32,0.625,,56.0,26.0,,,,29.0,,,,0.444,,0.39,50.4,88.9,,,0.3,,,0.333,0.353,,,0.235,1956,4,-3,5.0,-0.05299999999999999,,,,10,8,0.125,,1.0,-2.0,,,,-6.0
7,8,1955-11-23,N,SYR,PHW,2,101,104,30,87.0,0.345,,,,43,52,0.827,,59.0,25.0,,,,27.0,35,93.0,0.376,,,,34,43,0.791,,62.0,29.0,,,,33.0,,,,0.598,,0.46,48.8,83.3,,,0.345,,,0.494,0.376,,,0.366,1956,-3,-5,-6.0,-0.031000000000000028,,,,9,9,0.03599999999999992,,-3.0,-4.0,,,,-6.0
8,9,1955-11-24,1,SYR,BOS,1,111,103,42,102.0,0.412,,,,27,33,0.818,,54.0,37.0,,,,23.0,39,100.0,0.39,,,,25,30,0.833,,56.0,31.0,,,,25.0,,,,0.324,,0.476,49.1,88.1,,,0.412,,,0.265,0.39,,,0.25,1956,8,3,2.0,0.021999999999999964,,,,2,3,-0.015000000000000013,,-2.0,6.0,,,,-2.0
9,10,1955-11-26,2,SYR,NYK,2,99,100,34,89.0,0.382,,,,31,37,0.838,,36.0,23.0,,,,25.0,36,92.0,0.391,,,,28,34,0.824,,59.0,23.0,,,,26.0,,,,0.416,,0.47,37.9,67.6,,,0.382,,,0.348,0.391,,,0.304,1956,-1,-2,-3.0,-0.009000000000000008,,,,3,3,0.014000000000000012,,-23.0,0.0,,,,-1.0
10,11,1955-11-27,1,SYR,NYK,1,85,74,28,80.0,0.35,,,,29,39,0.744,,50.0,23.0,,,,22.0,27,88.0,0.307,,,,20,27,0.741,,53.0,19.0,,,,25.0,,,,0.488,,0.437,48.5,82.1,,,0.35,,,0.363,0.307,,,0.227,1956,11,1,-8.0,0.04299999999999998,,,,9,12,0.0030000000000000027,,-3.0,4.0,,,,-3.0
11,12,1955-11-29,N,SYR,BOS,2,97,105,42,107.0,0.393,,,,13,20,0.65,,65.0,32.0,,,,22.0,43,108.0,0.398,,,,19,27,0.704,,63.0,26.0,,,,18.0,,,,0.187,,0.419,50.8,76.2,,,0.393,,,0.121,0.398,,,0.176,1956,-8,-1,-1.0,-0.0050000000000000044,,,,-6,-7,-0.05399999999999994,,2.0,6.0,,,,4.0
12,13,1955-12-03,1,SYR,MNL,1,114,103,43,104.0,0.413,,,,28,35,0.8,,57.0,34.0,,,,26.0,37,92.0,0.402,,,,29,36,0.806,,49.0,26.0,,,,23.0,,,,0.337,,0.477,53.8,79.1,,,0.413,,,0.269,0.402,,,0.315,1956,11,6,12.0,0.010999999999999954,,,,-1,-1,-0.006000000000000005,,8.0,8.0,,,,3.0
13,14,1955-12-04,2,SYR,MNL,1,102,96,40,110.0,0.364,,,,22,34,0.647,,48.0,25.0,,,,22.0,37,99.0,0.374,,,,22,30,0.733,,60.0,22.0,,,,24.0,,,,0.309,,0.408,44.4,62.5,,,0.364,,,0.2,0.374,,,0.222,1956,6,3,11.0,-0.010000000000000009,,,,0,4,-0.08599999999999997,,-12.0,3.0,,,,-2.0
14,15,1955-12-06,N,SYR,FTW,2,88,90,26,87.0,0.299,,,,36,45,0.8,,59.0,13.0,,,,23.0,34,81.0,0.42,,,,22,31,0.71,,50.0,26.0,,,,27.0,,,,0.517,,0.412,54.1,50.0,,,0.299,,,0.414,0.42,,,0.272,1956,-2,-8,6.0,-0.121,,,,14,14,0.09000000000000008,,9.0,-13.0,,,,-4.0
15,16,1955-12-08,2,SYR,FTW,2,94,105,29,87.0,0.333,,,,36,43,0.837,,40.0,26.0,,,,25.0,39,89.0,0.438,,,,27,32,0.844,,49.0,38.0,,,,27.0,,,,0.494,,0.444,44.9,89.7,,,0.333,,,0.414,0.438,,,0.303,1956,-11,-10,-2.0,-0.10499999999999998,,,,9,11,-0.007000000000000006,,-9.0,-12.0,,,,-2.0
16,17,1955-12-09,2,SYR,PHW,2,92,101,32,88.0,0.364,,,,28,35,0.8,,69.0,16.0,,,,23.0,37,100.0,0.37,,,,27,35,0.771,,50.0,31.0,,,,25.0,,,,0.398,,0.445,58.0,50.0,,,0.364,,,0.318,0.37,,,0.27,1956,-9,-5,-12.0,-0.006000000000000005,,,,1,0,0.029000000000000026,,19.0,-15.0,,,,-2.0
17,18,1955-12-11,1,SYR,BOS,1,101,89,33,,,,,,35,47,0.745,,,,,,,25.0,30,,,,,,29,36,0.806,,,,,,,28.0,,,,,,,,,,,,,,,,,,,1956,12,3,,,,,,6,11,-0.061000000000000054,,,,,,,-3.0
18,19,1955-12-15,1,SYR,MNL,2,133,135,49,114.0,0.43,,,,35,47,0.745,,49.0,42.0,,,,32.0,49,109.0,0.45,,,,37,42,0.881,,61.0,38.0,,,,31.0,,,,0.412,,0.494,44.5,85.7,,,0.43,,,0.307,0.45,,,0.339,1956,-2,0,5.0,-0.020000000000000018,,,,-2,5,-0.136,,-12.0,4.0,,,,1.0
19,20,1955-12-17,2,SYR,BOS,1,110,104,39,95.0,0.411,,,,32,36,0.889,,62.0,33.0,,,,24.0,39,105.0,0.371,,,,26,36,0.722,,62.0,37.0,,,,27.0,,,,0.379,,0.496,50.0,84.6,,,0.411,,,0.337,0.371,,,0.248,1956,6,0,-10.0,0.03999999999999998,,,,6,0,0.16700000000000004,,0.0,-4.0,,,,-3.0
38,21,1955-12-18,1,SYR,PHW,1,99,79,36,83.0,0.434,,,,27,33,0.818,,59.0,25.0,,,,26.0,28,77.0,0.364,,,,23,36,0.639,,41.0,17.0,,,,24.0,,,,0.398,,0.508,59.0,69.4,,,0.434,,,0.325,0.364,,,0.299,1956,20,8,6.0,0.07,,,,4,-3,0.17899999999999994,,18.0,8.0,,,,2.0
39,22,1955-12-20,2,SYR,NYK,1,98,91,34,91.0,0.374,,,,30,41,0.732,,48.0,20.0,,,,22.0,38,93.0,0.409,,,,15,30,0.5,,61.0,21.0,,,,26.0,,,,0.451,,0.449,44.0,58.8,,,0.374,,,0.33,0.409,,,0.161,1956,7,-4,-2.0,-0.034999999999999976,,,,15,11,0.23199999999999998,,-13.0,-1.0,,,,-4.0
40,23,1955-12-25,1,SYR,ROC,1,111,96,45,92.0,0.489,,,,21,33,0.636,,40.0,35.0,,,,19.0,38,96.0,0.396,,,,20,25,0.8,,59.0,26.0,,,,26.0,,,,0.359,,0.521,40.4,77.8,,,0.489,,,0.228,0.396,,,0.208,1956,15,7,-4.0,0.09299999999999997,,,,1,8,-0.16400000000000003,,-19.0,9.0,,,,-7.0
41,24,1955-12-26,2,SYR,ROC,2,91,93,29,89.0,0.326,,,,33,44,0.75,,44.0,20.0,,,,21.0,37,85.0,0.435,,,,19,27,0.704,,66.0,24.0,,,,30.0,,,,0.494,,0.42,40.0,69.0,,,0.326,,,0.371,0.435,,,0.224,1956,-2,-8,4.0,-0.10899999999999999,,,,14,17,0.04600000000000004,,-22.0,-4.0,,,,-9.0
