,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1959-10-18,1,MNL,DET,2,105,106,39,,,,,,27,44,0.614,,,,,,,25,44,,,,,,18,27,0.667,,,,,,,29,,,,,,,,,,,,,,,,,,,1960,-1,-5,,,,,,9,17,-0.05300000000000005,,,,,,,-4
1,2,1959-10-24,2,MNL,STL,1,94,87,37,98.0,0.378,,,,20,32,0.625,,,,,,,24,34,88.0,0.386,,,,19,31,0.613,,,,,,,26,,,,0.327,,0.419,,,,,0.378,,,0.204,0.386,,,0.216,1960,7,3,10.0,-0.008000000000000007,,,,1,1,0.01200000000000001,,,,,,,-2
2,3,1959-10-25,2,MNL,CIN,2,102,103,36,,,,,,30,36,0.833,,55.0,,,,,24,43,,,,,,17,30,0.567,,54.0,,,,,26,,,,,,,50.5,,,,,,,,,,,,1960,-1,-7,,,,,,13,6,0.266,,1.0,,,,,-2
3,4,1959-10-31,2,MNL,SYR,2,108,117,41,108.0,0.38,,,,26,35,0.743,,,,,,,26,45,93.0,0.484,,,,27,36,0.75,,,,,,,28,,,,0.324,,0.438,,,,,0.38,,,0.241,0.484,,,0.29,1960,-9,-4,15.0,-0.10399999999999998,,,,-1,-1,-0.007000000000000006,,,,,,,-2
4,5,1959-11-01,1,MNL,STL,2,101,138,37,104.0,0.356,,,,27,31,0.871,,,,,,,25,51,100.0,0.51,,,,36,44,0.818,,,,,,,22,,,,0.298,,0.429,,,,,0.356,,,0.26,0.51,,,0.36,1960,-37,-14,4.0,-0.15400000000000003,,,,-9,-13,0.05300000000000005,,,,,,,3
5,6,1959-11-03,N,MNL,NYK,2,93,99,34,102.0,0.333,,,,25,31,0.806,,65.0,,,,,24,38,99.0,0.384,,,,23,32,0.719,,65.0,,,,,24,,,,0.304,,0.402,50.0,,,,0.333,,,0.245,0.384,,,0.232,1960,-6,-4,3.0,-0.05099999999999999,,,,2,-1,0.08700000000000008,,0.0,,,,,0
6,7,1959-11-06,1,MNL,DET,2,113,118,38,121.0,0.314,,,,37,47,0.787,,,,,,,30,42,114.0,0.368,,,,34,45,0.756,,,,,,,33,,,,0.388,,0.399,,,,,0.314,,,0.306,0.368,,,0.298,1960,-5,-4,7.0,-0.05399999999999999,,,,3,2,0.031000000000000028,,,,,,,-3
7,8,1959-11-07,2,MNL,DET,1,113,111,40,,,,,,33,43,0.767,,,,,,,27,44,,,,,,23,34,0.676,,,,,,,32,,,,,,,,,,,,,,,,,,,1960,2,-4,,,,,,10,9,0.09099999999999997,,,,,,,-5
8,9,1959-11-08,1,MNL,BOS,1,136,115,51,107.0,0.477,,,,34,48,0.708,,,,,,,30,40,92.0,0.435,,,,35,49,0.714,,,,,,,31,,,,0.449,,0.531,,,,,0.477,,,0.318,0.435,,,0.38,1960,21,11,15.0,0.04199999999999998,,,,-1,-1,-0.006000000000000005,,,,,,,-1
9,10,1959-11-10,2,MNL,STL,2,105,134,39,105.0,0.371,,,,27,39,0.692,,56.0,,,,,27,51,113.0,0.451,,,,32,42,0.762,,82.0,26.0,,,,25,,,,0.371,,0.43,40.6,,,,0.371,,,0.257,0.451,,,0.283,1960,-29,-12,-8.0,-0.08000000000000002,,,,-5,-3,-0.07000000000000006,,-26.0,,,,,2
