,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1961-10-21,2,DET,BOS,2,102,137,38,126.0,0.302,,,,26,41,0.634,,,12.0,,,,26,55,122.0,0.451,,,,27,37,0.73,,,26.0,,,,27,,,,0.325,,0.354,,31.6,,,0.302,,,0.206,0.451,,,0.221,1962,-35,-17,4.0,-0.14900000000000002,,,,-1,4,-0.09599999999999997,,,-14.0,,,,-1
1,2,1961-10-25,1,DET,LAL,2,116,120,41,,,,,,34,44,0.773,,,,,,,30,43,,,,,,34,43,0.791,,,,,,,31,,,,,,,,,,,,,,,,,,,1962,-4,-2,,,,,,0,1,-0.018000000000000016,,,,,,,-1
2,3,1961-10-27,2,DET,LAL,2,118,128,41,132.0,0.311,,,,36,54,0.667,,67.0,,,,,35,48,104.0,0.462,,,,32,44,0.727,,63.0,,,,,33,,,,0.409,,0.379,51.5,,,,0.311,,,0.273,0.462,,,0.308,1962,-10,-7,28.0,-0.15100000000000002,,,,4,10,-0.05999999999999994,,4.0,,,,,2
3,4,1961-10-28,2,DET,LAL,2,126,135,48,110.0,0.436,,,,30,49,0.612,,56.0,,,,,28,51,117.0,0.436,,,,33,43,0.767,,76.0,,,,,33,,,,0.445,,0.479,42.4,,,,0.436,,,0.273,0.436,,,0.282,1962,-9,-3,-7.0,0.0,,,,-3,6,-0.15500000000000003,,-20.0,,,,,-5
4,5,1961-11-01,1,DET,NYK,1,111,95,39,,,,,,33,43,0.767,,,,,,,23,33,,,,,,29,37,0.784,,,,,,,30,,,,,,,,,,,,,,,,,,,1962,16,6,,,,,,4,6,-0.017000000000000015,,,,,,,-7
5,6,1961-11-04,2,DET,PHW,2,132,135,47,95.0,0.495,,,,38,54,0.704,,56.0,26.0,,,,31,51,129.0,0.395,,,,33,42,0.786,,78.0,24.0,,,,35,,,,0.568,,0.556,41.8,55.3,,,0.495,,,0.4,0.395,,,0.256,1962,-3,-4,-34.0,0.09999999999999998,,,,5,12,-0.08200000000000007,,-22.0,2.0,,,,-4
6,7,1961-11-08,1,DET,PHW,2,128,132,50,111.0,0.45,,,,28,48,0.583,,63.0,30.0,,,,27,52,119.0,0.437,,,,28,38,0.737,,64.0,25.0,,,,33,,,,0.432,,0.484,49.6,60.0,,,0.45,,,0.252,0.437,,,0.235,1962,-4,-2,-8.0,0.013000000000000012,,,,0,10,-0.15400000000000003,,-1.0,5.0,,,,-6
7,8,1961-11-09,N,DET,BOS,1,116,110,44,,,,,,28,39,0.718,,,,,,,22,45,,,,,,20,33,0.606,,,,,,,26,,,,,,,,,,,,,,,,,,,1962,6,-1,,,,,,8,6,0.11199999999999999,,,,,,,-4
8,9,1961-11-10,2,DET,NYK,1,124,118,40,,,,,,44,62,0.71,,,,,,,29,47,,,,,,24,36,0.667,,,,,,,39,,,,,,,,,,,,,,,,,,,1962,6,-7,,,,,,20,26,0.04299999999999993,,,,,,,-10
9,10,1961-11-11,2,DET,STL,2,119,132,45,108.0,0.417,,,,29,37,0.784,,53.0,,,,,17,56,115.0,0.487,,,,20,24,0.833,,63.0,,,,,28,,,,0.343,,0.479,45.7,,,,0.417,,,0.269,0.487,,,0.174,1962,-13,-11,-7.0,-0.07,,,,9,13,-0.04899999999999993,,-10.0,,,,,-11
10,11,1961-11-15,1,DET,STL,1,127,122,47,104.0,0.452,,,,33,41,0.805,,51.0,,,,,28,44,95.0,0.463,,,,34,42,0.81,,52.0,,,,,30,,,,0.394,,0.52,49.5,,,,0.452,,,0.317,0.463,,,0.358,1962,5,3,9.0,-0.01100000000000001,,,,-1,-1,-0.0050000000000000044,,-1.0,,,,,-2
11,12,1961-11-18,1,DET,CHP,1,119,112,43,,,,,,33,39,0.846,,,,,,,25,45,,,,,,22,30,0.733,,,,,,,25,,,,,,,,,,,,,,,,,,,1962,7,-2,,,,,,11,9,0.11299999999999999,,,,,,,0
12,13,1961-11-19,N,DET,CIN,2,112,128,43,107.0,0.402,,,,26,40,0.65,,56.0,,,,,29,48,111.0,0.432,,,,32,40,0.8,,56.0,,,,,29,,,,0.374,,0.449,50.0,,,,0.402,,,0.243,0.432,,,0.288,1962,-16,-5,-4.0,-0.02999999999999997,,,,-6,0,-0.15000000000000002,,0.0,,,,,0
13,14,1961-11-21,N,DET,LAL,1,108,102,43,,,,,,22,35,0.629,,,,,,,18,45,,,,,,12,22,0.545,,,,,,,29,,,,,,,,,,,,,,,,,,,1962,6,-2,,,,,,10,13,0.08399999999999996,,,,,,,-11
14,15,1961-11-24,N,DET,STL,1,142,135,50,,,,,,42,53,0.792,,,,,,,26,53,,,,,,29,37,0.784,,,,,,,36,,,,,,,,,,,,,,,,,,,1962,7,-3,,,,,,13,16,0.008000000000000007,,,,,,,-10
15,16,1961-11-25,1,DET,LAL,1,104,103,36,,,,,,32,44,0.727,,,,,,,18,42,,,,,,19,29,0.655,,,,,,,30,,,,,,,,,,,,,,,,,,,1962,1,-6,,,,,,13,15,0.07199999999999995,,,,,,,-12
16,17,1961-11-26,1,DET,BOS,2,101,107,39,,,,,,23,31,0.742,,,,,,,22,43,,,,,,21,31,0.677,,,,,,,23,,,,,,,,,,,,,,,,,,,1962,-6,-4,,,,,,2,0,0.06499999999999995,,,,,,,-1
17,18,1961-11-28,N,DET,BOS,2,108,116,42,,,,,,24,39,0.615,,,,,,,25,46,,,,,,24,35,0.686,,,,,,,26,,,,,,,,,,,,,,,,,,,1962,-8,-4,,,,,,0,4,-0.07100000000000006,,,,,,,-1
18,19,1961-12-01,2,DET,STL,2,116,119,42,95.0,0.442,,,,32,40,0.8,,43.0,,,,,21,50,100.0,0.5,,,,19,24,0.792,,45.0,,,,,25,,,,0.421,,0.515,48.9,,,,0.442,,,0.337,0.5,,,0.19,1962,-3,-8,-5.0,-0.057999999999999996,,,,13,16,0.008000000000000007,,-2.0,,,,,-4
19,20,1961-12-02,1,DET,STL,1,118,109,46,,,,,,26,42,0.619,,,,,,,23,43,,,,,,23,27,0.852,,,,,,,32,,,,,,,,,,,,,,,,,,,1962,9,3,,,,,,3,15,-0.23299999999999998,,,,,,,-9
38,21,1961-12-06,1,DET,NYK,1,133,97,46,,,,,,41,56,0.732,,,,,,,28,35,,,,,,27,35,0.771,,,,,,,40,,,,,,,,,,,,,,,,,,,1962,36,11,,,,,,14,21,-0.039000000000000035,,,,,,,-12
39,22,1961-12-08,N,DET,CHP,1,133,107,52,,,,,,29,37,0.784,,,,,,,22,43,,,,,,21,30,0.7,,,,,,,28,,,,,,,,,,,,,,,,,,,1962,26,9,,,,,,8,7,0.08400000000000007,,,,,,,-6
40,23,1961-12-09,1,DET,LAL,2,107,114,39,,,,,,29,41,0.707,,,,,,,30,41,,,,,,32,47,0.681,,,,,,,28,,,,,,,,,,,,,,,,,,,1962,-7,-2,,,,,,-3,-6,0.025999999999999912,,,,,,,2
41,24,1961-12-12,N,DET,PHW,2,109,132,46,116.0,0.397,,,,17,32,0.531,,60.0,20.0,,,,24,53,114.0,0.465,,,,26,34,0.765,,65.0,28.0,,,,23,,,,0.276,,0.419,48.0,43.5,,,0.397,,,0.147,0.465,,,0.228,1962,-23,-7,2.0,-0.068,,,,-9,-2,-0.23399999999999999,,-5.0,-8.0,,,,1
