,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1963-10-16,1,STL,CIN,2,93,112,36,103.0,0.35,,,,21,28,0.75,,50.0,22.0,,,,26,41,84.0,0.488,,,,30,40,0.75,,57.0,28.0,,,,25,,,,0.272,,0.403,46.7,61.1,,,0.35,,,0.204,0.488,,,0.357,1964,-19,-5,19.0,-0.138,,,,-9,-12,0.0,,-7.0,-6.0,,,,1
1,2,1963-10-19,1,STL,LAL,1,117,108,41,98.0,0.418,,,,35,43,0.814,,55.0,25.0,,,,28,39,87.0,0.448,,,,30,38,0.789,,46.0,14.0,,,,32,,,,0.439,,0.5,54.5,61.0,,,0.418,,,0.357,0.448,,,0.345,1964,9,2,11.0,-0.030000000000000027,,,,5,5,0.02499999999999991,,9.0,11.0,,,,-4
2,3,1963-10-23,1,STL,SFW,2,95,99,33,80.0,0.413,,,,29,38,0.763,,39.0,28.0,,,,26,40,85.0,0.471,,,,19,32,0.594,,49.0,21.0,,,,26,,,,0.475,,0.491,44.3,84.8,,,0.413,,,0.363,0.471,,,0.224,1964,-4,-7,-5.0,-0.057999999999999996,,,,10,6,0.16900000000000004,,-10.0,7.0,,,,0
3,4,1963-10-26,1,STL,DET,1,127,103,49,97.0,0.505,,,,29,36,0.806,,67.0,34.0,,,,27,38,102.0,0.373,,,,27,37,0.73,,53.0,20.0,,,,26,,,,0.371,,0.563,55.8,69.4,,,0.505,,,0.299,0.373,,,0.265,1964,24,11,-5.0,0.132,,,,2,-1,0.07600000000000007,,14.0,14.0,,,,1
4,5,1963-10-27,2,STL,BAL,1,123,112,51,91.0,0.56,,,,21,28,0.75,,38.0,18.0,,,,27,41,106.0,0.387,,,,30,42,0.714,,56.0,8.0,,,,25,,,,0.308,,0.595,40.4,35.3,,,0.56,,,0.231,0.387,,,0.283,1964,11,10,-15.0,0.17300000000000004,,,,-9,-14,0.03600000000000003,,-18.0,10.0,,,,2
5,6,1963-10-29,2,STL,NYK,1,109,103,40,,,,,,29,43,0.674,,,,,,,35,40,,,,,,23,46,0.5,,,,,,,33,,,,,,,,,,,,,,,,,,,1964,6,0,,,,,,6,-3,0.17400000000000004,,,,,,,2
6,7,1963-10-30,1,STL,NYK,1,121,104,48,93.0,0.516,,,,25,33,0.758,,44.0,36.0,,,,29,39,83.0,0.47,,,,26,35,0.743,,47.0,16.0,,,,22,,,,0.355,,0.563,48.4,75.0,,,0.516,,,0.269,0.47,,,0.313,1964,17,9,10.0,0.04600000000000004,,,,-1,-2,0.015000000000000013,,-3.0,20.0,,,,7
7,8,1963-11-02,1,STL,PHI,1,128,99,51,106.0,0.481,,,,26,35,0.743,,64.0,33.0,,,,25,37,97.0,0.381,,,,25,34,0.735,,53.0,15.0,,,,27,,,,0.33,,0.527,54.7,64.7,,,0.481,,,0.245,0.381,,,0.258,1964,29,14,9.0,0.09999999999999998,,,,1,1,0.008000000000000007,,11.0,18.0,,,,-2
8,9,1963-11-06,2,STL,BAL,1,112,110,45,98.0,0.459,,,,22,24,0.917,,38.0,14.0,,,,28,45,99.0,0.455,,,,20,30,0.667,,59.0,16.0,,,,21,,,,0.245,,0.516,39.2,31.1,,,0.459,,,0.224,0.455,,,0.202,1964,2,0,-1.0,0.0040000000000000036,,,,2,-6,0.25,,-21.0,-2.0,,,,7
9,10,1963-11-08,2,STL,PHI,2,106,108,36,91.0,0.396,,,,34,39,0.872,,63.0,18.0,,,,30,40,99.0,0.404,,,,28,36,0.778,,54.0,22.0,,,,31,,,,0.429,,0.49,53.8,50.0,,,0.396,,,0.374,0.404,,,0.283,1964,-2,-4,-8.0,-0.008000000000000007,,,,6,3,0.09399999999999997,,9.0,-4.0,,,,-1
10,11,1963-11-09,1,STL,BOS,2,91,113,32,102.0,0.314,,,,27,33,0.818,,63.0,18.0,,,,33,40,97.0,0.412,,,,33,43,0.767,,71.0,24.0,,,,28,,,,0.324,,0.39,47.0,56.3,,,0.314,,,0.265,0.412,,,0.34,1964,-22,-8,5.0,-0.09799999999999998,,,,-6,-10,0.050999999999999934,,-8.0,-6.0,,,,5
11,12,1963-11-11,2,STL,BOS,2,110,116,43,96.0,0.448,,,,24,40,0.6,,44.0,28.0,,,,24,45,97.0,0.464,,,,26,32,0.813,,68.0,23.0,,,,28,,,,0.417,,0.484,39.3,65.1,,,0.448,,,0.25,0.464,,,0.268,1964,-6,-2,-1.0,-0.016000000000000014,,,,-2,8,-0.21299999999999997,,-24.0,5.0,,,,-4
12,13,1963-11-13,2,STL,NYK,2,102,106,37,88.0,0.42,,,,28,36,0.778,,43.0,14.0,,,,31,37,90.0,0.411,,,,32,40,0.8,,60.0,13.0,,,,27,,,,0.409,,0.491,41.7,37.8,,,0.42,,,0.318,0.411,,,0.356,1964,-4,0,-2.0,0.009000000000000008,,,,-4,-4,-0.02200000000000002,,-17.0,1.0,,,,4
13,14,1963-11-14,1,STL,SFW,1,117,105,49,114.0,0.43,,,,19,26,0.731,,52.0,25.0,,,,28,37,86.0,0.43,,,,31,49,0.633,,61.0,22.0,,,,22,,,,0.228,,0.466,46.0,51.0,,,0.43,,,0.167,0.43,,,0.36,1964,12,12,28.0,0.0,,,,-12,-23,0.09799999999999998,,-9.0,3.0,,,,6
14,15,1963-11-16,1,STL,BAL,1,115,112,42,95.0,0.442,,,,31,38,0.816,,46.0,32.0,,,,29,44,80.0,0.55,,,,24,40,0.6,,43.0,22.0,,,,28,,,,0.4,,0.515,51.7,76.2,,,0.442,,,0.326,0.55,,,0.3,1964,3,-2,15.0,-0.10800000000000004,,,,7,-2,0.21599999999999997,,3.0,10.0,,,,1
15,16,1963-11-17,2,STL,LAL,1,117,112,49,93.0,0.527,,,,19,23,0.826,,42.0,,,,,22,41,90.0,0.456,,,,30,39,0.769,,53.0,,,,,18,,,,0.247,,0.567,44.2,,,,0.527,,,0.204,0.456,,,0.333,1964,5,8,3.0,0.07100000000000001,,,,-11,-16,0.05699999999999994,,-11.0,,,,,4
16,17,1963-11-19,2,STL,SFW,2,96,129,44,107.0,0.411,,,,8,12,0.667,,50.0,33.0,,,,23,56,106.0,0.528,,,,17,31,0.548,,83.0,38.0,,,,13,,,,0.112,,0.428,37.6,75.0,,,0.411,,,0.075,0.528,,,0.16,1964,-33,-12,1.0,-0.11700000000000005,,,,-9,-19,0.119,,-33.0,-5.0,,,,10
17,18,1963-11-21,2,STL,LAL,2,99,111,42,109.0,0.385,,,,15,24,0.625,,52.0,,,,,24,44,89.0,0.494,,,,23,30,0.767,,62.0,,,,,22,,,,0.22,,0.414,45.6,,,,0.385,,,0.138,0.494,,,0.258,1964,-12,-2,20.0,-0.10899999999999999,,,,-8,-6,-0.14200000000000002,,-10.0,,,,,2
18,19,1963-11-23,1,STL,CIN,1,133,121,52,105.0,0.495,,,,29,38,0.763,,57.0,,,,,29,47,91.0,0.516,,,,27,37,0.73,,44.0,,,,,27,,,,0.362,,0.546,56.4,,,,0.495,,,0.276,0.516,,,0.297,1964,12,5,14.0,-0.02100000000000002,,,,2,1,0.03300000000000003,,13.0,,,,,2
19,20,1963-11-24,2,STL,CIN,2,113,122,42,90.0,0.467,,,,29,39,0.744,,52.0,19.0,,,,35,45,102.0,0.441,,,,32,47,0.681,,68.0,21.0,,,,28,,,,0.433,,0.527,43.3,45.2,,,0.467,,,0.322,0.441,,,0.314,1964,-9,-3,-12.0,0.026000000000000023,,,,-3,-8,0.06299999999999994,,-16.0,-2.0,,,,7
38,21,1963-11-27,2,STL,DET,1,113,105,39,86.0,0.453,,,,35,44,0.795,,50.0,,,,,26,39,92.0,0.424,,,,27,36,0.75,,48.0,,,,,31,,,,0.512,,0.536,51.0,,,,0.453,,,0.407,0.424,,,0.293,1964,8,0,-6.0,0.029000000000000026,,,,8,8,0.04500000000000004,,2.0,,,,,-5
39,22,1963-11-28,1,STL,DET,1,118,101,43,95.0,0.453,,,,32,42,0.762,,59.0,,,,,27,37,90.0,0.411,,,,27,36,0.75,,48.0,,,,,25,,,,0.442,,0.52,55.1,,,,0.453,,,0.337,0.411,,,0.3,1964,17,6,5.0,0.04200000000000004,,,,5,6,0.01200000000000001,,11.0,,,,,2
40,23,1963-11-30,1,STL,LAL,2,96,97,37,,,,,,22,28,0.786,,,,,,,27,35,,,,,,27,37,0.73,,,,,,,22,,,,,,,,,,,,,,,,,,,1964,-1,2,,,,,,-5,-9,0.05600000000000005,,,,,,,5
41,24,1963-12-04,1,STL,SFW,1,105,83,44,97.0,0.454,,,,17,26,0.654,,66.0,35.0,,,,21,36,92.0,0.391,,,,11,26,0.423,,52.0,16.0,,,,21,,,,0.268,,0.484,55.9,79.5,,,0.454,,,0.175,0.391,,,0.12,1964,22,8,5.0,0.063,,,,6,0,0.23100000000000004,,14.0,19.0,,,,0
42,25,1963-12-05,2,STL,PHI,1,106,103,38,99.0,0.384,,,,30,38,0.789,,65.0,19.0,,,,26,40,102.0,0.392,,,,23,33,0.697,,66.0,18.0,,,,28,,,,0.384,,0.458,49.6,50.0,,,0.384,,,0.303,0.392,,,0.225,1964,3,-2,-3.0,-0.008000000000000007,,,,7,5,0.09200000000000008,,-1.0,1.0,,,,-2
43,26,1963-12-06,2,STL,DET,2,108,112,41,106.0,0.387,,,,26,32,0.813,,55.0,13.0,,,,29,42,94.0,0.447,,,,28,41,0.683,,60.0,15.0,,,,29,,,,0.302,,0.45,47.8,31.7,,,0.387,,,0.245,0.447,,,0.298,1964,-4,-1,12.0,-0.06,,,,-2,-9,0.1299999999999999,,-5.0,-2.0,,,,0
44,27,1963-12-07,1,STL,PHI,1,129,120,50,104.0,0.481,,,,29,39,0.744,,54.0,31.0,,,,29,43,98.0,0.439,,,,34,39,0.872,,62.0,20.0,,,,30,,,,0.375,,0.532,46.6,62.0,,,0.481,,,0.279,0.439,,,0.347,1964,9,7,6.0,0.04199999999999998,,,,-5,0,-0.128,,-8.0,11.0,,,,-1
45,28,1963-12-10,N,STL,PHI,1,113,103,46,94.0,0.489,,,,21,35,0.6,,69.0,19.0,,,,31,37,113.0,0.327,,,,29,33,0.879,,51.0,18.0,,,,26,,,,0.372,,0.516,57.5,41.3,,,0.489,,,0.223,0.327,,,0.257,1964,10,9,-19.0,0.16199999999999998,,,,-8,2,-0.279,,18.0,1.0,,,,5
46,29,1963-12-11,2,STL,BOS,2,95,104,37,95.0,0.389,,,,21,29,0.724,,60.0,21.0,,,,24,42,100.0,0.42,,,,20,33,0.606,,63.0,26.0,,,,21,,,,0.305,,0.441,48.8,56.8,,,0.389,,,0.221,0.42,,,0.2,1964,-9,-5,-5.0,-0.030999999999999972,,,,1,-4,0.118,,-3.0,-5.0,,,,3
47,30,1963-12-14,1,STL,DET,1,104,92,41,99.0,0.414,,,,22,33,0.667,,47.0,24.0,,,,25,32,73.0,0.438,,,,28,37,0.757,,56.0,15.0,,,,26,,,,0.333,,0.458,45.6,58.5,,,0.414,,,0.222,0.438,,,0.384,1964,12,9,26.0,-0.02400000000000002,,,,-6,-4,-0.08999999999999997,,-9.0,9.0,,,,-1
48,31,1963-12-15,2,STL,LAL,1,102,95,41,99.0,0.414,,,,20,28,0.714,,50.0,,,,,23,35,90.0,0.389,,,,25,34,0.735,,56.0,,,,,19,,,,0.283,,0.458,47.2,,,,0.414,,,0.202,0.389,,,0.278,1964,7,6,9.0,0.024999999999999967,,,,-5,-6,-0.02100000000000002,,-6.0,,,,,4
49,32,1963-12-17,2,STL,SFW,2,106,110,41,106.0,0.387,,,,24,29,0.828,,52.0,30.0,,,,30,43,88.0,0.489,,,,24,40,0.6,,68.0,25.0,,,,23,,,,0.274,,0.446,43.3,73.2,,,0.387,,,0.226,0.489,,,0.273,1964,-4,-2,18.0,-0.10199999999999998,,,,0,-11,0.22799999999999998,,-16.0,5.0,,,,7
