,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1966-10-15,1,CIN,DET,1,103,99,37,96,0.385,,,,29,34,0.853,,66,,,,,23,39,92,0.424,,,,21,29,0.724,,46,,,,,27,,,,0.354,,0.464,58.9,,,,0.385,,,0.302,0.424,,,0.228,1967,4,-2,4,-0.03899999999999998,,,,8,5,0.129,,20,,,,,-4
1,2,1966-10-18,2,CIN,DET,2,112,114,38,105,0.362,,,,36,46,0.783,,66,,,,,23,49,113,0.434,,,,16,26,0.615,,69,,,,,33,,,,0.438,,0.447,48.9,,,,0.362,,,0.343,0.434,,,0.142,1967,-2,-11,-8,-0.07200000000000001,,,,20,20,0.16800000000000004,,-3,,,,,-10
2,3,1966-10-22,2,CIN,STL,2,123,133,49,110,0.445,,,,25,33,0.758,,56,14.0,,,,35,49,113,0.434,,,,35,52,0.673,,73,26.0,,,,27,,,,0.3,,0.494,43.4,28.6,,,0.445,,,0.227,0.434,,,0.31,1967,-10,0,-3,0.01100000000000001,,,,-10,-19,0.08499999999999996,,-17,-12.0,,,,8
3,4,1966-10-26,2,CIN,BAL,2,116,122,43,96,0.448,,,,30,41,0.732,,55,,,,,30,44,91,0.484,,,,34,42,0.81,,53,,,,,30,,,,0.427,,0.509,50.9,,,,0.448,,,0.313,0.484,,,0.374,1967,-6,-1,5,-0.035999999999999976,,,,-4,-1,-0.07800000000000007,,2,,,,,0
4,5,1966-10-27,1,CIN,STL,1,121,118,45,99,0.455,,,,31,46,0.674,,70,28.0,,,,28,44,115,0.383,,,,30,36,0.833,,62,19.0,,,,30,,,,0.465,,0.507,53.0,62.2,,,0.455,,,0.313,0.383,,,0.261,1967,3,1,-16,0.07200000000000001,,,,1,10,-0.15899999999999992,,8,9.0,,,,-2
5,6,1966-10-29,1,CIN,SFW,2,115,127,42,95,0.442,,,,31,35,0.886,,61,28.0,,,,27,51,124,0.411,,,,25,31,0.806,,65,16.0,,,,29,,,,0.368,,0.521,48.4,66.7,,,0.442,,,0.326,0.411,,,0.202,1967,-12,-9,-29,0.031000000000000028,,,,6,4,0.07999999999999996,,-4,12.0,,,,-2
6,7,1966-11-02,1,CIN,NYK,1,131,129,49,95,0.516,,,,33,41,0.805,,52,,,,,23,52,103,0.505,,,,25,37,0.676,,52,,,,,28,,,,0.432,,0.579,50.0,,,,0.516,,,0.347,0.505,,,0.243,1967,2,-3,-8,0.01100000000000001,,,,8,4,0.129,,0,,,,,-5
7,8,1966-11-04,2,CIN,DET,1,120,115,42,98,0.429,,,,36,46,0.783,,59,,,,,23,44,96,0.458,,,,27,32,0.844,,53,,,,,31,,,,0.469,,0.507,52.7,,,,0.429,,,0.367,0.458,,,0.281,1967,5,-2,2,-0.029000000000000026,,,,9,14,-0.06099999999999994,,6,,,,,-8
8,9,1966-11-05,1,CIN,CHI,2,99,113,36,100,0.36,,,,27,38,0.711,,67,18.0,,,,24,47,109,0.431,,,,19,33,0.576,,62,27.0,,,,26,,,,0.38,,0.424,51.9,50.0,,,0.36,,,0.27,0.431,,,0.174,1967,-14,-11,-9,-0.07100000000000001,,,,8,5,0.135,,5,-9.0,,,,-2
9,10,1966-11-10,1,CIN,BOS,2,112,113,44,106,0.415,,,,24,36,0.667,,71,19.0,,,,25,45,99,0.455,,,,23,33,0.697,,56,26.0,,,,28,,,,0.34,,0.46,55.9,43.2,,,0.415,,,0.226,0.455,,,0.232,1967,-1,-1,7,-0.040000000000000036,,,,1,3,-0.029999999999999916,,15,-7.0,,,,-3
10,11,1966-11-11,2,CIN,BAL,1,119,104,47,99,0.475,,,,25,32,0.781,,65,,,,,24,44,99,0.444,,,,16,31,0.516,,52,,,,,26,,,,0.323,,0.526,55.6,,,,0.475,,,0.253,0.444,,,0.162,1967,15,3,0,0.030999999999999972,,,,9,1,0.265,,13,,,,,-2
11,12,1966-11-12,1,CIN,PHI,2,98,112,37,107,0.346,,,,24,36,0.667,,63,22.0,,,,31,43,98,0.439,,,,26,46,0.565,,78,28.0,,,,28,,,,0.336,,0.399,44.7,59.5,,,0.346,,,0.224,0.439,,,0.265,1967,-14,-6,9,-0.09300000000000003,,,,-2,-10,0.10200000000000009,,-15,-6.0,,,,3
12,13,1966-11-16,N,CIN,LAL,2,112,124,46,102,0.451,,,,20,24,0.833,,56,23.0,,,,22,52,100,0.52,,,,20,28,0.714,,52,28.0,,,,25,,,,0.235,,0.498,51.9,50.0,,,0.451,,,0.196,0.52,,,0.2,1967,-12,-6,2,-0.069,,,,0,-4,0.119,,4,-5.0,,,,-3
13,14,1966-11-19,2,CIN,PHI,2,110,134,47,117,0.402,,,,16,26,0.615,,59,19.0,,,,31,54,95,0.568,,,,26,41,0.634,,60,29.0,,,,23,,,,0.222,,0.428,49.6,40.4,,,0.402,,,0.137,0.568,,,0.274,1967,-24,-7,22,-0.16599999999999993,,,,-10,-15,-0.019000000000000017,,-1,-10.0,,,,8
14,15,1966-11-20,1,CIN,BAL,1,125,123,43,87,0.494,,,,39,48,0.813,,44,31.0,,,,27,47,95,0.495,,,,29,41,0.707,,52,25.0,,,,31,,,,0.552,,0.578,45.8,72.1,,,0.494,,,0.448,0.495,,,0.305,1967,2,-4,-8,-0.0010000000000000009,,,,10,7,0.10599999999999998,,-8,6.0,,,,-4
15,16,1966-11-22,2,CIN,NYK,1,121,118,47,92,0.511,,,,27,36,0.75,,48,,,,,28,46,102,0.451,,,,26,40,0.65,,55,,,,,27,,,,0.391,,0.561,46.6,,,,0.511,,,0.293,0.451,,,0.255,1967,3,1,-10,0.06,,,,1,-4,0.09999999999999998,,-7,,,,,1
16,17,1966-11-23,1,CIN,PHI,1,111,106,37,96,0.385,,,,37,38,0.974,,61,24.0,,,,31,36,101,0.356,,,,34,50,0.68,,60,17.0,,,,28,,,,0.396,,0.492,50.4,64.9,,,0.385,,,0.385,0.356,,,0.337,1967,5,1,-5,0.029000000000000026,,,,3,-12,0.29399999999999993,,1,7.0,,,,3
17,18,1966-11-25,N,CIN,NYK,1,115,109,43,92,0.467,,,,29,32,0.906,,72,,,,,32,42,120,0.35,,,,25,37,0.676,,58,,,,,19,,,,0.348,,0.542,55.4,,,,0.467,,,0.315,0.35,,,0.208,1967,6,1,-28,0.11700000000000005,,,,4,-5,0.22999999999999998,,14,,,,,13
18,19,1966-11-26,2,CIN,BOS,2,87,118,30,87,0.345,,,,27,40,0.675,,53,14.0,,,,27,44,101,0.436,,,,30,37,0.811,,66,23.0,,,,30,,,,0.46,,0.416,44.5,46.7,,,0.345,,,0.31,0.436,,,0.297,1967,-31,-14,-14,-0.09100000000000003,,,,-3,3,-0.136,,-13,-9.0,,,,-3
19,20,1966-11-30,1,CIN,NYK,2,115,119,45,100,0.45,,,,25,34,0.735,,62,,,,,28,43,88,0.489,,,,33,39,0.846,,46,17.0,,,,28,,,,0.34,,0.5,57.4,,,,0.45,,,0.25,0.489,,,0.375,1967,-4,2,12,-0.03899999999999998,,,,-8,-5,-0.11099999999999999,,16,,,,,0
52,21,1966-12-03,1,CIN,LAL,2,118,130,49,124,0.395,,,,20,32,0.625,,69,,,,,28,51,105,0.486,,,,28,34,0.824,,61,,,,,29,,,,0.258,,0.427,53.1,,,,0.395,,,0.161,0.486,,,0.267,1967,-12,-2,19,-0.09099999999999997,,,,-8,-2,-0.19899999999999995,,8,,,,,-1
53,22,1966-12-07,2,CIN,BOS,2,91,119,37,112,0.33,,,,17,23,0.739,,62,12.0,,,,23,48,106,0.453,,,,23,32,0.719,,68,28.0,,,,17,,,,0.205,,0.373,47.7,32.4,,,0.33,,,0.152,0.453,,,0.217,1967,-28,-11,6,-0.123,,,,-6,-9,0.020000000000000018,,-6,-16.0,,,,6
54,23,1966-12-09,1,CIN,BOS,2,99,117,37,98,0.378,,,,25,33,0.758,,52,18.0,,,,25,46,100,0.46,,,,25,37,0.676,,67,33.0,,,,27,,,,0.337,,0.44,43.7,48.6,,,0.378,,,0.255,0.46,,,0.25,1967,-18,-9,-2,-0.08200000000000002,,,,0,-4,0.08199999999999996,,-15,-15.0,,,,-2
55,24,1966-12-10,2,CIN,SFW,2,120,123,46,101,0.455,,,,28,33,0.848,,65,13.0,,,,27,48,111,0.432,,,,27,38,0.711,,66,15.0,,,,25,,,,0.327,,0.519,49.6,28.3,,,0.455,,,0.277,0.432,,,0.243,1967,-3,-2,-10,0.02300000000000002,,,,1,-5,0.137,,-1,-2.0,,,,2
56,25,1966-12-11,2,CIN,LAL,2,118,119,42,92,0.457,,,,34,40,0.85,,50,27.0,,,,28,46,100,0.46,,,,27,33,0.818,,49,25.0,,,,31,,,,0.435,,0.538,50.5,64.3,,,0.457,,,0.37,0.46,,,0.27,1967,-1,-4,-8,-0.0030000000000000027,,,,7,7,0.03200000000000003,,1,2.0,,,,-3
57,26,1966-12-13,2,CIN,SFW,1,126,112,51,100,0.51,,,,24,25,0.96,,52,30.0,,,,25,44,106,0.415,,,,24,35,0.686,,66,19.0,,,,19,,,,0.25,,0.568,44.1,58.8,,,0.51,,,0.24,0.415,,,0.226,1967,14,7,-6,0.09500000000000003,,,,0,-10,0.2739999999999999,,-14,11.0,,,,6
58,27,1966-12-14,2,CIN,LAL,1,126,124,55,102,0.539,,,,16,26,0.615,,53,31.0,,,,23,54,115,0.47,,,,16,28,0.571,,66,29.0,,,,24,,,,0.255,,0.555,44.5,56.4,,,0.539,,,0.157,0.47,,,0.139,1967,2,1,-13,0.06900000000000006,,,,0,-2,0.04400000000000004,,-13,2.0,,,,-1
59,28,1966-12-16,N,CIN,CHI,2,120,128,41,87,0.471,,,,38,49,0.776,,48,22.0,,,,33,48,92,0.522,,,,32,38,0.842,,47,28.0,,,,33,,,,0.563,,0.553,50.5,53.7,,,0.471,,,0.437,0.522,,,0.348,1967,-8,-7,-5,-0.051000000000000045,,,,6,11,-0.06599999999999995,,1,-6.0,,,,0
60,29,1966-12-18,1,CIN,BAL,1,138,114,57,130,0.438,,,,24,30,0.8,,84,37.0,,,,23,45,103,0.437,,,,24,30,0.8,,48,33.0,,,,24,,,,0.231,,0.482,63.6,64.9,,,0.438,,,0.185,0.437,,,0.233,1967,24,12,27,0.0010000000000000009,,,,0,0,0.0,,36,4.0,,,,-1
61,30,1966-12-25,1,CIN,SFW,2,112,124,41,97,0.423,,,,30,36,0.833,,59,20.0,,,,26,47,104,0.452,,,,30,40,0.75,,58,28.0,,,,27,,,,0.371,,0.496,50.4,48.8,,,0.423,,,0.309,0.452,,,0.288,1967,-12,-6,-7,-0.029000000000000026,,,,0,-4,0.08299999999999996,,1,-8.0,,,,-1
