,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1969-10-16,2,SDR,PHO,2,114,116,44,92.0,0.478,,,,26,36,0.722,,48.0,17.0,,,,29,46,102.0,0.451,,,,24,39,0.615,,54.0,24.0,,,,31,,,,0.391,,0.529,47.1,38.6,,,0.478,,,0.283,0.451,,,0.235,1970,-2,-2,-10.0,0.02699999999999997,,,,2,-3,0.10699999999999998,,-6.0,-7.0,,,,-2
1,2,1969-10-18,2,SDR,SFW,1,125,124,51,116.0,0.44,,,,23,30,0.767,,64.0,28.0,,,,24,52,130.0,0.4,,,,20,31,0.645,,74.0,25.0,,,,26,,,,0.259,,0.484,46.4,54.9,,,0.44,,,0.198,0.4,,,0.154,1970,1,-1,-14.0,0.03999999999999998,,,,3,-1,0.122,,-10.0,3.0,,,,-2
2,3,1969-10-22,1,SDR,MIL,2,102,115,41,122.0,0.336,,,,20,29,0.69,,64.0,15.0,,,,20,47,110.0,0.427,,,,21,26,0.808,,75.0,16.0,,,,22,,,,0.238,,0.378,46.0,36.6,,,0.336,,,0.164,0.427,,,0.191,1970,-13,-6,12.0,-0.09099999999999997,,,,-1,3,-0.1180000000000001,,-11.0,-1.0,,,,-2
3,4,1969-10-25,1,SDR,PHO,2,107,115,43,116.0,0.371,,,,21,30,0.7,,65.0,15.0,,,,25,47,102.0,0.461,,,,21,38,0.553,,57.0,24.0,,,,24,,,,0.259,,0.414,53.3,34.9,,,0.371,,,0.181,0.461,,,0.206,1970,-8,-4,14.0,-0.09000000000000002,,,,0,-8,0.1469999999999999,,8.0,-9.0,,,,1
4,5,1969-10-29,2,SDR,ATL,2,113,117,46,90.0,0.511,,,,21,35,0.6,,45.0,31.0,,,19.0,25,45,91.0,0.495,,,,27,37,0.73,,47.0,27.0,,,18.0,26,,,,0.389,,0.536,48.9,67.4,,,0.511,15.3,,0.233,0.495,14.4,,0.297,1970,-4,1,-1.0,0.016000000000000014,,,,-6,-2,-0.13,,-2.0,4.0,,,1.0,-1
5,6,1969-10-30,2,SDR,NYK,2,110,123,47,99.0,0.475,,,,16,26,0.615,,46.0,28.0,,,,21,50,108.0,0.463,,,,23,33,0.697,,62.0,32.0,,,,18,,,,0.263,,0.498,42.6,59.6,,,0.475,,,0.162,0.463,,,0.213,1970,-13,-3,-9.0,0.011999999999999955,,,,-7,-7,-0.08199999999999996,,-16.0,-4.0,,,,3
6,7,1969-10-31,2,SDR,BOS,2,113,118,41,112.0,0.366,,,,31,42,0.738,,59.0,13.0,,,,29,45,103.0,0.437,,,,28,41,0.683,,59.0,20.0,,,,28,,,,0.375,,0.433,50.0,31.7,,,0.366,,,0.277,0.437,,,0.272,1970,-5,-4,9.0,-0.07100000000000001,,,,3,1,0.05499999999999994,,0.0,-7.0,,,,1
7,8,1969-11-01,2,SDR,DET,2,113,130,46,123.0,0.374,,,,21,33,0.636,,69.0,15.0,,,,25,51,91.0,0.56,,,,28,40,0.7,,49.0,28.0,,,,27,,,,0.268,,0.411,58.5,32.6,,,0.374,,,0.171,0.56,,,0.308,1970,-17,-5,32.0,-0.18600000000000005,,,,-7,-7,-0.06399999999999995,,20.0,-13.0,,,,-2
8,9,1969-11-05,2,SDR,CIN,2,120,133,42,102.0,0.412,,,,36,55,0.655,,64.0,13.0,,,31.0,36,48,110.0,0.436,,,,37,51,0.725,,64.0,27.0,,,,39,,,,0.539,,0.475,50.0,31.0,,,0.412,19.7,,0.353,0.436,,,0.336,1970,-13,-6,-8.0,-0.02400000000000002,,,,-1,4,-0.06999999999999995,,0.0,-14.0,,,,-3
9,10,1969-11-07,1,SDR,NYK,2,111,129,45,111.0,0.405,,,,21,32,0.656,,56.0,16.0,,,,26,47,97.0,0.485,,,,35,43,0.814,,53.0,19.0,,,,27,,,,0.288,,0.444,51.4,35.6,,,0.405,,,0.189,0.485,,,0.361,1970,-18,-2,14.0,-0.07999999999999996,,,,-14,-11,-0.15799999999999992,,3.0,-3.0,,,,-1
