,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1969-10-18,1,SFW,SDR,2,124,125,52,130,0.4,,,,20,31,0.645,,74,25,,,,26,51,116,0.44,,,,23,30,0.767,,64,28,,,,24,,,,0.238,,0.432,53.6,48.1,,,0.4,,,0.154,0.44,,,0.198,1970,-1,1,14,-0.03999999999999998,,,,-3,1,-0.122,,10,-3,,,,2
1,2,1969-10-22,2,SFW,ATL,1,94,93,42,91,0.462,,,,10,19,0.526,,51,16,,,,22,34,91,0.374,,,,25,34,0.735,,52,19,,,,17,,,,0.209,,0.473,49.5,38.1,,,0.462,,,0.11,0.374,,,0.275,1970,1,8,0,0.08800000000000002,,,,-15,-15,-0.20899999999999996,,-1,-3,,,,5
2,3,1969-10-23,2,SFW,NYK,1,112,109,42,97,0.433,,,,28,32,0.875,,68,22,,,,25,41,100,0.41,,,,27,38,0.711,,42,31,,,,21,,,,0.33,,0.504,61.8,52.4,,,0.433,,,0.289,0.41,,,0.27,1970,3,1,-3,0.02300000000000002,,,,1,-6,0.16400000000000003,,26,-9,,,,4
3,4,1969-10-25,1,SFW,MIL,1,118,104,46,105,0.438,,,,26,34,0.765,,70,27,,,,17,44,108,0.407,,,,16,21,0.762,,47,25,,,,22,,,,0.324,,0.492,59.8,58.7,,,0.438,,,0.248,0.407,,,0.148,1970,14,2,-3,0.031000000000000028,,,,10,13,0.0030000000000000027,,23,2,,,,-5
4,5,1969-10-29,1,SFW,CHI,2,87,101,35,83,0.422,,,,17,28,0.607,,61,17,,,,24,40,105,0.381,,,,21,30,0.7,,52,20,,,,24,,,,0.337,,0.456,54.0,48.6,,,0.422,,,0.205,0.381,,,0.2,1970,-14,-5,-22,0.04099999999999998,,,,-4,-2,-0.09299999999999997,,9,-3,,,,0
5,6,1969-11-01,1,SFW,CIN,1,120,97,45,94,0.479,,,,30,38,0.789,,60,25,,,,26,36,105,0.343,,,,25,36,0.694,,58,20,,,,27,,,,0.404,,0.542,50.8,55.6,,,0.479,,,0.319,0.343,,,0.238,1970,23,9,-11,0.13599999999999995,,,,5,2,0.09500000000000008,,2,5,,,,-1
6,7,1969-11-04,2,SFW,BAL,2,105,124,38,100,0.38,,,,29,33,0.879,,59,18,,,,26,49,111,0.441,,,,26,33,0.788,,68,33,,,,25,,,,0.33,,0.458,46.5,47.4,,,0.38,,,0.29,0.441,,,0.234,1970,-19,-11,-11,-0.061,,,,3,0,0.09099999999999997,,-9,-15,,,,1
7,8,1969-11-06,2,SFW,CIN,1,130,109,49,104,0.471,,,,32,40,0.8,,65,27,,,,26,44,99,0.444,,,,21,28,0.75,,43,19,,,,35,,,,0.385,,0.535,60.2,55.1,,,0.471,,,0.308,0.444,,,0.212,1970,21,5,5,0.02699999999999997,,,,11,12,0.050000000000000044,,22,8,,,,-9
8,9,1969-11-07,2,SFW,BOS,1,111,110,39,83,0.47,,,,33,42,0.786,,35,15,,,,22,45,100,0.45,,,,20,25,0.8,,58,28,,,,29,,,,0.506,,0.547,37.6,38.5,,,0.47,,,0.398,0.45,,,0.2,1970,1,-6,-17,0.019999999999999962,,,,13,17,-0.014000000000000012,,-23,-13,,,,-7
9,10,1969-11-08,2,SFW,ATL,2,93,106,31,84,0.369,,,,31,46,0.674,,60,19,,,,26,43,103,0.417,,,,20,33,0.606,,61,29,,,,27,,,,0.548,,0.446,49.6,61.3,,,0.369,,,0.369,0.417,,,0.194,1970,-13,-12,-19,-0.04799999999999999,,,,11,13,0.06800000000000006,,-1,-10,,,,-1
10,11,1969-11-10,N,SFW,SDR,2,99,100,39,107,0.364,,,,21,30,0.7,,74,20,,,,23,40,111,0.36,,,,20,27,0.741,,62,19,,,,23,,,,0.28,,0.412,54.4,51.3,,,0.364,,,0.196,0.36,,,0.18,1970,-1,-1,-4,0.0040000000000000036,,,,1,3,-0.041000000000000036,,12,1,,,,0
