,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1970-10-14,1,BAL,SDR,1,123,105,46,93.0,0.495,,,,31,41,0.756,,62.0,27.0,,,20.0,24,43,110.0,0.391,,,,19,28,0.679,,60.0,18.0,,,21.0,29.0,,,,0.441,,0.554,50.8,58.7,,,0.495,15.3,,0.333,0.391,14.7,,0.173,1971,18,3,-17.0,0.10399999999999998,,,,12,13,0.07699999999999996,,2.0,9.0,,,-1.0,-5.0
1,2,1970-10-17,1,BAL,LAL,1,118,116,48,,,,,,22,27,0.815,,,,,,,36,42,,,,,,32,54,0.593,,,,,,,22.0,,,,,,,,,,,,,,,,,,,1971,2,6,,,,,,-10,-27,0.22199999999999998,,,,,,,14.0
2,3,1970-10-20,1,BAL,SFW,2,105,125,46,105.0,0.438,,,,13,17,0.765,,40.0,22.0,,,16.0,24,47,88.0,0.534,,,,31,35,0.886,,56.0,27.0,,,22.0,16.0,,,,0.162,,0.467,41.7,47.8,,,0.438,12.5,,0.124,0.534,17.5,,0.352,1971,-20,-1,17.0,-0.09600000000000003,,,,-18,-18,-0.121,,-16.0,-5.0,,,-6.0,8.0
3,4,1970-10-21,2,BAL,CIN,1,117,105,44,96.0,0.458,,,,29,41,0.707,,61.0,,,,20.0,25,44,111.0,0.396,,,,17,31,0.548,,62.0,,,,19.0,27.0,,,,0.427,,0.513,49.6,,,,0.458,14.9,,0.302,0.396,13.2,,0.153,1971,12,0,-15.0,0.062,,,,12,10,0.15899999999999992,,-1.0,,,,1.0,-2.0
4,5,1970-10-23,1,BAL,NYK,1,98,92,38,83.0,0.458,,,,22,28,0.786,,57.0,22.0,,,,15,38,97.0,0.392,,,,16,20,0.8,,48.0,22.0,,,,22.0,,,,0.337,,0.514,54.3,57.9,,,0.458,,,0.265,0.392,,,0.165,1971,6,0,-14.0,0.066,,,,6,8,-0.014000000000000012,,9.0,0.0,,,,-7.0
5,6,1970-10-24,2,BAL,MIL,2,120,122,49,,,,,,22,29,0.759,,,,,,,27,49,,,,,,24,32,0.75,,,,,,,21.0,,,,,,,,,,,,,,,,,,,1971,-2,0,,,,,,-2,-3,0.009000000000000008,,,,,,,6.0
6,7,1970-10-28,1,BAL,DET,2,103,109,46,,,,,,11,19,0.579,,,,,,29.0,25,42,,,,,,25,30,0.833,,,,,,17.0,15.0,,,,,,,,,,,,,,,,,,,1971,-6,4,,,,,,-14,-11,-0.254,,,,,,12.0,10.0
7,8,1970-10-30,2,BAL,PHI,1,123,110,44,99.0,0.444,,,,35,47,0.745,,60.0,25.0,,,24.0,27,39,95.0,0.411,,,,32,37,0.865,,55.0,22.0,,,26.0,29.0,,,,0.475,,0.514,52.2,56.8,,,0.444,16.7,,0.354,0.411,18.9,,0.337,1971,13,5,4.0,0.03300000000000003,,,,3,10,-0.12,,5.0,3.0,,,-2.0,-2.0
8,9,1970-10-31,1,BAL,PHO,1,106,103,45,95.0,0.474,,,,16,26,0.615,,62.0,25.0,,,17.0,30,35,92.0,0.38,,,,33,44,0.75,,48.0,15.0,,,13.0,21.0,,,,0.274,,0.498,56.4,55.6,,,0.474,13.8,,0.168,0.38,10.5,,0.359,1971,3,10,3.0,0.09399999999999997,,,,-17,-18,-0.135,,14.0,10.0,,,4.0,9.0
9,10,1970-11-04,2,BAL,SFW,2,100,111,41,101.0,0.406,,,,18,21,0.857,,47.0,21.0,,,,18,48,101.0,0.475,,,,15,21,0.714,,57.0,28.0,,,,19.0,,,,0.208,,0.454,45.2,51.2,,,0.406,,,0.178,0.475,,,0.149,1971,-11,-7,0.0,-0.06899999999999995,,,,3,0,0.14300000000000002,,-10.0,-7.0,,,,-1.0
