,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1973-10-09,1,BUF,HOU,1,107,105,47,103.0,0.456,,,,13,19,0.684,,62.0,,,,24.0,22,45,108.0,0.417,,,,15,18,0.833,,48.0,,,,18.0,21,,,,0.184,,0.48,56.4,,,,0.456,17.7,,0.126,0.417,13.4,,0.139,1974,2,2,-5.0,0.039000000000000035,,,,-2,1,-0.1489999999999999,,14.0,,,,6.0,1
1,2,1973-10-12,2,BUF,BOS,2,112,118,49,98.0,0.5,,,,14,17,0.824,,36.0,23.0,,,,17,52,106.0,0.491,,,,14,17,0.824,,51.0,35.0,,,,22,,,,0.173,,0.531,41.4,46.9,,,0.5,,,0.143,0.491,,,0.132,1974,-6,-3,-8.0,0.009000000000000008,,,,0,0,0.0,,-15.0,-12.0,,,,-5
2,3,1973-10-13,1,BUF,LAL,2,122,125,52,113.0,0.46,,,,18,22,0.818,,56.0,30.0,,,,33,46,96.0,0.479,,,,33,41,0.805,,52.0,26.0,,,,30,,,,0.195,,0.497,51.9,57.7,,,0.46,,,0.159,0.479,,,0.344,1974,-3,6,17.0,-0.01899999999999996,,,,-15,-19,0.0129999999999999,,4.0,4.0,,,,3
3,4,1973-10-16,2,BUF,NYK,2,91,117,38,85.0,0.447,,,,15,20,0.75,,40.0,11.0,,,,16,50,93.0,0.538,,,,17,21,0.81,,43.0,33.0,,,,20,,,,0.235,,0.485,48.2,28.9,,,0.447,,,0.176,0.538,,,0.183,1974,-26,-12,-8.0,-0.09100000000000003,,,,-2,-1,-0.06000000000000005,,-3.0,-22.0,,,,-4
4,5,1973-10-20,1,BUF,PHI,1,116,110,49,104.0,0.471,,,,18,24,0.75,,61.0,27.0,,,,26,41,102.0,0.402,,,,28,33,0.848,,49.0,20.0,,,,26,,,,0.231,,0.506,55.5,55.1,,,0.471,,,0.173,0.402,,,0.275,1974,6,8,2.0,0.06899999999999995,,,,-10,-9,-0.09799999999999998,,12.0,7.0,,,,0
5,6,1973-10-24,2,BUF,MIL,2,113,130,51,101.0,0.505,,,,11,14,0.786,,40.0,29.0,9.0,1.0,23.0,27,54,102.0,0.529,,,,22,29,0.759,,50.0,36.0,16.0,8.0,20.0,18,,,,0.139,,0.527,44.4,56.9,,1.0,0.505,17.7,,0.109,0.529,14.8,,0.216,1974,-17,-3,-1.0,-0.02400000000000002,,,,-11,-15,0.027000000000000024,,-10.0,-7.0,-7.0,-7.0,3.0,9
6,7,1973-10-26,N,BUF,CLE,1,104,97,42,90.0,0.467,,,,20,27,0.741,11.0,46.0,29.0,11.0,,,18,40,85.0,0.471,,,,17,20,0.85,8.0,44.0,24.0,8.0,,,22,,,,0.3,,0.51,51.1,69.0,,,0.467,,23.4,0.222,0.471,,81.4,0.2,1974,7,2,5.0,-0.003999999999999948,,,,3,7,-0.10899999999999999,3.0,2.0,5.0,3.0,,,-4
7,8,1973-10-27,2,BUF,CLE,1,111,101,48,95.0,0.505,,,,15,20,0.75,19.0,59.0,25.0,3.0,,,18,45,102.0,0.441,,,,11,14,0.786,10.0,36.0,30.0,7.0,,,19,,,,0.211,,0.535,62.1,52.1,,,0.505,,42.2,0.158,0.441,,80.0,0.108,1974,10,3,-7.0,0.064,,,,4,6,-0.03600000000000003,9.0,23.0,-5.0,-4.0,,,-1
8,9,1973-10-28,2,BUF,KCO,1,112,100,45,96.0,0.469,,,,22,30,0.733,,41.0,19.0,,,20.0,25,37,75.0,0.493,,,,26,27,0.963,,40.0,22.0,,,29.0,24,,,,0.313,,0.513,50.6,42.2,,,0.469,15.5,,0.229,0.493,25.0,,0.347,1974,12,8,21.0,-0.02400000000000002,,,,-4,3,-0.22999999999999998,,1.0,-3.0,,,-9.0,1
9,10,1973-10-30,1,BUF,SEA,1,105,103,43,99.0,0.434,,,,19,24,0.792,,56.0,25.0,10.0,5.0,22.0,26,43,92.0,0.467,,,,17,27,0.63,,50.0,24.0,8.0,4.0,22.0,24,,,,0.242,,0.479,52.8,58.1,,5.4,0.434,16.7,,0.192,0.467,17.5,,0.185,1974,2,0,7.0,-0.03300000000000003,,,,2,-3,0.16200000000000003,,6.0,1.0,2.0,1.0,0.0,2
