,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1973-10-10,1,KCO,CHI,2,90,105,35,70,0.5,,,,20,26,0.769,5.0,38,20,12.0,,29.0,27,46,96,0.479,,,,13,14,0.929,13.0,43,17,21.0,0.0,22.0,23,84.7,98.8,106.3,0.371,,0.553,46.9,57.1,11.3,,0.5,26.3,14.3,0.286,0.479,17.7,71.7,0.135,1974,-15,-11,-26,0.02100000000000002,,,,7,12,-0.16000000000000003,-8.0,-5,3,-9.0,,7.0,4
1,2,1973-10-12,1,KCO,CHI,1,88,84,30,82,0.366,,,,28,36,0.778,17.0,51,13,12.0,,26.0,26,32,91,0.352,,,,20,27,0.741,17.0,45,16,10.0,,19.0,24,87.5,83.5,100.6,0.439,,0.45,53.1,43.3,11.9,,0.366,21.0,37.8,0.341,0.352,15.6,66.7,0.22,1974,4,-2,-9,0.014000000000000012,,,,8,9,0.03700000000000003,0.0,6,-3,2.0,,7.0,2
2,3,1973-10-13,2,KCO,ATL,1,117,102,52,81,0.642,,,,13,18,0.722,,39,33,,,,21,44,93,0.473,,,,14,24,0.583,,42,29,,,,19,,,,0.222,,0.658,48.1,63.5,,,0.642,,,0.16,0.473,,,0.151,1974,15,8,-12,0.16900000000000004,,,,-1,-6,0.139,,-3,4,,,,2
3,4,1973-10-17,2,KCO,SEA,1,108,106,45,96,0.469,,,,18,24,0.75,,46,29,11.0,5.0,17.0,20,46,108,0.426,,,,14,18,0.778,,60,28,,,21.0,24,,,,0.25,,0.507,43.4,64.4,,4.6,0.469,13.8,,0.188,0.426,15.3,,0.13,1974,2,-1,-12,0.04299999999999998,,,,4,6,-0.028000000000000025,,-14,1,,,-4.0,-4
4,5,1973-10-19,2,KCO,POR,2,99,111,37,77,0.481,,,,25,34,0.735,10.0,39,28,7.0,8.0,24.0,27,42,80,0.525,,,,27,36,0.75,7.0,39,32,8.0,5.0,19.0,27,94.3,105.8,105.0,0.442,,0.538,50.0,75.7,6.7,10.0,0.481,20.7,23.8,0.325,0.525,16.5,80.6,0.338,1974,-12,-5,-3,-0.04400000000000004,,,,-2,-2,-0.015000000000000013,3.0,0,-4,-1.0,3.0,5.0,0
5,6,1973-10-20,2,KCO,GSW,2,81,100,33,91,0.363,,,,15,24,0.625,12.0,48,23,9.0,,23.0,24,41,89,0.461,,,,18,23,0.783,13.0,58,23,8.0,,21.0,23,75.0,92.5,108.1,0.264,,0.399,45.3,69.7,8.3,,0.363,18.5,21.1,0.165,0.461,17.5,73.5,0.202,1974,-19,-8,2,-0.09800000000000003,,,,-3,1,-0.15800000000000003,-1.0,-10,0,1.0,,2.0,1
6,7,1973-10-24,1,KCO,LAL,2,91,92,40,99,0.404,,,,11,17,0.647,15.0,41,22,12.0,,,26,32,77,0.416,,,,28,30,0.933,16.0,51,10,4.0,,26.0,23,,,,0.172,,0.427,44.6,55.0,,,0.404,,30.0,0.111,0.416,22.4,61.9,0.364,1974,-1,8,22,-0.011999999999999955,,,,-17,-13,-0.28600000000000003,-1.0,-10,12,8.0,,,3
7,8,1973-10-26,1,KCO,PHO,1,98,93,33,83,0.398,,,,32,45,0.711,14.0,43,19,17.0,1.0,18.0,24,38,84,0.452,,,,17,23,0.739,13.0,48,14,5.0,3.0,27.0,30,93.9,89.1,104.3,0.542,,0.477,47.3,57.6,16.3,1.2,0.398,14.9,28.6,0.386,0.452,22.3,69.0,0.202,1974,5,-5,-1,-0.05399999999999999,,,,15,22,-0.028000000000000025,1.0,-5,5,12.0,-2.0,-9.0,-6
8,9,1973-10-28,1,KCO,BUF,2,100,112,37,75,0.493,,,,26,27,0.963,,40,22,,,29.0,24,45,96,0.469,,,,22,30,0.733,,41,19,,,20.0,25,,,,0.36,,0.576,49.4,59.5,,,0.493,25.0,,0.347,0.469,15.5,,0.229,1974,-12,-8,-21,0.02400000000000002,,,,4,-3,0.22999999999999998,,-1,3,,,9.0,-1
9,10,1973-10-30,1,KCO,MIL,2,78,112,35,77,0.455,,,,8,12,0.667,,38,21,6.0,4.0,23.0,19,49,90,0.544,,,,14,16,0.875,,49,20,14.0,3.0,24.0,17,,,,0.156,,0.474,43.7,60.0,,4.4,0.455,21.8,,0.104,0.544,19.8,,0.156,1974,-34,-14,-13,-0.08900000000000002,,,,-6,-4,-0.20799999999999996,,-11,1,-8.0,1.0,-1.0,2
10,11,1973-11-02,1,KCO,SEA,2,109,115,43,95,0.453,,,,23,27,0.852,,49,15,7.0,4.0,15.0,35,44,90,0.489,,,,27,37,0.73,,46,18,,2.0,14.0,23,,,,0.284,,0.51,51.6,34.9,,4.4,0.453,12.3,,0.242,0.489,11.6,,0.3,1974,-6,-1,5,-0.035999999999999976,,,,-4,-10,0.122,,3,-3,,2.0,1.0,12
11,12,1973-11-04,1,KCO,GSW,2,91,92,33,84,0.393,,,,25,34,0.735,16.0,44,12,11.0,,16.0,26,37,79,0.468,,,,18,26,0.692,16.0,53,19,6.0,,21.0,29,95.2,96.2,95.6,0.405,,0.46,45.4,36.4,11.5,,0.393,13.9,30.2,0.298,0.468,18.8,63.6,0.228,1974,-1,-4,5,-0.07500000000000001,,,,7,8,0.04300000000000004,0.0,-9,-7,5.0,,-5.0,-3
12,13,1973-11-09,1,KCO,CAP,2,96,109,40,93,0.43,,,,16,19,0.842,,44,16,,,,26,45,85,0.529,,,,19,28,0.679,,42,23,,,,20,,,,0.204,,0.474,51.2,40.0,,,0.43,,,0.172,0.529,,,0.224,1974,-13,-5,8,-0.09900000000000003,,,,-3,-9,0.16299999999999992,,2,-7,,,,6
13,14,1973-11-10,2,KCO,MIL,2,83,84,37,90,0.411,,,,9,11,0.818,,45,21,5.0,2.0,,21,34,87,0.391,,,,16,23,0.696,,53,21,11.0,9.0,,17,,,,0.122,,0.438,45.9,56.8,,2.3,0.411,,,0.1,0.391,,,0.184,1974,-1,3,3,0.019999999999999962,,,,-7,-12,0.122,,-8,0,-6.0,-7.0,,4
14,15,1973-11-11,2,KCO,CLE,1,103,93,42,81,0.519,,,,19,21,0.905,14.0,48,28,5.0,,22.0,27,35,100,0.35,,,,23,35,0.657,25.0,45,21,5.0,,13.0,17,107.4,97.0,95.9,0.259,,0.571,51.6,66.7,5.2,,0.519,19.6,41.2,0.235,0.35,10.1,57.6,0.23,1974,10,7,-19,0.16900000000000004,,,,-4,-14,0.248,-11.0,3,7,0.0,,9.0,10
15,16,1973-11-14,1,KCO,HOU,1,118,116,45,86,0.523,,,,28,33,0.848,,45,22,,,30.0,35,43,88,0.489,,,,30,35,0.857,,39,20,,,21.0,26,,,,0.384,,0.587,53.6,48.9,,,0.523,23.0,,0.326,0.489,16.9,,0.341,1974,2,2,-2,0.03400000000000003,,,,-2,-2,-0.009000000000000008,,6,2,,,9.0,9
16,17,1973-11-16,2,KCO,DET,2,98,125,38,96,0.396,,,,22,32,0.688,,41,15,,,31.0,27,51,88,0.58,,,,23,32,0.719,,50,37,,,33.0,27,,,,0.333,,0.445,45.1,39.5,,,0.396,22.0,,0.229,0.58,24.4,,0.261,1974,-27,-13,8,-0.18399999999999994,,,,-1,0,-0.031000000000000028,,-9,-22,,,-2.0,0
17,18,1973-11-17,1,KCO,BOS,2,110,123,44,89,0.494,,,,22,25,0.88,,45,22,,,26.0,26,48,92,0.522,,,,27,30,0.9,,42,23,,,22.0,19,,,,0.281,,0.55,51.7,50.0,,,0.494,20.6,,0.247,0.522,17.3,,0.293,1974,-13,-4,-3,-0.028000000000000025,,,,-5,-5,-0.020000000000000018,,3,-1,,,4.0,7
18,19,1973-11-20,1,KCO,PHI,2,103,109,41,83,0.494,,,,21,29,0.724,,38,20,,,,30,38,79,0.481,,,,33,35,0.943,,40,20,,,,27,,,,0.349,,0.538,48.7,48.8,,,0.494,,,0.253,0.481,,,0.418,1974,-6,3,4,0.013000000000000012,,,,-12,-6,-0.21899999999999997,,-2,0,,,,3
19,20,1973-11-21,1,KCO,PHI,2,90,103,37,81,0.457,,,,16,22,0.727,,43,9,,,,29,39,89,0.438,,,,25,27,0.926,,48,26,,,,18,,,,0.272,,0.496,47.3,24.3,,,0.457,,,0.198,0.438,,,0.281,1974,-13,-2,-8,0.019000000000000017,,,,-9,-5,-0.19900000000000007,,-5,-17,,,,11
52,21,1973-11-23,2,KCO,BOS,2,102,119,41,99,0.414,,,,20,28,0.714,,38,24,,,22.0,19,49,105,0.467,,,,21,22,0.955,,60,34,,,33.0,26,,,,0.283,,0.458,38.8,58.5,,,0.414,16.5,,0.202,0.467,22.3,,0.2,1974,-17,-8,-6,-0.05300000000000005,,,,-1,6,-0.241,,-22,-10,,,-11.0,-7
53,22,1973-11-24,2,KCO,BUF,2,131,143,52,107,0.486,,,,27,31,0.871,,49,32,,,23.0,26,54,92,0.587,,,,35,40,0.875,,41,32,,,23.0,24,,,,0.29,,0.543,54.4,61.5,,,0.486,16.0,,0.252,0.587,17.3,,0.38,1974,-12,-2,15,-0.10099999999999998,,,,-8,-9,-0.0040000000000000036,,8,0,,,0.0,2
54,23,1973-11-25,1,KCO,SEA,2,99,104,37,89,0.416,,,,25,34,0.735,,67,21,9.0,3.0,30.0,22,41,108,0.38,,,,22,29,0.759,,55,14,6.0,4.0,14.0,25,,,,0.382,,0.476,54.9,56.8,,2.8,0.416,22.4,,0.281,0.38,10.4,,0.204,1974,-5,-4,-19,0.035999999999999976,,,,3,5,-0.02400000000000002,,12,7,3.0,-1.0,16.0,-3
55,24,1973-11-27,1,KCO,ATL,2,110,129,41,93,0.441,,,,28,41,0.683,,42,24,,,,31,50,94,0.532,,,,29,35,0.829,,52,17,,,,33,,,,0.441,,0.495,44.7,58.5,,,0.441,,,0.301,0.532,,,0.309,1974,-19,-9,-1,-0.09100000000000003,,,,-1,6,-0.1459999999999999,,-10,7,,,,-2
56,25,1973-11-29,2,KCO,PHO,2,99,119,36,86,0.419,,,,27,29,0.931,5.0,36,26,8.0,5.0,21.0,18,56,102,0.549,,,,7,13,0.538,11.0,48,33,5.0,3.0,17.0,30,88.6,106.5,111.8,0.337,,0.501,42.9,72.2,7.2,4.9,0.419,17.5,11.9,0.314,0.549,13.6,73.8,0.069,1974,-20,-20,-16,-0.13000000000000006,,,,20,16,0.393,-6.0,-12,-7,3.0,2.0,4.0,-12
57,26,1973-11-30,2,KCO,LAL,2,107,123,46,96,0.479,,,,15,24,0.625,10.0,37,20,17.0,,,21,50,93,0.538,,,,23,29,0.793,15.0,48,38,13.0,,,17,,,,0.25,,0.502,43.5,43.5,,,0.479,,23.3,0.156,0.538,,64.3,0.247,1974,-16,-4,3,-0.05900000000000005,,,,-8,-5,-0.16800000000000004,-5.0,-11,-18,4.0,,,4
58,27,1973-12-01,2,KCO,GSW,2,108,120,42,95,0.442,,,,24,30,0.8,15.0,47,22,7.0,,18.0,20,49,109,0.45,,,,22,32,0.688,24.0,66,29,9.0,,17.0,21,97.6,108.4,110.7,0.316,,0.499,41.6,52.4,6.3,,0.442,14.3,26.3,0.253,0.45,12.1,57.1,0.202,1974,-12,-7,-14,-0.008000000000000007,,,,2,-2,0.1120000000000001,-9.0,-19,-7,-2.0,,1.0,-1
59,28,1973-12-05,1,KCO,ATL,1,117,105,44,84,0.524,,,,29,32,0.906,,48,22,,,,21,46,103,0.447,,,,13,18,0.722,,40,13,,,,24,,,,0.381,,0.596,54.5,50.0,,,0.524,,,0.345,0.447,,,0.126,1974,12,-2,-19,0.07700000000000001,,,,16,14,0.18400000000000005,,8,9,,,,-3
60,29,1973-12-07,2,KCO,PHI,1,113,102,49,91,0.538,,,,15,19,0.789,,56,22,,,,23,45,98,0.459,,,,12,18,0.667,,40,26,,,,25,,,,0.209,,0.569,58.3,44.9,,,0.538,,,0.165,0.459,,,0.122,1974,11,4,-7,0.07900000000000001,,,,3,1,0.122,,16,-4,,,,-2
61,30,1973-12-09,1,KCO,DET,2,80,86,35,88,0.398,,,,10,16,0.625,,45,12,,,23.0,21,35,85,0.412,,,,16,23,0.696,,56,21,,,22.0,17,,,,0.182,,0.421,44.6,34.3,,,0.398,19.5,,0.114,0.412,18.8,,0.188,1974,-6,0,3,-0.013999999999999957,,,,-6,-7,-0.07099999999999995,,-11,-9,,,1.0,4
62,31,1973-12-11,2,KCO,CHI,2,104,105,40,88,0.455,,,,24,31,0.774,17.0,43,22,7.0,6.0,24.0,24,42,78,0.538,,,,21,23,0.913,10.0,34,26,8.0,2.0,27.0,30,100.7,101.6,103.3,0.352,,0.512,55.8,55.0,6.8,7.7,0.455,19.1,41.5,0.273,0.538,23.5,72.2,0.269,1974,-1,-2,10,-0.08300000000000002,,,,3,8,-0.139,7.0,9,-4,-1.0,4.0,-3.0,-6
63,32,1973-12-15,2,KCO,NYK,2,107,116,38,89,0.427,,,,31,35,0.886,,55,16,,,,28,48,106,0.453,,,,20,29,0.69,,47,26,,,,23,,,,0.393,,0.512,53.9,42.1,,,0.427,,,0.348,0.453,,,0.189,1974,-9,-10,-17,-0.026000000000000023,,,,11,6,0.19600000000000006,,8,-10,,,,5
64,33,1973-12-16,1,KCO,DET,1,105,104,43,87,0.494,,,,19,23,0.826,,37,21,,,21.0,21,44,87,0.506,,,,16,21,0.762,,46,17,,,26.0,18,,,,0.264,,0.541,44.6,48.8,,,0.494,17.8,,0.218,0.506,21.3,,0.184,1974,1,-1,0,-0.01200000000000001,,,,3,2,0.06399999999999995,,-9,4,,,-5.0,3
65,34,1973-12-19,1,KCO,CLE,1,106,92,43,83,0.518,,,,20,26,0.769,7.0,45,26,8.0,,20.0,17,40,96,0.417,,,,12,16,0.75,15.0,48,16,7.0,,20.0,26,100.3,87.1,105.7,0.313,,0.561,48.4,60.5,7.6,,0.518,17.5,17.5,0.241,0.417,16.3,71.7,0.125,1974,14,3,-13,0.10100000000000003,,,,8,10,0.019000000000000017,-8.0,-3,10,1.0,,0.0,-9
66,35,1973-12-20,1,KCO,CAP,2,92,98,40,89,0.449,,,,12,16,0.75,,51,21,,,,22,44,93,0.473,,,,10,12,0.833,,38,20,,,,21,,,,0.18,,0.479,57.3,52.5,,,0.449,,,0.135,0.473,,,0.108,1974,-6,-4,-4,-0.023999999999999966,,,,2,4,-0.08299999999999996,,13,1,,,,1
67,36,1973-12-22,1,KCO,BUF,1,122,112,51,100,0.51,,,,20,23,0.87,,48,26,,,12.0,28,44,88,0.5,,,,24,33,0.727,,41,13,,,16.0,28,,,,0.23,,0.554,53.9,51.0,,,0.51,9.8,,0.2,0.5,13.5,,0.273,1974,10,7,12,0.010000000000000009,,,,-4,-10,0.14300000000000002,,7,13,,,-4.0,0
68,37,1973-12-23,1,KCO,GSW,1,101,93,42,100,0.42,,,,17,17,1.0,16.0,50,21,10.0,,18.0,16,43,90,0.478,,,,7,11,0.636,12.0,49,20,7.0,,22.0,21,96.5,88.8,104.7,0.17,,0.47,50.5,50.0,9.6,,0.42,14.3,30.2,0.17,0.478,18.8,73.9,0.078,1974,8,-1,10,-0.057999999999999996,,,,10,6,0.364,4.0,1,1,3.0,,-4.0,-5
69,38,1973-12-26,2,KCO,HOU,2,95,110,39,85,0.459,,,,17,29,0.586,,39,25,,,19.0,24,42,85,0.494,,,,26,28,0.929,,38,33,,,20.0,22,,,,0.341,,0.486,50.6,64.1,,,0.459,16.3,,0.2,0.494,17.0,,0.306,1974,-15,-3,0,-0.034999999999999976,,,,-9,1,-0.3430000000000001,,1,-8,,,-1.0,2
70,39,1973-12-27,2,KCO,CLE,1,110,100,42,89,0.472,,,,26,36,0.722,12.0,47,29,8.0,,18.0,23,46,107,0.43,,,,8,10,0.8,19.0,52,38,2.0,,17.0,25,103.3,93.9,106.5,0.404,,0.525,47.5,69.0,7.5,,0.472,14.7,26.7,0.292,0.43,13.2,64.8,0.075,1974,10,-4,-18,0.04199999999999998,,,,18,26,-0.07800000000000007,-7.0,-5,-9,6.0,,1.0,-2
71,40,1973-12-29,2,KCO,CAP,1,106,102,46,93,0.495,,,,14,15,0.933,,45,21,,,,25,44,96,0.458,,,,14,23,0.609,,53,17,,,,25,,,,0.161,,0.532,45.9,45.7,,,0.495,,,0.151,0.458,,,0.146,1974,4,2,-3,0.03699999999999998,,,,0,-8,0.32400000000000007,,-8,4,,,,0
72,41,1973-12-30,1,KCO,NYK,2,85,102,34,82,0.415,,,,17,28,0.607,,45,17,,,,16,46,92,0.5,,,,10,11,0.909,,46,24,,,,27,,,,0.341,,0.451,49.5,50.0,,,0.415,,,0.207,0.5,,,0.109,1974,-17,-12,-10,-0.08500000000000002,,,,7,17,-0.30200000000000005,,-1,-7,,,,-11
73,42,1974-01-02,1,KCO,BOS,1,109,97,44,101,0.436,,,,21,26,0.808,,44,23,,,,21,43,93,0.462,,,,11,14,0.786,,59,24,,,,24,,,,0.257,,0.485,42.7,52.3,,,0.436,,,0.208,0.462,,,0.118,1974,12,1,8,-0.026000000000000023,,,,10,12,0.02200000000000002,,-15,-1,,,,-3
74,43,1974-01-03,2,KCO,MIL,2,105,120,40,88,0.455,,,,25,28,0.893,,40,23,12.0,6.0,23.0,18,52,97,0.536,,,,16,20,0.8,,45,32,9.0,5.0,25.0,26,,,,0.318,,0.523,47.1,57.5,,6.2,0.455,18.7,,0.284,0.536,19.1,,0.165,1974,-15,-12,-9,-0.08100000000000002,,,,9,8,0.09299999999999997,,-5,-9,3.0,1.0,-2.0,-8
75,44,1974-01-04,1,KCO,PHO,1,122,97,49,90,0.544,,,,24,29,0.828,20.0,54,30,15.0,4.0,28.0,26,40,88,0.455,,,,17,31,0.548,18.0,37,15,13.0,4.0,29.0,27,111.6,88.7,109.4,0.322,,0.594,59.3,61.2,13.7,4.5,0.544,21.4,51.3,0.267,0.455,22.2,65.4,0.193,1974,25,9,2,0.08900000000000002,,,,7,-2,0.2799999999999999,2.0,17,15,2.0,0.0,-1.0,-1
76,45,1974-01-06,2,KCO,LAL,2,105,109,43,103,0.417,,,,19,24,0.792,20.0,48,24,18.0,,24.0,20,47,91,0.516,,,,15,22,0.682,17.0,58,32,8.0,,,25,,,,0.233,,0.462,45.3,55.8,,,0.417,17.4,32.8,0.184,0.516,,62.2,0.165,1974,-4,-4,12,-0.09900000000000003,,,,4,2,0.10999999999999999,3.0,-10,-8,10.0,,,-5
77,46,1974-01-08,2,KCO,POR,2,110,129,42,90,0.467,,,,26,35,0.743,11.0,36,27,15.0,8.0,23.0,24,51,97,0.526,,,,27,37,0.73,18.0,53,41,18.0,6.0,24.0,22,95.7,112.2,115.0,0.389,,0.522,40.4,64.3,13.0,8.2,0.467,17.9,23.9,0.289,0.526,17.5,58.1,0.278,1974,-19,-9,-7,-0.059,,,,-1,-2,0.013000000000000012,-7.0,-17,-14,-3.0,2.0,-1.0,2
78,47,1974-01-09,2,KCO,SEA,2,96,100,39,90,0.433,,,,18,23,0.783,,47,25,12.0,4.0,28.0,27,37,82,0.451,,,,26,29,0.897,,37,28,9.0,,20.0,19,,,,0.256,,0.479,56.0,64.1,,4.9,0.433,21.9,,0.2,0.451,17.4,,0.317,1974,-4,2,8,-0.018000000000000016,,,,-8,-6,-0.11399999999999999,,10,-3,3.0,,8.0,8
79,48,1974-01-11,2,KCO,PHO,1,117,100,46,85,0.541,,,,25,27,0.926,12.0,48,33,5.0,5.0,20.0,19,42,95,0.442,,,,16,17,0.941,12.0,35,24,7.0,5.0,17.0,26,113.5,97.0,103.1,0.318,,0.604,57.8,71.7,4.9,5.3,0.541,17.1,34.3,0.294,0.442,14.2,75.0,0.168,1974,17,4,-10,0.09900000000000003,,,,9,10,-0.014999999999999902,0.0,13,9,-2.0,0.0,3.0,-7
80,49,1974-01-13,1,KCO,POR,1,103,99,44,101,0.436,,,,15,22,0.682,25.0,53,23,9.0,4.0,23.0,22,38,91,0.418,,,,23,30,0.767,23.0,49,15,7.0,5.0,27.0,22,99.4,95.5,103.7,0.218,,0.465,52.0,52.3,8.7,4.4,0.436,17.2,49.0,0.149,0.418,20.6,54.9,0.253,1974,4,6,10,0.018000000000000016,,,,-8,-8,-0.08499999999999996,2.0,4,8,2.0,-1.0,-4.0,0
81,50,1974-01-18,1,KCO,LAL,2,115,116,50,100,0.5,,,,15,17,0.882,15.0,50,19,13.0,,,26,46,99,0.465,,,,24,29,0.828,20.0,47,20,8.0,,,20,,,,0.17,,0.535,51.5,38.0,,,0.5,,35.7,0.15,0.465,,63.6,0.242,1974,-1,4,1,0.034999999999999976,,,,-9,-12,0.05400000000000005,-5.0,3,-1,5.0,,,6
82,51,1974-01-19,1,KCO,CLE,1,111,108,41,85,0.482,,,,29,30,0.967,10.0,37,19,16.0,,,17,48,90,0.533,,,,12,17,0.706,14.0,47,22,6.0,,23.0,21,,,,0.353,,0.565,44.0,46.3,,,0.482,,23.3,0.341,0.533,19.1,65.9,0.133,1974,3,-7,-5,-0.051000000000000045,,,,17,13,0.261,-4.0,-10,-3,10.0,,,-4
