,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1975-10-23,2,KCK,WSB,2,95,107,36,80,0.45,,,,23,31,0.742,,41,10,,2.0,,32,42,80,0.525,,,,23,39,0.59,,36,26,,9.0,,21,,,,0.388,,0.507,53.2,27.8,,2.5,0.45,,,0.288,0.525,,,0.288,1976,-12,-6,0,-0.07500000000000001,,,,0,-8,0.15200000000000002,,5,-16,,-7.0,,11
1,2,1975-10-29,1,KCK,SEA,2,91,92,37,91,0.407,,,,17,22,0.773,,49,25,13.0,5.0,21.0,14,41,96,0.427,,,,10,13,0.769,,50,20,9.0,4.0,24.0,23,,,,0.242,,0.452,49.5,67.6,,5.2,0.407,17.3,,0.187,0.427,19.1,,0.104,1976,-1,-4,-5,-0.020000000000000018,,,,7,9,0.0040000000000000036,,-1,5,4.0,1.0,-3.0,-9
2,3,1975-10-30,2,KCK,NYK,2,113,117,42,88,0.477,,,,29,32,0.906,,37,20,9.0,0.0,,29,45,81,0.556,,,,27,33,0.818,,37,24,5.0,0.0,,30,,,,0.364,,0.553,50.0,47.6,,0.0,0.477,,,0.33,0.556,,,0.333,1976,-4,-3,7,-0.07900000000000007,,,,2,-1,0.08800000000000008,,0,-4,4.0,0.0,,-1
3,4,1975-11-01,1,KCK,PHO,1,106,100,42,94,0.447,,,,22,29,0.759,15.0,43,26,19.0,3.0,14.0,30,37,78,0.474,,,,26,34,0.765,13.0,49,20,4.0,2.0,24.0,26,103.5,97.6,102.5,0.309,,0.496,46.7,61.9,18.5,3.8,0.447,11.6,29.4,0.234,0.474,20.5,68.3,0.333,1976,6,5,16,-0.02699999999999997,,,,-4,-5,-0.006000000000000005,2.0,-6,6,15.0,1.0,-10.0,4
4,5,1975-11-04,1,KCK,LAL,1,116,98,50,101,0.495,,,,16,19,0.842,,54,29,4.0,5.0,,22,40,92,0.435,,,,18,24,0.75,,45,21,1.0,6.0,,24,,,,0.188,,0.53,54.5,58.0,,5.4,0.495,,,0.158,0.435,,,0.196,1976,18,10,9,0.06,,,,-2,-5,0.09199999999999997,,9,8,3.0,-1.0,,-2
5,6,1975-11-07,2,KCK,POR,2,88,92,34,93,0.366,,,,20,26,0.769,20.0,60,21,9.0,5.0,,28,40,92,0.435,,,,12,19,0.632,13.0,53,21,8.0,9.0,,26,,,,0.28,,0.421,53.1,61.8,,5.4,0.366,,33.3,0.215,0.435,,75.5,0.13,1976,-4,-6,1,-0.069,,,,8,7,0.137,7.0,7,0,1.0,-4.0,,2
6,7,1975-11-09,2,KCK,LAL,2,112,125,46,112,0.411,,,,20,27,0.741,21.0,57,20,6.0,5.0,13.0,21,53,106,0.5,,,,19,24,0.792,15.0,59,31,5.0,8.0,16.0,22,98.3,109.7,114.0,0.241,,0.452,49.1,43.5,5.3,4.7,0.411,9.5,32.3,0.179,0.5,12.1,70.6,0.179,1976,-13,-7,6,-0.08900000000000002,,,,1,3,-0.051000000000000045,6.0,-2,-11,1.0,-3.0,-3.0,-1
7,8,1975-11-12,2,KCK,SEA,1,107,92,45,96,0.469,,,,17,25,0.68,,42,28,13.0,3.0,15.0,23,39,83,0.47,,,,14,22,0.636,,45,24,3.0,3.0,27.0,23,,,,0.26,,0.5,48.3,62.2,,3.6,0.469,12.3,,0.177,0.47,22.6,,0.169,1976,15,6,13,-0.0010000000000000009,,,,3,3,0.04400000000000004,,-3,4,10.0,0.0,-12.0,0
8,9,1975-11-15,2,KCK,GSW,2,92,123,37,94,0.394,,,,18,20,0.9,15.0,47,22,12.0,4.0,28.0,26,50,106,0.472,,,,23,30,0.767,24.0,60,28,18.0,7.0,23.0,23,80.9,108.2,113.7,0.213,,0.447,43.9,59.5,10.6,3.8,0.394,21.4,29.4,0.191,0.472,16.2,57.1,0.217,1976,-31,-13,-12,-0.07799999999999996,,,,-5,-10,0.133,-9.0,-13,-6,-6.0,-3.0,5.0,3
9,10,1975-11-19,2,KCK,PHI,2,103,113,42,106,0.396,,,,19,28,0.679,,55,23,14.0,5.0,,24,47,92,0.511,,,,19,27,0.704,,56,26,15.0,5.0,,24,,,,0.264,,0.435,49.5,54.8,,5.4,0.396,,,0.179,0.511,,,0.207,1976,-10,-5,14,-0.11499999999999999,,,,0,1,-0.02499999999999991,,-1,-3,-1.0,0.0,,0
