,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1976-10-21,1,MIL,BUF,2,112,133,46,102.0,0.451,,,,20,29,0.69,,42.0,26.0,8.0,6.0,,34,49,106.0,0.462,,,,35,44,0.795,,57.0,27.0,5.0,4.0,,22,,,,0.284,,0.488,42.4,56.5,,5.7,0.451,,,0.196,0.462,,,0.33,1977,-21,-3,-4.0,-0.01100000000000001,,,,-15,-15,-0.1050000000000001,,-15.0,-1.0,3.0,2.0,,12
1,2,1976-10-23,1,MIL,BOS,2,107,111,45,95.0,0.474,,,,17,23,0.739,,46.0,23.0,,,26.0,37,43,100.0,0.43,,,,25,32,0.781,,39.0,29.0,,,19.0,30,,,,0.242,,0.509,54.1,51.1,,,0.474,19.8,,0.179,0.43,14.3,,0.25,1977,-4,2,-5.0,0.043999999999999984,,,,-8,-9,-0.04200000000000004,,7.0,-6.0,,,7.0,7
2,3,1976-10-24,2,MIL,ATL,2,91,115,33,83.0,0.398,,,,25,34,0.735,,54.0,24.0,,,21.0,28,47,93.0,0.505,,,,21,29,0.724,,53.0,29.0,,,27.0,27,,,,0.41,,0.464,50.5,72.7,,,0.398,17.7,,0.301,0.505,20.3,,0.226,1977,-24,-14,-10.0,-0.10699999999999998,,,,4,5,0.01100000000000001,,1.0,-5.0,,,-6.0,1
3,4,1976-10-26,2,MIL,CHI,2,88,90,39,79.0,0.494,,,,10,13,0.769,8.0,42.0,22.0,2.0,1.0,24.0,30,35,90.0,0.389,,,,20,28,0.714,23.0,56.0,23.0,7.0,7.0,16.0,16,91.0,93.1,96.7,0.165,,0.519,42.9,56.4,2.1,1.1,0.494,22.1,19.5,0.127,0.389,13.5,59.6,0.222,1977,-2,4,-11.0,0.10499999999999998,,,,-10,-15,0.05500000000000005,-15.0,-14.0,-1.0,-5.0,-6.0,8.0,14
4,5,1976-10-28,2,MIL,DEN,2,100,119,45,95.0,0.474,,,,10,16,0.625,13.0,36.0,25.0,13.0,3.0,26.0,31,45,83.0,0.542,,,,29,32,0.906,11.0,47.0,33.0,8.0,1.0,30.0,22,88.6,105.4,112.9,0.168,,0.49,43.4,55.6,11.5,3.6,0.474,20.3,26.5,0.105,0.542,23.6,67.6,0.349,1977,-19,0,12.0,-0.06800000000000006,,,,-19,-16,-0.281,2.0,-11.0,-8.0,5.0,2.0,-4.0,9
5,6,1976-10-30,1,MIL,CHI,1,102,74,44,85.0,0.518,,,,14,18,0.778,10.0,44.0,22.0,10.0,11.0,22.0,24,28,95.0,0.295,,,,18,25,0.72,21.0,46.0,15.0,8.0,4.0,19.0,22,102.9,74.6,99.1,0.212,,0.549,48.9,50.0,10.1,11.6,0.518,19.1,28.6,0.165,0.295,15.2,61.8,0.189,1977,28,16,-10.0,0.22300000000000003,,,,-4,-7,0.05800000000000005,-11.0,-2.0,7.0,2.0,7.0,3.0,2
6,7,1976-11-02,1,MIL,SEA,1,125,113,52,106.0,0.491,,,,21,25,0.84,23.0,65.0,29.0,4.0,5.0,,25,48,100.0,0.48,,,,17,29,0.586,12.0,37.0,24.0,9.0,5.0,,26,,,,0.236,,0.534,63.7,55.8,,5.0,0.491,,47.9,0.198,0.48,,77.8,0.17,1977,12,4,6.0,0.01100000000000001,,,,4,-4,0.254,11.0,28.0,5.0,-5.0,0.0,,-1
7,8,1976-11-03,2,MIL,WSB,2,105,117,46,97.0,0.474,,,,13,14,0.929,,36.0,23.0,12.0,2.0,,34,45,85.0,0.529,,,,27,42,0.643,,45.0,29.0,8.0,8.0,,24,,,,0.144,,0.509,44.4,50.0,,2.4,0.474,,,0.134,0.529,,,0.318,1977,-12,1,12.0,-0.05500000000000005,,,,-14,-28,0.28600000000000003,,-9.0,-6.0,4.0,-6.0,,10
8,9,1976-11-04,2,MIL,CLE,2,88,96,42,102.0,0.412,,,,4,8,0.5,23.0,58.0,18.0,5.0,5.0,17.0,25,37,88.0,0.42,,,,22,33,0.667,13.0,42.0,20.0,8.0,9.0,7.0,15,94.0,102.6,93.6,0.078,,0.417,58.0,42.9,5.3,5.7,0.412,13.9,44.2,0.039,0.42,6.4,72.9,0.25,1977,-8,5,14.0,-0.008000000000000007,,,,-18,-25,-0.16700000000000004,10.0,16.0,-2.0,-3.0,-4.0,10.0,10
9,10,1976-11-06,1,MIL,DEN,2,103,105,39,98.0,0.398,,,,25,30,0.833,20.0,48.0,22.0,15.0,2.0,27.0,19,43,91.0,0.473,,,,19,26,0.731,18.0,47.0,28.0,16.0,9.0,27.0,28,93.8,95.7,109.8,0.306,,0.463,50.5,56.4,13.7,2.2,0.398,19.5,40.8,0.255,0.473,20.9,60.9,0.209,1977,-2,-4,7.0,-0.07499999999999996,,,,6,4,0.10199999999999998,2.0,1.0,-6.0,-1.0,-7.0,0.0,-9
10,11,1976-11-09,1,MIL,CLE,2,90,111,39,93.0,0.419,,,,12,19,0.632,15.0,50.0,14.0,9.0,2.0,24.0,22,46,102.0,0.451,,,,19,24,0.792,20.0,54.0,27.0,5.0,3.0,19.0,22,83.4,102.9,107.9,0.204,,0.444,48.1,35.9,8.3,2.0,0.419,19.1,30.6,0.129,0.451,14.4,63.6,0.186,1977,-21,-7,-9.0,-0.03200000000000003,,,,-7,-5,-0.16000000000000003,-5.0,-4.0,-13.0,4.0,-1.0,5.0,0
11,12,1976-11-12,1,MIL,HOU,1,111,99,44,90.0,0.489,,,,23,32,0.719,,35.0,25.0,8.0,3.0,15.0,23,39,87.0,0.448,,,,21,23,0.913,,44.0,24.0,6.0,8.0,22.0,29,,,,0.356,,0.533,44.3,56.8,,3.4,0.489,12.6,,0.256,0.448,18.5,,0.241,1977,12,5,3.0,0.04099999999999998,,,,2,9,-0.19400000000000006,,-9.0,1.0,2.0,-5.0,-7.0,-6
12,13,1976-11-13,2,MIL,NYK,2,97,110,40,93.0,0.43,,,,17,24,0.708,,41.0,15.0,,,,26,44,88.0,0.5,,,,22,25,0.88,,44.0,25.0,,,,25,,,,0.258,,0.468,48.2,37.5,,,0.43,,,0.183,0.5,,,0.25,1977,-13,-4,5.0,-0.07,,,,-5,-1,-0.17200000000000004,,-3.0,-10.0,,,,1
13,14,1976-11-14,1,MIL,DET,2,83,104,33,87.0,0.379,,,,17,21,0.81,,42.0,17.0,9.0,8.0,,15,48,87.0,0.552,,,,8,9,0.889,,43.0,26.0,14.0,4.0,,21,,,,0.241,,0.431,49.4,51.5,,9.2,0.379,,,0.195,0.552,,,0.092,1977,-21,-15,0.0,-0.17300000000000004,,,,9,12,-0.07899999999999996,,-1.0,-9.0,-5.0,4.0,,-6
14,15,1976-11-16,2,MIL,KCK,2,91,100,37,77.0,0.481,,,,17,23,0.739,,39.0,18.0,8.0,6.0,,33,40,87.0,0.46,,,,20,27,0.741,,45.0,20.0,10.0,2.0,,24,,,,0.299,,0.522,46.4,48.6,,6.9,0.481,,,0.221,0.46,,,0.23,1977,-9,-3,-10.0,0.020999999999999963,,,,-3,-4,-0.0020000000000000018,,-6.0,-2.0,-2.0,4.0,,9
15,16,1976-11-17,2,MIL,PHO,2,95,103,39,82.0,0.476,,,,17,24,0.708,8.0,32.0,10.0,11.0,4.0,17.0,29,43,78.0,0.551,,,,17,24,0.708,12.0,45.0,31.0,2.0,3.0,26.0,26,94.7,102.6,100.4,0.293,,0.513,41.6,25.6,11.0,5.1,0.476,15.5,19.5,0.207,0.551,22.7,66.7,0.218,1977,-8,-4,4.0,-0.07500000000000007,,,,0,0,0.0,-4.0,-13.0,-21.0,9.0,1.0,-9.0,3
16,17,1976-11-19,2,MIL,POR,2,111,124,44,94.0,0.468,,,,23,33,0.697,14.0,42.0,20.0,8.0,6.0,20.0,26,48,95.0,0.505,,,,28,31,0.903,13.0,43.0,28.0,12.0,8.0,19.0,24,100.6,112.4,110.3,0.351,,0.511,49.4,45.5,7.3,6.3,0.468,15.6,31.8,0.245,0.505,14.9,68.3,0.295,1977,-13,-4,-1.0,-0.03699999999999998,,,,-5,2,-0.20600000000000007,1.0,-1.0,-8.0,-4.0,-2.0,1.0,2
17,18,1976-11-21,2,MIL,SEA,2,106,115,42,103.0,0.408,,,,22,24,0.917,,55.0,22.0,7.0,5.0,,24,48,106.0,0.453,,,,19,27,0.704,,47.0,26.0,14.0,7.0,,23,,,,0.233,,0.467,53.9,52.4,,4.7,0.408,,,0.214,0.453,,,0.179,1977,-9,-6,-3.0,-0.04500000000000004,,,,3,-3,0.21300000000000008,,8.0,-4.0,-7.0,-2.0,,1
18,19,1976-11-23,1,MIL,LAL,2,114,117,44,88.0,0.5,,,,26,36,0.722,,39.0,20.0,10.0,3.0,,27,45,88.0,0.511,,,,27,34,0.794,,33.0,28.0,12.0,5.0,,28,,,,0.409,,0.549,54.2,45.5,,3.4,0.5,,,0.295,0.511,,,0.307,1977,-3,-1,0.0,-0.01100000000000001,,,,-1,2,-0.07200000000000006,,6.0,-8.0,-2.0,-2.0,,-1
19,20,1976-11-26,2,MIL,IND,2,98,109,40,99.0,0.404,,,,18,24,0.75,,51.0,27.0,10.0,5.0,17.0,27,44,99.0,0.444,,,,21,26,0.808,,67.0,32.0,6.0,6.0,16.0,22,,,,0.242,,0.447,43.2,67.5,,5.1,0.404,13.4,,0.182,0.444,12.7,,0.212,1977,-11,-4,0.0,-0.03999999999999998,,,,-3,-2,-0.05800000000000005,,-16.0,-5.0,4.0,-1.0,1.0,5
52,21,1976-11-27,1,MIL,NYN,2,91,96,40,98.0,0.408,,,,11,21,0.524,15.0,43.0,17.0,12.0,7.0,23.0,22,37,89.0,0.416,,,,22,30,0.733,17.0,50.0,25.0,10.0,4.0,22.0,23,85.9,90.6,106.0,0.214,,0.424,46.2,42.5,11.3,7.9,0.408,17.7,31.3,0.112,0.416,17.7,62.2,0.247,1977,-5,3,9.0,-0.008000000000000007,,,,-11,-9,-0.20899999999999996,-2.0,-7.0,-8.0,2.0,3.0,1.0,-1
53,22,1976-11-30,1,MIL,POR,1,115,106,50,99.0,0.505,,,,15,18,0.833,14.0,40.0,29.0,6.0,9.0,13.0,25,44,100.0,0.44,,,,18,29,0.621,19.0,52.0,26.0,8.0,1.0,21.0,21,109.1,100.5,105.4,0.182,,0.538,43.5,58.0,5.7,9.0,0.505,10.8,29.8,0.152,0.44,15.7,57.8,0.18,1977,9,6,-1.0,0.065,,,,-3,-11,0.21199999999999997,-5.0,-12.0,3.0,-2.0,8.0,-8.0,4
54,23,1976-12-01,2,MIL,NOJ,2,105,126,44,98.0,0.449,,,,17,26,0.654,15.0,44.0,15.0,6.0,2.0,22.0,21,57,107.0,0.533,,,,12,17,0.706,19.0,56.0,42.0,6.0,9.0,20.0,22,92.8,111.3,113.2,0.265,,0.48,44.0,34.1,5.3,1.9,0.449,16.7,28.8,0.173,0.533,14.9,60.4,0.112,1977,-21,-13,-9.0,-0.08400000000000002,,,,5,9,-0.051999999999999935,-4.0,-12.0,-27.0,0.0,-7.0,2.0,-1
55,24,1976-12-02,2,MIL,HOU,2,110,137,39,94.0,0.415,,,,32,37,0.865,,39.0,22.0,5.0,2.0,18.0,28,57,99.0,0.576,,,,23,28,0.821,,52.0,38.0,8.0,3.0,18.0,29,,,,0.394,,0.499,42.9,56.4,,2.0,0.415,14.0,,0.34,0.576,13.9,,0.232,1977,-27,-18,-5.0,-0.16099999999999998,,,,9,9,0.04400000000000004,,-13.0,-16.0,-3.0,-1.0,0.0,-1
