,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1976-10-22,1,NOJ,PHO,1,111,98,38,84,0.452,,,,35,40,0.875,14.0,45,19,17.0,5.0,25.0,33,40,86,0.465,,,,18,28,0.643,15.0,43,15,9.0,3.0,34.0,34,99.2,87.6,111.9,0.476,,0.546,51.1,50.0,15.2,5.8,0.452,19.7,33.3,0.417,0.465,25.7,67.4,0.209,1977,13,-2,-2,-0.013000000000000012,,,,17,12,0.23199999999999998,-1.0,2,4,8.0,2.0,-9.0,-1
1,2,1976-10-26,1,NOJ,PHI,2,101,111,42,91,0.462,,,,17,23,0.739,,44,20,,,23.0,29,43,83,0.518,,,,25,33,0.758,,39,15,,,23.0,26,,,,0.253,,0.499,53.0,47.6,,,0.462,18.5,,0.187,0.518,19.1,,0.301,1977,-10,-1,8,-0.055999999999999994,,,,-8,-10,-0.019000000000000017,,5,5,,,0.0,3
2,3,1976-10-29,1,NOJ,WSB,1,111,93,42,106,0.396,,,,27,34,0.794,,65,21,,,19.0,31,34,96,0.354,,,,25,35,0.714,,53,9,,,26.0,26,,,,0.321,,0.459,55.1,50.0,,,0.396,13.6,,0.255,0.354,18.9,,0.26,1977,18,8,10,0.04200000000000004,,,,2,-1,0.08000000000000007,,12,12,,,-7.0,5
3,4,1976-10-30,2,NOJ,NYK,1,115,112,44,81,0.543,,,,27,35,0.771,13.0,38,22,5.0,2.0,26.0,26,43,90,0.478,,,,26,31,0.839,12.0,35,18,9.0,4.0,22.0,32,107.1,104.3,107.4,0.432,,0.596,52.1,50.0,4.7,2.2,0.543,21.2,36.1,0.333,0.478,17.5,67.6,0.289,1977,3,1,-9,0.06500000000000006,,,,1,4,-0.06799999999999995,1.0,3,4,-4.0,-2.0,4.0,-6
4,5,1976-10-31,2,NOJ,CLE,2,92,106,34,82,0.415,,,,24,33,0.727,10.0,48,20,5.0,5.0,23.0,25,43,102,0.422,,,,20,25,0.8,17.0,57,24,7.0,4.0,16.0,28,85.0,98.0,108.2,0.402,,0.477,45.7,58.8,4.6,4.9,0.415,19.2,20.0,0.293,0.422,12.4,69.1,0.196,1977,-14,-9,-20,-0.007000000000000006,,,,4,8,-0.07300000000000006,-7.0,-9,-4,-2.0,1.0,7.0,-3
5,6,1976-11-02,1,NOJ,BOS,1,115,97,49,109,0.45,,,,17,24,0.708,,60,23,,,17.0,16,42,97,0.433,,,,13,20,0.65,,58,18,,,26.0,26,,,,0.22,,0.481,50.8,46.9,,,0.45,12.4,,0.156,0.433,19.7,,0.134,1977,18,7,12,0.017000000000000015,,,,4,4,0.05799999999999994,,2,5,,,-9.0,-10
6,7,1976-11-05,1,NOJ,SAS,1,127,119,46,93,0.495,,,,35,41,0.854,,56,21,11.0,3.0,37.0,29,47,109,0.431,,,,25,33,0.758,,46,19,21.0,6.0,28.0,37,,,,0.441,,0.572,54.9,45.7,,2.8,0.495,25.0,,0.376,0.431,18.5,,0.229,1977,8,-1,-16,0.064,,,,10,8,0.09599999999999997,,10,2,-10.0,-3.0,9.0,-8
7,8,1976-11-07,1,NOJ,DET,2,107,115,50,95,0.526,,,,7,9,0.778,,38,27,,,17.0,18,51,90,0.567,,,,13,22,0.591,,44,18,,,16.0,20,,,,0.095,,0.541,46.3,54.0,,,0.526,14.7,,0.074,0.567,13.8,,0.144,1977,-8,-1,5,-0.040999999999999925,,,,-6,-13,0.18700000000000006,,-6,9,,,1.0,-2
8,9,1976-11-09,1,NOJ,NYN,1,110,99,40,80,0.5,,,,30,38,0.789,,49,27,,,22.0,22,40,99,0.404,,,,19,24,0.792,,44,10,,,19.0,33,,,,0.475,,0.569,52.7,67.5,,,0.5,18.5,,0.375,0.404,14.8,,0.192,1977,11,0,-19,0.09599999999999997,,,,11,14,-0.0030000000000000027,,5,17,,,3.0,-11
9,10,1976-11-10,2,NOJ,WSB,2,103,116,41,91,0.451,,,,21,29,0.724,,56,17,,,17.0,18,51,108,0.472,,,,14,25,0.56,,60,23,,,13.0,29,,,,0.319,,0.496,48.3,41.5,,,0.451,14.1,,0.231,0.472,9.8,,0.13,1977,-13,-10,-17,-0.020999999999999963,,,,7,4,0.16399999999999992,,-4,-6,,,4.0,-11
