,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1976-10-22,2,NYN,GSW,1,104,103,41,85,0.482,,,,22,29,0.759,13.0,50,25,12.0,4.0,29.0,26,41,92,0.446,,,,21,31,0.677,15.0,42,29,15.0,3.0,20.0,26,95.0,94.1,109.5,0.341,,0.532,54.3,61.0,11.0,4.3,0.482,22.9,32.5,0.259,0.446,15.9,71.2,0.228,1977,1,0,-7,0.035999999999999976,,,,1,-2,0.08199999999999996,-2.0,8,-4,-3.0,1.0,9.0,0
1,2,1976-10-23,2,NYN,POR,2,104,114,35,75,0.467,,,,34,45,0.756,12.0,38,13,13.0,7.0,25.0,40,43,90,0.478,,,,28,35,0.8,20.0,50,25,13.0,4.0,21.0,32,99.6,109.1,104.5,0.6,,0.549,43.2,37.1,12.4,7.8,0.467,20.9,28.6,0.453,0.478,16.6,56.5,0.311,1977,-10,-8,-15,-0.010999999999999954,,,,6,10,-0.04400000000000004,-8.0,-12,-12,0.0,3.0,4.0,8
2,3,1976-10-24,2,NYN,SEA,2,93,104,33,85,0.388,,,,27,39,0.692,,33,12,12.0,3.0,21.0,28,40,91,0.44,,,,24,27,0.889,,50,28,11.0,5.0,22.0,33,,,,0.459,,0.455,39.8,36.4,,3.3,0.388,17.1,,0.318,0.44,17.6,,0.264,1977,-11,-7,-6,-0.05199999999999999,,,,3,12,-0.19700000000000006,,-17,-16,1.0,-2.0,-1.0,-5
3,4,1976-10-27,1,NYN,WSB,1,96,93,36,83,0.434,,,,24,34,0.706,,50,13,,,,28,32,86,0.372,,,,29,38,0.763,,53,10,,,,26,,,,0.41,,0.49,48.5,36.1,,,0.434,,,0.289,0.372,,,0.337,1977,3,4,-3,0.062,,,,-5,-4,-0.05700000000000005,,-3,3,,,,2
4,5,1976-10-29,1,NYN,IND,2,89,90,34,91,0.374,,,,21,33,0.636,,59,19,15.0,8.0,27.0,22,37,96,0.385,,,,16,22,0.727,,57,17,17.0,8.0,27.0,25,,,,0.363,,0.422,50.9,55.9,,8.3,0.374,20.4,,0.231,0.385,20.3,,0.167,1977,-1,-3,-5,-0.01100000000000001,,,,5,11,-0.09099999999999997,,2,2,-2.0,0.0,0.0,-3
5,6,1976-10-30,2,NYN,PHI,2,80,104,33,93,0.355,,,,14,21,0.667,,54,17,,,,31,36,81,0.444,,,,32,38,0.842,,56,24,,,,25,,,,0.226,,0.391,49.1,51.5,,,0.355,,,0.151,0.444,,,0.395,1977,-24,-3,12,-0.08900000000000002,,,,-18,-17,-0.17499999999999993,,-2,-7,,,,6
6,7,1976-11-01,1,NYN,CLE,2,75,82,28,77,0.364,,,,19,30,0.633,16.0,62,10,12.0,5.0,29.0,27,31,80,0.388,,,,20,31,0.645,9.0,47,11,16.0,4.0,26.0,24,70.7,77.3,106.1,0.39,,0.416,56.9,35.7,11.3,6.3,0.364,24.3,29.6,0.247,0.388,21.7,83.6,0.25,1977,-7,-3,-3,-0.02400000000000002,,,,-1,-1,-0.01200000000000001,7.0,15,-1,-4.0,1.0,3.0,3
7,8,1976-11-03,1,NYN,BUF,1,100,96,41,95,0.432,,,,18,26,0.692,,39,17,,,,32,33,78,0.423,,,,30,40,0.75,,51,15,,,,29,,,,0.274,,0.47,43.3,41.5,,,0.432,,,0.189,0.423,,,0.385,1977,4,8,17,0.009000000000000008,,,,-12,-14,-0.05800000000000005,,-12,2,,,,3
8,9,1976-11-05,1,NYN,HOU,1,95,91,36,82,0.439,,,,23,34,0.676,,32,18,3.0,9.0,17.0,20,36,75,0.48,,,,19,28,0.679,,49,18,,8.0,29.0,29,,,,0.415,,0.49,39.5,50.0,,12.0,0.439,14.9,,0.28,0.48,24.9,,0.253,1977,4,0,7,-0.04099999999999998,,,,4,6,-0.0030000000000000027,,-17,0,,1.0,-12.0,-9
9,10,1976-11-06,2,NYN,CLE,2,93,101,34,70,0.486,,,,25,33,0.758,8.0,42,16,6.0,2.0,28.0,26,42,92,0.457,,,,17,18,0.944,13.0,43,25,8.0,6.0,16.0,25,91.4,99.3,101.7,0.471,,0.55,49.4,47.1,5.9,2.2,0.486,24.9,21.1,0.357,0.457,13.8,72.3,0.185,1977,-8,-8,-22,0.02899999999999997,,,,8,15,-0.18599999999999994,-5.0,-1,-9,-2.0,-4.0,12.0,1
10,11,1976-11-09,2,NYN,NOJ,2,99,110,40,99,0.404,,,,19,24,0.792,,44,10,,,19.0,33,40,80,0.5,,,,30,38,0.789,,49,27,,,22.0,22,,,,0.242,,0.452,47.3,25.0,,,0.404,14.8,,0.192,0.5,18.5,,0.375,1977,-11,0,19,-0.09599999999999997,,,,-11,-14,0.0030000000000000027,,-5,-17,,,-3.0,11
11,12,1976-11-11,2,NYN,SAS,2,104,108,45,87,0.517,,,,14,20,0.7,,37,19,10.0,2.0,20.0,28,45,71,0.634,,,,18,24,0.75,,31,21,13.0,3.0,26.0,21,,,,0.23,,0.543,54.4,42.2,,2.8,0.517,17.3,,0.161,0.634,24.2,,0.254,1977,-4,0,16,-0.11699999999999999,,,,-4,-4,-0.050000000000000044,,6,-2,-3.0,-1.0,-6.0,7
12,13,1976-11-13,2,NYN,HOU,1,114,110,43,76,0.566,,,,28,38,0.737,,32,29,5.0,4.0,13.0,22,48,79,0.608,,,,14,15,0.933,,34,31,5.0,4.0,16.0,27,,,,0.5,,0.615,48.5,67.4,,5.1,0.566,12.3,,0.368,0.608,15.7,,0.177,1977,4,-5,-3,-0.04200000000000004,,,,14,23,-0.19600000000000006,,-2,-2,0.0,0.0,-3.0,-5
13,14,1976-11-17,2,NYN,DEN,2,78,112,29,98,0.296,,,,20,24,0.833,10.0,43,18,8.0,4.0,17.0,36,43,85,0.506,,,,26,42,0.619,11.0,65,26,8.0,12.0,22.0,25,69.1,99.3,112.8,0.245,,0.359,39.8,62.1,7.1,4.7,0.296,13.5,15.6,0.204,0.506,17.5,75.0,0.306,1977,-34,-14,13,-0.21000000000000002,,,,-6,-18,0.21399999999999997,-1.0,-22,-8,0.0,-8.0,-5.0,11
14,15,1976-11-19,2,NYN,PHO,1,90,88,30,80,0.375,,,,30,31,0.968,13.0,48,16,9.0,8.0,15.0,25,33,83,0.398,,,,22,30,0.733,13.0,48,20,5.0,5.0,15.0,24,95.5,93.4,94.2,0.388,,0.481,50.0,53.3,9.6,9.6,0.375,13.8,27.1,0.375,0.398,13.5,72.9,0.265,1977,2,-3,-3,-0.02300000000000002,,,,8,1,0.235,0.0,0,-4,4.0,3.0,0.0,1
15,16,1976-11-21,2,NYN,LAL,2,91,96,37,98,0.378,,,,17,20,0.85,,51,14,,,,21,40,93,0.43,,,,16,19,0.842,,53,23,,,,20,,,,0.204,,0.426,49.0,37.8,,,0.378,,,0.173,0.43,,,0.172,1977,-5,-3,5,-0.05199999999999999,,,,1,1,0.008000000000000007,,-2,-9,,,,1
