,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1978-10-13,2,SDC,PHO,2,114,128,49,95,0.516,,,,16,22,0.727,14.0,33,22,17.0,6.0,27,33,50,85,0.588,,,,28,35,0.8,16.0,41,29,14.0,5.0,34,26,99.6,111.8,114.5,0.232,,0.545,44.6,44.9,14.8,7.1,0.516,20.5,35.9,0.168,0.588,25.3,54.3,0.329,1979,-14,-1,10,-0.07199999999999995,,,,-12,-13,-0.07300000000000006,-2.0,-8,-7,3.0,1.0,-7,7
1,2,1978-10-14,2,SDC,GSW,2,89,117,34,83,0.41,,,,21,36,0.583,17.0,50,16,8.0,1.0,31,27,48,96,0.5,,,,21,27,0.778,14.0,43,29,17.0,3.0,17,29,81.8,107.6,108.8,0.434,,0.45,53.8,47.1,7.4,1.0,0.41,23.9,37.0,0.253,0.5,13.6,70.2,0.219,1979,-28,-14,-13,-0.09000000000000002,,,,0,9,-0.19500000000000006,3.0,7,-13,-9.0,-2.0,14,-2
2,3,1978-10-15,1,SDC,DEN,2,94,98,35,87,0.402,,,,24,30,0.8,15.0,47,11,9.0,4.0,21,34,36,86,0.419,,,,26,33,0.788,15.0,46,18,7.0,5.0,18,29,93.1,97.0,101.0,0.345,,0.469,50.5,31.4,8.9,4.7,0.402,17.3,32.6,0.276,0.419,15.2,68.1,0.302,1979,-4,-1,1,-0.01699999999999996,,,,-2,-3,0.01200000000000001,0.0,1,-7,2.0,-1.0,3,5
3,4,1978-10-17,1,SDC,CHI,1,99,94,40,90,0.444,,,,19,23,0.826,14.0,46,16,11.0,8.0,20,16,42,95,0.442,,,,10,15,0.667,15.0,45,11,12.0,5.0,19,22,97.0,92.1,102.0,0.256,,0.494,50.5,40.0,10.8,8.4,0.444,16.7,31.8,0.211,0.442,15.8,68.1,0.105,1979,5,-2,-5,0.0020000000000000018,,,,9,8,0.15899999999999992,-1.0,1,5,-1.0,3.0,1,-6
4,5,1978-10-18,1,SDC,SAS,2,125,127,49,103,0.476,,,,27,35,0.771,,54,14,11.0,2.0,22,30,49,90,0.544,,,,29,34,0.853,,34,22,8.0,5.0,20,28,,,,0.34,,0.528,61.4,28.6,,2.2,0.476,15.7,,0.262,0.544,16.0,,0.322,1979,-2,0,13,-0.06800000000000006,,,,-2,1,-0.08199999999999996,,20,-8,3.0,-3.0,2,2
5,6,1978-10-20,2,SDC,CHI,1,110,94,46,86,0.535,,,,18,21,0.857,13.0,44,26,7.0,4.0,19,32,37,78,0.474,,,,20,26,0.769,12.0,40,23,3.0,4.0,24,30,110.0,94.0,100.0,0.244,,0.577,52.4,56.5,7.0,5.1,0.535,16.6,31.7,0.209,0.474,21.2,72.1,0.256,1979,16,9,8,0.061000000000000054,,,,-2,-5,0.08799999999999997,1.0,4,3,4.0,0.0,-5,2
6,7,1978-10-21,2,SDC,IND,2,119,125,46,82,0.561,,,,27,33,0.818,,40,20,5.0,1.0,16,31,48,92,0.522,,,,29,36,0.806,,40,35,8.0,4.0,15,25,,,,0.402,,0.616,50.0,43.5,,1.1,0.561,14.2,,0.329,0.522,12.2,,0.315,1979,-6,-2,-10,0.039000000000000035,,,,-2,-3,0.0119999999999999,,0,-15,-3.0,-3.0,1,6
7,8,1978-10-24,1,SDC,LAL,1,124,123,52,98,0.531,,,,20,30,0.667,16.0,41,22,,3.0,10,22,49,87,0.563,,,,25,32,0.781,7.0,39,23,3.0,4.0,14,27,118.9,118.0,104.2,0.306,,0.558,51.3,42.3,,3.4,0.531,8.3,33.3,0.204,0.563,12.2,78.1,0.287,1979,1,3,11,-0.03199999999999992,,,,-5,-2,-0.11399999999999999,9.0,2,-1,,-1.0,-4,-5
8,9,1978-10-25,1,SDC,MIL,1,125,116,52,102,0.51,,,,21,25,0.84,14.0,51,25,13.0,2.0,18,31,46,98,0.469,,,,24,30,0.8,14.0,41,16,10.0,5.0,15,19,112.9,104.8,110.7,0.245,,0.553,55.4,48.1,11.7,2.0,0.51,13.7,34.1,0.206,0.469,11.9,72.5,0.245,1979,9,6,4,0.041000000000000036,,,,-3,-5,0.039999999999999925,0.0,10,9,3.0,-3.0,3,12
9,10,1978-10-27,2,SDC,LAL,2,101,113,40,96,0.417,,,,21,27,0.778,17.0,46,15,10.0,2.0,25,28,50,94,0.532,,,,13,18,0.722,8.0,40,25,12.0,2.0,21,27,90.6,101.3,111.5,0.281,,0.468,53.5,37.5,9.0,2.1,0.417,18.8,34.7,0.219,0.532,17.1,78.4,0.138,1979,-12,-10,2,-0.11500000000000005,,,,8,9,0.05600000000000005,9.0,6,-10,-2.0,0.0,4,1
