,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1979-10-12,1,WSB,PHI,2,92,93,37,84,0.44,1,4.0,0.25,17,22,0.773,,39,27,,,,22,38,83,0.458,0,1.0,0.0,17,24,0.708,,42,24,,,,21,,,,0.262,0.048,0.491,48.1,73.0,,,0.446,,,0.202,0.458,,,0.205,1980,-1,-1,1,-0.018000000000000016,1,3.0,0.25,0,-2,0.06500000000000006,,-3,3,,,,1
1,2,1979-10-13,2,WSB,NYK,2,118,125,39,94,0.415,0,,,40,46,0.87,,46,22,,,,31,46,102,0.451,0,,,33,46,0.717,,59,24,,,,34,,,,0.489,,0.516,43.8,56.4,,,0.415,,,0.426,0.451,,,0.324,1980,-7,-7,-8,-0.03600000000000003,0,,,7,0,0.15300000000000002,,-13,-2,,,,-3
2,3,1979-10-17,1,WSB,ATL,1,100,97,40,79,0.506,0,1.0,0.0,20,26,0.769,,51,23,,10.0,23.0,22,40,96,0.417,0,2.0,0.0,17,20,0.85,,37,20,,4.0,11.0,28,,,,0.329,0.013,0.553,58.0,57.5,,10.6,0.506,20.3,,0.253,0.417,9.5,,0.177,1980,3,0,-17,0.08900000000000002,0,-1.0,0.0,3,6,-0.08099999999999996,,14,3,,6.0,12.0,-6
3,4,1979-10-19,2,WSB,BOS,2,93,130,32,88,0.364,3,4.0,0.75,26,32,0.813,12.0,41,13,5.0,2.0,19.0,23,51,97,0.526,1,4.0,0.25,27,33,0.818,17.0,60,32,11.0,6.0,15.0,23,87.0,121.6,106.9,0.364,0.045,0.456,40.6,40.6,4.7,2.2,0.381,15.7,21.8,0.295,0.531,11.9,63.0,0.278,1980,-37,-19,-9,-0.16200000000000003,2,0.0,0.5,-1,-1,-0.0050000000000000044,-5.0,-19,-19,-6.0,-4.0,4.0,0
4,5,1979-10-20,1,WSB,DET,1,117,106,51,102,0.5,0,,,15,20,0.75,,48,37,,,,16,49,105,0.467,1,,,7,15,0.467,,55,29,,,,22,,,,0.196,,0.528,46.6,72.5,,,0.5,,,0.147,0.471,,,0.067,1980,11,2,-3,0.032999999999999974,-1,,,8,5,0.283,,-7,8,,,,-6
5,6,1979-10-24,2,WSB,DET,2,103,104,40,91,0.44,0,,,23,29,0.793,,58,22,,,,24,40,105,0.381,0,,,24,28,0.857,,56,14,,,,23,,,,0.319,,0.496,50.9,55.0,,,0.44,,,0.253,0.381,,,0.229,1980,-1,0,-14,0.059,0,,,-1,1,-0.06399999999999995,,2,8,,,,1
6,7,1979-10-26,2,WSB,IND,2,108,118,45,93,0.484,1,4.0,0.25,17,23,0.739,,46,33,5.0,4.0,21.0,24,49,97,0.505,0,0.0,,20,26,0.769,,46,34,12.0,4.0,15.0,23,,,,0.247,0.043,0.524,50.0,73.3,,4.1,0.489,16.9,,0.183,0.505,12.2,,0.206,1980,-10,-4,-4,-0.02100000000000002,1,4.0,,-3,-3,-0.030000000000000027,,0,-1,-7.0,0.0,6.0,1
7,8,1979-10-31,1,WSB,CLE,1,114,105,47,88,0.534,0,2.0,0.0,20,25,0.8,10.0,54,30,4.0,4.0,24.0,27,45,103,0.437,1,4.0,0.25,14,21,0.667,11.0,40,24,13.0,2.0,13.0,28,102.4,94.3,111.4,0.284,0.023,0.576,57.4,63.8,3.6,4.0,0.534,19.5,25.6,0.227,0.442,10.4,80.0,0.136,1980,9,2,-15,0.09700000000000003,-1,-2.0,-0.25,6,4,0.133,-1.0,14,6,-9.0,2.0,11.0,-1
8,9,1979-11-03,1,WSB,BOS,2,97,118,34,87,0.391,4,4.0,1.0,25,37,0.676,15.0,38,22,7.0,8.0,17.0,22,50,93,0.538,0,2.0,0.0,18,20,0.9,12.0,46,40,9.0,3.0,12.0,25,97.7,118.8,99.3,0.425,0.046,0.47,45.2,64.7,7.0,8.8,0.414,14.1,30.6,0.287,0.538,10.5,65.7,0.194,1980,-21,-16,-6,-0.14700000000000002,4,2.0,1.0,7,17,-0.22399999999999998,3.0,-8,-18,-2.0,5.0,5.0,-3
9,10,1979-11-09,1,WSB,SAS,1,125,116,56,110,0.509,0,2.0,0.0,13,21,0.619,,52,42,10.0,6.0,18.0,20,51,103,0.495,3,7.0,0.429,11,12,0.917,,40,34,9.0,3.0,22.0,23,,,,0.191,0.018,0.524,56.5,75.0,,6.3,0.509,13.1,,0.118,0.51,16.9,,0.107,1980,9,5,7,0.014000000000000012,-3,-5.0,-0.429,2,9,-0.29800000000000004,,12,8,1.0,3.0,-4.0,-3
