,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1982-10-29,1,DEN,DAL,2,117,125,42,101,0.416,0,3.0,0.0,33,42,0.786,,50,21,,1.0,23,25,54,96,0.563,0,1.0,0.0,17,18,0.944,,44,31,,10.0,24,32,,,,0.416,0.03,0.49,53.2,50.0,,1.1,0.416,16.1,,0.327,0.563,18.8,,0.177,1983,-8,-12,5,-0.14699999999999996,0,2.0,0.0,16,24,-0.15799999999999992,,6,-10,,-9.0,-1,-7
1,2,1982-10-31,1,DEN,PHO,1,114,110,44,88,0.5,0,1.0,0.0,26,33,0.788,6.0,38,29,13.0,1.0,21,28,42,89,0.472,3,3.0,1.0,23,35,0.657,16.0,52,21,15.0,3.0,30,35,98.4,94.9,115.9,0.375,0.011,0.556,42.2,65.9,11.2,1.2,0.5,17.0,14.3,0.295,0.489,22.3,66.7,0.258,1983,4,2,-1,0.028000000000000025,-3,-2.0,-1.0,3,-2,0.131,-10.0,-14,8,-2.0,-2.0,-9,-7
2,3,1982-11-03,1,DEN,LAL,2,134,135,57,107,0.533,0,1.0,0.0,20,25,0.8,17.0,46,33,12.0,3.0,20,24,55,104,0.529,0,0.0,,25,35,0.714,17.0,49,29,8.0,7.0,21,26,112.6,113.4,107.8,0.234,0.009,0.568,48.4,57.9,10.1,2.9,0.533,14.5,34.7,0.187,0.529,15.0,63.0,0.24,1983,-1,2,3,0.0040000000000000036,0,1.0,,-5,-10,0.08600000000000008,0.0,-3,4,4.0,-4.0,-1,-2
3,4,1982-11-04,2,DEN,LAL,2,108,131,38,96,0.396,0,1.0,0.0,32,36,0.889,18.0,38,22,9.0,4.0,24,21,58,108,0.537,0,0.0,,15,20,0.75,24.0,56,34,16.0,10.0,20,29,98.7,119.7,109.4,0.375,0.01,0.483,40.4,57.9,8.2,3.7,0.396,17.7,36.0,0.333,0.537,14.6,45.5,0.139,1983,-23,-20,-12,-0.14100000000000001,0,1.0,,17,16,0.139,-6.0,-18,-12,-7.0,-6.0,4,-8
4,5,1982-11-06,1,DEN,GSW,1,127,118,46,91,0.505,0,0.0,,35,42,0.833,13.0,40,27,8.0,6.0,16,23,52,102,0.51,0,0.0,,14,22,0.636,23.0,53,29,9.0,6.0,20,36,117.9,109.5,107.7,0.462,0.0,0.58,43.0,58.7,7.4,5.9,0.505,12.8,30.2,0.385,0.51,15.2,54.0,0.137,1983,9,-6,-11,-0.0050000000000000044,0,0.0,,21,20,0.19699999999999995,-10.0,-13,-2,-1.0,0.0,-4,-13
5,6,1982-11-09,1,DEN,ATL,2,105,106,42,101,0.416,0,0.0,,21,24,0.875,18.0,50,22,7.0,3.0,16,31,42,89,0.472,1,3.0,0.333,21,30,0.7,13.0,47,25,3.0,11.0,22,30,98.5,99.4,106.6,0.238,0.0,0.471,51.5,52.4,6.6,3.5,0.416,12.5,34.6,0.208,0.478,17.7,71.1,0.236,1983,-1,0,12,-0.055999999999999994,-1,-3.0,,0,-6,0.17500000000000004,5.0,3,-3,4.0,-8.0,-6,1
6,7,1982-11-10,2,DEN,UTA,2,119,125,48,106,0.453,0,3.0,0.0,23,28,0.821,21.0,56,26,9.0,3.0,24,30,49,95,0.516,0,3.0,0.0,27,33,0.818,5.0,44,31,15.0,11.0,20,24,98.5,103.5,120.8,0.264,0.028,0.503,56.0,54.2,7.5,3.3,0.453,16.9,35.0,0.217,0.516,15.4,87.5,0.284,1983,-6,-1,11,-0.063,0,0.0,0.0,-4,-5,0.0030000000000000027,16.0,12,-5,-6.0,-8.0,4,6
7,8,1982-11-12,1,DEN,POR,2,111,128,43,99,0.434,1,4.0,0.25,24,28,0.857,13.0,36,22,9.0,4.0,18,25,53,84,0.631,0,0.0,,22,30,0.733,8.0,49,41,7.0,11.0,22,26,99.5,114.7,111.6,0.283,0.04,0.499,42.4,51.2,8.1,4.8,0.439,13.9,24.1,0.242,0.631,18.5,74.2,0.262,1983,-17,-10,15,-0.197,1,4.0,,2,-2,0.124,5.0,-13,-19,2.0,-7.0,-4,-1
8,9,1982-11-13,2,DEN,DAL,1,140,130,53,100,0.53,0,0.0,,34,37,0.919,,42,34,10.0,4.0,10,25,59,104,0.567,1,4.0,0.25,11,17,0.647,,47,40,4.0,5.0,18,26,,,,0.37,0.0,0.602,47.2,64.2,,4.0,0.53,7.9,,0.34,0.572,13.9,,0.106,1983,10,-6,-4,-0.03699999999999992,-1,-4.0,,23,20,0.272,,-5,-6,6.0,-1.0,-8,-1
9,10,1982-11-16,2,DEN,SDC,1,136,130,52,98,0.531,0,2.0,0.0,32,39,0.821,10.0,37,27,13.0,5.0,18,28,54,105,0.514,1,3.0,0.333,21,26,0.808,21.0,59,32,8.0,2.0,25,30,114.3,109.3,118.9,0.398,0.02,0.59,38.5,51.9,10.9,4.9,0.531,13.5,20.8,0.327,0.519,17.7,56.3,0.2,1983,6,-2,-7,0.017000000000000015,-1,-1.0,-0.333,11,13,0.0129999999999999,-11.0,-22,-5,5.0,3.0,-7,-2
