,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1984-10-27,1,DAL,HOU,2,111,121,40,75,0.533,2,4,0.5,29,42,0.69,7,32,25,5,2,14,26,48,87,0.552,1,1,1.0,24,32,0.75,13,42,19,5,6,15,31,111.5,121.6,99.5,0.56,0.053,0.594,43.2,62.5,5.0,2.3,0.547,13.0,19.4,0.387,0.557,12.9,65.8,0.276,1985,-10,-8,-12,-0.019000000000000017,1,3,-0.5,5,10,-0.06000000000000005,-6,-10,6,0,-4,-1,-5
1,2,1984-10-28,1,DAL,LAL,1,107,96,39,87,0.448,1,3,0.333,28,34,0.824,13,44,19,10,0,13,22,38,79,0.481,1,6,0.167,19,30,0.633,12,38,21,8,5,19,31,110.2,98.8,97.1,0.391,0.034,0.525,53.7,48.7,10.3,0.0,0.454,11.3,33.3,0.322,0.487,17.1,72.1,0.241,1985,11,1,8,-0.032999999999999974,0,-3,0.166,9,4,0.19099999999999995,1,6,-2,2,-5,-6,-9
2,3,1984-10-30,2,DAL,HOU,2,84,106,31,78,0.397,0,2,0.0,22,26,0.846,13,42,14,3,1,18,22,42,96,0.438,0,2,0.0,22,32,0.688,23,54,26,7,4,8,25,91.9,116.0,91.4,0.333,0.026,0.47,43.8,45.2,3.3,1.1,0.397,16.8,29.5,0.282,0.438,6.8,55.8,0.229,1985,-22,-11,-18,-0.04099999999999998,0,0,0.0,0,-6,0.15800000000000003,-10,-12,-12,-4,-3,10,-3
3,4,1984-10-31,2,DAL,IND,1,101,100,40,87,0.46,0,0,,21,35,0.6,9,42,25,6,5,12,23,38,86,0.442,0,1,0.0,24,29,0.828,16,58,23,3,6,18,31,99.5,98.5,101.5,0.402,0.0,0.493,42.0,62.5,5.9,5.9,0.46,10.5,17.6,0.241,0.442,15.4,67.3,0.279,1985,1,2,1,0.018000000000000016,0,-1,,-3,6,-0.22799999999999998,-7,-16,2,3,-1,-6,-8
4,5,1984-11-02,2,DAL,PHI,2,103,107,41,89,0.461,3,6,0.5,18,21,0.857,14,41,25,12,5,20,23,40,86,0.465,0,0,,27,31,0.871,18,49,24,13,8,24,21,100.9,104.8,102.1,0.236,0.067,0.524,45.6,61.0,11.8,5.8,0.478,16.9,31.1,0.202,0.465,19.4,60.0,0.314,1985,-4,1,3,-0.0040000000000000036,3,6,,-9,-10,-0.014000000000000012,-4,-8,1,-1,-3,-4,2
5,6,1984-11-03,1,DAL,PHO,2,93,105,35,78,0.449,2,4,0.5,21,31,0.677,15,43,21,2,6,17,22,45,89,0.506,1,3,0.333,14,19,0.737,15,43,26,14,2,14,29,100.3,113.2,92.8,0.397,0.051,0.507,50.0,60.0,2.2,7.0,0.462,15.6,34.9,0.269,0.511,12.6,65.1,0.157,1985,-12,-10,-11,-0.056999999999999995,1,1,0.16699999999999998,7,12,-0.05999999999999994,0,0,-5,-12,4,3,-7
6,7,1984-11-06,1,DAL,NYK,1,107,104,39,78,0.5,2,4,0.5,27,32,0.844,14,49,23,5,6,26,24,40,89,0.449,0,6,0.0,24,32,0.75,12,38,22,12,2,10,28,106.7,103.7,100.3,0.41,0.051,0.581,56.3,59.0,5.0,7.2,0.513,22.0,35.0,0.346,0.449,8.8,74.5,0.27,1985,3,-1,-11,0.05099999999999999,2,-2,0.5,3,0,0.09399999999999997,2,11,1,-7,4,16,-4
7,8,1984-11-08,1,DAL,ATL,1,112,105,41,99,0.414,0,0,,30,39,0.769,23,54,26,4,4,12,19,45,103,0.437,1,3,0.333,14,21,0.667,19,53,18,5,6,16,39,109.1,102.3,93.0,0.394,0.0,0.482,50.5,63.4,3.9,4.0,0.414,9.4,40.4,0.303,0.442,12.5,62.0,0.136,1985,7,-4,-4,-0.02300000000000002,-1,-3,,16,18,0.10199999999999998,4,1,8,-1,-2,-4,-20
8,9,1984-11-10,1,DAL,SEA,1,106,102,43,81,0.531,0,1,0.0,20,25,0.8,14,37,21,4,3,17,26,41,76,0.539,1,4,0.25,19,26,0.731,11,29,28,8,8,19,22,115.5,111.2,91.7,0.309,0.012,0.576,56.1,48.8,4.4,4.2,0.531,15.6,43.8,0.247,0.546,17.9,67.6,0.25,1985,4,2,5,-0.008000000000000007,-1,-3,-0.25,1,-1,0.06900000000000006,3,8,-7,-4,-5,-2,4
9,10,1984-11-12,2,DAL,UTA,2,97,123,44,102,0.431,0,0,,9,13,0.692,18,49,27,4,1,19,26,52,96,0.542,0,0,,19,27,0.704,11,44,34,8,10,9,17,93.4,118.4,103.9,0.127,0.0,0.45,52.7,61.4,3.9,1.0,0.431,15.0,35.3,0.088,0.542,7.7,73.8,0.198,1985,-26,-8,6,-0.11100000000000004,0,0,,-10,-14,-0.01200000000000001,7,5,-7,-4,-9,10,9
10,11,1984-11-13,2,DAL,POR,1,101,94,43,87,0.494,0,0,,15,16,0.938,10,41,28,7,4,14,23,41,87,0.471,0,4,0.0,12,18,0.667,14,45,27,5,4,16,25,105.9,98.5,95.4,0.184,0.0,0.537,47.7,65.1,7.3,4.8,0.494,13.0,24.4,0.172,0.471,14.4,68.9,0.138,1985,7,2,0,0.02300000000000002,0,-4,,3,-2,0.2709999999999999,-4,-4,1,2,0,-2,-2
11,12,1984-11-15,2,DAL,GSW,2,112,117,48,94,0.511,3,6,0.5,13,17,0.765,8,34,24,6,3,10,24,48,87,0.552,1,4,0.25,20,26,0.769,12,45,21,4,4,13,19,112.9,117.9,99.2,0.181,0.064,0.552,43.0,50.0,6.0,3.6,0.527,9.0,19.5,0.138,0.557,11.7,68.4,0.23,1985,-5,0,7,-0.041000000000000036,2,2,0.25,-7,-9,-0.0040000000000000036,-4,-11,3,2,-1,-3,5
12,13,1984-11-17,1,DAL,DET,2,110,124,48,86,0.558,1,6,0.167,13,16,0.813,6,29,29,4,7,17,24,48,84,0.571,1,2,0.5,27,31,0.871,8,35,32,8,2,18,23,106.6,120.1,103.2,0.186,0.07,0.591,45.3,60.4,3.9,8.5,0.564,15.4,18.2,0.151,0.577,15.6,74.2,0.321,1985,-14,0,2,-0.0129999999999999,0,4,-0.33299999999999996,-14,-15,-0.05800000000000005,-2,-6,-3,-4,5,-1,1
13,14,1984-11-20,1,DAL,MIL,1,109,108,43,86,0.5,0,1,0.0,23,28,0.821,13,38,26,11,2,13,19,44,80,0.55,6,9,0.667,14,27,0.519,16,47,21,8,4,22,28,112.2,111.1,97.2,0.326,0.012,0.554,44.7,60.5,11.3,2.8,0.5,11.7,29.5,0.267,0.588,19.3,61.0,0.175,1985,1,-1,6,-0.050000000000000044,-6,-8,-0.667,9,1,0.30199999999999994,-3,-9,5,3,-2,-9,-9
14,15,1984-11-24,1,DAL,HOU,1,113,95,44,100,0.44,0,2,0.0,25,29,0.862,20,53,25,7,4,12,26,35,72,0.486,0,0,,25,34,0.735,5,38,17,7,5,20,28,112.2,94.3,100.7,0.29,0.02,0.501,58.2,56.8,7.0,5.6,0.44,9.6,37.7,0.25,0.486,18.7,86.8,0.347,1985,18,9,28,-0.045999999999999985,0,2,,0,-5,0.127,15,15,8,0,-1,-8,-2
15,16,1984-11-27,1,DAL,BOS,2,99,114,39,98,0.398,0,4,0.0,21,26,0.808,21,43,20,6,4,6,23,47,81,0.58,0,2,0.0,20,23,0.87,9,45,27,2,5,15,25,106.6,122.7,92.9,0.265,0.041,0.452,48.9,51.3,6.5,5.1,0.398,5.2,36.8,0.214,0.58,14.1,71.0,0.247,1985,-15,-8,17,-0.18199999999999994,0,2,0.0,1,3,-0.061999999999999944,12,-2,-7,4,-1,-9,-2
16,17,1984-11-29,2,DAL,SAS,2,116,124,45,84,0.536,3,8,0.375,23,30,0.767,11,32,25,4,4,16,28,44,75,0.587,0,1,0.0,36,43,0.837,11,44,27,11,7,18,28,115.8,123.8,100.2,0.357,0.095,0.597,42.1,55.6,4.0,5.4,0.554,14.1,25.0,0.274,0.587,16.1,65.6,0.48,1985,-8,1,9,-0.050999999999999934,3,7,0.375,-13,-13,-0.06999999999999995,0,-12,-2,-7,-3,-2,0
17,18,1984-11-30,1,DAL,SEA,1,108,98,46,85,0.541,0,1,0.0,16,21,0.762,9,40,31,6,3,12,21,40,90,0.444,2,5,0.4,16,21,0.762,16,45,18,6,6,15,25,113.3,102.8,95.4,0.247,0.012,0.573,47.1,67.4,6.3,3.5,0.541,11.3,23.7,0.188,0.456,13.1,66.0,0.178,1985,10,6,-5,0.09700000000000003,-2,-4,-0.4,0,0,0.0,-7,-5,13,0,-3,-3,-4
18,19,1984-12-05,1,DAL,LAC,2,106,110,45,88,0.511,2,3,0.667,14,21,0.667,16,38,28,3,0,14,16,50,84,0.595,1,1,1.0,9,11,0.818,12,36,23,7,8,12,28,118.1,122.5,89.8,0.239,0.034,0.545,51.4,62.2,3.3,0.0,0.523,12.6,40.0,0.159,0.601,11.9,64.7,0.107,1985,-4,-5,4,-0.08399999999999996,1,2,-0.33299999999999996,5,10,-0.1509999999999999,4,2,5,-4,-8,2,-12
19,20,1984-12-06,2,DAL,NYK,1,112,83,47,87,0.54,0,1,0.0,18,24,0.75,15,44,34,9,2,13,19,33,76,0.434,0,0,,17,20,0.85,7,32,11,3,3,16,22,121.3,89.9,92.3,0.276,0.011,0.574,57.9,72.3,9.8,2.6,0.54,11.8,37.5,0.207,0.434,15.9,80.6,0.224,1985,29,14,11,0.10600000000000004,0,1,,1,4,-0.09999999999999998,8,12,23,6,-1,-3,-3
52,21,1984-12-08,2,DAL,CHI,2,97,99,38,86,0.442,0,1,0.0,21,30,0.7,12,41,25,9,6,10,17,43,87,0.494,0,0,,13,17,0.765,14,47,21,4,7,17,27,102.2,104.3,94.9,0.349,0.012,0.489,46.6,65.8,9.5,6.9,0.442,9.2,26.7,0.244,0.494,15.2,67.4,0.149,1985,-2,-5,-1,-0.05199999999999999,0,1,,8,13,-0.06500000000000006,-2,-6,4,5,-1,-7,-10
53,22,1984-12-12,1,DAL,KCK,1,116,107,52,93,0.559,0,2,0.0,12,20,0.6,18,47,31,9,7,15,18,45,87,0.517,0,5,0.0,17,20,0.85,12,38,26,8,3,19,20,116.6,107.6,99.5,0.215,0.022,0.57,55.3,59.6,9.0,8.5,0.559,12.8,40.9,0.129,0.517,16.6,70.7,0.195,1985,9,7,6,0.04200000000000004,0,-3,0.0,-5,0,-0.25,6,9,5,1,4,-4,-2
54,23,1984-12-14,1,DAL,SAS,1,119,102,46,87,0.529,0,3,0.0,27,33,0.818,14,50,28,18,4,22,26,41,97,0.423,0,0,,20,25,0.8,17,46,19,9,5,23,28,108.8,93.3,109.3,0.379,0.034,0.586,52.1,60.9,16.5,4.1,0.529,17.8,32.6,0.31,0.423,17.6,67.9,0.206,1985,17,5,-10,0.10600000000000004,0,3,,7,8,0.017999999999999905,-3,4,9,9,-1,-1,-2
55,24,1984-12-15,2,DAL,HOU,2,115,117,42,76,0.553,4,5,0.8,27,34,0.794,7,32,24,8,1,19,25,50,90,0.556,0,1,0.0,17,24,0.708,16,45,35,7,2,18,23,113.6,115.6,101.2,0.447,0.066,0.632,41.6,57.1,7.9,1.1,0.579,17.3,19.4,0.355,0.556,15.2,61.0,0.189,1985,-2,-8,-14,-0.0030000000000000027,4,4,0.8,10,10,0.08600000000000008,-9,-13,-11,1,-1,1,2
56,25,1984-12-18,2,DAL,MIL,2,96,110,35,88,0.398,2,4,0.5,24,31,0.774,16,42,14,11,3,22,25,44,91,0.484,0,1,0.0,22,34,0.647,20,54,23,12,5,16,25,94.6,108.4,101.5,0.352,0.045,0.472,43.8,40.0,10.8,3.3,0.409,17.8,32.0,0.273,0.484,13.1,56.5,0.242,1985,-14,-9,-3,-0.08599999999999997,2,3,0.5,2,-3,0.127,-4,-12,-9,-1,-2,6,0
57,26,1984-12-21,2,DAL,DEN,2,93,116,36,86,0.419,1,7,0.143,20,25,0.8,10,38,14,6,6,19,23,50,102,0.49,1,3,0.333,15,19,0.789,17,58,25,9,4,15,26,89.4,111.5,104.0,0.291,0.081,0.479,39.6,38.9,5.8,6.1,0.424,16.4,19.6,0.233,0.495,12.0,62.2,0.147,1985,-23,-14,-16,-0.07100000000000001,0,4,-0.19000000000000003,5,6,0.01100000000000001,-7,-20,-11,-3,2,4,-3
58,27,1984-12-22,2,DAL,UTA,1,113,96,46,93,0.495,3,4,0.75,18,23,0.783,14,48,27,13,5,16,23,39,88,0.443,0,4,0.0,18,26,0.692,14,49,24,4,9,20,23,109.2,92.8,103.5,0.247,0.043,0.548,49.5,58.7,12.6,6.0,0.511,13.4,28.6,0.194,0.443,16.7,70.8,0.205,1985,17,7,5,0.05199999999999999,3,0,0.75,0,-3,0.09100000000000008,0,-1,3,9,-4,-4,0
