,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1986-10-31,2,UTA,DAL,2,77,103,28,90,0.311,0,4,0.0,21,30,0.7,15,44,21,5,2,21,33,32,76,0.421,2,3,0.667,37,47,0.787,16,60,14,7,5,22,31,74.7,99.9,103.1,0.333,0.044,0.373,42.3,75.0,4.8,2.7,0.311,16.9,25.4,0.233,0.434,18.5,64.4,0.487,1987,-26,-4,14,-0.10999999999999999,-2,1,-0.667,-16,-17,-0.08700000000000008,-1,-16,7,-2,-3,-1,2
1,2,1986-11-01,1,UTA,POR,1,119,110,50,111,0.45,1,7,0.143,18,29,0.621,28,66,29,13,16,12,31,40,93,0.43,3,7,0.429,27,41,0.659,18,49,26,8,9,19,23,111.3,102.9,106.9,0.261,0.063,0.481,57.4,58.0,12.2,18.6,0.455,8.8,47.5,0.162,0.446,14.6,67.9,0.29,1987,9,10,18,0.020000000000000018,-2,0,-0.28600000000000003,-9,-12,-0.038000000000000034,10,17,3,5,7,-7,8
2,3,1986-11-05,1,UTA,CLE,1,111,95,43,108,0.398,1,4,0.25,24,28,0.857,18,50,27,16,8,14,25,34,85,0.4,2,6,0.333,25,32,0.781,14,52,25,8,7,29,24,100.4,86.0,110.5,0.259,0.037,0.461,49.0,62.8,14.5,10.1,0.403,10.4,32.1,0.222,0.412,22.6,69.6,0.294,1987,16,9,23,-0.0020000000000000018,-1,-2,-0.08300000000000002,-1,-4,0.07599999999999996,4,-2,2,8,1,-15,1
3,4,1986-11-06,2,UTA,DEN,2,121,135,45,95,0.474,2,4,0.5,29,38,0.763,15,40,23,6,4,15,25,53,103,0.515,1,2,0.5,28,32,0.875,19,51,34,8,4,14,25,112.7,125.7,107.4,0.4,0.042,0.542,44.0,51.1,5.6,4.0,0.484,11.8,31.9,0.305,0.519,10.7,56.8,0.272,1987,-14,-8,-8,-0.041000000000000036,1,2,0.0,1,6,-0.11199999999999999,-4,-11,-11,-2,0,1,0
4,5,1986-11-11,1,UTA,DAL,1,104,103,42,92,0.457,2,4,0.5,18,28,0.643,18,49,28,11,8,17,25,36,87,0.414,2,3,0.667,29,36,0.806,17,50,25,13,2,17,28,103.8,102.8,100.2,0.304,0.043,0.498,49.5,66.7,11.0,9.5,0.467,14.0,35.3,0.196,0.425,14.2,64.6,0.333,1987,1,6,5,0.04300000000000004,0,1,-0.16700000000000004,-11,-8,-0.16300000000000003,1,-1,3,-2,6,0,-3
5,6,1986-11-13,1,UTA,LAC,1,130,113,48,89,0.539,0,2,0.0,34,45,0.756,15,42,34,13,9,18,25,43,92,0.467,5,12,0.417,22,28,0.786,18,40,25,8,7,21,31,123.5,107.4,105.2,0.506,0.022,0.597,51.2,70.8,12.4,11.3,0.539,14.2,40.5,0.382,0.495,16.8,60.0,0.239,1987,17,5,-3,0.07200000000000001,-5,-10,-0.417,12,17,-0.030000000000000027,-3,2,9,5,2,-3,-6
6,7,1986-11-15,1,UTA,DEN,1,111,103,41,93,0.441,3,5,0.6,26,38,0.684,15,56,19,5,6,19,37,34,96,0.354,2,14,0.143,33,46,0.717,16,54,17,7,4,17,34,99.0,91.9,112.1,0.409,0.054,0.506,50.9,46.3,4.5,7.3,0.457,14.8,28.3,0.28,0.365,12.8,71.9,0.344,1987,8,7,-3,0.08700000000000002,1,-9,0.45699999999999996,-7,-8,-0.03299999999999992,-1,2,2,-2,2,2,3
7,8,1986-11-16,2,UTA,POR,2,103,124,39,92,0.424,3,9,0.333,22,25,0.88,17,39,19,10,8,28,21,53,92,0.576,1,1,1.0,17,22,0.773,16,46,36,13,5,25,25,94.6,113.9,108.9,0.272,0.098,0.5,45.9,48.7,9.2,8.8,0.44,21.4,36.2,0.239,0.582,19.7,57.9,0.185,1987,-21,-14,0,-0.15199999999999997,2,8,-0.667,5,3,0.10699999999999998,1,-7,-17,-3,3,3,-4
8,9,1986-11-20,2,UTA,HOU,2,90,104,36,79,0.456,2,4,0.5,16,24,0.667,8,31,29,10,6,18,16,43,87,0.494,2,4,0.5,16,18,0.889,15,45,29,11,9,18,22,94.5,109.2,95.3,0.304,0.051,0.502,40.8,80.6,10.5,7.2,0.468,16.7,21.1,0.203,0.506,15.9,60.5,0.184,1987,-14,-7,-8,-0.03799999999999998,0,0,0.0,0,6,-0.22199999999999998,-7,-14,0,-1,-3,0,-6
9,10,1986-11-22,1,UTA,NJN,1,96,78,37,86,0.43,1,5,0.2,21,25,0.84,14,47,24,15,8,14,19,33,82,0.402,1,3,0.333,11,17,0.647,16,47,20,9,4,23,21,101.9,82.8,94.2,0.291,0.058,0.495,50.0,64.9,15.9,10.1,0.436,12.6,31.1,0.244,0.409,20.4,67.3,0.134,1987,18,4,4,0.02799999999999997,0,2,-0.133,10,8,0.19299999999999995,-2,0,4,6,4,-9,-2
