,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1987-11-06,2,SEA,LAL,2,109,113,46,98,0.469,1,6,0.167,16,22,0.727,17,46,24,15,4,19,35,37,76,0.487,2,5,0.4,37,45,0.822,12,45,21,9,4,23,20,103.0,106.8,105.8,0.224,0.061,0.506,50.5,52.2,14.2,5.6,0.474,15.0,34.0,0.163,0.5,19.4,70.7,0.487,1988,-4,9,22,-0.018000000000000016,-1,1,-0.233,-21,-23,-0.09499999999999997,5,1,3,6,0,-4,15
1,2,1987-11-07,1,SEA,PHO,1,112,96,42,89,0.472,0,2,0.0,28,36,0.778,18,54,27,5,4,23,22,41,93,0.441,1,4,0.25,13,19,0.684,14,38,25,9,3,20,33,106.7,91.5,104.9,0.404,0.022,0.534,58.7,64.3,4.8,4.5,0.472,18.0,42.9,0.315,0.446,16.5,72.0,0.14,1988,16,1,-4,0.030999999999999972,-1,-2,-0.25,15,17,0.09399999999999997,4,16,2,-4,1,3,-11
2,3,1987-11-10,1,SEA,DAL,2,101,117,40,87,0.46,2,5,0.4,19,23,0.826,14,34,28,9,4,22,27,43,73,0.589,2,4,0.5,29,41,0.707,7,34,30,11,4,20,18,99.9,115.8,101.1,0.264,0.057,0.52,50.0,70.0,8.9,5.8,0.471,18.5,34.1,0.218,0.603,18.0,74.1,0.397,1988,-16,-3,14,-0.12899999999999995,0,1,-0.09999999999999998,-10,-18,0.119,7,0,-2,-2,0,2,9
3,4,1987-11-12,2,SEA,SAS,2,118,123,46,104,0.442,2,8,0.25,24,40,0.6,22,54,32,7,11,19,33,44,87,0.506,1,3,0.333,34,43,0.791,14,45,27,7,14,21,31,105.2,109.6,112.2,0.385,0.077,0.485,54.5,69.6,6.2,13.1,0.452,13.5,41.5,0.231,0.511,16.5,69.6,0.391,1988,-5,2,17,-0.064,1,5,-0.08300000000000002,-10,-3,-0.19100000000000006,8,9,5,0,-3,-2,2
4,5,1987-11-13,2,SEA,DAL,1,103,95,45,87,0.517,3,8,0.375,10,15,0.667,17,40,37,9,5,15,31,35,66,0.53,0,4,0.0,25,32,0.781,8,27,17,6,2,17,23,118.4,109.2,87.0,0.172,0.092,0.55,59.7,82.2,10.3,8.1,0.534,13.8,47.2,0.115,0.53,17.5,74.2,0.379,1988,8,10,21,-0.013000000000000012,3,4,0.375,-15,-17,-0.11399999999999999,9,13,20,3,3,-2,8
5,6,1987-11-15,2,SEA,HOU,2,106,108,43,78,0.551,1,2,0.5,19,23,0.826,14,35,31,10,4,22,34,38,73,0.521,3,6,0.5,29,40,0.725,13,35,26,11,1,21,23,111.4,113.5,95.2,0.295,0.026,0.601,50.0,72.1,10.5,6.0,0.558,20.0,38.9,0.244,0.541,18.8,61.8,0.397,1988,-2,5,5,0.030000000000000027,-2,-4,0.0,-10,-17,0.10099999999999998,1,0,5,-1,3,1,11
6,7,1987-11-18,1,SEA,POR,1,120,114,44,90,0.489,1,6,0.167,31,40,0.775,15,48,24,9,6,17,27,42,92,0.457,2,8,0.25,28,32,0.875,14,43,25,9,3,16,26,113.7,108.0,105.5,0.444,0.067,0.558,52.7,54.5,8.5,7.1,0.494,13.6,34.1,0.344,0.467,13.1,70.2,0.304,1988,6,2,-2,0.03199999999999997,-1,-2,-0.08299999999999999,3,8,-0.09999999999999998,1,5,-1,0,3,1,1
7,8,1987-11-20,1,SEA,MIL,1,99,97,39,93,0.419,1,9,0.111,20,31,0.645,23,62,23,8,1,20,27,38,77,0.494,1,3,0.333,20,32,0.625,6,35,23,7,4,17,25,98.5,96.5,100.5,0.333,0.097,0.464,63.9,59.0,8.0,1.4,0.425,15.8,44.2,0.215,0.5,15.7,86.7,0.26,1988,2,1,16,-0.07500000000000001,0,6,-0.22200000000000003,0,-1,0.020000000000000018,17,27,0,1,-3,3,2
8,9,1987-11-21,1,SEA,WSB,1,124,103,52,96,0.542,6,12,0.5,14,20,0.7,15,49,38,12,7,13,29,39,94,0.415,0,2,0.0,25,36,0.694,21,47,22,5,3,19,19,121.1,100.6,102.4,0.208,0.125,0.592,51.0,73.1,11.7,7.6,0.573,11.0,36.6,0.146,0.415,14.7,61.8,0.266,1988,21,13,2,0.12700000000000006,6,10,0.5,-11,-16,0.006000000000000005,-6,2,16,7,4,-6,10
9,10,1987-11-24,1,SEA,LAL,1,103,85,39,85,0.459,2,6,0.333,23,30,0.767,13,46,23,8,7,15,26,30,79,0.38,1,8,0.125,24,27,0.889,10,37,16,6,3,24,25,104.2,86.0,98.8,0.353,0.071,0.524,55.4,59.0,8.1,9.9,0.471,13.3,32.5,0.271,0.386,20.9,76.7,0.304,1988,18,9,6,0.07900000000000001,1,-2,0.20800000000000002,-1,3,-0.122,3,9,7,2,4,-9,1
