,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1989-11-04,1,PHI,MIL,2,96,102,34,75,0.453,2,6,0.333,26,39,0.667,17,42,21,5,8,22,20,38,81,0.469,3,8,0.375,23,28,0.821,15,38,26,12,5,18,32,102.7,109.1,93.5,0.52,0.08,0.521,52.5,61.8,5.4,11.0,0.467,19.3,42.5,0.347,0.488,16.2,62.5,0.284,1990,-6,-4,-6,-0.01599999999999996,-1,-2,-0.04199999999999998,3,11,-0.15399999999999991,2,4,-5,-7,3,4,-12
1,2,1989-11-08,1,PHI,MIA,1,115,91,39,77,0.506,1,2,0.5,36,44,0.818,8,39,29,15,10,22,19,39,89,0.438,1,5,0.2,12,21,0.571,16,44,25,11,1,26,30,108.1,85.5,106.4,0.571,0.026,0.597,47.0,74.4,14.1,11.9,0.513,18.6,22.2,0.468,0.444,20.9,66.0,0.135,1990,24,0,-12,0.068,0,-3,0.3,24,23,0.247,-8,-5,4,4,9,-4,-11
2,3,1989-11-10,2,PHI,MIN,2,118,125,40,91,0.44,3,8,0.375,35,40,0.875,16,42,26,10,4,16,31,46,90,0.511,1,4,0.25,32,39,0.821,15,46,25,13,3,18,29,112.0,118.6,95.5,0.44,0.088,0.543,47.7,65.0,9.5,4.7,0.456,12.8,34.0,0.385,0.517,14.4,63.4,0.356,1990,-7,-6,1,-0.07100000000000001,2,4,0.125,3,1,0.05400000000000005,1,-4,1,-3,1,-2,2
3,4,1989-11-11,2,PHI,MIL,1,104,96,38,70,0.543,3,5,0.6,25,31,0.806,10,35,19,8,2,22,19,40,84,0.476,3,17,0.176,13,13,1.0,16,39,22,13,0,17,28,114.4,105.6,90.9,0.443,0.071,0.622,47.3,50.0,8.8,3.0,0.564,20.8,30.3,0.357,0.494,15.9,61.0,0.155,1990,8,-2,-14,0.06700000000000006,0,-12,0.424,12,18,-0.19399999999999995,-6,-4,-3,-5,2,5,-9
4,5,1989-11-14,2,PHI,BOS,2,94,96,39,81,0.481,2,4,0.5,14,17,0.824,6,33,22,9,1,15,20,42,76,0.553,0,1,0.0,12,17,0.706,6,40,33,9,4,18,18,98.8,100.9,95.1,0.21,0.049,0.531,45.2,56.4,9.5,1.3,0.494,14.5,15.0,0.173,0.553,17.7,81.8,0.158,1990,-2,-3,5,-0.07200000000000006,2,3,0.5,2,0,0.118,0,-7,-11,0,-3,-3,2
5,6,1989-11-15,1,PHI,CHH,1,109,96,40,80,0.5,1,4,0.25,28,30,0.933,10,49,31,8,6,17,19,37,87,0.425,5,11,0.455,17,23,0.739,11,39,26,7,0,14,22,111.1,97.9,98.1,0.375,0.05,0.585,55.7,77.5,8.2,7.9,0.506,15.4,26.3,0.35,0.454,12.6,78.0,0.195,1990,13,3,-7,0.07500000000000001,-4,-7,-0.20500000000000002,11,7,0.19400000000000006,-1,10,5,1,6,3,-3
6,7,1989-11-17,1,PHI,SAS,1,108,101,45,84,0.536,1,7,0.143,17,21,0.81,10,42,29,11,6,13,16,43,94,0.457,0,2,0.0,15,18,0.833,19,43,24,6,2,14,22,114.9,107.4,94.0,0.25,0.083,0.579,49.4,64.4,11.7,6.5,0.542,12.2,29.4,0.202,0.457,12.1,62.7,0.16,1990,7,2,-10,0.07900000000000001,1,5,0.143,2,3,-0.02299999999999991,-9,-1,5,5,4,-1,-6
7,8,1989-11-18,2,PHI,ORL,2,103,116,42,93,0.452,0,6,0.0,19,23,0.826,11,36,22,7,5,15,22,46,93,0.495,0,3,0.0,24,29,0.828,17,50,28,10,4,17,19,100.6,113.3,102.4,0.247,0.065,0.499,41.9,52.4,6.8,5.6,0.452,12.7,25.0,0.204,0.495,13.8,59.5,0.258,1990,-13,-4,0,-0.04299999999999998,0,3,0.0,-5,-6,-0.0020000000000000018,-6,-14,-6,-3,1,-2,3
8,9,1989-11-22,2,PHI,MIA,1,113,103,44,87,0.506,0,1,0.0,25,33,0.758,12,44,18,8,1,13,31,41,103,0.398,0,3,0.0,21,35,0.6,31,59,19,7,4,16,28,113.1,103.1,99.9,0.379,0.011,0.557,42.7,40.9,8.0,1.0,0.506,11.4,30.0,0.287,0.398,11.9,50.8,0.204,1990,10,3,-16,0.10799999999999998,0,-2,0.0,4,-2,0.15800000000000003,-19,-15,-1,1,-3,-3,3
9,10,1989-11-24,1,PHI,WSB,1,121,108,48,92,0.522,4,5,0.8,21,28,0.75,17,45,28,4,6,14,20,43,95,0.453,0,2,0.0,22,29,0.759,19,43,31,9,7,10,23,126.2,112.6,95.9,0.304,0.054,0.58,51.1,58.3,4.2,6.5,0.543,11.8,41.5,0.228,0.453,8.5,59.6,0.232,1990,13,5,-3,0.069,4,3,0.8,-1,-1,-0.009000000000000008,-2,2,-3,-5,-1,4,-3
10,11,1989-11-25,2,PHI,IND,1,111,103,43,89,0.483,3,9,0.333,22,25,0.88,12,33,17,13,0,5,24,33,66,0.5,4,13,0.308,33,34,0.971,10,40,23,1,5,19,23,125.3,116.3,88.6,0.281,0.101,0.555,45.2,39.5,14.7,0.0,0.5,4.8,28.6,0.247,0.53,19.0,67.7,0.5,1990,8,10,23,-0.017000000000000015,-1,-4,0.025000000000000022,-11,-9,-0.09099999999999997,2,-7,-6,12,-5,-14,1
11,12,1989-11-29,1,PHI,CLE,1,114,84,43,84,0.512,1,3,0.333,27,33,0.818,11,40,29,10,2,12,19,35,86,0.407,3,9,0.333,11,17,0.647,15,37,23,4,6,17,23,122.7,90.4,92.9,0.393,0.036,0.579,51.9,67.4,10.8,2.6,0.518,10.9,33.3,0.321,0.424,15.4,65.9,0.128,1990,30,8,-2,0.10500000000000004,-2,-6,0.0,16,16,0.17099999999999993,-4,3,6,6,-4,-5,-4
12,13,1989-12-01,2,PHI,WSB,2,90,107,35,81,0.432,2,9,0.222,18,26,0.692,14,45,22,4,2,21,21,46,86,0.535,0,0,,15,20,0.75,9,40,30,5,5,9,24,94.5,112.4,95.2,0.321,0.111,0.487,52.9,62.9,4.2,2.3,0.444,18.5,31.1,0.222,0.535,8.7,77.5,0.174,1990,-17,-11,-5,-0.10300000000000004,2,9,,3,6,-0.05800000000000005,5,5,-8,-1,-3,12,-3
13,14,1989-12-02,2,PHI,ATL,2,92,100,34,83,0.41,2,9,0.222,22,27,0.815,15,41,17,10,1,11,19,39,79,0.494,2,7,0.286,20,23,0.87,12,44,26,9,5,14,26,104.1,113.2,88.4,0.325,0.108,0.485,48.2,50.0,11.3,1.4,0.422,10.4,31.9,0.265,0.506,13.6,68.4,0.253,1990,-8,-5,4,-0.08400000000000002,0,2,-0.06399999999999997,2,4,-0.05500000000000005,3,-3,-9,1,-4,-3,-7
14,15,1989-12-05,2,PHI,NYK,2,103,110,40,98,0.408,0,4,0.0,23,30,0.767,25,51,15,5,4,10,17,49,95,0.516,3,9,0.333,9,13,0.692,17,49,32,7,4,18,24,107.6,114.9,95.8,0.306,0.041,0.463,51.0,37.5,5.2,4.7,0.408,8.3,43.9,0.235,0.532,15.2,60.5,0.095,1990,-7,-9,3,-0.10800000000000004,-3,-5,-0.333,14,17,0.07500000000000007,8,2,-17,-2,0,-8,-7
15,16,1989-12-06,1,PHI,MIA,1,121,98,45,83,0.542,2,5,0.4,29,39,0.744,16,51,29,9,6,19,14,43,97,0.443,1,1,1.0,11,14,0.786,16,39,28,12,2,17,27,119.6,96.8,101.2,0.47,0.06,0.604,56.7,64.4,8.9,6.3,0.554,15.9,41.0,0.349,0.448,14.1,68.6,0.113,1990,23,2,-14,0.09900000000000003,1,4,-0.6,18,25,-0.04200000000000004,0,12,1,-3,4,2,-13
16,17,1989-12-08,1,PHI,DET,1,107,101,37,74,0.5,1,4,0.25,32,41,0.78,12,46,19,8,2,11,21,43,91,0.473,3,10,0.3,12,17,0.706,14,38,29,2,5,11,26,117.6,111.0,91.0,0.554,0.054,0.581,54.8,51.4,8.8,2.5,0.507,10.7,33.3,0.432,0.489,10.0,70.8,0.132,1990,6,-6,-17,0.027000000000000024,-2,-6,-0.04999999999999999,20,24,0.07400000000000007,-2,8,-10,6,-3,0,-5
