,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1994-11-04,2,IND,ATL,1,94,92,32,76,0.421,7,17,0.412,23,30,0.767,18,51,17,6,4,20,33,28,77,0.364,3,12,0.25,33,49,0.673,17,47,21,11,8,13,28,103.2,101.0,91.1,0.395,0.224,0.527,52.0,53.1,6.6,6.2,0.467,18.3,37.5,0.303,0.383,11.7,66.0,0.429,1995,2,4,-1,0.056999999999999995,4,5,0.16199999999999998,-10,-19,0.09399999999999997,1,4,-4,-5,-4,7,5
1,2,1994-11-05,1,IND,BOS,1,112,103,40,78,0.513,3,10,0.3,29,33,0.879,12,40,23,14,2,27,29,38,86,0.442,5,13,0.385,22,30,0.733,17,42,18,16,6,24,29,107.9,99.2,103.8,0.423,0.128,0.605,48.8,57.5,13.5,2.7,0.532,22.6,32.4,0.372,0.471,19.5,62.2,0.256,1995,9,2,-8,0.07100000000000001,-2,-3,-0.08500000000000002,7,3,0.14600000000000002,-5,-2,5,-2,-4,3,0
2,3,1994-11-09,1,IND,HOU,2,104,109,36,88,0.409,9,21,0.429,23,34,0.676,20,53,19,8,0,13,39,35,76,0.461,5,19,0.263,34,50,0.68,10,43,24,6,8,13,30,108.1,113.3,96.2,0.386,0.239,0.505,55.2,52.8,8.3,0.0,0.46,11.2,37.7,0.261,0.493,11.7,76.7,0.447,1995,-5,1,12,-0.052000000000000046,4,2,0.16599999999999998,-11,-16,-0.0040000000000000036,10,10,-5,2,-8,0,9
3,4,1994-11-10,2,IND,DET,2,110,112,41,80,0.513,7,17,0.412,21,34,0.618,16,40,29,7,5,19,28,39,76,0.513,7,18,0.389,27,34,0.794,12,34,22,10,5,16,32,117.4,119.5,93.7,0.425,0.213,0.579,54.1,70.7,7.5,8.6,0.556,16.7,42.1,0.263,0.559,15.0,66.7,0.355,1995,-2,2,4,0.0,0,-1,0.022999999999999965,-6,0,-0.17600000000000005,4,6,7,-3,0,3,-4
4,5,1994-11-12,2,IND,CLE,1,93,86,34,65,0.523,4,8,0.5,21,26,0.808,6,40,30,5,11,22,28,28,87,0.322,6,18,0.333,24,28,0.857,20,45,17,6,4,14,22,103.4,95.7,89.9,0.4,0.123,0.608,47.1,88.2,5.6,15.9,0.554,22.3,19.4,0.323,0.356,12.4,63.0,0.276,1995,7,6,-22,0.201,-2,-10,0.16699999999999998,-3,-2,-0.04899999999999993,-14,-5,13,-1,7,8,6
5,6,1994-11-15,2,IND,MIL,2,81,82,30,74,0.405,5,15,0.333,16,24,0.667,14,42,17,6,10,16,20,32,83,0.386,7,17,0.412,11,19,0.579,17,44,22,6,5,15,23,96.1,97.3,84.3,0.324,0.203,0.479,48.8,56.7,7.1,15.2,0.439,15.9,34.1,0.216,0.428,14.1,62.2,0.133,1995,-1,-2,-9,0.019000000000000017,-2,-2,-0.07899999999999996,5,5,0.08800000000000008,-3,-2,-5,0,5,1,-3
6,7,1994-11-18,1,IND,SEA,1,94,87,36,78,0.462,6,18,0.333,16,23,0.696,12,42,22,13,7,17,25,29,77,0.377,5,16,0.313,24,32,0.75,17,38,17,8,7,19,26,105.6,97.7,89.0,0.295,0.231,0.533,52.5,61.1,14.6,11.5,0.5,16.2,36.4,0.205,0.409,17.3,63.8,0.312,1995,7,7,1,0.08500000000000002,1,2,0.020000000000000018,-8,-9,-0.05400000000000005,-5,4,5,5,0,-2,-1
7,8,1994-11-19,2,IND,CHH,1,102,89,40,85,0.471,4,11,0.364,18,23,0.783,13,48,26,3,4,12,22,35,81,0.432,3,16,0.188,16,23,0.696,12,40,25,5,7,20,26,108.2,94.4,94.3,0.271,0.129,0.536,54.5,65.0,3.2,6.2,0.494,11.2,31.7,0.212,0.451,18.0,74.5,0.198,1995,13,5,4,0.03899999999999998,1,-5,0.176,2,0,0.08700000000000008,1,8,1,-2,-3,-8,-4
8,9,1994-11-24,1,IND,GSW,1,123,96,50,78,0.641,6,15,0.4,17,25,0.68,11,48,39,14,3,23,29,33,79,0.418,7,18,0.389,23,29,0.793,12,31,17,11,4,22,23,122.7,95.7,100.3,0.321,0.192,0.691,60.8,78.0,14.0,4.9,0.679,20.5,36.7,0.218,0.462,19.3,75.5,0.291,1995,27,17,-1,0.22300000000000003,-1,-3,0.01100000000000001,-6,-4,-0.11299999999999999,-1,17,22,3,-1,1,6
9,10,1994-11-25,1,IND,MIL,1,111,106,43,66,0.652,4,14,0.286,21,32,0.656,9,31,33,10,1,21,17,43,79,0.544,3,15,0.2,17,22,0.773,9,23,24,13,0,15,25,122.1,116.6,90.9,0.485,0.212,0.693,57.4,76.7,11.0,1.6,0.682,20.8,39.1,0.318,0.563,14.5,71.0,0.215,1995,5,0,-13,0.10799999999999998,1,-1,0.08599999999999997,4,10,-0.11699999999999999,0,8,9,-3,1,6,-8
