,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1995-11-03,2,VAN,POR,1,92,80,33,75,0.44,1,5,0.2,25,33,0.758,10,39,14,12,5,18,28,29,81,0.358,5,22,0.227,17,30,0.567,23,51,20,11,3,26,25,97.5,84.8,94.4,0.44,0.067,0.514,43.3,42.4,12.7,8.5,0.447,16.7,26.3,0.333,0.389,21.6,55.8,0.21,1996,12,4,-6,0.08200000000000002,-4,-17,-0.026999999999999996,8,3,0.19100000000000006,-13,-12,-6,1,2,-8,3
1,2,1995-11-05,1,VAN,MIN,1,100,98,36,79,0.456,3,10,0.3,25,40,0.625,19,53,21,10,7,19,24,37,93,0.398,4,15,0.267,20,27,0.741,18,46,23,7,3,16,33,102.8,100.8,88.1,0.506,0.127,0.518,53.5,58.3,10.3,9.0,0.475,16.4,40.4,0.316,0.419,13.2,65.4,0.215,1996,2,-1,-14,0.057999999999999996,-1,-5,0.032999999999999974,5,13,-0.11599999999999999,1,7,-2,3,4,3,-9
2,3,1995-11-07,2,VAN,DAL,2,88,99,33,77,0.429,2,11,0.182,20,27,0.741,9,35,18,10,5,14,15,41,92,0.446,3,10,0.3,14,14,1.0,21,58,24,10,3,17,20,96.3,108.3,91.4,0.351,0.143,0.495,37.6,54.5,10.9,6.1,0.442,13.6,19.6,0.26,0.462,14.8,55.3,0.152,1996,-11,-8,-15,-0.017000000000000015,-1,1,-0.118,6,13,-0.259,-12,-23,-6,0,2,-3,-5
3,4,1995-11-08,2,VAN,SAS,2,62,111,22,78,0.282,0,6,0.0,18,26,0.692,18,47,8,4,3,23,26,39,79,0.494,7,17,0.412,26,33,0.788,10,44,30,10,11,14,18,66.7,119.4,92.9,0.333,0.077,0.347,51.6,36.4,4.3,4.8,0.282,20.5,34.6,0.231,0.538,13.0,74.4,0.329,1996,-49,-17,-1,-0.21200000000000002,-7,-11,-0.412,-8,-7,-0.09600000000000009,8,3,-22,-6,-8,9,8
4,5,1995-11-10,1,VAN,LAC,2,91,98,29,61,0.475,3,7,0.429,30,35,0.857,6,29,22,14,7,23,28,36,81,0.444,3,12,0.25,23,34,0.676,19,40,28,11,7,22,28,98.3,105.8,92.6,0.574,0.115,0.596,42.0,75.9,15.1,10.1,0.5,23.1,22.2,0.492,0.463,18.7,54.8,0.284,1996,-7,-7,-20,0.030999999999999972,0,-5,0.179,7,1,0.18099999999999994,-13,-11,-6,3,0,1,0
5,6,1995-11-11,2,VAN,SEA,2,81,117,32,86,0.372,0,8,0.0,17,27,0.63,18,42,9,6,3,14,26,43,80,0.538,8,17,0.471,23,33,0.697,10,49,26,8,5,11,18,87.5,126.4,92.6,0.314,0.093,0.414,46.2,28.1,6.5,4.8,0.372,12.5,31.6,0.198,0.588,10.4,70.6,0.288,1996,-36,-11,6,-0.16600000000000004,-8,-9,-0.471,-6,-6,-0.06699999999999995,8,-7,-17,-2,-2,3,8
6,7,1995-11-13,1,VAN,DAL,2,89,94,38,91,0.418,4,13,0.308,9,15,0.6,16,45,25,8,8,10,26,26,94,0.277,9,19,0.474,33,38,0.868,31,65,15,5,5,11,19,103.8,109.6,85.7,0.165,0.143,0.456,40.9,65.8,9.3,10.7,0.44,9.3,32.0,0.099,0.324,9.0,48.3,0.351,1996,-5,12,-3,0.14099999999999996,-5,-6,-0.16599999999999998,-24,-23,-0.268,-15,-20,10,3,3,-1,7
7,8,1995-11-16,2,VAN,LAC,2,98,103,38,73,0.521,5,17,0.294,17,29,0.586,7,30,11,11,2,15,26,39,82,0.476,5,16,0.313,20,31,0.645,18,49,14,10,2,16,24,107.2,112.6,91.5,0.397,0.233,0.571,38.0,28.9,12.0,3.0,0.555,14.9,18.4,0.233,0.506,14.3,56.1,0.244,1996,-5,-1,-9,0.04500000000000004,0,1,-0.019000000000000017,-3,-2,-0.05900000000000005,-11,-19,-3,1,0,-1,2
8,9,1995-11-17,1,VAN,LAL,2,91,114,31,72,0.431,2,10,0.2,27,36,0.75,14,37,17,4,2,17,23,43,87,0.494,6,17,0.353,22,31,0.71,15,38,28,11,6,11,25,101.9,127.6,89.3,0.5,0.139,0.518,49.3,54.8,4.5,2.9,0.444,16.2,37.8,0.375,0.529,9.9,60.5,0.253,1996,-23,-12,-15,-0.063,-4,-7,-0.15299999999999997,5,5,0.040000000000000036,-1,-1,-11,-7,-4,6,-2
9,10,1995-11-19,2,VAN,NYK,2,93,98,34,74,0.459,5,13,0.385,20,26,0.769,13,37,19,9,4,14,17,40,78,0.513,4,15,0.267,14,17,0.824,10,36,17,8,3,13,16,109.4,115.3,85.0,0.351,0.176,0.544,50.7,55.9,10.6,6.3,0.493,14.1,33.3,0.27,0.538,13.2,70.6,0.179,1996,-5,-6,-4,-0.05399999999999999,1,-2,0.118,6,9,-0.05499999999999994,3,1,2,1,1,1,1
