,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1997-10-31,1,ORL,ATL,2,99,105,37,78,0.474,1,9,0.111,24,30,0.8,10,29,15,9,5,10,22,40,72,0.556,2,7,0.286,23,27,0.852,13,43,21,5,5,16,27,113.8,120.7,87.0,0.385,0.115,0.543,40.3,40.5,10.3,7.7,0.481,9.9,25.0,0.308,0.569,16.0,59.4,0.319,1998,-6,-3,6,-0.08200000000000007,-1,2,-0.175,1,3,-0.051999999999999935,-3,-14,-6,4,0,-6,-5
1,2,1997-11-02,2,ORL,BOS,1,107,96,40,73,0.548,9,17,0.529,18,24,0.75,11,40,30,10,8,24,19,35,92,0.38,7,20,0.35,19,26,0.731,24,48,23,12,4,15,24,115.5,103.6,92.6,0.329,0.233,0.64,45.5,75.0,10.8,11.1,0.61,22.3,31.4,0.247,0.418,12.7,54.7,0.207,1998,11,5,-19,0.16800000000000004,2,-3,0.17900000000000005,-1,-2,0.019000000000000017,-13,-8,7,-2,4,9,-5
2,3,1997-11-04,2,ORL,MIL,2,76,110,28,75,0.373,0,4,0.0,20,32,0.625,16,37,15,6,1,20,22,44,83,0.53,1,7,0.143,21,25,0.84,12,44,18,16,5,10,26,85.0,123.0,89.4,0.427,0.053,0.427,45.7,53.6,6.7,1.3,0.373,18.3,33.3,0.267,0.536,9.6,63.6,0.253,1998,-34,-16,-8,-0.15700000000000003,-1,-3,-0.143,-1,7,-0.21499999999999997,4,-7,-3,-10,-4,10,-4
3,4,1997-11-05,2,ORL,CHI,2,81,94,25,73,0.342,1,11,0.091,30,42,0.714,12,38,9,6,4,11,23,38,79,0.481,1,7,0.143,17,25,0.68,16,45,27,3,3,11,28,95.8,111.2,84.5,0.575,0.151,0.443,45.8,36.0,7.1,5.6,0.349,10.7,29.3,0.411,0.487,10.9,61.9,0.215,1998,-13,-13,-6,-0.13899999999999996,0,4,-0.05199999999999999,13,17,0.03399999999999992,-4,-7,-18,3,1,0,-5
4,5,1997-11-07,2,ORL,DET,1,89,84,34,82,0.415,2,7,0.286,19,26,0.731,15,40,18,13,5,14,22,34,76,0.447,1,5,0.2,15,17,0.882,11,38,20,5,5,19,22,101.1,95.4,88.1,0.317,0.085,0.476,51.3,52.9,14.8,7.0,0.427,13.0,35.7,0.232,0.454,18.5,69.4,0.197,1998,5,0,6,-0.03200000000000003,1,2,0.08599999999999997,4,9,-0.15100000000000002,4,2,-2,8,0,-5,0
5,6,1997-11-08,1,ORL,TOR,1,96,87,35,76,0.461,2,7,0.286,24,35,0.686,15,42,25,11,3,16,21,39,77,0.506,0,5,0.0,9,20,0.45,14,43,24,9,7,20,28,105.4,95.5,91.1,0.461,0.092,0.525,49.4,71.4,12.1,4.2,0.474,14.9,34.1,0.316,0.506,18.9,65.9,0.117,1998,9,-4,-1,-0.044999999999999984,2,2,0.286,15,15,0.23600000000000004,1,-1,1,2,-4,-4,-7
6,7,1997-11-12,1,ORL,SAC,2,89,115,34,84,0.405,1,7,0.143,20,29,0.69,16,47,14,10,9,15,24,46,86,0.535,6,12,0.5,17,25,0.68,10,45,27,5,4,13,22,92.5,119.6,96.2,0.345,0.083,0.46,51.1,41.2,10.4,12.2,0.411,13.4,31.4,0.238,0.57,11.8,75.6,0.198,1998,-26,-12,-2,-0.13,-5,-5,-0.357,3,4,0.009999999999999898,6,2,-13,5,5,2,2
7,8,1997-11-14,1,ORL,DEN,1,103,85,41,78,0.526,1,7,0.143,20,28,0.714,14,45,29,7,9,17,19,33,77,0.429,2,9,0.222,17,24,0.708,11,32,17,8,4,15,21,114.7,94.6,89.8,0.359,0.09,0.57,58.4,70.7,7.8,13.2,0.532,15.8,40.0,0.256,0.442,14.6,73.8,0.221,1998,18,8,1,0.09700000000000003,-1,-2,-0.07900000000000001,3,4,0.006000000000000005,3,13,12,-1,5,2,-2
8,9,1997-11-15,2,ORL,WAS,1,102,91,34,80,0.425,1,5,0.2,33,41,0.805,20,49,19,4,4,6,16,39,87,0.448,5,9,0.556,8,14,0.571,18,41,19,3,2,8,29,127.2,113.4,80.2,0.513,0.063,0.52,54.4,55.9,5.0,5.1,0.431,5.8,46.5,0.413,0.477,7.9,61.7,0.092,1998,11,-5,-7,-0.02300000000000002,-4,-4,-0.35600000000000004,25,27,0.2340000000000001,2,8,0,1,2,-2,-13
9,10,1997-11-18,1,ORL,LAC,1,112,94,43,89,0.483,5,9,0.556,21,29,0.724,23,52,25,7,1,15,16,39,86,0.453,4,9,0.444,12,14,0.857,12,31,16,10,6,13,21,125.5,105.3,89.3,0.326,0.101,0.55,62.7,58.1,7.8,1.3,0.511,12.8,54.8,0.236,0.477,12.4,70.7,0.14,1998,18,4,3,0.02999999999999997,1,0,0.11200000000000004,9,15,-0.133,11,21,9,-3,-5,2,-5
10,11,1997-11-19,2,ORL,CLE,1,96,93,35,88,0.398,3,8,0.375,23,28,0.821,10,44,25,7,8,20,19,41,94,0.436,2,9,0.222,9,15,0.6,17,49,24,12,13,18,26,93.8,90.8,92.7,0.318,0.091,0.478,47.3,71.4,6.8,9.4,0.415,16.6,23.8,0.261,0.447,15.2,66.7,0.096,1998,3,-6,-6,-0.03799999999999998,1,-1,0.153,14,13,0.22099999999999997,-7,-5,1,-5,-5,2,-7
11,12,1997-11-22,2,ORL,PHI,1,108,94,47,86,0.547,1,7,0.143,13,18,0.722,13,50,30,2,4,12,19,39,87,0.448,2,10,0.2,14,21,0.667,13,37,28,7,1,8,17,119.6,104.1,90.3,0.209,0.081,0.575,57.5,63.8,2.2,5.2,0.552,11.3,35.1,0.151,0.46,7.7,74.0,0.161,1998,14,8,-1,0.09900000000000003,-1,-3,-0.05700000000000002,-1,-3,0.05499999999999994,0,13,2,-5,3,4,2
12,13,1997-11-24,1,ORL,WAS,1,95,87,36,78,0.462,4,9,0.444,19,26,0.731,9,46,22,3,7,9,16,37,94,0.394,6,14,0.429,7,14,0.5,20,47,24,4,5,8,23,110.2,100.9,86.2,0.333,0.115,0.531,49.5,61.1,3.5,8.8,0.487,9.1,25.0,0.244,0.426,7.4,64.9,0.074,1998,8,-1,-16,0.068,-2,-5,0.015000000000000013,12,12,0.23099999999999998,-11,-1,-2,-1,2,1,-7
13,14,1997-11-26,1,ORL,MIA,2,60,84,21,73,0.288,2,10,0.2,16,24,0.667,13,39,13,5,6,14,18,33,81,0.407,7,23,0.304,11,12,0.917,17,53,13,6,5,15,20,73.9,103.5,81.2,0.329,0.137,0.359,42.4,61.9,6.2,10.3,0.301,14.4,26.5,0.219,0.451,14.8,60.5,0.136,1998,-24,-12,-8,-0.119,-5,-13,-0.10399999999999998,5,12,-0.25,-4,-14,0,-1,1,-1,-2
14,15,1997-11-28,1,ORL,MIL,1,94,90,32,72,0.444,6,10,0.6,24,31,0.774,17,41,21,5,8,18,23,31,76,0.408,4,9,0.444,24,31,0.774,15,38,14,10,3,14,25,111.8,107.1,84.0,0.431,0.139,0.549,51.9,65.6,5.9,11.9,0.486,17.4,42.5,0.333,0.434,13.5,61.5,0.316,1998,4,1,-4,0.03600000000000003,2,1,0.15599999999999997,0,0,0.0,2,3,7,-5,5,4,-2
15,16,1997-11-30,2,ORL,SEA,2,81,103,34,80,0.425,2,17,0.118,11,14,0.786,8,32,25,8,4,15,21,38,77,0.494,7,15,0.467,20,26,0.769,11,43,26,12,4,12,16,91.5,116.4,88.5,0.175,0.213,0.47,42.7,73.5,9.0,6.5,0.438,14.8,20.0,0.138,0.539,11.9,68.6,0.26,1998,-22,-4,3,-0.069,-5,2,-0.34900000000000003,-9,-12,0.017000000000000015,-3,-11,-1,-4,0,3,5
16,17,1997-12-02,2,ORL,POR,1,89,88,33,77,0.429,6,12,0.5,17,25,0.68,11,35,20,14,1,15,20,35,70,0.5,5,9,0.556,13,20,0.65,9,37,20,8,8,18,22,102.0,100.9,87.3,0.325,0.156,0.506,48.6,60.6,16.0,1.6,0.468,14.6,28.2,0.221,0.536,18.6,72.7,0.186,1998,1,-2,7,-0.07100000000000001,1,3,-0.05600000000000005,4,5,0.030000000000000027,2,-2,0,6,-7,-3,-2
17,18,1997-12-03,2,ORL,VAN,1,101,97,39,80,0.488,4,9,0.444,19,26,0.731,13,37,28,10,5,12,19,41,78,0.526,2,7,0.286,13,16,0.813,11,38,30,9,3,17,23,114.1,109.5,88.5,0.325,0.113,0.552,49.3,71.8,11.3,7.0,0.513,11.6,32.5,0.238,0.538,16.7,68.6,0.167,1998,4,-2,2,-0.038000000000000034,2,2,0.15800000000000003,6,10,-0.08199999999999996,2,-1,-2,1,2,-5,-4
18,19,1997-12-05,2,ORL,GSW,2,89,104,33,86,0.384,5,13,0.385,18,27,0.667,14,39,17,6,3,12,21,41,81,0.506,5,10,0.5,17,24,0.708,12,52,32,7,7,18,26,94.3,110.2,94.4,0.314,0.151,0.455,42.9,51.5,6.4,4.2,0.413,10.9,25.9,0.209,0.537,16.4,67.6,0.21,1998,-15,-8,5,-0.122,0,3,-0.11499999999999999,1,3,-0.040999999999999925,2,-13,-15,-1,-4,-6,-5
19,20,1997-12-06,2,ORL,LAC,1,83,79,33,80,0.413,3,8,0.375,14,22,0.636,14,40,21,11,4,12,16,31,74,0.419,8,17,0.471,9,16,0.563,12,42,16,6,5,17,22,99.0,94.2,83.8,0.275,0.1,0.463,48.8,63.6,13.1,7.0,0.431,11.8,31.8,0.175,0.473,17.3,68.4,0.122,1998,4,2,6,-0.006000000000000005,-5,-9,-0.09599999999999997,5,6,0.07300000000000006,2,-2,5,5,-1,-5,-6
52,21,1997-12-08,1,ORL,PHI,1,95,86,37,79,0.468,4,9,0.444,17,18,0.944,13,41,20,11,8,17,21,34,84,0.405,3,11,0.273,15,24,0.625,19,44,12,9,4,18,19,106.9,96.7,88.9,0.228,0.114,0.546,48.2,54.1,12.4,11.0,0.494,16.4,34.2,0.215,0.423,16.0,59.6,0.179,1998,9,3,-5,0.063,1,-2,0.17099999999999999,2,-6,0.31899999999999995,-6,-3,8,2,4,-1,2
53,22,1997-12-10,1,ORL,CHI,1,106,98,36,83,0.434,4,15,0.267,30,35,0.857,19,44,15,9,6,11,21,36,80,0.45,4,14,0.286,22,27,0.815,15,40,27,6,3,14,23,122.2,113.0,86.7,0.422,0.181,0.539,52.4,41.7,10.4,9.1,0.458,10.1,43.2,0.361,0.475,13.2,62.5,0.275,1998,8,0,3,-0.016000000000000014,0,1,-0.01899999999999996,8,8,0.04200000000000004,4,4,-12,3,3,-3,-2
54,23,1997-12-11,2,ORL,DAL,1,100,90,40,83,0.482,7,19,0.368,13,20,0.65,20,47,22,7,2,12,19,31,75,0.413,6,16,0.375,22,23,0.957,12,36,13,9,6,12,21,122.1,109.9,81.9,0.241,0.229,0.545,56.6,55.0,8.5,3.4,0.524,11.6,45.5,0.157,0.453,12.4,69.2,0.293,1998,10,9,8,0.069,1,3,-0.007000000000000006,-9,-3,-0.30699999999999994,8,11,9,-2,-4,0,-2
55,24,1997-12-13,2,ORL,SAS,2,78,107,32,81,0.395,3,5,0.6,11,15,0.733,14,35,15,8,6,19,16,49,78,0.628,1,4,0.25,8,11,0.727,7,41,26,5,7,14,18,87.0,119.3,89.7,0.185,0.062,0.445,46.1,46.9,8.9,8.1,0.414,17.8,29.2,0.136,0.635,14.5,75.0,0.103,1998,-29,-17,3,-0.23299999999999998,2,1,0.35,3,4,0.006000000000000005,7,-6,-11,3,-1,5,-2
56,25,1997-12-18,1,ORL,UTA,2,73,85,27,70,0.386,3,7,0.429,16,20,0.8,8,34,20,10,3,16,22,32,74,0.432,1,7,0.143,20,25,0.8,13,42,22,12,4,14,21,87.4,101.8,83.5,0.286,0.1,0.463,44.7,74.1,12.0,4.5,0.407,16.9,21.6,0.229,0.439,14.1,66.7,0.27,1998,-12,-5,-4,-0.045999999999999985,2,0,0.28600000000000003,-4,-5,0.0,-5,-8,-2,-2,-1,2,1
57,26,1997-12-20,1,ORL,IND,2,92,95,37,94,0.394,1,8,0.125,17,22,0.773,26,51,13,11,5,13,21,36,71,0.507,3,9,0.333,20,25,0.8,10,39,22,9,5,15,19,106.8,110.3,86.1,0.234,0.085,0.444,56.7,35.1,12.8,8.1,0.399,11.1,47.3,0.181,0.528,15.5,71.4,0.282,1998,-3,1,23,-0.11299999999999999,-2,-1,-0.20800000000000002,-3,-3,-0.027000000000000024,16,12,-9,2,0,-2,2
58,27,1997-12-22,1,ORL,NJN,2,88,99,34,71,0.479,5,17,0.294,15,18,0.833,10,32,23,7,9,22,23,40,87,0.46,3,12,0.25,16,22,0.727,21,39,18,12,2,12,23,104.0,117.0,84.7,0.254,0.239,0.558,45.1,67.6,8.3,12.0,0.514,21.8,35.7,0.211,0.477,11.0,51.2,0.184,1998,-11,-6,-16,0.01899999999999996,2,5,0.043999999999999984,-1,-4,0.10599999999999998,-11,-7,5,-5,7,10,0
59,28,1997-12-26,2,ORL,IND,2,81,107,31,85,0.365,7,11,0.636,12,20,0.6,17,39,21,10,3,14,24,41,65,0.631,4,7,0.571,21,36,0.583,7,42,31,11,3,14,16,92.4,122.1,87.7,0.235,0.129,0.432,48.1,67.7,11.4,5.2,0.406,13.0,32.7,0.141,0.662,14.8,75.9,0.323,1998,-26,-10,20,-0.266,3,4,0.06500000000000006,-9,-16,0.017000000000000015,10,-3,-10,-1,0,0,8
60,29,1997-12-27,1,ORL,CHH,1,96,87,38,77,0.494,5,12,0.417,15,16,0.938,7,34,21,5,4,10,25,32,78,0.41,2,9,0.222,21,25,0.84,16,45,21,6,4,14,20,113.6,103.0,84.5,0.208,0.156,0.571,43.0,55.3,5.9,5.8,0.526,10.6,19.4,0.195,0.423,13.6,62.8,0.269,1998,9,6,-1,0.08400000000000002,3,3,0.19499999999999998,-6,-9,0.09799999999999998,-9,-11,0,-1,0,-4,5
61,30,1997-12-30,1,ORL,NYK,2,79,84,25,69,0.362,4,17,0.235,25,31,0.806,12,35,16,5,6,19,22,33,71,0.465,5,8,0.625,13,21,0.619,10,37,24,11,5,17,27,92.9,98.8,85.0,0.449,0.246,0.478,48.6,64.0,5.9,9.5,0.391,18.7,30.8,0.362,0.5,17.5,69.7,0.183,1998,-5,-8,-2,-0.10300000000000004,-1,9,-0.39,12,10,0.18700000000000006,2,-2,-8,-6,1,2,-5
62,31,1998-01-02,1,ORL,CLE,2,71,81,27,73,0.37,1,9,0.111,16,22,0.727,12,36,16,9,7,19,22,30,79,0.38,3,7,0.429,18,22,0.818,18,50,13,7,4,18,24,83.2,94.9,85.4,0.301,0.123,0.429,41.9,59.3,10.5,9.7,0.377,18.7,27.3,0.219,0.399,16.9,57.1,0.228,1998,-10,-3,-6,-0.010000000000000009,-2,2,-0.318,-2,0,-0.09099999999999997,-6,-14,3,2,3,1,-2
63,32,1998-01-03,2,ORL,NYK,2,84,88,25,65,0.385,5,14,0.357,29,40,0.725,12,32,14,12,3,14,20,31,68,0.456,5,8,0.625,21,26,0.808,13,38,20,8,3,17,28,104.4,109.4,80.5,0.615,0.215,0.508,45.7,56.0,14.9,5.0,0.423,14.5,32.4,0.446,0.493,17.6,60.6,0.309,1998,-4,-6,-3,-0.07100000000000001,0,6,-0.268,8,14,-0.08300000000000007,-1,-6,-6,4,0,-3,-8
64,33,1998-01-05,1,ORL,SAS,2,69,74,28,82,0.341,3,13,0.231,10,15,0.667,14,44,17,11,4,13,19,28,70,0.4,2,10,0.2,16,20,0.8,11,47,13,7,7,17,17,82.3,88.2,83.9,0.183,0.159,0.389,48.4,60.7,13.1,6.7,0.36,12.8,28.0,0.122,0.414,17.7,73.2,0.229,1998,-5,0,12,-0.059,1,3,0.031,-6,-5,-0.133,3,-3,4,4,-3,-4,2
