,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,1999-02-05,2,NYK,ORL,2,85,93,35,74,0.473,2,12,0.167,13,23,0.565,9,42,20,10,3,17,26,34,84,0.405,4,12,0.333,21,31,0.677,11,42,18,12,2,13,19,91.0,99.6,93.4,0.311,0.162,0.505,50.0,57.1,10.7,4.2,0.486,16.8,22.5,0.176,0.429,11.7,75.0,0.25,1999,-8,1,-10,0.06799999999999995,-2,0,-0.166,-8,-8,-0.1120000000000001,-2,0,2,-2,1,4,7
1,2,1999-02-07,1,NYK,MIA,2,79,83,33,89,0.371,3,10,0.3,10,22,0.455,25,61,18,8,3,17,18,34,77,0.442,5,8,0.625,10,17,0.588,10,41,17,9,5,12,19,90.9,95.5,86.9,0.247,0.112,0.4,59.8,54.5,9.2,4.3,0.388,14.7,44.6,0.112,0.474,12.4,78.3,0.13,1999,-4,-1,12,-0.07100000000000001,-2,2,-0.325,0,5,-0.13299999999999995,15,20,1,-1,-2,5,-1
2,3,1999-02-10,1,NYK,WAS,1,101,88,35,66,0.53,7,12,0.583,24,33,0.727,7,44,27,7,3,17,26,29,81,0.358,2,12,0.167,28,36,0.778,17,43,14,7,4,13,24,112.2,97.8,90.0,0.5,0.182,0.627,50.6,77.1,7.8,4.3,0.583,17.4,21.2,0.364,0.37,11.8,68.5,0.346,1999,13,6,-15,0.17200000000000004,5,0,0.4159999999999999,-4,-3,-0.051000000000000045,-10,1,13,0,-1,4,2
3,4,1999-02-11,2,NYK,CHI,1,73,68,26,71,0.366,5,16,0.313,16,26,0.615,8,43,16,8,12,13,25,21,79,0.266,3,13,0.231,23,27,0.852,18,51,14,8,3,16,26,86.0,80.1,84.9,0.366,0.225,0.443,45.7,61.5,9.4,18.2,0.401,13.6,19.5,0.225,0.285,15.0,66.0,0.291,1999,5,5,-8,0.09999999999999998,2,3,0.08199999999999999,-7,-1,-0.237,-10,-8,2,0,9,-3,-1
4,5,1999-02-15,1,NYK,DET,1,78,69,29,68,0.426,5,15,0.333,15,22,0.682,10,40,24,9,12,16,23,26,78,0.333,0,7,0.0,17,20,0.85,16,40,13,7,1,15,22,96.2,85.1,81.1,0.324,0.221,0.502,50.0,82.8,11.1,16.9,0.463,17.1,29.4,0.221,0.333,14.7,65.2,0.218,1999,9,3,-10,0.09299999999999997,5,8,0.333,-2,2,-0.16799999999999993,-6,0,11,2,11,1,1
5,6,1999-02-16,1,NYK,TOR,1,95,85,32,70,0.457,5,11,0.455,26,34,0.765,11,40,19,7,2,12,26,28,65,0.431,3,14,0.214,26,33,0.788,6,32,14,7,4,15,22,111.8,100.0,85.0,0.486,0.157,0.559,55.6,59.4,8.2,3.9,0.493,12.4,29.7,0.371,0.454,15.9,82.9,0.4,1999,10,4,5,0.026000000000000023,2,-3,0.24100000000000002,0,1,-0.02300000000000002,5,8,5,0,-2,-3,4
6,7,1999-02-18,2,NYK,CLE,2,74,98,32,89,0.36,3,13,0.231,7,12,0.583,18,37,22,9,1,14,23,35,69,0.507,4,12,0.333,24,33,0.727,10,42,29,8,7,15,22,86.8,115.0,85.2,0.135,0.146,0.392,46.8,68.8,10.6,1.8,0.376,12.9,36.0,0.079,0.536,15.2,65.5,0.348,1999,-24,-3,20,-0.14700000000000002,-1,1,-0.10200000000000001,-17,-21,-0.14400000000000002,8,-5,-7,1,-6,-1,1
7,8,1999-02-19,2,NYK,PHI,1,78,67,28,58,0.483,9,12,0.75,13,19,0.684,5,36,22,11,6,23,21,25,71,0.352,3,10,0.3,14,22,0.636,14,40,12,10,8,19,20,93.5,80.3,83.5,0.328,0.207,0.588,47.4,78.6,13.2,9.8,0.56,25.7,16.1,0.224,0.373,19.1,68.9,0.197,1999,11,3,-13,0.131,6,2,0.45,-1,-3,0.04800000000000004,-9,-4,10,1,-2,4,1
8,9,1999-02-21,1,NYK,CHI,1,79,63,32,66,0.485,5,10,0.5,10,14,0.714,5,33,20,11,9,20,16,24,70,0.343,6,14,0.429,9,11,0.818,10,40,16,13,4,22,19,93.0,74.2,84.9,0.212,0.152,0.547,45.2,62.5,13.0,16.1,0.523,21.7,14.3,0.152,0.386,22.7,73.7,0.129,1999,16,8,-4,0.14199999999999996,-1,-4,0.07100000000000001,1,3,-0.10399999999999998,-5,-7,4,-2,5,-2,-3
9,10,1999-02-23,1,NYK,NJN,1,82,74,31,69,0.449,5,9,0.556,15,24,0.625,9,45,19,7,8,23,21,25,86,0.291,2,7,0.286,22,25,0.88,15,44,13,13,5,14,26,89.7,81.0,91.4,0.348,0.13,0.515,50.6,61.3,7.7,10.1,0.486,22.4,23.7,0.217,0.302,12.6,70.6,0.256,1999,8,6,-17,0.15800000000000003,3,2,0.2700000000000001,-7,-1,-0.255,-6,1,6,-6,3,9,-5
10,11,1999-02-25,1,NYK,MIN,1,115,113,43,81,0.531,6,16,0.375,23,29,0.793,4,38,29,8,11,16,23,44,106,0.415,1,11,0.091,24,34,0.706,25,58,29,7,3,14,25,109.7,107.8,95.0,0.358,0.198,0.613,39.6,67.4,7.6,11.6,0.568,14.6,10.8,0.284,0.42,10.4,57.6,0.226,1999,2,-1,-25,0.11600000000000005,5,5,0.28400000000000003,-1,-5,0.08700000000000008,-21,-20,0,1,8,2,-2
11,12,1999-02-26,2,NYK,BOS,2,80,94,30,66,0.455,4,8,0.5,16,21,0.762,6,38,16,10,9,22,22,35,86,0.407,10,25,0.4,14,24,0.583,17,46,25,11,8,17,16,87.2,102.5,91.7,0.318,0.121,0.532,45.2,53.3,10.9,14.8,0.485,22.6,17.1,0.242,0.465,15.0,65.3,0.163,1999,-14,-5,-20,0.04800000000000004,-6,-17,0.09999999999999998,2,-3,0.17900000000000005,-11,-8,-9,-1,1,5,6
12,13,1999-02-28,2,NYK,DET,2,68,89,26,72,0.361,3,14,0.214,13,25,0.52,14,42,12,8,4,17,21,33,73,0.452,8,12,0.667,15,22,0.682,11,46,24,9,4,14,18,80.6,105.5,84.3,0.347,0.194,0.41,47.7,46.2,9.5,6.6,0.382,17.0,28.6,0.181,0.507,14.5,71.8,0.205,1999,-21,-7,-1,-0.09100000000000003,-5,2,-0.45300000000000007,-2,3,-0.16200000000000003,3,-4,-12,-1,0,3,3
13,14,1999-03-01,1,NYK,CLE,1,85,78,31,66,0.47,6,14,0.429,17,22,0.773,2,37,21,4,7,18,32,21,71,0.296,1,7,0.143,35,43,0.814,9,38,13,11,2,11,24,95.2,87.3,89.3,0.333,0.212,0.562,49.3,67.7,4.5,10.9,0.515,19.2,6.5,0.258,0.303,10.9,79.5,0.493,1999,7,10,-5,0.174,5,7,0.28600000000000003,-18,-21,-0.040999999999999925,-7,-1,8,-7,5,7,8
14,15,1999-03-02,2,NYK,MIA,2,84,85,30,83,0.361,2,11,0.182,22,27,0.815,14,44,14,4,7,10,19,32,81,0.395,6,17,0.353,15,22,0.682,13,49,17,2,8,11,18,97.2,98.3,78.3,0.325,0.133,0.443,47.3,46.7,4.6,10.9,0.373,9.5,28.0,0.265,0.432,10.8,69.8,0.185,1999,-1,-2,2,-0.03400000000000003,-4,-6,-0.17099999999999999,7,5,0.1329999999999999,1,-5,-3,2,-1,-1,1
15,16,1999-03-05,2,NYK,MIL,2,87,88,36,77,0.468,4,13,0.308,11,16,0.688,13,43,17,5,3,14,24,31,79,0.392,4,14,0.286,22,31,0.71,19,45,19,10,1,9,17,106.6,107.8,81.6,0.208,0.169,0.518,48.9,47.2,6.1,4.6,0.494,14.3,33.3,0.143,0.418,8.9,61.2,0.278,1999,-1,5,-2,0.07600000000000001,0,-1,0.02200000000000002,-11,-15,-0.02200000000000002,-6,-2,-2,-5,2,5,7
16,17,1999-03-07,1,NYK,NJN,1,97,86,38,74,0.514,7,13,0.538,14,20,0.7,11,40,24,6,7,13,14,35,94,0.372,7,13,0.538,9,14,0.643,27,51,21,7,1,13,17,117.5,104.2,82.5,0.27,0.176,0.586,44.0,63.2,7.3,8.6,0.561,13.6,31.4,0.189,0.41,11.5,51.8,0.096,1999,11,3,-20,0.14200000000000002,0,0,0.0,5,6,0.05699999999999994,-16,-11,3,-1,6,0,-3
17,18,1999-03-09,1,NYK,MIL,2,86,87,31,76,0.408,5,20,0.25,19,25,0.76,12,42,18,6,2,14,18,33,74,0.446,7,12,0.583,14,23,0.609,11,40,21,8,5,15,17,99.8,101.0,86.2,0.329,0.263,0.494,51.2,58.1,7.0,3.2,0.441,13.9,29.3,0.25,0.493,15.1,73.2,0.189,1999,-1,-2,2,-0.038000000000000034,-2,8,-0.33299999999999996,5,2,0.15100000000000002,1,2,-3,-2,-3,-1,1
18,19,1999-03-11,1,NYK,WAS,1,98,86,41,80,0.513,2,8,0.25,14,22,0.636,14,44,29,9,3,10,25,27,67,0.403,6,19,0.316,26,32,0.813,10,34,17,5,2,14,21,117.7,103.3,83.3,0.275,0.1,0.546,56.4,70.7,10.8,6.3,0.525,10.0,36.8,0.175,0.448,14.7,75.0,0.388,1999,12,14,13,0.10999999999999999,-4,-11,-0.066,-12,-10,-0.17699999999999994,4,10,12,4,1,-4,4
19,20,1999-03-12,2,NYK,CHI,2,63,76,19,61,0.311,1,6,0.167,24,40,0.6,12,38,12,9,6,21,23,26,71,0.366,5,13,0.385,19,26,0.731,11,43,21,10,5,16,27,74.6,90.0,84.4,0.656,0.098,0.401,46.9,63.2,10.7,10.3,0.32,21.1,27.3,0.393,0.401,16.3,70.3,0.268,1999,-13,-7,-10,-0.05499999999999999,-4,-7,-0.218,5,14,-0.131,1,-5,-9,-1,1,5,-4
28,21,1999-03-14,1,NYK,CHH,1,94,86,31,74,0.419,5,12,0.417,27,35,0.771,18,49,17,8,5,17,27,28,66,0.424,3,8,0.375,27,41,0.659,8,35,13,12,4,13,27,108.3,99.0,86.8,0.473,0.162,0.526,58.3,54.8,9.2,8.6,0.453,16.0,40.0,0.365,0.447,13.4,79.5,0.409,1999,8,3,8,-0.0050000000000000044,2,4,0.04199999999999998,0,-6,0.11199999999999999,10,14,4,-4,1,4,0
29,22,1999-03-15,2,NYK,MIL,1,108,102,36,70,0.514,7,12,0.583,29,35,0.829,13,34,22,10,3,17,22,39,77,0.506,5,10,0.5,19,27,0.704,12,31,17,7,3,17,22,122.6,115.8,88.1,0.5,0.171,0.632,52.3,61.1,11.3,4.5,0.564,16.6,40.6,0.414,0.539,16.1,63.6,0.247,1999,6,-3,-7,0.008000000000000007,2,2,0.08299999999999996,10,8,0.125,1,3,5,3,0,0,0
30,23,1999-03-16,1,NYK,LAC,1,113,89,38,68,0.559,9,14,0.643,28,31,0.903,6,36,19,11,5,16,29,30,68,0.441,6,13,0.462,23,35,0.657,6,26,19,10,2,18,27,124.0,97.7,91.1,0.456,0.206,0.692,58.1,50.0,12.1,9.1,0.625,16.4,23.1,0.412,0.485,17.8,83.3,0.338,1999,24,8,0,0.11800000000000005,3,1,0.181,5,-4,0.246,0,10,0,1,3,-2,2
31,24,1999-03-18,1,NYK,ORL,2,78,86,30,70,0.429,4,10,0.4,14,18,0.778,8,33,19,8,4,16,24,30,70,0.429,3,12,0.25,23,31,0.742,8,39,18,5,1,12,12,92.6,102.1,84.2,0.257,0.143,0.501,45.8,63.3,9.5,6.9,0.457,17.0,20.5,0.2,0.45,12.5,75.8,0.329,1999,-8,0,0,0.0,1,-2,0.15000000000000002,-9,-13,0.03600000000000003,0,-6,1,3,3,4,12
