,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2000-10-31,2,CHH,ATL,1,106,82,35,62,0.565,5,9,0.556,31,40,0.775,7,44,16,7,6,17,23,30,81,0.37,6,15,0.4,16,21,0.762,11,29,14,9,2,13,31,119.9,92.8,88.4,0.645,0.145,0.666,60.3,45.7,7.9,9.1,0.605,17.6,28.0,0.5,0.407,12.6,77.1,0.198,2001,24,5,-19,0.19499999999999995,-1,-6,0.15600000000000003,15,19,0.013000000000000012,-4,15,2,-2,4,4,-8
1,2,2000-11-01,1,CHH,WAS,2,77,95,27,74,0.365,0,9,0.0,23,32,0.719,11,33,21,9,6,16,25,33,65,0.508,4,8,0.5,25,28,0.893,4,36,24,5,5,18,28,86.1,106.2,89.4,0.432,0.122,0.437,47.8,77.8,10.1,10.5,0.365,15.4,25.6,0.311,0.538,18.9,84.6,0.385,2001,-18,-6,9,-0.14300000000000002,-4,1,-0.5,-2,4,-0.17400000000000004,7,-3,-3,4,1,-2,-3
2,3,2000-11-03,1,CHH,MIA,1,83,79,30,70,0.429,3,11,0.273,20,25,0.8,12,41,18,10,10,19,27,26,74,0.351,4,11,0.364,23,27,0.852,15,41,12,10,4,18,24,97.2,92.5,85.4,0.357,0.157,0.512,50.0,60.0,11.7,15.9,0.45,19.0,31.6,0.286,0.378,17.3,65.9,0.311,2001,4,4,-4,0.07800000000000001,-1,0,-0.09099999999999997,-3,-2,-0.051999999999999935,-3,0,6,0,6,1,3
3,4,2000-11-04,2,CHH,NJN,1,98,87,35,76,0.461,4,9,0.444,24,36,0.667,14,44,25,4,8,14,20,32,80,0.4,1,9,0.111,22,27,0.815,8,33,21,7,5,12,28,108.5,96.3,90.3,0.474,0.118,0.534,57.1,71.4,4.4,11.3,0.487,13.2,35.9,0.316,0.406,11.6,78.9,0.275,2001,11,3,-4,0.061,3,0,0.333,2,9,-0.1479999999999999,6,11,4,-3,3,2,-8
4,5,2000-11-08,2,CHH,ORL,1,96,90,29,73,0.397,6,15,0.4,32,47,0.681,12,44,19,14,5,17,21,31,82,0.378,9,19,0.474,19,29,0.655,13,46,19,10,4,19,29,99.4,93.2,96.5,0.644,0.205,0.512,48.9,65.5,14.5,7.9,0.438,15.4,26.7,0.438,0.433,16.7,71.1,0.232,2001,6,-2,-9,0.019000000000000017,-3,-4,-0.07399999999999995,13,18,0.026000000000000023,-1,-2,0,4,1,-2,-8
5,6,2000-11-09,1,CHH,SEA,2,94,102,33,79,0.418,4,16,0.25,24,28,0.857,14,39,22,4,3,13,20,37,80,0.463,6,14,0.429,22,25,0.88,13,37,25,6,2,10,25,111.0,120.5,84.7,0.354,0.203,0.515,51.3,66.7,4.7,4.5,0.443,12.5,36.8,0.304,0.5,9.9,65.8,0.275,2001,-8,-4,-1,-0.04500000000000004,-2,2,-0.179,2,3,-0.02300000000000002,1,2,-3,-2,1,3,-5
6,7,2000-11-11,2,CHH,NYK,2,67,81,25,76,0.329,4,12,0.333,13,21,0.619,15,47,15,6,5,13,22,33,75,0.44,1,7,0.143,14,18,0.778,8,41,13,6,4,10,21,81.9,99.0,81.8,0.276,0.158,0.393,53.4,60.0,7.3,7.4,0.355,13.2,31.3,0.171,0.447,10.8,80.0,0.187,2001,-14,-8,1,-0.11099999999999999,3,5,0.19000000000000003,-1,3,-0.15900000000000003,7,6,2,0,1,3,1
7,8,2000-11-14,2,CHH,MIA,2,86,89,30,84,0.357,4,12,0.333,22,30,0.733,13,49,12,7,4,18,25,34,78,0.436,5,14,0.357,16,21,0.762,5,39,19,7,7,14,24,89.3,92.4,87.2,0.357,0.143,0.442,55.7,40.0,7.3,6.3,0.381,15.6,27.7,0.262,0.468,13.8,87.8,0.205,2001,-3,-4,6,-0.07900000000000001,-1,-2,-0.023999999999999966,6,9,-0.029000000000000026,8,10,-7,0,-3,4,1
8,9,2000-11-16,2,CHH,HOU,2,80,84,36,82,0.439,3,9,0.333,5,10,0.5,16,42,21,5,4,13,12,35,74,0.473,2,12,0.167,12,14,0.857,7,37,19,7,6,9,12,99.0,103.9,80.8,0.122,0.11,0.463,53.2,58.3,6.2,6.5,0.457,13.1,34.8,0.061,0.486,10.1,78.8,0.162,2001,-4,1,8,-0.033999999999999975,1,-3,0.166,-7,-4,-0.357,9,5,2,-2,-2,4,0
9,10,2000-11-17,1,CHH,DET,2,89,96,34,84,0.405,4,13,0.308,17,24,0.708,9,38,23,9,3,14,28,34,76,0.447,5,14,0.357,23,32,0.719,12,48,21,5,5,17,21,93.9,101.3,94.8,0.286,0.155,0.471,44.2,67.6,9.5,4.8,0.429,12.9,20.0,0.202,0.48,15.9,70.7,0.303,2001,-7,0,8,-0.04199999999999998,-1,-1,-0.04899999999999999,-6,-8,-0.01100000000000001,-3,-10,2,4,-2,-3,7
