,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2000-10-31,2,CLE,NJN,1,86,82,32,78,0.41,2,7,0.286,20,32,0.625,11,52,16,5,8,19,27,31,85,0.365,3,10,0.3,17,26,0.654,12,47,24,9,8,12,31,89.4,85.3,96.2,0.41,0.09,0.467,52.5,50.0,5.2,10.7,0.423,17.1,23.9,0.256,0.382,11.1,77.4,0.2,2001,4,1,-7,0.044999999999999984,-1,-3,-0.014000000000000012,3,6,-0.029000000000000026,-1,5,-8,-4,0,7,-4
1,2,2000-11-01,1,CLE,SAC,1,102,100,40,86,0.465,0,4,0.0,22,29,0.759,17,51,27,8,9,21,32,30,83,0.361,6,16,0.375,34,40,0.85,14,38,18,8,6,21,21,101.2,99.2,83.4,0.337,0.047,0.516,57.3,67.5,7.9,13.4,0.465,17.5,41.5,0.256,0.398,17.3,70.8,0.41,2001,2,10,3,0.10400000000000004,-6,-12,-0.375,-12,-11,-0.09099999999999997,3,13,9,0,3,0,11
2,3,2000-11-04,1,CLE,BOS,1,91,89,31,67,0.463,1,9,0.111,28,37,0.757,10,40,22,9,12,25,32,27,74,0.365,4,12,0.333,31,41,0.756,12,39,19,11,6,21,27,94.1,92.0,96.7,0.552,0.134,0.546,50.6,71.0,9.3,19.4,0.47,23.1,27.0,0.418,0.392,18.6,71.4,0.419,2001,2,4,-7,0.09800000000000003,-3,-3,-0.22200000000000003,-3,-4,0.0010000000000000009,-2,1,3,-2,6,4,5
3,4,2000-11-08,2,CLE,NYK,1,99,97,41,72,0.569,6,7,0.857,11,21,0.524,9,28,25,12,3,17,23,35,75,0.467,4,11,0.364,23,26,0.885,14,36,14,6,6,17,17,115.1,112.8,86.0,0.292,0.097,0.609,43.8,61.0,14.0,4.7,0.611,17.3,29.0,0.153,0.493,16.4,57.6,0.307,2001,2,6,-3,0.10199999999999992,2,-4,0.493,-12,-5,-0.361,-5,-8,11,6,-3,0,6
4,5,2000-11-10,2,CLE,TOR,2,88,115,40,89,0.449,1,10,0.1,7,11,0.636,11,34,19,10,7,12,18,45,84,0.536,8,13,0.615,17,22,0.773,14,49,32,10,6,15,17,95.2,124.4,92.4,0.124,0.112,0.469,41.0,47.5,10.8,9.9,0.455,11.3,23.9,0.079,0.583,13.8,62.2,0.202,2001,-27,-5,5,-0.08700000000000002,-7,-3,-0.515,-10,-11,-0.137,-3,-15,-13,0,1,-3,1
5,6,2000-11-11,1,CLE,WAS,1,86,73,30,73,0.411,4,10,0.4,22,30,0.733,10,41,19,11,5,17,30,26,65,0.4,1,4,0.25,20,29,0.69,12,41,14,5,5,25,26,95.5,81.0,90.1,0.411,0.137,0.499,50.0,63.3,12.2,8.2,0.438,16.5,25.6,0.301,0.408,24.3,72.1,0.308,2001,13,4,8,0.010999999999999954,3,6,0.15000000000000002,2,1,0.04300000000000004,-2,0,5,6,0,-8,4
6,7,2000-11-14,1,CLE,GSW,1,96,86,38,78,0.487,1,7,0.143,19,26,0.731,13,55,25,7,6,20,30,27,81,0.333,5,12,0.417,27,39,0.692,13,41,19,12,6,13,22,100.6,90.2,95.4,0.333,0.09,0.537,57.3,65.8,7.3,8.7,0.494,18.3,31.7,0.244,0.364,11.7,76.4,0.333,2001,10,11,-3,0.15399999999999997,-4,-5,-0.274,-8,-13,0.039000000000000035,0,14,6,-5,0,7,8
7,8,2000-11-15,2,CLE,PHI,2,98,107,40,75,0.533,2,8,0.25,16,23,0.696,15,38,22,9,3,21,31,40,79,0.506,3,10,0.3,24,33,0.727,12,31,22,8,6,14,24,108.5,118.5,90.3,0.307,0.107,0.576,55.1,55.0,10.0,4.3,0.547,19.8,44.1,0.213,0.525,13.0,65.7,0.304,2001,-9,0,-4,0.027000000000000024,-1,-2,-0.04999999999999999,-8,-10,-0.031000000000000028,3,7,0,1,-3,7,7
8,9,2000-11-17,2,CLE,MIL,2,76,89,30,72,0.417,3,7,0.429,13,18,0.722,8,46,20,7,3,21,23,35,85,0.412,6,22,0.273,13,16,0.813,9,41,25,10,4,10,19,83.3,97.6,91.2,0.25,0.097,0.475,52.9,66.7,7.7,4.8,0.438,20.8,20.0,0.181,0.447,9.8,80.9,0.153,2001,-13,-5,-13,0.0050000000000000044,-3,-15,0.15599999999999997,0,2,-0.09099999999999997,-1,5,-5,-3,-1,11,4
9,10,2000-11-21,1,CLE,DET,1,117,98,49,83,0.59,9,12,0.75,10,15,0.667,13,46,38,6,11,18,24,35,90,0.389,4,18,0.222,24,34,0.706,20,39,23,10,4,11,15,126.8,106.2,92.3,0.181,0.145,0.653,54.1,77.6,6.5,15.3,0.645,16.7,40.6,0.12,0.411,9.5,62.3,0.267,2001,19,14,-7,0.20099999999999996,5,-6,0.528,-14,-19,-0.038999999999999924,-7,7,15,-4,7,7,9
