,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2001-11-01,1,MEM,DET,2,80,90,28,78,0.359,4,18,0.222,20,29,0.69,18,53,17,8,3,25,23,35,78,0.449,6,19,0.316,14,14,1.0,6,38,20,11,8,18,25,84.1,94.6,95.1,0.372,0.231,0.441,58.2,60.7,8.4,5.1,0.385,21.6,36.0,0.256,0.487,17.6,85.4,0.179,2002,-10,-7,0,-0.09000000000000002,-2,-1,-0.094,6,15,-0.31000000000000005,12,15,-3,-3,-5,7,-2
1,2,2001-11-02,2,MEM,MIN,2,102,111,39,91,0.429,9,28,0.321,15,26,0.577,13,45,23,6,7,14,26,40,85,0.471,3,9,0.333,28,36,0.778,7,48,32,6,5,12,20,99.6,108.4,102.4,0.286,0.308,0.498,48.4,59.0,5.9,9.2,0.478,12.0,24.1,0.165,0.488,10.6,82.1,0.329,2002,-9,-1,6,-0.04199999999999998,6,19,-0.01200000000000001,-13,-10,-0.20100000000000007,6,-3,-9,0,2,2,6
2,3,2001-11-04,1,MEM,DAL,2,85,94,26,76,0.342,4,20,0.2,29,37,0.784,13,52,15,10,5,20,22,37,78,0.474,2,18,0.111,18,31,0.581,5,42,24,11,5,15,26,86.2,95.3,98.7,0.487,0.263,0.461,55.3,57.7,10.1,8.3,0.368,17.8,26.0,0.382,0.487,14.1,88.6,0.231,2002,-9,-11,-2,-0.13199999999999995,2,2,0.08900000000000001,11,6,0.20300000000000007,8,10,-9,-1,0,5,-4
3,4,2001-11-06,2,MEM,PHO,2,101,113,36,86,0.419,10,25,0.4,19,28,0.679,9,32,26,7,4,9,15,44,79,0.557,3,11,0.273,22,27,0.815,10,50,30,9,4,11,24,108.7,121.6,92.9,0.326,0.291,0.514,39.0,72.2,7.5,5.9,0.477,8.4,18.4,0.221,0.576,10.8,69.7,0.278,2002,-12,-8,7,-0.13800000000000007,7,14,0.127,-3,1,-0.1359999999999999,-1,-18,-4,-2,0,-2,-9
4,5,2001-11-07,2,MEM,LAC,2,92,108,36,83,0.434,4,18,0.222,16,22,0.727,12,36,26,8,7,11,25,40,87,0.46,3,13,0.231,25,28,0.893,19,52,22,5,7,16,23,101.5,119.1,90.7,0.265,0.217,0.496,40.9,72.2,8.8,9.5,0.458,10.6,26.7,0.193,0.477,13.9,55.8,0.287,2002,-16,-4,-4,-0.026000000000000023,1,5,-0.009000000000000008,-9,-6,-0.16600000000000004,-7,-16,4,3,0,-5,2
5,6,2001-11-09,2,MEM,LAL,2,86,110,36,98,0.367,4,16,0.25,10,14,0.714,19,48,22,13,6,17,18,45,88,0.511,7,16,0.438,13,19,0.684,12,47,30,12,10,19,18,86.7,110.9,99.2,0.143,0.163,0.413,50.5,61.1,13.1,8.3,0.388,14.0,35.2,0.102,0.551,16.5,70.7,0.148,2002,-24,-9,10,-0.14400000000000002,-3,0,-0.188,-3,-5,0.029999999999999916,7,1,-8,1,-4,-2,0
6,7,2001-11-12,1,MEM,GSW,2,79,86,30,76,0.395,2,9,0.222,17,27,0.63,11,38,21,10,10,19,25,34,78,0.436,4,8,0.5,14,22,0.636,16,49,16,10,9,24,30,84.6,92.1,93.4,0.355,0.118,0.449,43.7,70.0,10.7,14.3,0.408,17.8,25.0,0.224,0.462,21.5,62.8,0.179,2002,-7,-4,-2,-0.04099999999999998,-2,1,-0.278,3,5,-0.006000000000000005,-5,-11,5,0,1,-5,-5
7,8,2001-11-15,1,MEM,POR,2,85,101,35,77,0.455,5,16,0.313,10,14,0.714,19,47,24,5,6,19,21,37,85,0.435,6,16,0.375,21,27,0.778,21,41,28,10,2,7,18,105.9,125.9,80.2,0.182,0.208,0.511,53.4,68.6,6.2,8.7,0.487,18.6,48.7,0.13,0.471,6.7,57.1,0.247,2002,-16,-2,-8,0.020000000000000018,-1,0,-0.062,-11,-13,-0.06400000000000006,-2,6,-4,-5,4,12,3
8,9,2001-11-17,1,MEM,CLE,1,98,93,36,76,0.474,6,13,0.462,20,35,0.571,10,37,22,7,6,9,17,38,80,0.475,3,11,0.273,14,21,0.667,12,45,28,5,2,11,27,112.2,106.5,87.3,0.461,0.171,0.536,45.1,61.1,8.0,8.7,0.513,9.0,23.3,0.263,0.494,11.0,69.2,0.175,2002,5,-2,-4,-0.0010000000000000009,3,2,0.189,6,14,-0.09600000000000009,-2,-8,-6,2,4,-2,-10
9,10,2001-11-21,2,MEM,CLE,2,94,101,34,74,0.459,6,15,0.4,20,27,0.741,9,29,24,13,8,17,19,37,77,0.481,10,17,0.588,17,20,0.85,15,43,29,11,7,22,24,104.4,112.2,90.0,0.365,0.203,0.547,40.3,70.6,14.4,13.3,0.5,16.5,24.3,0.27,0.545,20.4,57.1,0.221,2002,-7,-3,-3,-0.021999999999999964,-4,-2,-0.18799999999999994,3,7,-0.10899999999999999,-6,-14,-5,2,1,-5,-5
