,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2001-10-30,1,NJN,IND,1,103,97,37,95,0.389,6,16,0.375,23,31,0.742,18,47,24,8,7,11,23,37,81,0.457,6,15,0.4,17,20,0.85,9,42,22,8,6,20,25,106.0,99.8,97.2,0.326,0.168,0.474,52.8,64.9,8.2,10.6,0.421,9.2,35.3,0.242,0.494,18.2,76.3,0.21,2002,6,0,14,-0.068,0,1,-0.025000000000000022,6,11,-0.10799999999999998,9,5,2,0,1,-9,-2
1,2,2001-10-31,2,NJN,BOS,1,95,92,32,75,0.427,8,16,0.5,23,27,0.852,8,47,21,5,7,19,27,33,88,0.375,11,25,0.44,15,31,0.484,18,51,20,10,4,15,21,98.6,95.5,96.3,0.36,0.213,0.547,48.0,65.6,5.2,11.1,0.48,17.9,19.5,0.307,0.438,12.9,68.4,0.17,2002,3,-1,-13,0.05199999999999999,-3,-9,0.06,8,-4,0.368,-10,-4,1,-5,3,4,6
2,3,2001-11-02,2,NJN,DET,2,88,102,34,82,0.415,4,12,0.333,16,20,0.8,13,39,20,7,3,20,25,35,67,0.522,5,12,0.417,27,34,0.794,5,33,21,14,9,16,19,95.2,110.4,92.4,0.244,0.146,0.485,54.2,58.8,7.6,5.5,0.439,18.1,31.7,0.195,0.56,16.3,83.9,0.403,2002,-14,-1,15,-0.10700000000000004,-1,0,-0.08399999999999996,-11,-14,0.006000000000000005,8,6,-1,-7,-6,4,6
3,4,2001-11-03,1,NJN,CHH,1,95,85,33,93,0.355,7,16,0.438,22,30,0.733,18,47,20,9,9,12,20,33,81,0.407,4,17,0.235,15,17,0.882,8,45,16,8,9,18,21,99.6,89.2,95.3,0.323,0.172,0.447,51.1,60.6,9.4,14.1,0.392,10.2,32.7,0.237,0.432,16.9,78.4,0.185,2002,10,0,12,-0.05199999999999999,3,-1,0.203,7,13,-0.14900000000000002,10,2,4,1,0,-6,-1
4,5,2001-11-08,1,NJN,SEA,1,106,94,41,88,0.466,3,10,0.3,21,26,0.808,15,49,22,8,9,12,17,38,100,0.38,10,25,0.4,8,10,0.8,21,51,16,6,3,14,23,113.8,100.9,93.2,0.295,0.114,0.533,49.0,53.7,8.6,12.0,0.483,10.8,33.3,0.239,0.43,11.8,61.8,0.08,2002,12,3,-12,0.08600000000000002,-7,-15,-0.10000000000000003,13,16,0.008000000000000007,-6,-2,6,2,6,-2,-6
5,6,2001-11-10,1,NJN,CLE,1,87,84,34,87,0.391,4,12,0.333,15,17,0.882,12,48,21,7,10,12,14,33,79,0.418,3,12,0.25,15,19,0.789,9,44,20,6,5,13,17,96.1,92.8,90.5,0.195,0.138,0.46,52.2,61.8,7.7,14.9,0.414,11.3,25.5,0.172,0.437,13.0,80.0,0.19,2002,3,1,8,-0.02699999999999997,1,0,0.08300000000000002,0,-2,0.09299999999999997,3,4,1,1,5,-1,-3
6,7,2001-11-13,2,NJN,IND,1,91,82,37,81,0.457,3,8,0.375,14,26,0.538,9,49,24,4,8,17,19,30,87,0.345,2,11,0.182,20,24,0.833,12,48,17,7,6,14,22,93.1,83.9,97.8,0.321,0.099,0.492,50.5,64.9,4.1,10.5,0.475,15.5,20.0,0.173,0.356,12.5,76.9,0.23,2002,9,7,-6,0.11200000000000004,1,-3,0.193,-6,2,-0.29499999999999993,-3,1,7,-3,2,3,-3
7,8,2001-11-16,1,NJN,NYK,1,109,83,42,80,0.525,4,11,0.364,21,27,0.778,10,40,28,10,5,14,20,31,73,0.425,3,13,0.231,18,24,0.75,8,30,17,9,4,17,24,119.6,91.1,91.1,0.338,0.138,0.593,57.1,66.7,11.0,8.3,0.55,13.2,31.3,0.263,0.445,16.9,78.9,0.247,2002,26,11,7,0.10000000000000003,1,-2,0.13299999999999998,3,3,0.028000000000000025,2,10,11,1,1,-3,-4
8,9,2001-11-17,1,NJN,PHI,2,82,94,33,88,0.375,0,12,0.0,16,25,0.64,20,50,22,10,15,17,25,38,86,0.442,1,9,0.111,17,24,0.708,15,47,21,13,5,14,20,88.7,101.7,92.4,0.284,0.136,0.414,51.5,66.7,10.8,19.5,0.375,14.7,38.5,0.182,0.448,12.7,66.7,0.198,2002,-12,-5,2,-0.067,-1,3,-0.111,-1,1,-0.06799999999999995,5,3,1,-3,10,3,5
9,10,2001-11-19,2,NJN,DEN,2,96,99,42,91,0.462,2,15,0.133,10,13,0.769,15,50,31,7,10,17,21,39,90,0.433,8,15,0.533,13,21,0.619,14,40,27,12,5,10,21,102.8,106.0,84.6,0.143,0.165,0.496,55.6,73.8,7.5,13.3,0.473,14.9,36.6,0.11,0.478,9.2,71.4,0.144,2002,-3,3,1,0.029000000000000026,-6,0,-0.4,-3,-8,0.15000000000000002,1,10,4,-5,5,7,0
10,11,2001-11-21,2,NJN,UTA,1,90,89,37,89,0.416,5,18,0.278,11,15,0.733,16,51,17,11,11,27,27,34,90,0.378,1,6,0.167,20,33,0.606,19,51,26,15,7,18,25,88.4,87.4,92.2,0.169,0.202,0.471,50.0,45.9,10.8,13.1,0.444,22.0,33.3,0.124,0.383,14.7,64.8,0.222,2002,1,3,-1,0.03799999999999998,4,12,0.11100000000000002,-9,-18,0.127,-3,0,-9,-4,4,9,2
11,12,2001-11-22,2,NJN,LAC,1,95,90,32,83,0.386,6,19,0.316,25,39,0.641,19,53,22,13,5,16,22,35,83,0.422,2,17,0.118,18,26,0.692,11,43,15,8,7,18,26,98.4,93.2,96.6,0.47,0.229,0.474,55.2,68.8,13.5,7.6,0.422,13.8,37.3,0.301,0.434,16.0,75.6,0.217,2002,5,-3,0,-0.035999999999999976,4,2,0.198,7,13,-0.050999999999999934,8,10,7,5,-2,-2,-4
12,13,2001-11-24,2,NJN,SAC,2,97,98,41,92,0.446,5,11,0.455,10,16,0.625,8,50,25,6,4,15,26,36,87,0.414,2,16,0.125,24,37,0.649,7,45,20,10,2,7,14,94.7,95.6,102.5,0.174,0.12,0.49,52.6,61.0,5.9,5.6,0.473,13.2,17.4,0.109,0.425,6.3,85.7,0.276,2002,-1,5,5,0.03200000000000003,3,-5,0.33,-14,-21,-0.02400000000000002,1,5,5,-4,2,8,12
13,14,2001-11-25,2,NJN,GSW,2,85,101,34,84,0.405,4,13,0.308,13,20,0.65,11,41,23,9,4,12,19,41,83,0.494,5,14,0.357,14,21,0.667,11,51,28,8,10,13,16,92.0,109.3,92.4,0.238,0.155,0.458,44.6,67.6,9.7,5.8,0.429,11.5,21.6,0.155,0.524,12.4,73.2,0.169,2002,-16,-7,1,-0.08899999999999997,-1,-1,-0.04899999999999999,-1,-1,-0.017000000000000015,0,-10,-5,1,-6,-1,3
14,15,2001-11-27,1,NJN,CHI,1,100,68,40,84,0.476,4,12,0.333,16,25,0.64,17,46,24,12,6,10,13,29,72,0.403,1,6,0.167,9,13,0.692,11,38,19,7,5,16,18,120.2,81.8,83.2,0.298,0.143,0.526,54.8,60.0,14.4,9.1,0.5,9.5,38.6,0.19,0.41,17.1,72.5,0.125,2002,32,11,12,0.07299999999999995,3,6,0.166,7,12,-0.051999999999999935,6,8,5,5,1,-6,-5
15,16,2001-12-01,1,NJN,BOS,2,98,105,37,97,0.381,5,24,0.208,19,28,0.679,16,49,29,9,13,17,30,34,95,0.358,7,20,0.35,30,34,0.882,19,60,12,7,4,15,22,94.7,101.5,93.7,0.289,0.247,0.448,45.0,78.4,8.7,17.3,0.407,13.5,28.1,0.196,0.395,12.0,63.5,0.316,2002,-7,3,2,0.02300000000000002,-2,4,-0.142,-11,-6,-0.20299999999999996,-3,-11,17,2,9,2,8
16,17,2001-12-05,1,NJN,PHO,1,106,87,40,91,0.44,10,21,0.476,16,21,0.762,17,55,31,7,11,16,17,36,88,0.409,4,17,0.235,11,18,0.611,12,42,16,5,6,13,16,111.3,91.3,95.3,0.231,0.231,0.529,56.7,77.5,7.3,15.5,0.495,13.8,36.2,0.176,0.432,11.9,76.0,0.125,2002,19,4,3,0.031000000000000028,6,4,0.241,5,3,0.15100000000000002,5,13,15,2,5,3,1
17,18,2001-12-07,1,NJN,CLE,1,96,84,40,83,0.482,5,17,0.294,11,18,0.611,11,43,28,4,7,10,13,32,75,0.427,7,15,0.467,13,18,0.722,9,37,18,7,6,11,16,112.7,98.6,85.2,0.217,0.205,0.528,53.8,70.0,4.7,11.7,0.512,9.9,28.2,0.133,0.473,11.7,78.0,0.173,2002,12,8,8,0.05499999999999999,-2,2,-0.17300000000000004,-2,0,-0.11099999999999999,2,6,10,-3,1,-1,-3
18,19,2001-12-08,2,NJN,MIL,2,79,95,30,90,0.333,5,17,0.294,14,22,0.636,15,43,20,10,3,8,12,41,84,0.488,7,15,0.467,6,11,0.545,13,57,24,6,5,17,16,87.2,104.8,90.6,0.244,0.189,0.396,43.0,66.7,11.0,4.3,0.361,7.4,25.4,0.156,0.53,16.1,68.3,0.071,2002,-16,-11,6,-0.15499999999999997,-2,2,-0.17300000000000004,8,11,0.09099999999999997,2,-14,-4,4,-2,-9,-4
19,20,2001-12-11,2,NJN,CHI,1,107,93,43,80,0.538,11,17,0.647,10,19,0.526,7,39,33,3,4,11,17,35,79,0.443,4,7,0.571,19,25,0.76,8,34,23,10,3,10,16,119.0,103.5,89.9,0.238,0.213,0.605,53.4,76.7,3.3,5.6,0.606,11.1,21.2,0.125,0.468,10.0,80.0,0.241,2002,14,8,1,0.09500000000000003,7,10,0.07600000000000007,-9,-6,-0.23399999999999999,-1,5,10,-7,1,1,1
52,21,2001-12-14,2,NJN,MIA,1,95,86,39,85,0.459,4,14,0.286,13,20,0.65,12,37,28,9,3,9,15,36,70,0.514,4,6,0.667,10,14,0.714,8,39,18,5,7,22,19,107.3,97.2,88.5,0.235,0.165,0.506,48.7,71.8,10.2,4.7,0.482,8.8,27.9,0.153,0.543,22.4,75.8,0.143,2002,9,3,15,-0.05499999999999999,0,8,-0.38100000000000006,3,6,-0.06399999999999995,4,-2,10,4,-4,-13,-4
53,22,2001-12-16,2,NJN,NYK,1,114,96,38,73,0.521,14,24,0.583,24,29,0.828,6,37,30,10,4,18,27,34,75,0.453,5,12,0.417,23,35,0.657,8,33,23,10,5,14,21,120.4,101.4,94.7,0.397,0.329,0.665,52.9,78.9,10.6,6.3,0.616,17.3,19.4,0.329,0.487,13.4,79.5,0.307,2002,18,4,-2,0.068,9,12,0.16599999999999998,1,-6,0.17099999999999993,-2,4,7,0,-1,4,6
54,23,2001-12-19,1,NJN,MIN,1,117,112,45,92,0.489,6,23,0.261,21,36,0.583,6,43,30,13,8,13,26,43,98,0.439,5,21,0.238,21,26,0.808,16,58,21,7,7,20,25,104.6,100.1,101.3,0.391,0.25,0.542,42.6,66.7,11.6,10.4,0.522,10.8,12.5,0.228,0.464,15.5,69.8,0.214,2002,5,2,-6,0.04999999999999999,1,2,0.02300000000000002,0,10,-0.2250000000000001,-10,-15,9,6,1,-7,1
55,24,2001-12-21,2,NJN,IND,2,94,100,36,82,0.439,6,18,0.333,16,20,0.8,12,37,26,5,2,15,30,34,72,0.472,2,8,0.25,30,41,0.732,13,40,21,14,5,13,26,106.0,112.8,88.7,0.244,0.22,0.518,48.1,72.2,5.6,3.1,0.476,14.2,30.8,0.195,0.486,12.6,65.8,0.417,2002,-6,2,10,-0.032999999999999974,4,10,0.08300000000000002,-14,-21,0.06800000000000006,-1,-3,5,-9,-3,2,4
56,25,2001-12-22,1,NJN,UTA,2,90,104,32,65,0.492,1,6,0.167,25,30,0.833,7,30,21,11,5,19,24,36,73,0.493,6,10,0.6,26,30,0.867,11,37,22,14,6,19,22,100.2,115.7,89.9,0.462,0.092,0.575,44.8,65.6,12.2,7.9,0.5,19.5,21.2,0.385,0.534,18.1,67.6,0.356,2002,-14,-4,-8,-0.0010000000000000009,-5,-4,-0.43299999999999994,-1,0,-0.03400000000000003,-4,-7,-1,-3,-1,0,2
57,26,2001-12-26,2,NJN,CLE,1,91,89,39,89,0.438,3,10,0.3,10,16,0.625,17,49,23,4,7,16,15,36,96,0.375,5,17,0.294,12,18,0.667,21,54,23,11,16,9,18,101.1,98.9,90.0,0.18,0.112,0.474,47.6,59.0,4.4,8.9,0.455,14.3,34.0,0.112,0.401,8.0,60.4,0.125,2002,2,3,-7,0.063,-2,-7,0.006000000000000005,-2,-2,-0.04200000000000004,-4,-5,0,-7,-9,7,-3
58,27,2001-12-27,2,NJN,DET,1,88,75,36,82,0.439,1,10,0.1,15,17,0.882,8,42,27,10,7,11,20,31,81,0.383,4,17,0.235,9,13,0.692,13,46,15,3,5,18,16,98.0,83.5,89.8,0.207,0.122,0.492,47.7,75.0,11.1,10.9,0.445,10.9,19.5,0.183,0.407,17.2,72.3,0.111,2002,13,5,1,0.055999999999999994,-3,-7,-0.13499999999999998,6,4,0.19000000000000006,-5,-4,12,7,2,-7,4
59,28,2001-12-29,1,NJN,IND,1,98,93,41,102,0.402,5,15,0.333,11,15,0.733,22,55,24,11,7,24,19,38,87,0.437,4,7,0.571,13,16,0.813,12,43,20,14,12,23,21,94.5,89.7,93.9,0.147,0.147,0.451,56.1,58.5,10.6,8.8,0.426,18.1,41.5,0.108,0.46,19.7,73.3,0.149,2002,5,3,15,-0.034999999999999976,1,8,-0.23799999999999993,-2,-1,-0.07999999999999996,10,12,4,-3,-5,1,-2
60,29,2001-12-31,2,NJN,WAS,2,76,98,29,75,0.387,1,11,0.091,17,27,0.63,8,30,22,8,2,8,16,37,88,0.42,7,17,0.412,17,19,0.895,20,62,17,3,3,13,19,90.2,116.3,84.3,0.36,0.147,0.437,32.6,75.9,9.5,2.8,0.393,8.4,16.0,0.227,0.46,11.9,52.4,0.193,2002,-22,-8,-13,-0.032999999999999974,-6,-6,-0.32099999999999995,0,8,-0.265,-12,-32,5,5,-1,-5,-3
61,30,2002-01-02,1,NJN,MEM,1,92,74,39,83,0.47,2,4,0.5,12,14,0.857,10,48,32,12,10,17,21,28,100,0.28,1,11,0.091,17,18,0.944,24,55,15,8,8,18,18,97.1,78.1,94.7,0.169,0.048,0.516,46.6,82.1,12.7,11.2,0.482,16.0,24.4,0.145,0.285,14.3,61.3,0.17,2002,18,11,-17,0.18999999999999995,1,-7,0.40900000000000003,-5,-4,-0.08699999999999997,-14,-7,17,4,2,-1,3
62,31,2002-01-04,1,NJN,ORL,2,96,109,38,88,0.432,7,19,0.368,13,19,0.684,24,52,19,11,8,18,19,42,80,0.525,8,19,0.421,17,22,0.773,8,35,22,12,3,14,16,105.4,119.7,91.1,0.216,0.216,0.498,59.8,50.0,12.1,13.1,0.472,15.7,47.1,0.148,0.575,13.5,77.8,0.213,2002,-13,-4,8,-0.09300000000000003,-1,0,-0.05299999999999999,-4,-3,-0.08899999999999997,16,17,-3,-1,5,4,3
63,32,2002-01-05,2,NJN,CHH,1,89,80,32,76,0.421,1,11,0.091,24,30,0.8,8,38,23,6,6,5,22,26,72,0.361,5,15,0.333,23,30,0.767,13,43,18,3,4,13,23,107.7,96.8,82.6,0.395,0.145,0.499,46.9,71.9,7.3,10.5,0.428,5.3,21.1,0.316,0.396,13.2,69.8,0.319,2002,9,6,4,0.06,-4,-4,-0.24200000000000002,1,0,0.03300000000000003,-5,-5,5,3,2,-8,-1
