,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2003-10-29,1,BOS,MIA,1,98,75,37,73,0.507,5,16,0.313,19,26,0.731,5,40,28,9,9,10,23,26,71,0.366,5,12,0.417,18,24,0.75,8,39,14,4,2,15,20,112.2,85.9,87.3,0.356,0.219,0.58,50.6,75.7,10.3,15.3,0.541,10.6,13.9,0.26,0.401,15.5,81.4,0.254,2004,23,11,2,0.14100000000000001,0,4,-0.10399999999999998,1,2,-0.019000000000000017,-3,1,14,5,7,-5,3
1,2,2003-10-31,2,BOS,MEM,1,93,91,34,72,0.472,3,13,0.231,22,33,0.667,9,49,21,12,3,17,26,30,81,0.37,6,26,0.231,25,33,0.758,12,44,24,8,7,15,29,98.0,95.8,94.9,0.458,0.181,0.537,52.7,61.8,12.6,5.5,0.493,16.4,22.0,0.306,0.407,13.6,76.9,0.309,2004,2,4,-9,0.10199999999999998,-3,-13,0.0,-3,0,-0.09099999999999997,-3,5,-3,4,-4,2,-3
2,3,2003-11-01,2,BOS,NOH,2,90,97,33,81,0.407,8,26,0.308,16,19,0.842,9,40,20,6,3,16,28,34,71,0.479,12,24,0.5,17,29,0.586,4,32,23,10,2,16,23,96.7,104.2,93.1,0.235,0.321,0.504,55.6,60.6,6.4,6.4,0.457,15.2,24.3,0.198,0.563,16.0,88.6,0.239,2004,-7,-1,10,-0.07200000000000001,-4,2,-0.192,-1,-10,0.256,5,8,-3,-4,1,0,5
3,4,2003-11-05,2,BOS,DET,2,88,96,35,74,0.473,2,13,0.154,16,17,0.941,13,40,23,13,4,21,27,33,80,0.413,8,18,0.444,22,32,0.688,21,45,19,12,5,18,19,100.0,109.1,88.0,0.23,0.176,0.54,47.1,65.7,14.8,6.5,0.486,20.5,35.1,0.216,0.463,16.1,56.3,0.275,2004,-8,2,-6,0.06,-6,-5,-0.29000000000000004,-6,-15,0.253,-8,-5,4,1,-1,3,8
4,5,2003-11-07,1,BOS,NJN,2,87,94,36,81,0.444,3,14,0.214,12,14,0.857,14,43,20,7,5,16,27,36,85,0.424,4,14,0.286,18,23,0.783,16,41,20,9,3,13,17,100.1,108.1,86.9,0.173,0.173,0.499,51.2,55.6,8.1,7.0,0.463,15.5,35.9,0.148,0.447,12.0,64.4,0.212,2004,-7,0,-4,0.020000000000000018,-1,0,-0.07199999999999998,-6,-9,0.07399999999999995,-2,2,0,-2,2,3,10
5,6,2003-11-09,1,BOS,SAC,1,91,82,36,83,0.434,4,15,0.267,15,20,0.75,15,52,17,9,6,17,25,32,90,0.356,6,19,0.316,12,19,0.632,12,42,26,7,3,13,17,97.5,87.9,93.3,0.241,0.181,0.496,55.3,47.2,9.6,8.5,0.458,15.6,33.3,0.181,0.389,11.7,75.5,0.133,2004,9,4,-7,0.07800000000000001,-2,-4,-0.04899999999999999,3,1,0.118,3,10,-9,2,3,4,8
6,7,2003-11-11,2,BOS,IND,1,78,76,33,80,0.413,6,13,0.462,6,13,0.462,14,44,24,10,5,15,20,28,68,0.412,5,11,0.455,15,19,0.789,9,42,19,11,5,17,18,92.9,90.5,84.0,0.163,0.163,0.455,51.2,72.7,11.9,8.8,0.45,14.9,29.8,0.075,0.449,18.2,76.9,0.221,2004,2,5,12,0.0010000000000000009,1,2,0.007000000000000006,-9,-6,-0.327,5,2,5,-1,0,-2,2
7,8,2003-11-12,1,BOS,CHI,2,82,89,28,85,0.329,8,27,0.296,18,27,0.667,14,42,22,10,3,12,26,28,65,0.431,9,18,0.5,24,35,0.686,10,47,14,6,3,19,27,91.8,99.6,89.3,0.318,0.318,0.423,47.2,78.6,11.2,6.4,0.376,11.0,27.5,0.212,0.5,19.1,73.7,0.369,2004,-7,0,20,-0.10199999999999998,-1,9,-0.20400000000000001,-6,-8,-0.019000000000000017,4,-5,8,4,0,-7,-1
8,9,2003-11-14,1,BOS,CLE,1,91,82,32,78,0.41,4,10,0.4,23,30,0.767,13,43,19,6,6,8,28,27,77,0.351,2,7,0.286,26,36,0.722,17,50,16,3,7,13,26,107.6,97.0,84.6,0.385,0.128,0.499,46.2,59.4,7.1,8.6,0.436,8.1,28.3,0.295,0.364,12.3,63.8,0.338,2004,9,5,1,0.059,2,3,0.11400000000000005,-3,-6,0.04500000000000004,-4,-7,3,3,-1,-5,2
9,10,2003-11-17,2,BOS,NYK,2,86,89,30,81,0.37,2,14,0.143,24,31,0.774,14,44,22,9,5,11,17,32,86,0.372,10,23,0.435,15,17,0.882,19,53,23,3,7,14,23,99.5,103.0,86.4,0.383,0.173,0.454,45.4,73.3,10.4,7.9,0.383,10.4,29.2,0.296,0.43,13.0,61.2,0.174,2004,-3,-2,-5,-0.0020000000000000018,-8,-9,-0.29200000000000004,9,14,-0.10799999999999998,-5,-9,-1,6,-2,-3,-6
