,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2006-11-01,2,NOK,BOS,1,91,87,36,84,0.429,1,11,0.091,18,33,0.545,10,46,17,6,4,15,31,30,75,0.4,3,16,0.188,24,39,0.615,10,52,18,5,6,19,31,90.3,86.4,100.7,0.393,0.131,0.462,46.9,47.2,6.0,6.8,0.435,13.2,19.2,0.214,0.42,17.1,78.3,0.32,2007,4,6,9,0.02899999999999997,-2,-5,-0.097,-6,-6,-0.06999999999999995,0,-6,-1,1,-2,-4,0
1,2,2006-11-03,2,NOK,IND,1,100,91,37,84,0.44,3,14,0.214,23,27,0.852,19,53,16,2,4,15,22,32,80,0.4,7,26,0.269,20,24,0.833,11,34,21,7,7,12,23,113.6,103.4,88.0,0.321,0.167,0.521,60.9,43.2,2.3,7.4,0.458,13.5,45.2,0.274,0.444,11.7,75.6,0.25,2007,9,5,4,0.03999999999999998,-4,-12,-0.05500000000000002,3,3,0.019000000000000017,8,19,-5,-5,-3,3,-1
2,3,2006-11-05,1,NOK,HOU,1,96,90,33,70,0.471,9,16,0.563,21,35,0.6,9,35,20,12,3,15,23,32,79,0.405,9,27,0.333,17,26,0.654,16,51,19,9,0,20,27,106.0,99.4,90.6,0.5,0.229,0.562,40.7,60.6,13.2,5.8,0.536,14.9,20.5,0.3,0.462,18.1,61.9,0.215,2007,6,1,-9,0.06599999999999995,0,-11,0.22999999999999993,4,9,-0.05400000000000005,-7,-16,1,3,3,-5,-4
3,4,2006-11-07,1,NOK,GSW,1,97,93,38,89,0.427,6,15,0.4,15,18,0.833,21,52,19,5,2,15,17,37,80,0.463,7,25,0.28,12,15,0.8,9,34,20,7,9,14,22,110.3,105.7,88.0,0.202,0.169,0.5,60.5,50.0,5.7,3.6,0.461,13.4,45.7,0.169,0.506,13.9,77.5,0.15,2007,4,1,9,-0.03600000000000003,-1,-10,0.12,3,3,0.03299999999999992,12,18,-1,-2,-7,1,-5
4,5,2006-11-09,2,NOK,GSW,2,116,121,41,81,0.506,5,13,0.385,29,39,0.744,20,45,22,4,3,19,27,39,76,0.513,13,34,0.382,30,37,0.811,7,30,30,9,5,10,31,123.5,128.8,93.9,0.481,0.16,0.591,60.0,53.7,4.3,7.1,0.537,16.2,46.5,0.358,0.599,9.8,78.1,0.395,2007,-5,2,5,-0.007000000000000006,-8,-21,0.0030000000000000027,-1,2,-0.06700000000000006,13,15,-8,-5,-2,9,-4
5,6,2006-11-10,2,NOK,POR,2,91,92,36,83,0.434,5,18,0.278,14,16,0.875,13,44,19,3,3,14,24,28,67,0.418,4,15,0.267,32,40,0.8,8,36,11,7,10,12,21,104.7,105.8,86.9,0.193,0.217,0.505,55.0,52.8,3.5,5.8,0.464,13.5,31.7,0.169,0.448,12.4,79.5,0.478,2007,-1,8,16,0.016000000000000014,1,3,0.01100000000000001,-18,-24,0.07499999999999996,5,8,8,-4,-7,2,3
6,7,2006-11-12,2,NOK,LAC,2,76,92,31,68,0.456,2,13,0.154,12,19,0.632,10,38,13,7,5,23,22,32,77,0.416,6,15,0.4,22,25,0.88,13,35,19,10,4,15,21,87.9,106.4,86.5,0.279,0.191,0.498,52.1,41.9,8.1,8.1,0.471,23.1,31.3,0.176,0.455,14.6,68.3,0.286,2007,-16,-1,-9,0.040000000000000036,-4,-2,-0.24600000000000002,-10,-6,-0.248,-3,3,-6,-3,1,8,1
7,8,2006-11-14,1,NOK,CHA,1,94,85,35,86,0.407,7,16,0.438,17,26,0.654,12,44,15,10,6,10,21,35,77,0.455,2,7,0.286,13,23,0.565,11,50,15,3,10,17,25,101.5,91.8,92.6,0.302,0.186,0.482,46.8,42.9,10.8,8.6,0.448,9.3,23.5,0.198,0.468,16.3,74.4,0.169,2007,9,0,9,-0.04800000000000004,5,9,0.15200000000000002,4,3,0.08900000000000008,1,-6,0,7,-4,-7,-4
8,9,2006-11-15,2,NOK,DET,1,100,99,38,86,0.442,4,12,0.333,20,23,0.87,19,44,18,4,3,6,20,38,73,0.521,6,18,0.333,17,26,0.654,8,35,20,2,6,8,20,123.2,122.0,81.2,0.267,0.14,0.52,55.7,47.4,4.9,5.5,0.465,5.9,41.3,0.233,0.562,8.7,75.8,0.233,2007,1,0,13,-0.07900000000000001,-2,-6,0.0,3,-3,0.21599999999999997,11,9,-2,2,-3,-2,0
9,10,2006-11-18,2,NOK,MIN,1,99,96,39,81,0.481,4,10,0.4,17,20,0.85,10,37,17,5,3,14,22,35,85,0.412,5,14,0.357,21,27,0.778,18,50,25,7,4,15,16,109.0,105.7,90.9,0.247,0.123,0.551,42.5,43.6,5.5,4.2,0.506,13.5,23.8,0.21,0.441,13.4,60.0,0.247,2007,3,4,-4,0.069,-1,-4,0.04300000000000004,-4,-7,0.07199999999999995,-8,-13,-8,-2,-1,-1,6
10,11,2006-11-21,1,NOK,MIA,1,101,86,37,88,0.42,11,19,0.579,16,32,0.5,14,52,25,8,4,11,18,32,87,0.368,4,22,0.182,18,24,0.75,16,55,18,2,3,14,23,106.0,90.3,95.3,0.364,0.216,0.495,48.6,67.6,8.4,6.2,0.483,9.7,26.4,0.182,0.391,12.5,70.4,0.207,2007,15,5,1,0.05199999999999999,7,-3,0.39699999999999996,-2,8,-0.25,-2,-3,7,6,1,-3,-5
11,12,2006-11-22,2,NOK,PHO,2,83,92,34,85,0.4,1,14,0.071,14,19,0.737,13,40,7,10,1,11,17,33,70,0.471,10,22,0.455,16,19,0.842,5,41,20,5,5,18,17,93.0,103.1,89.3,0.224,0.165,0.445,49.4,20.6,11.2,2.1,0.406,10.5,26.5,0.165,0.543,18.7,84.4,0.229,2007,-9,1,15,-0.07099999999999995,-9,-8,-0.384,-2,0,-0.10499999999999998,8,-1,-13,5,-4,-7,0
12,13,2006-11-24,1,NOK,MIN,2,79,86,27,80,0.338,3,17,0.176,22,26,0.846,9,42,13,7,5,8,19,35,73,0.479,2,11,0.182,14,21,0.667,8,52,20,2,5,16,22,88.6,96.5,89.1,0.325,0.213,0.432,44.7,48.1,7.9,8.1,0.356,8.0,17.0,0.275,0.493,16.3,80.5,0.192,2007,-7,-8,7,-0.14099999999999996,1,6,-0.006000000000000005,8,5,0.17899999999999994,1,-10,-7,5,0,-8,-3
13,14,2006-11-25,2,NOK,DAL,2,73,85,28,78,0.359,3,10,0.3,14,26,0.538,14,49,8,10,5,18,30,26,67,0.388,3,17,0.176,30,41,0.732,8,46,14,9,3,17,23,79.2,92.3,92.1,0.333,0.128,0.408,51.6,28.6,10.9,10.0,0.378,16.8,26.9,0.179,0.41,16.7,81.4,0.448,2007,-12,2,11,-0.029000000000000026,0,-7,0.124,-16,-15,-0.19399999999999995,6,3,-6,1,2,1,7
14,15,2006-11-28,1,NOK,TOR,2,77,94,32,77,0.416,3,12,0.25,10,18,0.556,13,41,16,8,3,15,18,35,78,0.449,7,22,0.318,17,20,0.85,14,42,14,9,5,14,19,91.3,111.5,84.3,0.234,0.156,0.453,49.4,50.0,9.5,5.4,0.435,15.0,31.7,0.13,0.494,13.9,66.7,0.218,2007,-17,-3,-1,-0.03300000000000003,-4,-10,-0.068,-7,-2,-0.29399999999999993,-1,-1,2,-1,-2,1,-1
