,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2007-11-02,1,CHA,MIL,1,102,99,37,76,0.487,6,16,0.375,22,43,0.512,17,41,20,12,7,18,23,42,87,0.483,5,13,0.385,10,14,0.714,14,44,20,7,8,19,32,107.4,104.2,95.0,0.566,0.211,0.537,48.2,54.1,12.6,9.5,0.526,15.9,36.2,0.289,0.511,16.9,63.2,0.115,2008,3,-5,-11,0.0040000000000000036,1,3,-0.010000000000000009,12,29,-0.20199999999999996,3,-3,0,5,-1,-1,-9
1,2,2007-11-04,2,CHA,MIA,1,90,88,32,69,0.464,8,18,0.444,18,22,0.818,9,40,19,8,1,18,24,33,75,0.44,2,12,0.167,20,26,0.769,12,40,19,6,4,12,18,105.2,102.9,85.5,0.319,0.261,0.572,50.0,59.4,9.4,1.6,0.522,18.6,24.3,0.261,0.453,12.2,72.1,0.267,2008,2,-1,-6,0.02400000000000002,6,6,0.277,-2,-4,0.04899999999999993,-3,0,0,2,-3,6,6
2,3,2007-11-06,1,CHA,PHO,2,83,115,30,82,0.366,4,15,0.267,19,28,0.679,23,51,11,5,5,22,27,45,90,0.5,9,24,0.375,16,21,0.762,14,45,31,9,2,9,25,90.8,125.8,91.4,0.341,0.183,0.44,53.1,36.7,5.5,7.6,0.39,18.9,42.6,0.232,0.55,8.3,66.7,0.178,2008,-32,-15,-8,-0.134,-5,-9,-0.10799999999999998,3,7,-0.08299999999999996,9,6,-20,-4,3,13,2
3,4,2007-11-07,2,CHA,PHI,2,63,94,23,75,0.307,0,13,0.0,17,23,0.739,18,46,16,5,3,26,21,33,72,0.458,5,11,0.455,23,32,0.719,16,45,18,17,7,20,22,70.6,105.3,89.3,0.307,0.173,0.37,50.5,69.6,5.6,4.9,0.307,23.4,38.3,0.227,0.493,18.9,63.6,0.319,2008,-31,-10,3,-0.15100000000000002,-5,2,-0.455,-6,-9,0.020000000000000018,2,1,-2,-12,-4,6,-1
4,5,2007-11-09,1,CHA,IND,1,96,87,32,71,0.451,5,14,0.357,27,44,0.614,14,52,19,9,4,16,22,34,80,0.425,6,20,0.3,13,20,0.65,10,39,17,6,4,15,28,104.5,94.7,91.9,0.62,0.197,0.531,57.1,59.4,9.8,6.7,0.486,15.0,32.6,0.38,0.463,14.5,79.2,0.163,2008,9,-2,-9,0.026000000000000023,-1,-6,0.056999999999999995,14,24,-0.03600000000000003,4,13,2,3,0,1,-6
5,6,2007-11-11,1,CHA,HOU,2,82,85,31,78,0.397,6,14,0.429,14,15,0.933,8,34,19,11,4,12,22,29,67,0.433,4,14,0.286,23,27,0.852,11,47,18,6,7,19,17,95.6,99.1,85.8,0.192,0.179,0.485,42.0,61.3,12.8,7.5,0.436,12.4,18.2,0.179,0.463,19.4,70.3,0.343,2008,-3,2,11,-0.035999999999999976,2,0,0.14300000000000002,-9,-12,0.08100000000000007,-3,-13,1,5,-3,-7,5
6,7,2007-11-13,1,CHA,MIA,1,91,76,34,79,0.43,7,15,0.467,16,22,0.727,9,47,22,5,4,8,22,30,78,0.385,1,7,0.143,15,22,0.682,8,38,17,2,4,10,15,105.5,88.1,86.3,0.278,0.19,0.513,55.3,64.7,5.8,5.6,0.475,8.3,23.1,0.203,0.391,10.2,82.6,0.192,2008,15,4,1,0.044999999999999984,6,8,0.32400000000000007,1,0,0.04499999999999993,1,9,5,3,0,-2,7
7,8,2007-11-14,2,CHA,ATL,2,109,117,41,83,0.494,8,16,0.5,19,27,0.704,12,29,19,12,6,13,22,46,77,0.597,3,6,0.5,22,27,0.815,13,38,29,10,9,16,20,120.0,128.8,90.8,0.325,0.193,0.574,43.3,46.3,13.2,8.5,0.542,12.1,32.4,0.229,0.617,15.3,56.7,0.286,2008,-8,-5,6,-0.10299999999999998,5,10,0.0,-3,0,-0.11099999999999999,-1,-9,-10,2,-3,-3,2
8,9,2007-11-17,1,CHA,SEA,1,100,84,39,89,0.438,10,21,0.476,12,20,0.6,17,60,23,6,6,15,25,26,84,0.31,3,11,0.273,29,36,0.806,10,38,14,9,10,14,19,103.9,87.3,96.2,0.225,0.236,0.511,61.2,59.0,6.2,8.2,0.494,13.3,37.8,0.135,0.327,12.3,81.1,0.345,2008,16,13,5,0.128,7,10,0.20299999999999996,-17,-16,-0.20600000000000007,7,22,9,-3,-4,1,6
9,10,2007-11-19,1,CHA,POR,1,101,92,39,83,0.47,5,15,0.333,18,27,0.667,13,39,21,10,5,13,20,32,76,0.421,8,18,0.444,20,23,0.87,8,34,13,3,6,18,22,110.2,100.4,91.6,0.325,0.181,0.532,53.4,53.8,10.9,8.6,0.5,12.1,33.3,0.217,0.474,17.3,76.5,0.263,2008,9,7,7,0.04899999999999999,-3,-3,-0.11099999999999999,-2,4,-0.20299999999999996,5,5,8,7,-1,-5,-2
10,11,2007-11-21,1,CHA,WAS,2,111,114,40,90,0.444,11,29,0.379,20,29,0.69,11,40,22,7,6,16,30,39,87,0.448,4,15,0.267,32,40,0.8,16,53,15,10,8,14,25,108.8,111.7,92.4,0.322,0.322,0.54,43.0,55.0,6.9,8.3,0.506,13.5,22.9,0.222,0.471,11.8,64.4,0.368,2008,-3,1,3,-0.0040000000000000036,7,14,0.11199999999999999,-12,-11,-0.1100000000000001,-5,-13,7,-3,-2,2,5
11,12,2007-11-23,2,CHA,ORL,2,92,105,37,90,0.411,5,21,0.238,13,20,0.65,14,50,18,6,3,9,28,38,80,0.475,7,28,0.25,22,39,0.564,14,52,20,4,7,12,18,98.5,112.5,93.4,0.222,0.233,0.466,49.0,48.6,6.4,5.8,0.439,8.3,26.9,0.144,0.519,11.0,72.0,0.275,2008,-13,-1,10,-0.064,-2,-7,-0.01200000000000001,-9,-19,0.08600000000000008,0,-2,-2,2,-4,-3,10
12,13,2007-11-24,1,CHA,BOS,2,95,96,36,74,0.486,8,11,0.727,15,19,0.789,10,41,23,2,7,14,23,34,78,0.436,6,18,0.333,22,28,0.786,9,34,22,4,4,13,18,108.2,109.3,87.8,0.257,0.149,0.577,54.7,63.9,2.3,11.7,0.541,14.5,28.6,0.203,0.474,12.6,77.5,0.282,2008,-1,2,-4,0.04999999999999999,2,-7,0.39399999999999996,-7,-9,0.0030000000000000027,1,7,1,-2,3,1,5
13,14,2007-11-27,2,CHA,MIA,2,90,110,34,74,0.459,4,16,0.25,18,24,0.75,10,31,20,6,6,18,23,40,69,0.58,5,10,0.5,25,31,0.806,6,31,22,11,8,13,19,101.8,124.4,88.4,0.324,0.216,0.532,50.0,58.8,6.8,10.2,0.486,17.6,28.6,0.243,0.616,13.6,77.8,0.362,2008,-20,-6,5,-0.12099999999999994,-1,6,-0.25,-7,-7,-0.05600000000000005,4,0,-2,-5,-2,5,4
14,15,2007-12-01,2,CHA,CHI,2,95,111,37,75,0.493,9,19,0.474,12,23,0.522,8,24,22,13,5,16,21,44,81,0.543,6,10,0.6,17,19,0.895,19,48,25,9,7,20,17,106.4,124.4,89.3,0.307,0.253,0.558,33.3,59.5,14.6,7.0,0.553,15.8,21.6,0.16,0.58,18.3,45.7,0.21,2008,-16,-7,-6,-0.050000000000000044,3,9,-0.126,-5,4,-0.373,-11,-24,-3,4,-2,-4,4
