,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2007-11-01,1,MIA,DET,2,80,91,33,75,0.44,5,13,0.385,9,15,0.6,5,40,15,4,4,17,22,31,80,0.388,6,19,0.316,23,30,0.767,12,44,19,11,4,10,14,88.6,100.8,90.3,0.2,0.173,0.49,47.6,45.5,4.4,6.6,0.473,17.2,13.5,0.12,0.425,9.7,74.5,0.288,2008,-11,2,-5,0.05199999999999999,-1,-6,0.069,-14,-15,-0.16700000000000004,-7,-4,-4,-7,0,7,8
1,2,2007-11-02,2,MIA,IND,2,85,87,36,96,0.375,9,16,0.563,4,13,0.308,17,55,22,7,9,17,15,33,83,0.398,7,15,0.467,14,21,0.667,13,50,22,9,13,14,18,89.6,91.7,94.9,0.135,0.167,0.418,52.4,61.1,7.4,13.2,0.422,14.3,31.5,0.042,0.44,13.2,74.5,0.169,2008,-2,3,13,-0.02300000000000002,2,1,0.09599999999999992,-10,-8,-0.35900000000000004,4,5,0,-2,-4,3,-3
2,3,2007-11-04,1,MIA,CHA,2,88,90,33,75,0.44,2,12,0.167,20,26,0.769,12,40,19,6,4,12,18,32,69,0.464,8,18,0.444,18,22,0.818,9,40,19,8,1,18,24,102.9,105.2,85.5,0.347,0.16,0.509,50.0,57.6,7.0,7.8,0.453,12.2,27.9,0.267,0.522,18.6,75.7,0.261,2008,-2,1,6,-0.02400000000000002,-6,-6,-0.277,2,4,-0.04899999999999993,3,0,0,-2,3,-6,-6
3,4,2007-11-07,2,MIA,SAS,2,78,88,31,72,0.431,4,13,0.308,12,21,0.571,7,33,20,9,2,14,19,34,71,0.479,7,26,0.269,13,21,0.619,8,42,21,6,3,14,17,91.2,102.9,85.5,0.292,0.181,0.48,44.0,64.5,10.5,4.4,0.458,14.7,17.1,0.167,0.528,14.9,76.5,0.183,2008,-10,-3,1,-0.04799999999999999,-3,-13,0.03899999999999998,-1,0,-0.04800000000000004,-1,-9,-1,3,-1,0,2
4,5,2007-11-09,1,MIA,PHO,2,101,106,43,88,0.489,4,15,0.267,11,14,0.786,13,48,20,9,7,15,16,39,89,0.438,15,33,0.455,13,15,0.867,11,43,22,12,5,12,17,106.9,112.2,94.4,0.159,0.17,0.536,52.7,46.5,9.5,12.5,0.511,13.7,28.9,0.125,0.522,11.2,76.1,0.146,2008,-5,4,-1,0.05099999999999999,-11,-18,-0.188,-2,-1,-0.08099999999999996,2,5,-2,-3,2,3,-1
5,6,2007-11-11,2,MIA,NYK,1,75,72,32,73,0.438,6,25,0.24,5,9,0.556,10,43,21,10,4,16,17,28,75,0.373,3,16,0.188,13,17,0.765,12,39,11,10,2,18,18,89.7,86.2,83.6,0.123,0.342,0.487,52.4,65.6,12.0,6.8,0.479,17.2,27.0,0.068,0.393,17.9,73.3,0.173,2008,3,4,-2,0.065,3,9,0.05199999999999999,-8,-8,-0.20899999999999996,-2,4,10,0,2,-2,-1
6,7,2007-11-13,2,MIA,CHA,2,76,91,30,78,0.385,1,7,0.143,15,22,0.682,8,38,17,2,4,10,15,34,79,0.43,7,15,0.467,16,22,0.727,9,47,22,5,4,8,22,88.1,105.5,86.3,0.282,0.09,0.433,44.7,56.7,2.3,6.3,0.391,10.2,17.4,0.192,0.475,8.3,76.9,0.203,2008,-15,-4,-1,-0.044999999999999984,-6,-8,-0.32400000000000007,-1,0,-0.04499999999999993,-1,-9,-5,-3,0,2,-7
7,8,2007-11-14,1,MIA,SEA,2,95,104,32,83,0.386,7,26,0.269,24,33,0.727,11,34,15,14,3,12,18,37,75,0.493,10,19,0.526,20,25,0.8,12,52,23,5,2,22,22,100.3,109.8,94.7,0.398,0.313,0.487,39.5,46.9,14.8,5.4,0.428,11.0,21.6,0.289,0.56,20.4,65.7,0.267,2008,-9,-5,8,-0.10699999999999998,-3,7,-0.257,4,8,-0.07300000000000006,-1,-18,-8,9,1,-10,-4
8,9,2007-11-16,2,MIA,BOS,2,91,92,35,74,0.473,5,18,0.278,16,28,0.571,4,33,18,8,7,11,16,35,71,0.493,5,14,0.357,17,18,0.944,5,40,29,5,2,18,22,99.8,100.8,91.2,0.378,0.243,0.527,45.2,51.4,8.8,12.3,0.507,11.3,10.3,0.216,0.528,18.6,85.3,0.239,2008,-1,0,3,-0.020000000000000018,0,4,-0.07899999999999996,-1,10,-0.373,-1,-7,-11,3,5,-7,-6
9,10,2007-11-17,2,MIA,NJN,1,91,87,31,76,0.408,6,11,0.545,23,29,0.793,5,29,23,11,1,14,29,27,58,0.466,3,10,0.3,30,38,0.789,6,39,23,5,3,26,27,96.9,92.6,93.9,0.382,0.145,0.513,42.6,74.2,11.7,2.1,0.447,13.6,13.2,0.303,0.491,25.8,80.0,0.517,2008,4,4,18,-0.05800000000000005,3,1,0.24500000000000005,-7,-9,0.0040000000000000036,-1,-10,0,6,-2,-12,2
10,11,2007-11-21,1,MIA,ATL,2,79,82,25,59,0.424,3,9,0.333,26,35,0.743,7,38,16,8,11,17,24,27,77,0.351,6,16,0.375,22,28,0.786,16,45,14,11,3,14,23,94.7,98.3,83.5,0.593,0.153,0.531,45.8,64.0,9.6,18.0,0.449,18.6,19.4,0.441,0.39,13.6,66.0,0.286,2008,-3,-2,-18,0.07300000000000001,-3,-7,-0.04199999999999998,4,7,-0.04300000000000004,-9,-7,2,-3,8,3,1
