,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2010-10-26,2,HOU,LAL,2,110,112,38,91,0.418,8,20,0.4,26,28,0.929,16,53,25,6,7,20,25,40,96,0.417,9,21,0.429,23,28,0.821,14,44,21,11,4,12,24,107.2,109.1,102.6,0.308,0.22,0.532,54.6,65.8,5.8,9.3,0.462,16.2,34.8,0.286,0.464,10.0,72.5,0.24,2011,-2,-2,-5,0.0010000000000000009,-1,-1,-0.02899999999999997,3,0,0.1080000000000001,2,9,4,-5,3,8,1
1,2,2010-10-27,2,HOU,GSW,2,128,132,41,87,0.471,4,16,0.25,42,52,0.808,15,39,24,9,2,9,20,51,92,0.554,8,20,0.4,22,26,0.846,14,45,25,5,7,12,30,128.7,132.7,99.5,0.598,0.184,0.582,46.4,58.5,9.0,2.8,0.494,7.6,32.6,0.483,0.598,10.4,63.2,0.239,2011,-4,-10,-5,-0.08300000000000007,-4,-4,-0.15000000000000002,20,26,-0.03799999999999992,1,-6,-1,4,-5,-3,-10
2,3,2010-10-30,1,HOU,DEN,2,94,107,37,81,0.457,3,19,0.158,17,21,0.81,9,44,19,4,7,19,26,34,90,0.378,10,27,0.37,29,33,0.879,13,48,16,9,4,12,24,95.1,108.2,98.9,0.259,0.235,0.521,47.8,51.4,4.0,11.1,0.475,17.4,20.5,0.21,0.433,10.3,72.9,0.322,2011,-13,3,-9,0.07900000000000001,-7,-8,-0.212,-12,-12,-0.06899999999999995,-4,-4,3,-5,3,7,2
3,4,2010-11-03,1,HOU,NOH,2,99,107,39,93,0.419,8,24,0.333,13,18,0.722,11,45,22,4,6,12,26,36,79,0.456,5,13,0.385,30,42,0.714,12,45,20,9,11,8,22,104.5,112.9,94.8,0.194,0.258,0.49,50.0,56.4,4.2,9.1,0.462,10.6,25.0,0.14,0.487,7.6,73.9,0.38,2011,-8,3,14,-0.03700000000000003,3,11,-0.05199999999999999,-17,-24,0.008000000000000007,-1,0,2,-5,-5,4,4
4,5,2010-11-06,2,HOU,SAS,2,121,124,47,99,0.475,9,20,0.45,18,21,0.857,14,48,24,5,3,16,21,49,101,0.485,9,21,0.429,17,25,0.68,13,47,28,11,6,11,22,113.2,116.0,96.8,0.212,0.202,0.559,50.5,51.1,4.7,3.8,0.52,12.9,29.2,0.182,0.53,8.9,72.3,0.168,2011,-3,-2,-2,-0.010000000000000009,0,-1,0.02100000000000002,1,-4,0.17699999999999994,1,1,-4,-6,-3,5,-1
5,6,2010-11-07,1,HOU,MIN,1,120,94,38,86,0.442,5,16,0.313,39,47,0.83,10,49,23,9,4,6,22,34,91,0.374,3,13,0.231,23,33,0.697,19,54,11,5,5,16,34,120.2,94.2,99.8,0.547,0.186,0.562,47.6,60.5,9.0,5.1,0.471,5.3,22.2,0.453,0.39,13.2,67.2,0.253,2011,26,4,-5,0.068,2,3,0.08199999999999999,16,14,0.133,-9,-5,12,4,-1,-10,-12
6,7,2010-11-10,2,HOU,WAS,2,91,98,34,87,0.391,6,20,0.3,17,19,0.895,10,44,20,6,7,14,21,39,88,0.443,6,13,0.462,14,22,0.636,16,51,25,10,10,17,24,94.3,101.5,96.5,0.218,0.23,0.477,46.3,58.8,6.2,9.3,0.425,12.8,22.2,0.195,0.477,14.8,68.0,0.159,2011,-7,-5,-1,-0.05199999999999999,0,7,-0.16200000000000003,3,-3,0.259,-6,-7,-5,-4,-3,-3,-3
7,8,2010-11-12,2,HOU,IND,1,102,99,39,78,0.5,7,18,0.389,17,25,0.68,9,41,17,9,9,15,16,40,89,0.449,9,22,0.409,10,13,0.769,11,41,20,4,4,15,22,107.8,104.7,94.6,0.321,0.231,0.573,50.0,43.6,9.5,13.4,0.545,14.4,23.1,0.218,0.5,13.7,74.4,0.112,2011,3,-1,-11,0.05099999999999999,-2,-4,-0.019999999999999962,7,12,-0.08899999999999997,-2,0,-3,5,5,0,-6
8,9,2010-11-14,2,HOU,NYK,1,104,96,36,80,0.45,6,18,0.333,26,36,0.722,11,47,28,8,1,14,23,38,87,0.437,3,16,0.188,17,24,0.708,9,42,15,5,7,12,24,106.8,98.6,97.4,0.45,0.225,0.543,52.8,77.8,8.2,1.4,0.488,12.7,25.0,0.325,0.454,11.0,80.0,0.195,2011,8,-2,-7,0.013000000000000012,3,2,0.14500000000000002,9,12,0.014000000000000012,2,5,13,3,-6,2,-1
9,10,2010-11-16,1,HOU,CHI,2,92,95,34,71,0.479,5,15,0.333,19,25,0.76,11,32,21,8,3,19,24,36,74,0.486,8,12,0.667,15,28,0.536,14,40,18,12,4,19,24,104.4,107.9,88.1,0.352,0.211,0.561,44.4,61.8,9.1,4.8,0.514,18.8,29.7,0.268,0.541,18.0,60.0,0.203,2011,-3,-2,-3,-0.007000000000000006,-3,3,-0.334,4,-3,0.22399999999999998,-3,-8,3,-4,-1,0,0
