,G,Date,Home/Away,Tm_1_Name,Tm_2_Name,W/L,Tm_1_Score,Tm_2_Score,Tm_1_FG,Tm_1_FGA,Tm_1_FG%,Tm_1_3P,Tm_1_3PA,Tm_1_3P%,Tm_1_FT,Tm_1_FTA,Tm_1_FT%,Tm_1_ORB,Tm_1_TRB,Tm_1_AST,Tm_1_STL,Tm_1_BLK,Tm_1_TOV,Tm_1_PF,Tm_2_FG,Tm_2_FGA,Tm_2_FG%,Tm_2_3P,Tm_2_3PA,Tm_2_3P%,Tm_2_FT,Tm_2_FTA,Tm_2_FT%,Tm_2_ORB,Tm_2_TRB,Tm_2_AST,Tm_2_STL,Tm_2_BLK,Tm_2_TOV,Tm_2_PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Off_eFG%,Off_TOV%,Off_ORB%,Off_FT/FGA,Def_eFG%,Def_TOV%,Def_DRB%,Def_FT/FGA,Year,Score_Diff,FG_Diff,FGA_Diff,FG%_Diff,3P_Diff,3PA_Diff,3P%_Diff,FT_Diff,FTA_Diff,FT%_Diff,ORB_Diff,TRB_Diff,AST_Diff,STL_Diff,BLK_Diff,TOV_Diff,PF_Diff
0,1,2011-12-26,2,NOH,PHO,1,85,84,35,79,0.443,2,16,0.125,13,21,0.619,12,47,10,9,5,13,22,32,81,0.395,5,25,0.2,15,19,0.789,12,45,23,9,3,14,24,96.0,94.9,88.5,0.266,0.203,0.482,51.1,28.6,10.2,8.9,0.456,12.8,26.7,0.165,0.426,13.5,74.5,0.185,2012,1,3,-2,0.04799999999999999,-3,-9,-0.07500000000000001,-2,2,-0.17000000000000004,0,2,-13,0,2,-1,-2
1,2,2011-12-28,1,NOH,BOS,1,97,78,36,79,0.456,4,12,0.333,21,25,0.84,12,48,16,7,12,9,20,29,78,0.372,7,17,0.412,13,18,0.722,13,37,16,4,12,12,22,116.9,94.0,83.0,0.316,0.152,0.539,56.5,44.4,8.4,19.7,0.481,9.1,33.3,0.266,0.417,12.3,73.5,0.167,2012,19,7,1,0.08400000000000002,-3,-5,-0.07899999999999996,8,7,0.118,-1,11,0,3,0,-3,-2
2,3,2011-12-30,1,NOH,PHO,2,78,93,26,90,0.289,3,14,0.214,23,28,0.821,24,57,14,4,5,13,24,33,78,0.423,7,23,0.304,20,22,0.909,10,47,22,3,10,10,22,90.2,107.6,86.4,0.311,0.156,0.381,54.8,53.8,4.6,9.1,0.306,11.3,39.3,0.256,0.468,10.2,76.7,0.256,2012,-15,-7,12,-0.134,-4,-9,-0.09,3,6,-0.08800000000000008,14,10,-8,1,-5,3,2
3,4,2012-01-01,2,NOH,SAC,2,80,96,36,89,0.404,0,15,0.0,8,16,0.5,22,60,24,4,2,19,18,35,85,0.412,8,23,0.348,18,21,0.857,12,41,16,12,6,10,15,88.6,106.4,90.2,0.18,0.169,0.416,59.4,66.7,4.4,3.2,0.404,16.5,43.1,0.09,0.459,9.6,76.0,0.212,2012,-16,1,4,-0.007999999999999952,-8,-8,-0.348,-10,-5,-0.357,10,19,8,-8,-4,9,3
4,5,2012-01-02,2,NOH,UTA,2,90,94,37,74,0.5,3,10,0.3,13,16,0.813,7,37,22,5,4,15,24,37,76,0.487,5,15,0.333,15,23,0.652,9,36,20,6,6,12,18,103.0,107.5,87.4,0.216,0.135,0.555,50.7,59.5,5.7,6.6,0.52,15.6,20.6,0.176,0.52,12.2,76.9,0.197,2012,-4,0,-2,0.013000000000000012,-2,-5,-0.03300000000000003,-2,-7,0.16099999999999992,-2,1,2,-1,-2,3,6
5,6,2012-01-04,1,NOH,PHI,2,93,101,35,79,0.443,3,10,0.3,20,25,0.8,12,42,21,6,5,13,18,41,86,0.477,4,16,0.25,15,18,0.833,11,38,22,8,7,8,19,105.8,114.9,87.9,0.316,0.127,0.517,52.5,60.0,6.8,7.1,0.462,12.6,30.8,0.253,0.5,7.8,73.2,0.174,2012,-8,-6,-7,-0.033999999999999975,-1,-6,0.04999999999999999,5,7,-0.03299999999999992,1,4,-1,-2,-2,5,-1
6,7,2012-01-06,1,NOH,DEN,2,88,96,36,77,0.468,8,17,0.471,8,10,0.8,8,36,19,7,9,17,23,37,79,0.468,5,21,0.238,17,22,0.773,8,37,24,8,6,12,13,98.7,107.7,89.2,0.13,0.221,0.541,49.3,52.8,7.9,15.5,0.519,17.3,21.6,0.104,0.5,11.9,77.8,0.215,2012,-8,-1,-2,0.0,3,-4,0.23299999999999998,-9,-12,0.027000000000000024,0,-1,-5,-1,3,5,10
7,8,2012-01-07,2,NOH,DAL,2,81,96,26,64,0.406,6,11,0.545,23,28,0.821,6,39,17,11,0,20,19,32,74,0.432,8,19,0.421,24,29,0.828,6,35,22,12,2,14,21,89.5,106.1,90.5,0.438,0.172,0.531,52.7,65.4,12.2,0.0,0.453,20.8,17.1,0.359,0.486,13.9,84.6,0.324,2012,-15,-6,-10,-0.025999999999999968,-2,-8,0.12400000000000005,-1,-1,-0.007000000000000006,0,4,-5,-1,-2,6,-2
8,9,2012-01-09,2,NOH,DEN,1,94,81,39,75,0.52,6,10,0.6,10,14,0.714,9,40,26,8,5,16,23,29,71,0.408,8,23,0.348,15,21,0.714,8,35,19,4,5,17,19,108.0,93.0,87.1,0.187,0.133,0.579,53.3,66.7,9.2,10.4,0.56,16.5,25.0,0.133,0.465,17.5,79.5,0.211,2012,13,10,4,0.11200000000000004,-2,-13,0.252,-5,-7,0.0,1,5,7,4,0,-1,4
9,10,2012-01-11,1,NOH,OKC,2,85,95,36,80,0.45,1,16,0.063,12,17,0.706,14,42,20,4,5,13,17,35,73,0.479,7,20,0.35,18,26,0.692,7,36,19,6,10,11,18,99.6,111.3,85.4,0.213,0.2,0.486,53.8,55.6,4.7,9.4,0.456,12.9,32.6,0.15,0.527,11.5,80.0,0.247,2012,-10,1,7,-0.02899999999999997,-6,-4,-0.287,-6,-9,0.014000000000000012,7,6,1,-2,-5,2,-1
